Slug,Actor,Aliases
ADI-PNST,Aadi Pinisetty,
ADI-SKMR,Aadi Saikumar,Aadi; Aditya Pudipeddi
ADKL-NRN,Aadukalam Naren,
ANCH-MNJL,Aanchal Munjal,
ARTH-AGRW,Aarthi Agarwal,
ABS,Abbas,
ABHJ-DUD,Abhijeet Duddala,
ABHN-GMTM,Abhinav Gomatam,
ABHN-SRI,Abhinaya Sri,
ACHY-KMR,Achyut Kumar,
ADRS-BLKR,Adarsh Balakrishna,
ADHR-ABH,Adhire Abhi,
ADT-MYKL,Aditi Myakal,
ADT-RAO-HYDR,Aditi Rao Hydari,
ADTY-MEN,Aditya Menon,
ADV-SES,Adivi Sesh,Sunny Chandra
AHMR-ANJM,Ahmareen Anjum,
AHT-PRSD,Ahuti Prasad,
ASHW-RJSH,Aishwarya Rajesh,
AJY,Ajay,
AJY-DVGN,Ajay Devgn,Ajay Devgan
AJY-GHSH,Ajay Ghosh,
AJY-RTNM,Ajay Ratnam,
AJTH-KMR,Ajith Kumar,
AJML-AMR,Ajmal Ameer,
AKSH-PUR,Akash Puri,
AKHL-AKN,Akhil Akkineni,Akhil
AKSH-PRDS,Aksha Pardasany,
ALI,Ali,
ALI-BHT,Alia Bhatt,
ALSN-DOD,Alison Doody,
ALR-NRSH,Allari Naresh,
ALR-SBHS,Allari Subhashini,
ALU-ARJN,Allu Arjun,Bunny; Icon Star; Mallu Arjun
ALU-SHRS,Allu Shirish,
AMN,Amani,
AMBT-SRNV,Ambati Srinivas,
AMT-SHRM,Amit Sharma,
AMT-TWR,Amit Tiwari,
AMTB-BCHC,Amitabh Bachchan,
AMY-JCKS,Amy Jackson,
AND-DVRK,Anand Devarakonda,
AND-RAJ,Anand Raj,
AND-RMRJ,Anand Ramaraju,
ANDRJ,Anandaraj,
ANDH,Anandhi,
ANT-NAG,Anant Nag,
ANTH-BAB,Ananth Babu,
ANTH-SRM,Anantha Sriram,
ANY-NGL,Ananya Nagalla,
ANY-TML,Ananya Tamil,
ANSY-BHRD,Anasuya Bhardwaj,
ANL-RVPD,Anil Ravipudi,
ANSH-KRVL,Anish Kuruvilla,
ANSH-ALA,Anisha Alla,
ANTH-CHWD,Anitha Chowdary,
ANJL-ZHVR,Anjala Zhaveri,
ANJL,Anjali,
ANKT-KOY,Ankith Koyya,
ANA-BEN,Anna Ben,
ANPRN,Annapoorna,
ANR-AKN-NGSW-RAO,ANR Akkineni Nageswara Rao,Akkineni Nageswara Rao; ANR
ANU-EMNL,Anu Emmanuel,
ANPM-PRMS,Anupama Parameswaran,
ANSH-SHTY,Anushka Shetty,
ARCH-JOI,Archana Jois,
ARJN-BJW,Arjan Bajwa,
ARJN-DAS,Arjun Das,
ARJN-SAJ,Arjun Sajja,
ARN-ALXN,Arun Alexander,
ARVN-SWM,Arvind Swami,
ARY,Arya,
ARYN-RJSH,Aryan Rajesh,
ASHK-RNGN,Ashika Ranganath,
ASHS-VDYR,Ashish Vidyrathi,
