Name,Count,Status,Closest Match,Similarity,Movies
Tarak Ponnappa,3,Missing,Tamanna Bhatia,0.538,Anaganaga Oka Raju; KGF Chapter 1; Pushpa 2
Anitha Chowdary,2,Missing,Chandini Chowdary,0.733,Little Hearts; Mithra Mandali
Bheemala Revanth Pavan Sai Subhash,2,Missing,Malavika Avinash,0.533,Anaganaga Oka Raju; Sankranthiki Vasthunnam
K. V. Anudeep,2,Missing,Kicha Sudeep,0.700,Funky; Mithra Mandali
Kadambari Kiran Kumar,2,Missing,Aadi Saikumar,0.581,Anaganaga Oka Raju; Guntur Karam
Mahesh Chintala,2,Missing,Mahesh Achanta,0.815,Little Hearts; Mithra Mandali
Manik Reddy,2,Missing,Rami Reddy,0.737,Guntur Karam; Mithra Mandali
Sivannarayana Naripeddi,2,Missing,Dayanand Reddy,0.571,Anaganaga Oka Raju; Mithra Mandali
Vadlamani Srinivas,2,Missing,Avasarala Srinivas,0.706,Mana Shankara Vara Prasad Garu; Sankranthiki Vasthunnam
Aditi Myakal,1,Missing,Bala Aditya,0.571,Arjun Reddy
Ahmareen Anjum,1,Missing,Prabhas Sreenu,0.615,RRR
Ambati Srinivas,1,Missing,Avasarala Srinivas,0.645,Anaganaga Oka Raju
Anisha Alla,1,Missing,Isha Chawla,0.700,Arjun Reddy
Archana Jois,1,Missing,Sachin Joshi,0.636,KGF Chapter 1
B. S. Avinash,1,Missing,BVS Ravi,0.625,KGF Chapter 1
B. Suresha,1,Missing,Surekha Vani,0.632,KGF Chapter 1
Balakrishna,1,Missing,Adarsh Balakrishna,0.786,KGF Chapter 1
Bhadram,1,Missing,Chandra Mohan,0.632,Anaganaga Oka Raju
Bhanu Prakash,1,Missing,Gv Prakash,0.667,Mathu Vadalara 2
Bheemala Revanth,1,Missing,Hema Charcter Artist,0.545,Mana Shankara Vara Prasad Garu
Bhushan Kalyan,1,Missing,Pawan Kalyan,0.667,Arjun Reddy
Bindu Chandramouli,1,Missing,Bhanu Chander,0.621,Pushpa 2
Brahmanandham,1,Missing,Bramhanandham,0.923,Kalki 2898 AD
Chakri,1,Missing,Charmy,0.667,RRR
Chandana Lakshmi Narasimha Rao,1,Missing,CVL Narasimha Rao,0.667,Sankranthiki Vasthunnam
Dheera Reddy Pisati,1,Missing,Rami Reddy,0.538,Little Hearts
Dil Raju,1,Missing,Dil Ramesh,0.625,Funky
Dinesh Mangaluru,1,Missing,Ravi Shankar,0.538,KGF Chapter 1
Divi Vadthya,1,Missing,Viva Harsha,0.571,Pushpa 2
Divya Sripada,1,Missing,Jaya Pradha,0.545,Jathiratnalu
Edward Sonnenblick,1,Missing,Eduard Buhac,0.500,RRR
Goparaju Vijay,1,Missing,Goparaju Raman,0.692,Sankranthiki Vasthunnam
Gopinath Bhat,1,Missing,Alia Bhatt,0.571,Arjun Reddy
Gopiraju Vijay,1,Missing,Goparaju Raman,0.615,Guntur Karam
Govinde Gowda,1,Missing,Arvind Swami,0.522,KGF Chapter 1
Gundu Sudarshan,1,Missing,Gundu Sudhakar,0.741,Mathu Vadalara 2
Harinath Raj,1,Missing,Bharath Raju,0.818,Little Hearts
Harini Rao,1,Missing,Eeshwari Rao,0.700,Jathiratnalu
Harish Rai,1,Missing,Harsh Roshan,0.700,KGF Chapter 1
Harish Shankar,1,Missing,Harsh Roshan,0.750,Funky
Isha Yadav,1,Missing,Isha Chawla,0.632,Mathu Vadalara 2
Jaya Naidu,1,Missing,Jayam Ravi,0.667,Jathiratnalu
Jeevan Kumar Naidu,1,Missing,Jeevan Kumar,0.815,Mathu Vadalara 2
Jeevan Naidu,1,Missing,Jeevan Kumar,0.636,Mithra Mandali
Jia Sharma,1,Missing,Amit Sharma,0.737,Arjun Reddy
John Kokken,1,Missing,Ram Pothineni,0.455,KGF Chapter 1
Kalyan Shankar,1,Missing,Kanchana,0.667,Funky
Kalyan Subrahmanyam,1,Missing,Sp Balasubramanyam,0.800,Arjun Reddy
Khushi Soni,1,Missing,Karuna Bhushan,0.522,Mana Shankara Vara Prasad Garu
Killi Kranthi,1,Missing,Ram Nithin,0.571,Pushpa 2
Kondavalasa Lakshmana Rao,1,Missing,Kondavalasa,0.647,Adhurs
Kranthi Balivada,1,Missing,Kiran Abbavaram,0.621,Mithra Mandali
Krishnoji Rao,1,Missing,Krishnam Raju,0.667,KGF Chapter 1
Laddu Santosh,1,Missing,Sai Sushanth,0.609,Anaganaga Oka Raju
Lakki Lakshman,1,Missing,Ravi Kishan,0.609,KGF Chapter 1
Lakshmipathi,1,Missing,Lakshmi Rai,0.818,KGF Chapter 1
Madiha Nasreen,1,Missing,Prabhas Sreenu,0.615,Little Hearts
Mathew Varghese,1,Missing,Catherine Tresa,0.500,Mathu Vadalara 2
Mirchi Kiran,1,Missing,Ram Charan,0.600,Jathiratnalu
Mohan Juneja,1,Missing,Mohan Lal,0.632,KGF Chapter 1
Mouli Tanuj Prasanth,1,Missing,Nutan Prasad,0.621,Little Hearts
Mouni Roy,1,Missing,Sudev Nair,0.471,KGF Chapter 1
Mukku Avinash,1,Missing,Malavika Avinash,0.667,Anaganaga Oka Raju
Naga Vamsi S,1,Missing,Ananya Tamil,0.571,Funky
Nagesh Chittiboyina,1,Missing,Naga Chaitanya,0.581,Mathu Vadalara 2
Nandana Nandu,1,Missing,Tinnu Anand,0.636,Mana Shankara Vara Prasad Garu
Nani Simha,1,Missing,Sri Simha,0.706,Sankranthiki Vasthunnam
Neenasam Ashwath,1,Missing,Sai Sushanth,0.538,KGF Chapter 1
Nikhil Abburi,1,Missing,Tanikella Bharani,0.571,Little Hearts
Ooha Reddy,1,Missing,Rami Reddy,0.667,Mana Shankara Vara Prasad Garu
Padmini Settam,1,Missing,Aadi Pinisetty,0.692,Little Hearts
Pavani Karanam,1,Missing,Pawan Kalyan,0.667,Pushpa 2
Poorna,1,Missing,Annapoorna,0.750,Guntur Karam
Pramod Panju,1,Missing,Priyamani,0.600,Salaar
Pranay Raguthu,1,Missing,Raja Goutham,0.583,Mathu Vadalara 2
Prasad Addala,1,Missing,Prasad Behara,0.667,Anaganaga Oka Raju
Preet Gadrana,1,Missing,Pradeep Rawat,0.583,RRR
Puneeth Rudranag,1,Missing,Geetha Singh,0.538,KGF Chapter 1
Raja Chembolu,1,Missing,Raja Babu,0.600,Mathu Vadalara 2
Raja Prajwal,1,Missing,Rama Prabha,0.667,Little Hearts
Ramaraju,1,Missing,Anand Ramaraju,0.762,Mithra Mandali
Ramesh Indira,1,Missing,Ramesh Aravind,0.720,KGF Chapter 1
RJ Hemant,1,Missing,Reema Sen,0.625,Arjun Reddy
RJ Hemanth,1,Missing,Reema Sen,0.588,Guntur Karam
Rocket Raghava,1,Missing,Mahat Raghavendra,0.552,Anaganaga Oka Raju
Rohan Roy,1,Missing,Robo Shankar,0.632,Mithra Mandali
Rohini Reddy,1,Missing,Srinivasa Reddy,0.720,Anaganaga Oka Raju
Rohini Reddy Noni,1,Missing,Srinivasa Reddy,0.621,Mathu Vadalara 2
Roopa Rayappa,1,Missing,Rao Gopal Rao,0.609,KGF Chapter 1
Saanve Megghana,1,Missing,Naveen Chandra,0.593,Anaganaga Oka Raju
Sai Marthand,1,Missing,Salman Khan,0.667,Little Hearts
Sam,1,Missing,Sana,0.571,Mathu Vadalara 2
Sampath Maitreya,1,Missing,Sampath Raj,0.640,KGF Chapter 1
Sandhya Janak,1,Missing,Shyamala,0.600,Arjun Reddy
Sanjay Swaroop,1,Missing,Dhananjaya,0.522,Arjun Reddy
Satish Saripalli,1,Missing,Sai Pallavi,0.640,Jathiratnalu
Shailaja Durvasula,1,Missing,Mamila Shailaja Priya,0.556,Little Hearts
Shanmukh,1,Missing,Roshan Meka,0.667,Pushpa 2
Shivani Nagaram,1,Missing,Sonia Agarwal,0.615,Little Hearts
Shobhan Chittuprollu,1,Missing,Shobhan Babu,0.533,Jathiratnalu
Sindhu Reddie,1,Missing,Vasu Inturi,0.545,Mathu Vadalara 2
Sravya Mrudula,1,Missing,Kayadu Lohar,0.583,Arjun Reddy
Srinivas Murthy,1,Missing,Srinivasa Reddy,0.714,KGF Chapter 1
Srinivas Ramireddy,1,Missing,Srinivasa Reddy,0.903,Mathu Vadalara 2
Sudharshan,1,Missing,Harsh Roshan,0.667,Mithra Mandali
Suresh Krishna,1,Missing,Mukesh Rishi,0.667,Mathu Vadalara 2
Surya Shekhar,1,Missing,Shriya Saran,0.609,KGF Chapter 1
T. S. Nagabharana,1,Missing,Naga Chaitanya,0.692,KGF Chapter 1
Teja Kakumanu,1,Missing,Venkatesh Kakumanu,0.690,Guntur Karam
Twinkle Sharma,1,Missing,Kethika Sharma,0.692,RRR
Vamsee Chaganti,1,Missing,Ram Charan,0.609,Guntur Karam
Vamshidhar Goud,1,Missing,Muralidhar Goud,0.714,Mithra Mandali
Vinay Bidappa,1,Missing,Vinaya Prasad,0.667,KGF Chapter 1
Yash Shetty,1,Missing,Anushka Shetty,0.783,KGF Chapter 1
