Movie Name,Cast
Adhurs,"N T Rama Rao Jr., Nayanthara, Sheela, Bramhanandham, Mahesh Manjrekhar, Ashish Vidyrathi, Sayaji Shinde, Nassar, Vinaya Prasad, Tanikella Bharani, Rajya Lakshmi, Rama Prabha, Mukul Dev, Supreeth Reddy, Ms Narayana, Raghu Babu, Prudhvi Raj, Vastala Rajagopal, Kondavalasa Lakshmana Rao, Ananth Babu, Fish Venkat, Raja Ravindra, Raghu Karumanchi, Sheela Kaur"
Arjun Reddy,"Vijay Deverakonda, Shalini Pandey, Jia Sharma, Kanchana, Sanjay Swaroop, Kamal Kamaraju, Bhushan Kalyan, Priyadarshi Pulikonda, Rahul Ramakrishna, Kalyan Subrahmanyam, Aditi Myakal, Anisha Alla, Sandhya Janak, Gopinath Bhat, RJ Hemant, Amit Sharma, Sravya Mrudula"
Funky,"Vishwak Sen, Kayadu Lohar, Naresh Senior, Sampath Raj, Easwari Rao"
Guntur Karam,"Mahesh Babu, Jayaram, Ramya Krishna, Prakash Raj, Jagapathi Babu, Sunil, Rao Ramesh, Murali Sharma, Sreeleela, Meenakshi Choudhary, Poorna, Rahul Ravindran, Ajay, Vennela Kishore, Easwari Rao, Ravi Shankar, Brahmaji, Raghu Babu, Madhusudhan Rao, Pammi Sai, Teja Kakumanu, Mahesh Achanta, Gopiraju Vijay, Surabhi Prabhavathi, Manik Reddy, Vamsee Chaganti, Chammak Chandra, RJ Hemanth, Kadambari Kiran Kumar"
Pushpa 2,"Allu Arjun, Rashmika Mandanna, Fahad Fasil, Jagapathi Babu, Sunil, Rao Ramesh, Dhananjaya, Brahmaji, Ajay, Aadukalam Naren, Anasuya Bhardwaj, Kalpa Latha, Aditya Menon, Tarak Ponnappa, Saurabh Sachdeva, Satya, Shanmukh, Muralidhar Goud, Jagadeesh Prathap Bandari, Pavani Karanam, Bindu Chandramouli, Dayanand Reddy, Mime Gopi, Sritej, Divi Vadthya, Aanchal Munjal, Vithaya Pansringarm, Killi Kranthi, Sreeleela"
With Love,"Abishan Jeevinth, Anaswara Rajan, Saravanan, Theni Murugan, Kavya Anil, Harish Kumar, Rajapandi, Sacchin Nachiappan, Sanchana Namidass, RJ Dimple Kanna, RJ Ananthi, Nagaichuvaigal Adhiyamaan, Nagaichuvaigal Vetri, Ayaz Khan, Sudarshan Gandhi, M. Sasikumar, Kamalesh Jagan"
Adipurush,"Prabhas, Saif Ali Khan, Kriti Sanon, Sunny Singh, Devdatta Nage, Vatsal Sheth, Sonal Chauhan, Siddhant Karnick, Ayesha Madhukar, Tejaswini Pandit, Krishna Kotian, Sonali Khare, Lavi Pajni, Ajit Shidhaye, Asha Sharma, Urvi Singh, Bijay J Anand, Neha Khan, Rehan Khan, Gaurrav Walia, Manohar Pandey, Roopesh Jadhav, Kaustav Sinha, Saurabh Thakare, Prashant Uthale, Rajesh K Salhotra"
Agent,"Mammootty, Akhil Akkineni, Dino Morea, Sakshi Vaidya, Varalaxmi Sarathkumar, Vikramjeet Virk, Sampath Raj, Murali Sharma, Posani Krishna Murali, Denzil Smith, Tarun Arora, Sangay Tsheltrim, Ravi Mariya, Vincent Asokan, Hareesh Peradi, Anu Prabhakar, Rajeev Kanakala, Anish Kuruvilla, Urvashi Rautela"
Amaran,"Sivakarthikeyan, Sai Pallavi, Rahul Bose, Bhuvan Arora, Haethakshi V., Lallu, Anbu Thasan, Shreekumar, Shyamaprasad, Shyam Mohan, Paul T. Baby, Geetha Kailasam, Raju Rajappan, Shyla Das, Umair Lateef, Sugamya Sankar, Navya Sujji, Shyrush Zutshi, Rohman Shawl, Mir Salman, Ajaey Naga Raaman, Gaurav Venkatesh, Prayas Mann, Abhinav Raj, John Kaipallil, Rohan Surya Kanuma Reddy, Vaibhav Murugesan, Hanan Baba, Vikas Bangar, Vijay Karthik, Surya"
Ayalaan,"Sivakarthikeyan, Rakul Preet Singh, Siddharth, Sharad Kelkar, Isha Koppikar, Karunakaran, Yogi Babu, Kothandam, Bala Saravanan, Bhanupriya, David Broughton-Davies, Rahul Madhav, Ujjwal Chopra, Alice, Semmalar Annam, Sijoy Varghese, George Maryan, Munishkanth"
Bhagavanth Kesari,"Nandamuri Balakrishna, Kajal Aggarwal, Arjun Rampal, Sreeleela, Baby Nainika, Sarath Kumar, Pallak Lalwani, Jayachitra, Ravi Shankar, John Vijay, Aadukalam Naren, Subbaraju, Subhalekha Sudhakar, Srinivas Vadlamani, Brahmaji, Raghu Babu, VTV Ganesh, Rahul Ravi, Bharath Reddy, Sanjay Swaroop, Raj Tirandasu, Muralidhar Goud, Dubbing Janaki, Srikanth Iyengar, Sravan Raghavendra, Rathika Rose, Racha Ravi, Jeevan Kumar Naidu"
Animal,"Ranbir Kapoor, Anil Kapoor, Bobby Deol, Rashmika Mandanna, Triptii Dimri, Charu Shankar, Shakti Kapoor, Prem Chopra, Babloo Prithveeraj, Saurabh Sachdeva, Madhu Raja, Suresh Oberoi, Saloni Batra, Anshul Chauhan, Siddhant Karnick, Maganti Srinath, Upendra Limaye, Mathew Varghese, Indira Krishnan, Kunal Thakur, Mrinmayee Godbole, Davy Grewal, Vivek Sharma, Gagandeep Singh, Kawalpreet Singh, Amanjot Singh, Manjot Singh, Avdeep Sidhu, Kamaljeet Rana, Gursewak Singh Mander, Butta Badbar, Shabana Haroon"
Balagam,"Priyadarshi, Kavya Kalyanram, Sudhakar Reddy, Kota Jayaram, Kommu Sujatha, Muralidhar Goud, Rupa Lakshmi, Mime Madhu, Venu Yeldandi, Krishna Teja, Racha Ravi, Rohini, Vidyasagar Karampuri"
Bro,"Pawan Kalyan, Sai Dharam Tej, Kethika Sharma, Rohini, Priya Varrier, Bramhanandham, Subbaraju, Vennela Kishore, Ali Reza, Tanikella Bharani, Surya Sreenivas, Raja Chembolu, Devika Satheesh, Pammi Sai, Sanjay Swaroop, Srinivas Reddy, Rajashree Nair, Prudhvi Raj, Samuthirakani, Urvashi Rautela"
Committee Kurrollu,"Sandeep Saroj, Sai Kumar, Goparaju Raman, Trinadh Varma, Prasad Behara, Raadhya, Yaswanth Pendyala, Eshwar Rachiraju, Lokesh Kumar Parimi, Teena Sravya, Tejaswi Rao, Shyam Kalyan, Raghuvaran, Shiva Kumar Matta, Manikantta Parusu, Akshay Srinivas, Sharanya Suresh Raadhya"
Drushyam 2,"Venkatesh, Meena, Kruthika Jayakumar, Esther Anil, Nadhiya, Sampath Raj, Naresh Senior, Tanikella Bharani, Vinay Varma, Suja Varunee, Satyam Rajesh, Shafi, Poorna, Annapoorna, Chammak Chandra, Rajashree Nair, Sirisha, Gautam Raju, Naidu Gopi, Sammeta Gandhi, Tammareddy Bharadwaja, Raja Ravindra, CVL Narasimha Rao, Adam Ayub"
Devara,"N T Rama Rao Jr., Saif Ali Khan, Jahnavi Kapoor, Prakash Raj, Srikanth, Murali Sharma, Abhimanyu Singh, Ajay, Narain, Kalaiyarasan, Shine Tom Chacko, Shruti Marathe, Talluri Rameswari, Zarina Wahab, Zakir Hussain, Mathew Varghese"
Gangs Of Godavari,"Vishwak Sen, Anjali, Neha Shetty, Sai Kumar, Nassar, Hyper Aadi, Goparaju Raman, Praveen, Vinoth Kishan, Madhunandan, Rajitha, Gagan Vihari, Mayank Parakh, Gayathri Bhargavi, Sush, Ayesha Khan"
Double iSmart,"Ram Pothineni, Sanjay Dutt, Ali, Kavya Thapar, Sayaji Shinde, Bani J, Makarand Deshpande, Vennela Kishore, Temper Vamsi"
Game Changer,"Ram Charan, Kiara Advani, Anjali, SJ Suriya, Srikanth, Sunil, Jayaram, Samuthirakani"
Hanuman,"Teja Sajja, Amritha Aiyer, Varalaxmi Sarathkumar, Samuthirakani, Vinay Rai, Vennela Kishore, Raj Deepak Shetty"
Hi Nanna,"Nani, Mrunal Thakur, Kiara Khanna, Jayaram, Priyadarshi Pulikonda, Nassar, Angad Bedi, Shilpa Tulaskar, Viraj Ashwin, Drishty Talwar, Shruti Hassan, Neha Sharma"
Family Star,"Vijay Deverakonda, Mrunal Thakur"
HIT 2,"Adivi Sesh, Meenakshi Choudhary, Suhas, Rao Ramesh"
