Name,Status,Note,Count,Movies
Supreeth Reddy,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Adhurs
Vastala Rajagopal,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Adhurs
Kondavalasa Lakshmana Rao,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Adhurs
Ananth Babu,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Adhurs
Raghu Karumanchi,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Adhurs
Ragini,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Adhurs
Jia Sharma,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Arjun Reddy
Sanjay Swaroop,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Arjun Reddy
Bhushan Kalyan,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Arjun Reddy
Kalyan Subrahmanyam,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Arjun Reddy
Anisha Alla,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Arjun Reddy
Sandhya Janak,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Arjun Reddy
Gopinath Bhat,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Arjun Reddy
RJ Hemant,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Arjun Reddy
Sravya Mrudula,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Arjun Reddy
Ajay,Proper portrait not found,IMDb did not return a usable single front-facing portrait,3,Guntur Karam; Mathu Vadalara 2; Pushpa 2
Pammi Sai,Proper portrait not found,IMDb did not return a usable single front-facing portrait,2,Guntur Karam; Sankranthiki Vasthunnam
Teja Kakumanu,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Guntur Karam
Gopiraju Vijay,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Guntur Karam
Manik Reddy,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Guntur Karam
Vamsee Chaganti,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Guntur Karam
RJ Hemanth,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Guntur Karam
Kadambari Kiran Kumar,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Guntur Karam
Mirchi Kiran,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Jathiratnalu
Jaya Naidu,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Jathiratnalu
Harini Rao,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Jathiratnalu
Divya Sripada,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Jathiratnalu
Satish Saripalli,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Jathiratnalu
Archana Jois,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,KGF Chapter 1
Mouli Tanuj Prasanth,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Little Hearts
Shivani Nagaram,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Little Hearts
Raja Prajwal,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Little Hearts
Sai Marthand,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Little Hearts
Nikhil Abburi,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Little Hearts
Padmini Settam,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Little Hearts
Harinath Raj,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Little Hearts
Anitha Chowdary,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Little Hearts
Satya Krishnan,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Little Hearts
Madiha Nasreen,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Little Hearts
Dheera Reddy Pisati,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Little Hearts
Mahesh Chintala,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Little Hearts
Shailaja Durvasula,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Little Hearts
Harsha Vardhan,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Mana Shankara Vara Prasad Garu
Abhinav Gomatam,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Mana Shankara Vara Prasad Garu
Srinivasa Reddy,Proper portrait not found,IMDb did not return a usable single front-facing portrait,2,Mana Shankara Vara Prasad Garu; Sankranthiki Vasthunnam
Khushi Soni,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Mana Shankara Vara Prasad Garu
Ooha Reddy,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Mana Shankara Vara Prasad Garu
Bheemala Revanth,Proper portrait not found,IMDb did not return a usable single front-facing portrait,1,Mana Shankara Vara Prasad Garu
