index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:33,799","00:00:34,149",speaker_0,ఏయ్,yey
2,"00:00:34,460","00:00:34,810",speaker_0,రామ,rama
3,"00:00:39,259","00:00:40,509",speaker_0,రామ ఈడ ఏది,rama eeda yedhi
4,"00:00:40,679","00:00:41,590",speaker_0,కల్ల కాదు,kalla kaadhu
5,"00:00:41,780","00:00:42,130",speaker_0,సున్లోనా,sunlonaa
6,"00:00:43,219","00:00:43,969",speaker_0,నీల కడలేని,neela kadaleni
7,"00:00:44,340","00:00:44,690",speaker_0,బతుకే,bathuke
8,"00:00:45,039","00:00:45,390",speaker_0,నీది,needhi
9,"00:00:45,600","00:00:45,950",speaker_0,నాది,naadhi
10,"00:00:46,119","00:00:46,469",speaker_0,సోచోనా,sochonaa
11,"00:00:47,619","00:00:47,969",speaker_0,సాలరీ,saalaree
12,"00:00:48,320","00:00:48,980",speaker_0,late అయ్యింది,late ayyindhi
13,"00:00:49,820","00:00:51,490",speaker_0,చిట్టి లోని phone ఏంది,chitti loni phone yendhi
14,"00:00:51,979","00:00:53,390",speaker_0,నీ school కు time అయ్యింది,nee school ku time ayyindhi
15,"00:00:53,939","00:00:55,539",speaker_0,స్థితి గొట్ట late అయ్యింది,sthithi goat late ayyindhi
16,"00:01:02,789","00:01:11,459",speaker_0,ఏ హే,ye he
17,"00:01:11,959","00:01:12,280",speaker_0,హే,he
18,"00:01:13,890","00:01:14,869",speaker_0,పాసు book తీసుకో,paasu book theesuko
19,"00:01:15,079","00:01:15,429",speaker_0,తల్లి,tally
20,"00:01:15,659","00:01:16,009",speaker_0,యాలైతాంది,yaalaithaandhi
21,"00:01:18,120","00:01:19,250",speaker_0,తొవ్వ పొంటి గరిమిల,thovva ponti garimila
22,"00:01:19,599","00:01:20,809",speaker_0,full heat అయితాంది,full heat ayithaandhi
23,"00:01:22,140","00:01:22,489",speaker_0,bank,bank
24,"00:01:22,760","00:01:23,609",speaker_0,కడ వచ్చడు,kada vachhadu
25,"00:01:23,840","00:01:24,189",speaker_0,జనం,janam
26,"00:01:24,659","00:01:25,769",speaker_0,bank staff యేసుడే,bank staff yesude
27,"00:01:25,939","00:01:26,289",speaker_0,మానం,maanam
28,"00:01:26,500","00:01:26,849",speaker_0,చెప్పలేని,cheppaleni
29,"00:01:27,579","00:01:27,929",speaker_0,తిప్పలు,thippalu
30,"00:01:28,159","00:01:28,509",speaker_0,వప్పుదు,vappudhu
31,"00:01:28,719","00:01:29,589",speaker_0,లెక్కల master,lekkala master
32,"00:01:30,680","00:01:30,870",speaker_0,ఏ హే హే,ye he he
33,"00:02:25,360","00:02:28,709",speaker_1,90's kids అంటే మన school లో ఆడిన ఆటలు చిన్నప్పటి రోజులు మాత్రమే,90's kids ante mana school lo aadina aatalu chinnappati rojulu maathrame
34,"00:02:28,759","00:02:28,960",speaker_1,కాదు,kaadhu
35,"00:02:29,800","00:02:31,210",speaker_1,90's kids అంటే బాగా గుర్తువచ్చేది,90's kids ante baagaa gurthuvachhedhi
36,"00:02:31,900","00:02:32,639",speaker_1,మన strict parents,mana strict parents
37,"00:02:32,919","00:02:33,949",speaker_1,middle class life style,middle class life style
38,"00:02:34,539","00:02:35,889",speaker_1,middle class life లో పెద్ద కష్టాలు,middle class life lo pedhdha kashtaalu
39,"00:02:36,039","00:02:36,810",speaker_1,conflicts ఏం ఉండవు,conflicts yem undavu
40,"00:02:37,539","00:02:39,789",speaker_1,ఇంటి మిద్దె మీద ఉడియాల ఆరేసినం వర్షం పడతదేమో,inti midhdhe meedha udiyaala aaresinam varsham padathadhemo
41,"00:02:40,819","00:02:41,729",speaker_1,bank లో queue పెద్దగుంటదేమో,bank lo queue pedhdhaguntadhemo
42,"00:02:43,000","00:02:44,500",speaker_1,bus లో window seat దొరుకుతదో లేదో,bus lo window seat dhorukuthadho ledho
43,"00:02:45,340","00:02:47,789",speaker_1,పక్కింటి పిల్లగానికి మంచి package వచ్చింది మా సన్నాసికి వస్తదో,pakkinti pillagaaniki manchi package vachhindhi maa sannaasiki vasthadho
44,"00:02:47,840","00:02:48,120",speaker_1,రాదో,raadho
45,"00:02:48,919","00:02:51,329",speaker_1,సుట్టాల వాళ్ళ పిల్లకి US సంబంధం దొరికింది మా పిల్లకి దొరుకుతదో,suttaala vaalla pillaki US sambandham dhorikindhi maa pillaki dhorukuthadho
46,"00:02:51,379","00:02:51,729",speaker_1,లేదో,ledho
47,"00:02:52,740","00:02:53,289",speaker_1,అని comparisons,ani comparisons
48,"00:02:53,699","00:02:55,370",speaker_1,over thinking తోనే ఒక generation అయిపోయింది.,over thinking thone oka generation ayipoyindhi.
49,"00:02:56,460","00:02:58,090",speaker_1,ఈ విషయం 90's kids కి బాగా తెలుసు,ee vishayam 90's kids ki baagaa thelusu
50,"00:02:58,800","00:03:00,449",speaker_1,ఎందుకంటే నేను ఒక 90's kid ని కాబట్టి.,yendhukante nenu oka 90's kid ni kaabatti.
51,"00:03:02,219","00:03:02,979",speaker_1,నా పేరు రఘుతేజ,naa peru raghutheja
52,"00:03:03,659","00:03:04,180",speaker_1,tenth class,tenth class
53,"00:03:04,900","00:03:06,759",speaker_1,మాది మీలాగే ఒక proper middle class family,maadhi meelaage oka proper middle class family
54,"00:03:07,340","00:03:08,719",speaker_1,basically ఇది పెద్ద కథ ఏం కాదు,basically idhi pedhdha katha yem kaadhu
55,"00:03:09,719","00:03:10,849",speaker_1,కేవలం మన మంచి experiences,kevalam mana manchi experiences
56,"00:03:11,259","00:03:12,000",speaker_1,memories మాత్రమే,memories maathrame
57,"00:03:13,259","00:03:13,930",speaker_1,so పెద్ద expectations,so pedhdha expectations
58,"00:03:14,199","00:03:14,650",speaker_1,ఏం పెట్టుకోకుండా,yem pettukokundaa
59,"00:03:15,900","00:03:16,609",speaker_1,welcome to,welcome to
60,"00:03:16,860","00:03:17,210",speaker_1,90's,90's
61,"00:03:17,719","00:03:18,590",speaker_1,middle class biopic.,middle class biopic.
62,"00:04:01,419","00:04:01,519",speaker_1,ఆ,aa
63,"00:04:02,890","00:04:04,329","speaker_2, speaker_1",ఊ చూసినావా,oo choosinaavaa
64,"00:04:04,379","00:04:05,539",speaker_1,hundred out of hundred,hundred out of hundred
65,"00:04:06,740","00:04:08,240",speaker_1,వీళ్ళ అమ్మా నాయనా ఏం చేస్తారో తెలుసా?,veella ammaa naayanaa yem chesthaaro thelusaa?
66,"00:04:09,120","00:04:10,469",speaker_1,వీళ్ళ నాయనా చెప్పులు కుడతడు,veella naayanaa cheppulu kudathadu
67,"00:04:11,060","00:04:12,629",speaker_1,వీళ్ళ అమ్మ cool పనికి పోతది.,veella amma cool paniki pothadhi.
68,"00:04:12,919","00:04:14,789",speaker_1,ఈ అమ్మాయి ninth class తర్వాత school మానేస్తే,ee ammaayi ninth class tharvaatha school maanesthe
69,"00:04:15,419","00:04:16,749",speaker_1,నేను మా school వాళ్ళు పోయి అడుక్కుంటే,nenu maa school vaallu poyi adukkunte
70,"00:04:17,300","00:04:18,660",speaker_1,ఈ పాపని tenth class కు చేర్చారు.,ee paapani tenth class ku cherchaaru.
71,"00:04:20,189","00:04:20,800","speaker_2, speaker_1",ఊ What,oo What
72,"00:04:20,850","00:04:21,980",speaker_1,a brilliant student రాణి,a brilliant student raani
73,"00:04:22,360","00:04:22,680",speaker_2,ఊ,oo
74,"00:04:22,759","00:04:23,009",speaker_1,ఏమైంది?,yemaindhi?
