index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:00,900","00:00:01,750",speaker_0,Smoking causes cancer.,Smoking causes cancer.
2,"00:00:02,220","00:00:02,950",speaker_0,Smoking kills.,Smoking kills.
3,"00:00:03,740","00:00:04,710",speaker_0,పొగ త్రాగడం ఆరోగ్యానికి,poga thraagadam aarogyaaniki
4,"00:00:04,879","00:00:05,229",speaker_0,హానికరం,haanikaram
5,"00:00:05,820","00:00:06,509",speaker_0,మరియు ప్రాణాంతకం.,mariyu praanaanthakam.
6,"00:00:07,519","00:00:07,869",speaker_0,Consumption,Consumption
7,"00:00:08,039","00:00:09,189",speaker_0,of alcohol is injurious,of alcohol is injurious
8,"00:00:09,339","00:00:09,830",speaker_0,to health.,to health.
9,"00:00:10,460","00:00:11,189",speaker_0,మద్యం సేవించడం,madhyam sevinchadam
10,"00:00:11,560","00:00:11,910",speaker_0,ఆరోగ్యానికి,aarogyaaniki
11,"00:00:12,160","00:00:12,509",speaker_0,హానికరం.,haanikaram.
12,"00:00:13,279","00:00:13,830",speaker_0,Be safe.,Be safe.
13,"00:00:14,080","00:00:15,109",speaker_0,Don't drink and drive.,Don't drink and drive.
14,"00:00:15,640","00:00:16,390",speaker_0,మద్యం సేవించి,madhyam sevinchi
15,"00:00:17,239","00:00:18,050",speaker_0,వాహనం నడపరాదు.,vaahanam nadaparaadhu.
16,"00:02:13,800","00:02:15,210",speaker_2,ఎన్నోడు సేందు వాళ్ళు భాగ్యం,yennodu sendhu vaallu bhaagyam
17,"00:02:15,400","00:02:16,389",speaker_2,ఇని ఉనక్కు కిడయాడు.,ini unakku kidayaadu.
18,"00:02:17,490","00:02:18,530",speaker_1,తోజితతు పోదుం.,thojithathu podhum.
19,"00:02:18,580","00:02:19,150",speaker_1,ఇని వేదనయి,ini vedhanayi
20,"00:02:19,319","00:02:21,069",speaker_1,ఎన్నాల్ తాన ముడియాదు. ఏటు కొల్లుకు.,yennaal thaana mudiyaadhu. yetu kolluku.
21,"00:02:21,120","00:02:21,469",speaker_2,శక్తి!,shakti!
22,"00:02:22,659","00:02:23,650",speaker_2,ఉన్ ఇలమై మారుందు,un ilamai maarundhu
23,"00:02:24,240","00:02:25,489",speaker_2,దట్సన్ మహగరంద పాకత్తాల్,dhatsan mahagarandha paakaththaal
24,"00:02:25,819","00:02:26,650",speaker_2,తవరు చేయ్దు విట్టాయ్.,thavaru cheydhu vittaay.
25,"00:02:27,280","00:02:28,349",speaker_2,ఇదర్కు తక్క తందనై,idharku thakka thandhanai
26,"00:02:28,840","00:02:29,689",speaker_2,నీ యెన్ని పిరిందిరిక,nee yenni pirindhirika
27,"00:02:29,979","00:02:30,329",speaker_2,వేండియదు.,vendiyadhu.
28,"00:02:30,719","00:02:32,349",speaker_1,తవరు చేయ్వదు మనిత ఇనుమ్ మన్నిప్పదు,thavaru cheyvadhu manitha inum mannippadhu
29,"00:02:32,539","00:02:33,889",speaker_1,తేవీగ కులం ఎండు ఉలగిరికే,theveega kulam yendu ulagirike
30,"00:02:34,120","00:02:35,989",speaker_1,ఉపదేశం చేద తాంగలా ఇప్పిడి పేసుకనిర్గుర్.,upadhesham chedha thaangalaa ippidi pesukanirgur.
31,"00:02:36,229","00:02:37,250",speaker_2,ఉన్ తవర్కు మన్నిప్తే,un thavarku mannipthe
32,"00:02:37,460","00:02:38,289",speaker_2,కిడయాదు. పో.,kidayaadhu. po.
33,"00:02:38,460","00:02:39,329",speaker_1,అప్పిడి ఉరివు కట్టివిడాది.,appidi urivu kattividaadhi.
34,"00:02:40,199","00:02:42,009",speaker_1,ఎన్నై పిరిందు తనిమై ఇలిరక్ వేండా.,yennai pirindhu thanimai ilirak vendaa.
35,"00:02:42,060","00:02:43,650",speaker_2,ఉన్ ఉలగి ఇని యెనక్కు తేవై ఇందై.,un ulagi ini yenakku thevai indhai.
36,"00:02:44,099","00:02:45,489",speaker_2,పో. ఉలగిలి ఇని నావే తనిచ్చి,po. ulagili ini naave thanichhi
37,"00:02:45,639","00:02:46,329",speaker_2,యెంకి కొల్వూ.,yenki kolvoo.
38,"00:02:46,780","00:02:48,449",speaker_2,శివం దాన్ ఉలగిల్ శ్రండదు.,shivam dhaan ulagil shrandadhu.
39,"00:02:49,020","00:02:49,370",speaker_1,ఇల్లై.,illai.
40,"00:02:49,840","00:02:50,189",speaker_1,శక్తిదాన్,shaktidhaan
41,"00:02:50,400","00:02:51,109",speaker_1,ఉలగిల్ ఉయర్ండవై.,ulagil uyarndavai.
42,"00:02:51,520","00:02:52,370",speaker_2,శివం ఇల్లయే,shivam illaye
43,"00:02:52,580","00:02:53,280",speaker_2,శక్తి ఇల్లై.,shakti illai.
44,"00:02:53,580","00:02:55,099",speaker_1,శక్తి ఇల్లయే శివం ఇల్లై.,shakti illaye shivam illai.
45,"00:03:49,400","00:03:49,889",speaker_3,ఏ శక్తి!,ye shakti!
46,"00:03:50,759","00:03:52,909",speaker_3,నాన్నగారు నీ ఫోన్ కి అల్లుడి ఫోటో పంపించారంట,naannagaaru nee phone ki alludi photo pampinchaaranta
47,"00:03:53,280","00:03:53,870",speaker_3,చూసి చెప్పు.,choosi cheppu.
48,"00:03:55,259","00:03:56,900",speaker_3,కాఫీ చల్లారక ముందు తాగేయ్.,kaaphee challaaraka mundhu thaagey.
49,"00:04:20,680","00:04:22,070",speaker_4,ఈ ఫోటో చూసి ఎలా కనిపెట్టావే?,ee photo choosi yelaa kanipettaave?
50,"00:04:22,540","00:04:22,640",speaker_4,హ్మ్,hma్
51,"00:04:23,139","00:04:23,670",speaker_4,ఈ అబ్బాయిలు,ee abbaayilu
52,"00:04:23,829","00:04:26,970",speaker_4,ఉన్నారే ఏ ఫోటోలో అయితే వాళ్ళ అందంగా ఉన్నారు అనుకుంటున్నారో,unnaare ye photolo ayithe vaalla andhangaa unnaaru anukuntunnaaro
53,"00:04:27,399","00:04:28,370",speaker_4,ఆ ఒక్క ఫోటోనే,aa okka photone
54,"00:04:28,680","00:04:29,030",speaker_4,"Facebook,","Facebook,"
55,"00:04:29,199","00:04:30,930",speaker_4,Insta అని అన్నిట్లోనూ DP గా పెడతారు.,Insta ani annitlonoo DP gaa pedathaaru.
56,"00:04:31,519","00:04:32,350",speaker_4,అలాగే కనిపెట్టాను.,alaage kanipettaanu.
57,"00:04:38,240","00:04:38,910",speaker_5,ఆరో స్థానంలో,aaro sthaanamlo
58,"00:04:39,120","00:04:39,649",speaker_5,చంద్రుడు ఉన్నాడు.,chandhrudu unnaadu.
59,"00:04:39,699","00:04:40,790",speaker_4,Royal Enfield Thunderbird,Royal Enfield Thunderbird
60,"00:04:40,980","00:04:41,590",speaker_4,ఉందే బాడికి.,undhe baadiki.
61,"00:04:45,310","00:04:45,909",speaker_5,నాగదోషం ఏమి,naagadhosham yemi
62,"00:04:45,959","00:04:46,310",speaker_5,లేదు.,ledhu.
63,"00:04:46,860","00:04:48,450",speaker_4,Belino blue colour car ఉందే.,Belino blue colour car undhe.
64,"00:04:51,699","00:04:52,430",speaker_5,ఎనిమిది పొంతనాల్లో,yenimidhi ponthanaallo
65,"00:04:52,860","00:04:54,330",speaker_5,మనసు పొంతన ఎంతో ముఖ్యం.,manasu ponthana yentho mukhyam.
66,"00:04:54,540","00:04:54,890",speaker_4,CTS,CTS
67,"00:04:55,300","00:04:56,570",speaker_4,సిరిసిరి IT Park Chennai.,sirisiri IT Park Chennai.
68,"00:04:58,459","00:04:59,970",speaker_5,అది చాలా అద్భుతంగా ఉంది కదా!,adhi chaalaa adhbhuthangaa undhi kadhaa!
69,"00:05:00,240","00:05:02,490",speaker_4,అయితే problem లేదు five digit salary నే.,ayithe problem ledhu five digit salary ne.
70,"00:05:06,029","00:05:06,509",speaker_6,స్వామి! ఒక,swam! oka
71,"00:05:06,560","00:05:06,910",speaker_6,నిమిషం.,nimisham.
72,"00:05:08,180","00:05:08,850",speaker_6,Balance తీసుకుంటాను.,Balance theesukuntaanu.
73,"00:05:09,720","00:05:10,070",speaker_1,ఊ..,oo..
74,"00:05:11,769","00:05:12,490",speaker_5,అబ్బాయికి వాళ్ళ,abbaayiki vaalla
75,"00:05:12,540","00:05:12,890",speaker_5,సొంతూరులో,sonthoorulo
76,"00:05:13,060","00:05:14,210",speaker_5,ఒక పెద్ద బంగ్లా ఉంది.,oka pedhdha banglaa undhi.
77,"00:05:14,379","00:05:15,510",speaker_5,అక్క చెల్లెళ్లు ఎవరూ లేరు.,akka chellellu yevaroo leru.
78,"00:05:15,879","00:05:16,230",speaker_5,అందువల్ల,andhuvalla
79,"00:05:16,699","00:05:17,050",speaker_5,"ఆడపడుచు,","aadapaduchu,"
80,"00:05:17,339","00:05:19,890",speaker_5,తోటి కోడళ్ళు ఇలాంటి గొడవలేమీ ఉండవ్. ఒకే ఒక తమ్ముడున్నాడు.,thoti kodallu ilaanti godavalemee undav. oke oka thammudunnaadu.
81,"00:05:20,399","00:05:21,230",speaker_5,వాడు కాలేజీ చదువుతున్నాడు.,vaadu college chadhuvuthunnaadu.
82,"00:05:23,639","00:05:24,600",speaker_4,మీ నాన్నని ఎదురించి,mee naannani yedhurinchi
83,"00:05:25,000","00:05:26,970",speaker_4,నువ్వేమీ చేయలేవు కదే. తనని చూస్తుంటే,nuvvemee cheyalevu kadhe. thanani choosthunte
84,"00:05:27,360","00:05:29,620",speaker_4,rugged boy లా లేడు chocolate boy లాగా లేడు.,rugged boy laa ledu chocolate boy laagaa ledu.
85,"00:05:29,740","00:05:30,090",speaker_4,ఖచ్చితంగా,khachhithangaa
86,"00:05:30,379","00:05:30,730",speaker_4,రెండిటికి,renditiki
87,"00:05:30,959","00:05:31,730",speaker_4,మధ్యలో ఉంటాడు.,madhyalo untaadu.
88,"00:05:31,939","00:05:32,710",speaker_4,అతన్ని బానిసగా,athanni baanisagaa
89,"00:05:32,920","00:05:33,270",speaker_4,చేసేసుకో.,chesesuko.
90,"00:05:39,810","00:05:40,349",speaker_5,ఆలోచించకుండా పెళ్లి,aalochinchakundaa pelli
91,"00:05:40,399","00:05:40,750",speaker_5,చేసేయచ్చు.,cheseyachhu.
92,"00:05:41,060","00:05:41,410",speaker_4,ఆలోచించకుండానే,aalochinchakundaane
93,"00:05:42,180","00:05:42,810",speaker_4,పెళ్లి చేసుకో.,pelli chesuko.
94,"00:06:28,039","00:06:28,479",speaker_6,City లో,City lo
95,"00:06:28,529","00:06:29,180",speaker_6,ఇల్లు ఎప్పుడు కొనబోతున్నారు?,illu yeppudu konabothunnaaru?
96,"00:06:29,750","00:06:30,100",speaker_7,త్వరలోనే,thvaralone
97,"00:06:30,750","00:06:32,000",speaker_7,ఏర్పాట్లు జరుగుతున్నాయి లెండి.,yerpaatlu jaruguthunnaayi lendi.
98,"00:06:32,509","00:06:32,860",speaker_6,ఆహ్,aah
99,"00:06:36,139","00:06:36,699",speaker_7,ఇతనే పెళ్లి,ithane pelli
100,"00:06:36,750","00:06:37,100",speaker_7,కొడుకునా?,kodukunaa?
101,"00:06:37,569","00:06:37,920",speaker_7,ఓకే!,okay!
102,"00:07:18,829","00:07:19,180",speaker_6,ఆహ్,aah
103,"00:07:20,170","00:07:22,240",speaker_6,ఆవిడ ఎందుకు నిల్చోనే ఉన్నారు? కూర్చోమని చెప్పొచ్చుగా!,aavida yendhuku nilchone unnaaru? koorchomani cheppochhugaa!
104,"00:07:22,550","00:07:22,870",speaker_7,చూసావా?,choosaavaa?
105,"00:07:23,850","00:07:23,950",speaker_6,ఆ,aa
106,"00:07:23,899","00:07:24,900",speaker_7,అబ్బాయి ఏం చెప్పాడో,abbaayi yem cheppaado
107,"00:07:25,449","00:07:25,550",speaker_6,ఊ..,oo..
108,"00:07:26,519","00:07:27,350","speaker_6, speaker_7",కూర్చో! స్వీట్,koorcho! sweet
109,"00:07:27,449","00:07:27,800",speaker_7,కదా!,kadhaa!
110,"00:07:28,290","00:07:28,980",speaker_7,అమ్మాయిని కూర్చోమంటున్నాడు.,ammaayini koorchomantunnaadu.
111,"00:07:29,370","00:07:29,720",speaker_8,కూర్చో!,koorcho!
112,"00:07:30,689","00:07:31,040",speaker_7,కూర్చో!,koorcho!
113,"00:07:42,470","00:07:42,930",speaker_6,రేయ్ తమ్ముడు,rey thammudu
114,"00:07:43,889","00:07:44,240",speaker_6,ఇదిగో!,idhigo!
115,"00:07:49,069","00:07:49,250",speaker_6,రేయ్,rey
116,"00:07:51,599","00:07:52,000",speaker_7,అన్నయ్యా! ఈ,annayyaa! ee
117,"00:07:52,050","00:07:52,459",speaker_7,చాలా over అయిపో-,chaalaa over ayipo-
118,"00:07:52,509","00:07:53,840",speaker_6,రేయ్ తమ్ముడు ఇది నీకు అర్థం కాకురా!,rey thammudu idhi neeku artham kaakuraa!
119,"00:07:58,689","00:07:58,790",speaker_7,చూసావా?,choosaavaa?
120,"00:07:58,769","00:07:59,420",speaker_8,పైన కూర్చోరా!,paina koorchoraa!
121,"00:08:02,209","00:08:02,720",speaker_6,అంటే అమ్మా!,ante ammaa!
122,"00:08:03,269","00:08:04,340",speaker_6,ఆవిడ కింద కూర్చున్నారంటే,aavida kindha koorchunnaarante
123,"00:08:04,930","00:08:06,610",speaker_6,మనం కింద కూర్చోవడమే కదా equality,manam kindha koorchovadame kadhaa equality
124,"00:08:08,089","00:08:08,439",speaker_7,హా..,haa..
125,"00:08:15,290","00:08:15,759",speaker_7,సూపర్ స్టార్ పవన్ కళ్యాణ్,super star pavan kalyaan
126,"00:08:15,810","00:08:16,980",speaker_6,ఏయ్ ఆ chair తీసుకొచ్చి వెయ్యి.,yey aa chair theesukochhi veyyi.
127,"00:08:20,389","00:08:21,399",speaker_6,Chair వచ్చింది అమ్మ పైన కూర్చో.,Chair vachhindhi amma paina koorcho.
128,"00:08:21,449","00:08:21,610",speaker_7,ఆ,aa
129,"00:08:22,050","00:08:22,400",speaker_7,కూర్చోండి.,koorchondi.
