index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:00,000","00:00:00,350",speaker_0,First,First
2,"00:00:36,679","00:00:38,530",speaker_0,lockdown కి second lockdown కి మధ్యలో,lockdown ki second lockdown ki madhyalo
3,"00:00:38,840","00:00:40,350",speaker_0,జనాలు కరోనాను light గా తీసుకుంటూ,janaalu karonaanu light gaa theesukuntoo
4,"00:00:40,740","00:00:42,350",speaker_0,masks లు పక్కన పడేస్తున్న కాలంలో.,masks lu pakkana padesthunna kaalamlo.
5,"00:00:55,659","00:00:56,130",speaker_0,రేయ్! పో,rey! po
6,"00:00:56,179","00:00:57,250",speaker_0,సారాడికి phone చెయ్యరా.,saaraadiki phone cheyyaraa.
7,"00:01:00,689","00:01:01,500","speaker_0, speaker_1",చత్తాడా? లేదురా.,chaththaadaa? ledhuraa.
8,"00:01:01,560","00:01:01,910",speaker_0,ఛే!,che!
9,"00:01:10,459","00:01:11,629",speaker_0,రేయ్ ఇక్కడ ఇక్కడ రా ఆపు.,rey ikkada ikkada raa aapu.
10,"00:01:13,500","00:01:14,429",speaker_0,ఏంటి? బూరెగారబ్బాయి,yenti? booregaarabbaayi
11,"00:01:14,599","00:01:14,990",speaker_0,చూసాడండి.,choosaadandi.
12,"00:01:15,040","00:01:15,509",speaker_1,ఆ వచ్చాడు.,aa vachhaadu.
13,"00:01:15,939","00:01:16,669",speaker_0,ఓటి అమ్మ!,oti amma!
14,"00:01:19,680","00:01:20,189",speaker_1,రేయ్ కార్తీక్!,rey kaartheek!
15,"00:01:20,379","00:01:20,829",speaker_0,రేయ్ కార్తీక్!,rey kaartheek!
16,"00:01:20,879","00:01:21,349",speaker_1,ఎక్కన్నా ఉండాడా?,yekkannaa undaadaa?
17,"00:01:21,799","00:01:22,149",speaker_0,లేడురా.,leduraa.
18,"00:01:25,659","00:01:26,669",speaker_0,బాబాయ్ కార్తీక్ ని చూసావా?,baabaay kaartheek ni choosaavaa?
19,"00:01:27,560","00:01:28,209",speaker_1,సత్య కార్తీక్,sathya kaartheek
20,"00:01:28,549","00:01:29,049",speaker_1,ఎక్కడైనా వచ్చిండంట.,yekkadainaa vachhindanta.
21,"00:01:29,099","00:01:29,449",speaker_0,లేదండీ.,ledhandee.
22,"00:01:38,650","00:01:40,299",speaker_0,సుబ్బు! ఆప్రా.,subbu! aapraa.
23,"00:01:41,359","00:01:41,709",speaker_0,కార్తీక్!,kaartheek!
24,"00:01:43,140","00:01:43,809",speaker_0,రేయ్ కార్తీక్!,rey kaartheek!
