index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:15,000","00:00:15,349",speaker_0,Hello,Hello
2,"00:00:53,619","00:00:53,979",speaker_0,జ్ఞానం,gnaanam
3,"00:00:54,500","00:00:55,050",speaker_0,ఎలా ఉన్నారు?,yelaa unnaaru?
4,"00:00:57,460","00:00:57,640",speaker_0,ఆ,aa
5,"00:00:58,219","00:00:59,570",speaker_0,నాకు కొంచెం మీ help కావాలి.,naaku konchem mee help kaavaali.
6,"00:01:02,020","00:01:03,530",speaker_0,Bank లో పెద్ద issue ఉంది.,Bank lo pedhdha issue undhi.
7,"00:01:04,579","00:01:05,689",speaker_0,Property seize చేస్తామని,Property seize chesthaamani
8,"00:01:05,840","00:01:06,189",speaker_0,బెదిరిస్తున్నారు.,bedhiristhunnaaru.
9,"00:01:08,599","00:01:08,949",speaker_0,కాస్త,kaastha
10,"00:01:09,819","00:01:10,709",speaker_0,డబ్బులు arrange చేయగలరా?,dabbulu arrange cheyagalaraa?
11,"00:01:14,959","00:01:15,280",speaker_0,ఆ,aa
12,"00:01:16,340","00:01:16,869",speaker_0,one million.,one million.
13,"00:01:20,190","00:01:20,670",speaker_0,ఇప్పుడొక two,ippudoka two
14,"00:01:20,739","00:01:21,809",speaker_0,hundred thousand పంపిస్తే,hundred thousand pampisthe
15,"00:01:22,269","00:01:22,909",speaker_0,manage చేసేస్తా.,manage chesesthaa.
16,"00:01:26,560","00:01:27,569",speaker_0,జ్ఞానం మీరే ఎలాగైనా,gnaanam meere yelaagainaa
17,"00:01:27,739","00:01:28,089",speaker_0,చూడాలి,choodaali
18,"00:01:28,280","00:01:28,629",speaker_0,please.,please.
19,"00:01:29,480","00:01:30,289",speaker_0,ఇది మీలా డబ్బున్నోళ్లకి,idhi meelaa dabbunnollaki
20,"00:01:30,920","00:01:31,829",speaker_0,చాలా small thing.,chaalaa small thing.
21,"00:01:33,200","00:01:33,549",speaker_0,Please.,Please.
22,"00:02:23,129","00:02:23,609",speaker_1,నువ్ ఇప్పుడు,nuv ippudu
23,"00:02:23,659","00:02:24,608",speaker_1,అక్కడ ఏం చేస్తావ్ రా?,akkada yem chesthaav raa?
24,"00:02:24,960","00:02:26,189",speaker_2,ఏం చేయాలో ఇంక ఇప్పుడే ఆలోచించాలి.,yem cheyaalo inka ippude aalochinchaali.
25,"00:02:28,419","00:02:28,769",speaker_2,ఇప్పటివరకు,ippativaraku
26,"00:02:29,000","00:02:29,479",speaker_2,నేను చేసిందంతా,nenu chesindhanthaa
27,"00:02:29,699","00:02:30,049",speaker_2,మర్చిపోయి,marchipoyi
28,"00:02:30,639","00:02:31,889",speaker_2,పాత identities అన్నీ చెరిపేసి,paatha identities annee cheripesi
29,"00:02:32,860","00:02:34,530",speaker_2,అందర్లా మామూలుగా బతకాలని ఉంది.,andharlaa maamoolugaa bathakaalani undhi.
30,"00:02:36,860","00:02:38,090",speaker_1,నువ్ ఇప్పుడు ఇలాగే అంటావ్ రా.,nuv ippudu ilaage antaav raa.
31,"00:02:38,639","00:02:40,689",speaker_1,ఎవరైనా పరిచయం అవుతారు. అప్పుడు నువ్వు emotional అయిపోతావ్.,yevarainaa parichayam avuthaaru. appudu nuvvu emotional ayipothaav.
32,"00:02:41,580","00:02:43,090",speaker_1,వాళ్ళకి help చేయబోయి నువ్వు దొరికేస్తావ్.,vaallaki help cheyaboyi nuvvu dhorikesthaav.
33,"00:02:43,360","00:02:43,710",speaker_2,ఏరా,yeraa
34,"00:02:44,039","00:02:45,329",speaker_2,emotion మన control లో ఉంటుందా?,emotion mana control lo untundhaa?
35,"00:02:45,879","00:02:46,750",speaker_2,నేను చూసుకుంటా వదిలి.,nenu choosukuntaa vadhili.
36,"00:02:47,360","00:02:47,710",speaker_1,రేయ్!,rey!
37,"00:02:48,280","00:02:50,189",speaker_1,నువ్ ఇప్పుడే jail నుంచి బయటికి వెళ్ళావ్.,nuv ippude jail nunchi bayatiki vellaav.
