index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:05,360","00:00:05,830",speaker_0,ఈ చలనచిత్రం,ee chalanachithram
2,"00:00:06,219","00:00:08,130",speaker_0,ఆదికవి వాల్మీకి రామాయణం ఆధారంగా నిర్మించబడింది.,aadhikavi vaalmeeki raamaayanam aadhaarangaa nirminchabadindhi.
3,"00:00:08,699","00:00:09,189",speaker_0,ఈ ప్రక్రియలో,ee prakriyalo
4,"00:00:09,439","00:00:10,389",speaker_0,"మూల కథలోని సారాంశం,","moola kathaloni saaraamsham,"
5,"00:00:10,599","00:00:10,949",speaker_0,భావాన్ని,bhaavaanni
6,"00:00:11,179","00:00:11,529",speaker_0,యధాతథంగా,yadhaathathangaa
7,"00:00:11,960","00:00:13,129",speaker_0,ఉంచే ప్రయత్నం చేయడం జరిగింది.,unche prayathnam cheyadam jarigindhi.
8,"00:00:13,279","00:00:14,469",speaker_0,"అదే సమయంలో కొన్ని అంశాలు,","adhe samayamlo konni amshaalu,"
9,"00:00:14,660","00:00:15,009",speaker_0,"సందర్భాలు,","sandharbhaalu,"
10,"00:00:15,359","00:00:16,230",speaker_0,పాత్రలు చిత్రానువాదానికి,paathralu chithraanuvaadhaaniki
11,"00:00:16,579","00:00:16,929",speaker_0,అనుకూలంగా,anukoolangaa
12,"00:00:17,079","00:00:19,170",speaker_0,మార్చి ఉండొచ్చు. అయితే వీటిని చిత్ర నిర్మాతలు,maarchi undochhu. ayithe veetini chithra nirmaathalu
13,"00:00:19,420","00:00:19,770",speaker_0,"మతపరమైన,","mathaparamaina,"
14,"00:00:20,140","00:00:20,490",speaker_0,పాండిత్యపరమైన,paandithyaparamaina
15,"00:00:21,039","00:00:22,670",speaker_0,వాల్మీకి రామాయణం యొక్క అధికారిక,vaalmeeki raamaayanam yokka adhikaarika
16,"00:00:22,839","00:00:23,730",speaker_0,ప్రాతినిధ్యం అని ప్రకటించడం,praathinidhyam ani prakatinchadam
17,"00:00:23,879","00:00:25,089",speaker_0,"లేదు. ఈ కార్యం మహోన్నతమైనది,","ledhu. ee kaaryam mahonnathamainadhi,"
18,"00:00:25,640","00:00:25,990",speaker_0,పూజనీయమైనది.,poojaneeyamainadhi.
19,"00:00:26,660","00:00:27,730",speaker_0,అందుకు గాను మహనీయుడు,andhuku gaanu mahaneeyudu
20,"00:00:28,039","00:00:29,730",speaker_0,వాల్మీకి రామాయణాన్ని ప్రేరణగా తీసుకున్నాం.,vaalmeeki raamaayanaanni preranagaa theesukunnaam.
21,"00:00:29,910","00:00:30,670",speaker_0,అయితే ప్రేక్షకుల్ని,ayithe prekshakulni
22,"00:00:31,000","00:00:31,350",speaker_0,ప్రామాణికమైన,praamaanikamaina
23,"00:00:31,780","00:00:32,570",speaker_0,వాల్మీకి రామాయణాన్ని,vaalmeeki raamaayanaanni
24,"00:00:32,939","00:00:33,289",speaker_0,తెలుసుకోవడానికి,thelusukovadaaniki
25,"00:00:33,820","00:00:34,170",speaker_0,"పండితుల్ని,","pandithulni,"
26,"00:00:34,520","00:00:35,190",speaker_0,మంచి సాహిత్యకారుల్ని,manchi saahithyakaarulni
27,"00:00:35,619","00:00:35,969",speaker_0,సంప్రదించమని,sampradhinchamani
28,"00:00:36,219","00:00:36,570",speaker_0,ప్రోత్సహిస్తున్నాం.,prothsahisthunnaam.
29,"00:00:37,118","00:00:37,609",speaker_0,ఈ చిత్రంలో,ee chithramlo
30,"00:00:38,060","00:00:38,410",speaker_0,నాటకీకరణతో,naatakeekaranatho
31,"00:00:38,820","00:00:39,170",speaker_0,పాటు,paatu
32,"00:00:39,460","00:00:39,810",speaker_0,కల్పితమైన,kalpithamaina
33,"00:00:39,929","00:00:40,670",speaker_0,అంశాలు ఉండొచ్చు.,amshaalu undochhu.
34,"00:00:41,179","00:00:42,310",speaker_0,"వీటినే ప్రేక్షకులు నిజాలని,","veetine prekshakulu nijaalani,"
35,"00:00:42,780","00:00:43,390",speaker_0,అవే చారిత్రక,away chaarithraka
36,"00:00:43,539","00:00:43,890",speaker_0,ప్రాతినిధ్యం,praathinidhyam
37,"00:00:44,009","00:00:45,750",speaker_0,అని తప్పుగా అర్థం చేసుకోవద్దని మనవి చేస్తున్నాం.,ani thappugaa artham chesukovadhdhani manavi chesthunnaam.
38,"00:00:46,039","00:00:48,230",speaker_0,చిత్ర నిర్మాతలు వాల్మీకి రామాయణం యొక్క,chithra nirmaathalu vaalmeeki raamaayanam yokka
39,"00:00:48,640","00:00:48,990",speaker_0,సాంస్కృతిక,saamskruthika
40,"00:00:49,140","00:00:49,490",speaker_0,"విలువల్ని,","viluvalni,"
41,"00:00:50,000","00:00:50,350",speaker_0,మతపరమైన,mathaparamaina
42,"00:00:50,560","00:00:50,910",speaker_0,ప్రాముఖ్యతని,praamukhyathani
43,"00:00:51,179","00:00:51,530",speaker_0,గుర్తించి,gurthinchi
44,"00:00:52,119","00:00:52,590",speaker_0,ఈ ఇతిహాసాన్ని,ee ithihaasaanni
45,"00:00:52,880","00:00:53,690",speaker_0,సున్నితంగా స్పృశించారు.,sunnithangaa sprushinchaaru.
46,"00:00:54,320","00:00:54,670",speaker_0,ఏదేమైనా,yedhemainaa
47,"00:00:55,020","00:00:56,570",speaker_0,ఇతిహాసం యొక్క వ్యక్తిగత వ్యాఖ్యానాలు,ithihaasam yokka vyaktigatha vyaakhyaanaalu
48,"00:00:56,780","00:00:57,590",speaker_0,వేరువేరుగా ఉండొచ్చు.,veruverugaa undochhu.
49,"00:00:58,179","00:00:58,530",speaker_0,అయితే,ayithe
50,"00:00:58,859","00:00:59,690",speaker_0,"ఏదో ఒక మతపరమైన,","yedho oka mathaparamaina,"
51,"00:01:00,179","00:01:00,530",speaker_0,తత్వపరమైన,thathvaparamaina
52,"00:01:01,240","00:01:02,410",speaker_0,దృక్పథాన్ని మాత్రమే ప్రోత్సహించడం,dhrukpathaanni maathrame prothsahinchadam
53,"00:01:03,020","00:01:04,129",speaker_0,నిర్మాతల ఉద్దేశ్యం కాదు.,nirmaathala udhdheshyam kaadhu.
54,"00:01:04,340","00:01:04,689",speaker_0,అలాగే,alaage
55,"00:01:04,879","00:01:06,869",speaker_0,"ఏ వ్యక్తి మరియు వ్యక్తుల యొక్క నమ్మకాల్ని,","ye vyakti mariyu vyaktula yokka nammakaalni,"
56,"00:01:07,239","00:01:07,589",speaker_0,"మనోభావాల్ని,","manobhaavaalni,"
57,"00:01:08,200","00:01:08,989",speaker_0,"సంస్కృతి సంప్రదాయాల్ని,","samskruthi sampradhaayaalni,"
58,"00:01:09,459","00:01:10,129",speaker_0,ఆచార వ్యవహారాల్ని,aachaara vyavahaaraalni
59,"00:01:10,439","00:01:10,789",speaker_0,కించపరచడం,kinchaparachadam
60,"00:01:10,980","00:01:12,549",speaker_0,కూడా నిర్మాతల ఉద్దేశ్యం కాదు.,koodaa nirmaathala udhdheshyam kaadhu.
61,"00:02:59,550","00:03:00,520",speaker_1,భరతవర్ష చరిత్ర,bharathavarsha charithra
62,"00:03:01,430","00:03:02,389",speaker_1,మహోజ్వల కీర్తికి,mahojvala keerthiki
63,"00:03:02,439","00:03:02,789",speaker_1,నిలయం.,nilayam.
64,"00:03:03,340","00:03:03,989",speaker_1,ఈ చరిత్రలోని,ee charithraloni
65,"00:03:04,479","00:03:04,829",speaker_1,మహోన్నత,mahonnatha
66,"00:03:05,120","00:03:05,469",speaker_1,అధ్యాయం,adhyaayam
67,"00:03:06,569","00:03:08,419",speaker_1,మర్యాదా పురుషోత్తముడైన,maryaadhaa purushoththamudaina
68,"00:03:08,539","00:03:08,889",speaker_1,శ్రీరామచంద్ర,shreeraamachandhra
69,"00:03:09,500","00:03:09,849",speaker_1,ప్రభువుకి,prabhuvuki
70,"00:03:10,240","00:03:10,590",speaker_1,అంకితం.,ankitham.
71,"00:03:11,460","00:03:12,139",speaker_1,ఈ గాథ,ee gaatha
72,"00:03:12,580","00:03:13,469",speaker_1,మరియు శ్రీరామచంద్రుని,mariyu shreeraamachandhruni
73,"00:03:14,199","00:03:14,549",speaker_1,యశోగానం,yashogaanam
74,"00:03:15,620","00:03:17,229",speaker_1,ఎన్ని కోట్ల పుటలు పూరించినా,yenni kotla putalu poorinchinaa
75,"00:03:17,800","00:03:18,590",speaker_1,పూర్తి చేయలేనిది.,poorthi cheyalenidhi.
76,"00:03:19,719","00:03:20,069",speaker_1,శ్రీరాముని,shreeraamuni
77,"00:03:20,400","00:03:20,750",speaker_1,గొప్పతనం,goppathanam
