index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:02:38,740","00:02:39,080",speaker_1,Tell us,Tell us
2,"00:02:39,819","00:02:40,769",speaker_1,raw chief ఎవరు చంపారు?,raw chief yevaru champaaru?
3,"00:02:41,539","00:02:41,889",speaker_0,రామకృష్ణ,raamakrushna
4,"00:02:42,620","00:02:43,500",speaker_0,అలియాస్ Ricky sir.,alias Ricky sir.
5,"00:03:00,240","00:03:01,530",speaker_1,నిన్న జరిగిన island blast లో,ninna jarigina island blast lo
6,"00:03:01,800","00:03:02,530",speaker_1,చనిపోయాడు sir.,chanipoyaadu sir.
7,"00:03:09,500","00:03:10,729",speaker_1,Last twenty four hours లో,Last twenty four hours lo
8,"00:03:10,939","00:03:11,409",speaker_1,ఏం జరిగింది?,yem jarigindhi?
9,"00:03:11,800","00:03:12,310",speaker_0,అది తెలుసుకోవాలంటే,adhi thelusukovaalante
10,"00:03:12,500","00:03:13,580",speaker_0,మనకున్న ఒకే ఒక source.,manakunna oke oka source.
11,"00:03:13,659","00:03:15,849",speaker_1,Ricky's voice recorder sir. నిన్న island లో దొరికింది.,Ricky's voice recorder sir. ninna island lo dhorikindhi.
12,"00:03:19,599","00:03:20,329",speaker_2,ఇది మీరు వింటున్నారంటే,idhi meeru vintunnaarante
13,"00:03:20,580","00:03:21,810",speaker_2,ఈపాటికి నేను చనిపోయి ఉంటాను.,eepaatiki nenu chanipoyi untaanu.
14,"00:03:22,560","00:03:23,139",speaker_2,Spy world,Spy world
15,"00:03:23,819","00:03:24,870",speaker_2,a faceless world.,a faceless world.
16,"00:03:25,620","00:03:27,150",speaker_2,ఈ world లో క్షణాల్లో మంచి చెడవుతుంది.,ee world lo kshanaallo manchi chedavuthundhi.
17,"00:03:27,979","00:03:28,549",speaker_2,చెడు మంచవుతుంది.,chedu manchavuthundhi.
18,"00:03:29,419","00:03:30,669",speaker_2,ఇందులో నిజాలు బయటి ప్రపంచానికి,indhulo nijaalu bayati prapanchaaniki
19,"00:03:30,860","00:03:31,210",speaker_2,ఎప్పటికీ,yeppatikee
20,"00:03:31,580","00:03:31,930",speaker_2,రహస్యంగానే,rahasyangaane
21,"00:03:32,259","00:03:32,609",speaker_2,మిగిలిపోతాయి.,migilipothaayi.
22,"00:03:33,759","00:03:34,969",speaker_2,కానీ చనిపోయే ముందు నాకెందుకో,kaanee chanipoye mundhu naakendhuko
23,"00:03:35,199","00:03:36,049",speaker_2,ముగ్గురు గురించి చెప్పాలనిపిస్తుంది.,mugguru gurinchi cheppaalanipisthundhi.
24,"00:03:37,659","00:03:38,009",speaker_2,"God,","God,"
25,"00:03:38,900","00:03:39,250",speaker_2,"devil,","devil,"
26,"00:03:40,139","00:03:40,489",speaker_2,నేను.,nenu.
27,"00:03:45,360","00:03:45,969",speaker_0,Who is the target?,Who is the target?
28,"00:03:46,319","00:03:47,009",speaker_1,"Hafiz Katri,","Hafiz Katri,"
29,"00:03:47,139","00:03:48,049",speaker_1,who is a prime accused,who is a prime accused
30,"00:03:48,300","00:03:49,549",speaker_1,in three bomb blasts in India.,in three bomb blasts in India.
31,"00:03:49,599","00:03:51,889",speaker_0,ఈ operation ka success percentage kitna hai Mehta?,ee operation ka success percentage kitna hai Mehta?
32,"00:03:52,180","00:03:53,289",speaker_1,Only five percent ma'am.,Only five percent ma'am.
33,"00:03:53,460","00:03:56,009",speaker_0,ఫిర్ ek foreign soil pe mission ko కిస్ confidence के साथ start,fear ek foreign soil pe mission ko kiss confidence के साथ start
34,"00:03:56,060","00:03:56,389",speaker_0,kiya hai?,kiya hai?
35,"00:03:56,439","00:03:57,069",speaker_1,वो confidence,वो confidence
36,"00:03:57,319","00:03:57,699",speaker_1,ka నాం,ka naam
37,"00:03:58,659","00:03:59,430",speaker_1,devil hai ma'am.,devil hai ma'am.
38,"00:04:13,710","00:04:15,229",speaker_2,The idea is to kill the target.,The idea is to kill the target.
39,"00:04:16,040","00:04:16,830",speaker_1,"Chief, the","Chief, the"
40,"00:04:17,199","00:04:18,410",speaker_1,convoy is approaching the base.,convoy is approaching the base.
41,"00:04:30,279","00:04:31,070",speaker_2,Match his profile.,Match his profile.
42,"00:04:31,319","00:04:31,930",speaker_1,On that chief.,On that chief.
43,"00:04:32,139","00:04:33,090",speaker_1,Running profile metrics.,Running profile metrics.
44,"00:04:38,259","00:04:39,430",speaker_0,Fifty percent matching sir.,Fifty percent matching sir.
45,"00:04:40,120","00:04:40,870",speaker_0,What do we do chief?,What do we do chief?
46,"00:04:41,379","00:04:42,670",speaker_2,లోపల మన agent నుంచి confirmation,lopala mana agent nunchi confirmation
47,"00:04:42,800","00:04:43,150",speaker_2,వస్తుంది.,vasthundhi.
48,"00:04:46,259","00:04:47,600",speaker_1,Identity confirmed by our agent.,Identity confirmed by our agent.
49,"00:04:48,899","00:04:49,250",speaker_2,Yes.,Yes.
50,"00:04:49,740","00:04:50,610",speaker_2,He is Hafiz Katri.,He is Hafiz Katri.
51,"00:04:52,300","00:04:52,970",speaker_2,Lock the location.,Lock the location.
52,"00:04:54,879","00:04:57,090",speaker_1,Yes chief. Location locked. Am I clear to engage?,Yes chief. Location locked. Am I clear to engage?
53,"00:04:57,459","00:04:58,629",speaker_2,Prepare to launch the missile.,Prepare to launch the missile.
54,"00:04:58,800","00:04:59,730",speaker_1,Satellite one lock.,Satellite one lock.
55,"00:05:01,720","00:05:02,070",speaker_1,Chief.,Chief.
56,"00:05:02,259","00:05:03,210",speaker_2,Target is on the move.,Target is on the move.
57,"00:05:04,220","00:05:05,030",speaker_0,Target తో పాటు,Target tho paatu
58,"00:05:05,199","00:05:06,189",speaker_0,మన agent కూడా ఉన్నాడు.,mana agent koodaa unnaadu.
59,"00:05:07,040","00:05:08,590",speaker_0,Just one week back తనకి పాప పుట్టింది.,Just one week back thanaki papa puttindhi.
60,"00:05:08,939","00:05:09,650",speaker_1,Missile engaged.,Missile engaged.
61,"00:05:13,949","00:05:15,819",speaker_1,One... Two...,One... Two...
62,"00:05:16,939","00:05:17,510",speaker_0,Stop it.,Stop it.
63,"00:05:18,620","00:05:19,430",speaker_1,Abort the mission.,Abort the mission.
64,"00:05:19,759","00:05:21,150",speaker_1,I repeat abort the mission.,I repeat abort the mission.
65,"00:05:21,939","00:05:22,570",speaker_2,Sorry sir.,Sorry sir.
66,"00:05:23,199","00:05:24,189",speaker_2,It's already been launched.,It's already been launched.
67,"00:05:25,680","00:05:27,250",speaker_2,Time of flight is thirty seconds.,Time of flight is thirty seconds.
68,"00:05:52,959","00:05:53,530",speaker_0,Mission accomplished.,Mission accomplished.
69,"00:05:54,199","00:05:55,030",speaker_0,Our agent is killed.,Our agent is killed.
70,"00:05:55,560","00:05:56,230",speaker_0,Good job chief.,Good job chief.
71,"00:05:57,639","00:05:59,270",speaker_2,This is not a place for sentimental,This is not a place for sentimental
72,"00:05:59,560","00:05:59,910",speaker_2,fool.,fool.
73,"00:06:03,500","00:06:04,519",speaker_3,మనందరం ఇక్కడ ఉన్నది,manandharam ikkada unnadhi
74,"00:06:05,489","00:06:06,519",speaker_3,చంపడానికి లేదా,champadaaniki ledhaa
75,"00:06:06,579","00:06:06,930",speaker_3,చావడానికి,chaavadaaniki
76,"00:06:12,240","00:06:15,379",speaker_4,Want a terrorist Hafiz Kadri ko marne ke liye aapne ek agent ki,Want a terrorist Hafiz Kadri ko marne ke liye aapne ek agent ki
77,"00:06:15,459","00:06:16,189",speaker_4,life ko sacrifice,life ko sacrifice
78,"00:06:16,399","00:06:19,079",speaker_4,ki hai. Uske peeche ek strong reason hona chahiye.,ki hai. Uske peeche ek strong reason hona chahiye.
79,"00:06:19,160","00:06:19,890",speaker_4,I need an explanation,I need an explanation
80,"00:06:20,160","00:06:20,689",speaker_4,from you.,from you.
81,"00:06:21,040","00:06:23,040",speaker_3,ఇప్పుడు మనకున్న threat terrorism కాదు sir.,ippudu manakunna threat terrorism kaadhu sir.
82,"00:06:23,860","00:06:25,939",speaker_3,The biggest threat our country facing right now,The biggest threat our country facing right now
83,"00:06:26,459","00:06:27,129",speaker_3,is the syndicate.,is the syndicate.
84,"00:06:28,360","00:06:28,710",speaker_5,Syndicate?,Syndicate?
85,"00:06:29,240","00:06:29,810",speaker_3,Yes ma'am.,Yes ma'am.
86,"00:06:30,180","00:06:30,530",speaker_3,ఇండియాలోని,indiyaaloni
87,"00:06:30,660","00:06:32,070",speaker_3,"powerful people like businessmen,","powerful people like businessmen,"
88,"00:06:32,519","00:06:33,000",speaker_3,big shots,big shots
89,"00:06:33,709","00:06:34,920",speaker_3,కొంతమంది కలిసి,konthamandhi kalisi
90,"00:06:34,970","00:06:35,949",speaker_3,ఇండియాని తమకు నచ్చినట్టుగా,indiyaani thamaku nachhinattugaa
91,"00:06:36,139","00:06:36,689",speaker_3,rule చేయడానికి,rule cheyadaaniki
92,"00:06:37,319","00:06:38,590",speaker_3,ఈ syndicate ని form చేశారు.,ee syndicate ni form cheshaaru.
93,"00:06:44,759","00:06:46,150",speaker_3,Central Minister జయకృష్ణ underలో,Central Minister jayakrushna underlo
94,"00:06:46,920","00:06:48,390",speaker_3,పిల్లల nutrition fund పేరుతో,pillala nutrition fund perutho
95,"00:06:49,120","00:06:50,570",speaker_3,పాతిక వేల కోట్ల scam జరిగింది.,paathika vela kotla scam jarigindhi.
96,"00:06:51,399","00:06:51,950",speaker_3,అది బయటపడగానే,adhi bayatapadagaane
97,"00:06:52,660","00:06:54,670",speaker_3,తనే CBI enquiry కి petition వేశాడు.,thane CBI enquiry ki petition veshaadu.
98,"00:06:55,180","00:06:56,530",speaker_3,Commission వేసిన నెల రోజులకే,Commission vesina nela rojulake
99,"00:06:57,879","00:06:59,370",speaker_3,Kolkata లో ఒక blast జరిగి...,Kolkata lo oka blast jarigi...
100,"00:07:05,339","00:07:07,010",speaker_3,అందులో ఆ scamని sanction చేసిన,andhulo aa scamni sanction chesina
101,"00:07:08,149","00:07:09,040",speaker_3,కాశీనాథ్ అనే,kaasheenaath ane
102,"00:07:09,139","00:07:09,810",speaker_3,IAS ఉన్నాడు.,IAS unnaadu.
103,"00:07:10,079","00:07:11,210",speaker_3,ఆ scam ఎక్కడ బయటపడుతుందో,aa scam yekkada bayatapaduthundho
104,"00:07:11,459","00:07:11,810",speaker_3,అని,ani
105,"00:07:12,439","00:07:13,199",speaker_3,ఆ ఒక్కడి కోసం,aa okkadi kosam
106,"00:07:13,819","00:07:14,930",speaker_3,ఐదు వందల మందిని చంపారు.,aidhu vandhala mandhini champaaru.
107,"00:07:15,779","00:07:18,390",speaker_3,ఆ blast చేసిన Hafiz Kadriకి తెలీదు ఎందుకు చేశాడో.,aa blast chesina Hafiz Kadriki theleedhu yendhuku cheshaado.
