index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:00,000","00:00:00,350",speaker_0,Camera,Camera
2,"00:01:02,619","00:01:03,179",speaker_0,"men ready sir,","men ready sir,"
3,"00:01:04,299","00:01:04,879",speaker_0,"Babu ready Babu,","Babu ready Babu,"
4,"00:01:06,159","00:01:06,799",speaker_0,start camera,start camera
5,"00:01:08,019","00:01:08,369",speaker_0,action,action
6,"00:01:18,760","00:01:19,469",speaker_0,వీడు ప్రకృతి,veedu prakruthi
7,"00:01:20,280","00:01:20,949",speaker_0,వాడు ప్రళయం,vaadu pralayam
8,"00:01:21,540","00:01:22,390",speaker_0,ఆ బంధం ఉంచుకో,aa bandham unchuko
9,"00:01:23,040","00:01:23,959",speaker_0,ఈ బంధం తెంచుకో.,ee bandham thenchuko.
10,"00:01:30,609","00:01:31,650",speaker_0,పసిబిడ్డను మొట్టుకుంటే,pasibiddanu mottukunte
11,"00:01:31,700","00:01:32,049",speaker_0,పరమాత్ముడు,paramaathmudu
12,"00:01:32,500","00:01:32,849",speaker_0,ఊరుకుంటాడా?,oorukuntaadaa?
13,"00:01:42,280","00:01:42,379",speaker_1,దేవుడా!,dhevudaa!
14,"00:01:42,299","00:01:42,649",speaker_0,ఖండర్,khandar
15,"00:01:42,840","00:01:43,629",speaker_0,రుద్ర సికందర్,rudhra sikandhar
16,"00:01:44,040","00:01:44,319",speaker_0,ఘోర,ghora
17,"00:01:46,070","00:01:48,420",speaker_0,శివుడు నేనే.,shivudu nene.
18,"00:01:48,540","00:01:50,189",speaker_0,ఈ జన్మకు ఆ శివుడే నా తండ్రి.,ee janmaku aa shivude naa thandri.
19,"00:01:50,519","00:01:50,989",speaker_0,ఆ లోకమాతయే,aa lokamaathaye
20,"00:01:51,379","00:01:51,929",speaker_0,నా తల్లి.,naa tally.
21,"00:01:56,990","00:01:57,959",speaker_0,లోకా సమస్తా,lokaa samasthaa
22,"00:01:58,079","00:01:58,429",speaker_0,సుఖినోభవంతు,sukhinobhavanthu
23,"00:01:59,180","00:02:00,689",speaker_0,అనే ఒక్క మాట కోసం,ane okka maata kosam
24,"00:02:00,859","00:02:01,209",speaker_0,ఎక్కడికైనా,yekkadikainaa
25,"00:02:01,640","00:02:01,989",speaker_0,వస్తారు.,vasthaaru.
26,"00:02:02,659","00:02:03,009",speaker_0,యజ్ఞము,yagnamu
27,"00:02:03,280","00:02:03,629",speaker_0,చేస్తారు.,chesthaaru.
28,"00:02:04,319","00:02:04,669",speaker_0,అవసరమైతే,avasaramaithe
29,"00:02:05,219","00:02:05,569",speaker_0,యుద్ధము,yudhdhamu
30,"00:02:05,900","00:02:06,250",speaker_0,చేస్తారు.,chesthaaru.
31,"00:02:12,180","00:02:13,729",speaker_0,ఏం మీరు మాలాంటి మనిషి కాదా?,yem meeru maalaanti manishi kaadhaa?
32,"00:02:13,900","00:02:14,250",speaker_0,Never,Never
33,"00:02:14,740","00:02:15,370",speaker_0,మీకు కుటుంబమే,meeku kutumbame
34,"00:02:15,500","00:02:15,849",speaker_0,ప్రపంచం,prapancham
35,"00:02:16,460","00:02:17,109",speaker_0,మాకు ప్రపంచమే,maaku prapanchame
36,"00:02:17,340","00:02:17,689",speaker_0,కుటుంబం,kutumbam
37,"00:02:18,319","00:02:19,590",speaker_0,both are not same.,both are not same.
38,"00:02:25,439","00:02:26,879",speaker_0,కష్టం వచ్చినా కన్నీళ్లు వచ్చినా,kashtam vachhinaa kanneellu vachhinaa
39,"00:02:27,580","00:02:28,489",speaker_0,చివరికి ఆ మృత్యువే,chivariki aa mruthyuve
40,"00:02:28,620","00:02:28,969",speaker_0,ఎదురొచ్చినా,yedhurochhinaa
41,"00:02:29,699","00:02:32,069",speaker_0,నేను ఎక్కడ ఉన్నా ఏ స్థితిలో ఉన్నా క్షణంలోనే,nenu yekkada unnaa ye sthithilo unnaa kshanamlone
42,"00:02:32,439","00:02:32,789",speaker_0,ముందుంటాను.,mundhuntaanu.
43,"00:02:34,250","00:02:36,109",speaker_0,మాట మాట.,maata maata.
44,"00:02:53,129","00:02:53,840",speaker_0,పాపం పరిధి,paapam paridhi
45,"00:02:53,900","00:02:54,250",speaker_0,దాటినప్పుడల్లా,dhaatinappudallaa
46,"00:02:54,840","00:02:55,189",speaker_0,పరమాత్ముడు,paramaathmudu
47,"00:02:55,419","00:02:55,769",speaker_0,వస్తాడని,vasthaadani
48,"00:02:56,360","00:02:56,710",speaker_0,పురాణాల్లో,puraanaallo
49,"00:02:57,020","00:02:57,370",speaker_0,చదువుకున్నాం,chadhuvukunnaam
50,"00:02:57,539","00:02:57,889",speaker_0,మాం,maam
51,"00:02:58,219","00:02:58,599",speaker_0,ఇప్పుడు,ippudu
52,"00:02:59,520","00:03:00,669",speaker_0,అదే నిజం అని అర్థమైంది.,adhe nijam ani arthamaindhi.
53,"00:03:04,770","00:03:05,769",speaker_0,ధర్మో రక్షతి,dharmo rakshathi
54,"00:03:05,819","00:03:06,169",speaker_0,రక్షితః,rakshithah
55,"00:03:06,569","00:03:07,240",speaker_0,అనే మాట,ane maata
56,"00:03:08,230","00:03:09,139",speaker_0,కలియుగంలో జరగటం,kaliyugamlo jaragatam
57,"00:03:09,219","00:03:09,569",speaker_0,అసంభవం,asambhavam
58,"00:03:09,919","00:03:10,789",speaker_0,అని మనం నమ్మి,ani manam nammi
59,"00:03:11,460","00:03:12,430",speaker_0,మన రక్షణ కోసం,mana rakshana kosam
60,"00:03:12,840","00:03:14,090",speaker_0,ఎన్నో చట్టాలు రాసుకున్నాం.,yenno chattaalu raasukunnaam.
61,"00:03:15,680","00:03:16,030",speaker_0,కానీ,kaanee
62,"00:03:16,319","00:03:17,109",speaker_0,అతను చెప్పిన,athanu cheppina
63,"00:03:17,280","00:03:18,129",speaker_0,ధర్మం ముందు,dharmam mundhu
64,"00:03:19,099","00:03:19,629",speaker_0,ఈ చట్టాలు,ee chattaalu
65,"00:03:20,979","00:03:22,099",speaker_0,చాలా చిన్నగా అనిపించాయి,chaalaa chinnagaa anipinchaayi
66,"00:03:22,280","00:03:22,629",speaker_0,మాం.,maam.
67,"00:03:25,659","00:03:26,460",speaker_1,మిస్టర్ పెరుమాళ్,mister perumaal
68,"00:03:27,360","00:03:28,210",speaker_1,మన దేశం నడిచేది,mana dhesham nadichedhi
69,"00:03:28,639","00:03:28,989",speaker_1,చట్టాలతో,chattaalatho
70,"00:03:30,039","00:03:30,909",speaker_1,మన సొంత నమ్మకాలతో,mana sontha nammakaalatho
71,"00:03:31,080","00:03:31,430",speaker_1,కాదు.,kaadhu.
72,"00:03:32,699","00:03:34,090",speaker_1,ఏదో దేవుడు మార్గంలో నడుస్తున్నాడు,yedho dhevudu maargamlo nadusthunnaadu
73,"00:03:34,319","00:03:35,810",speaker_1,కదా అని వందల మందిని చంపుకుంటూ,kadhaa ani vandhala mandhini champukuntoo
74,"00:03:35,960","00:03:36,310",speaker_1,వెళితే,velithe
75,"00:03:37,300","00:03:38,389",speaker_1,చట్టం చూస్తూ ఊరుకోదు.,chattam choosthoo oorukodhu.
76,"00:03:38,879","00:03:39,080",speaker_1,He,He
77,"00:03:39,840","00:03:40,609",speaker_1,is a criminal.,is a criminal.
78,"00:03:41,580","00:03:41,930",speaker_0,ఆహాహా,aahaahaa
79,"00:03:42,719","00:03:43,389",speaker_0,లేదు మేడం,ledhu madame
80,"00:03:44,139","00:03:46,329",speaker_0,మీరు అతని ఆచరణ గురించి మాట్లాడుతున్నారు.,meeru athani aacharana gurinchi maatlaaduthunnaaru.
81,"00:03:47,199","00:03:47,549",speaker_0,నేను,nenu
82,"00:03:47,740","00:03:48,930",speaker_0,అతని ఆత్మ సిద్ధాంతం,athani aathma sidhdhaantham
83,"00:03:49,240","00:03:49,989",speaker_0,గురించి మాట్లాడుతున్నాను.,gurinchi maatlaaduthunnaanu.
84,"00:03:51,400","00:03:52,989",speaker_0,తప్పు చేస్తే వంద మందినైనా,thappu chesthe vandha mandhinainaa
85,"00:03:53,219","00:03:53,569",speaker_0,చంపేస్తాడు.,champesthaadu.
86,"00:03:54,740","00:03:55,090",speaker_0,అనవసరంగా,anavasarangaa
87,"00:03:56,060","00:03:58,150",speaker_0,ఒక చీమకి కూడా హాని చేయడు మాం.,oka cheemaki koodaa haani cheyadu maam.
88,"00:03:58,900","00:04:00,560",speaker_1,ఏదైనా criminal criminal ఏ పెరుమాళ్,yedhainaa criminal criminal ye perumaal
89,"00:04:01,240","00:04:02,269",speaker_1,you need to take action.,you need to take action.
90,"00:04:02,740","00:04:03,360",speaker_0,Sorry madam,Sorry madam
91,"00:04:04,259","00:04:04,759",speaker_0,I can't,I can't
92,"00:04:08,699","00:04:09,810",speaker_0,I will submit my resignation,I will submit my resignation
93,"00:04:11,460","00:04:11,810",speaker_0,కృష్ణమాచార్య,krushnamaachaarya
94,"00:04:13,819","00:04:14,169",speaker_0,చతుర్వేది,chathurvedhi
95,"00:04:14,860","00:04:15,139",speaker_0,sorry,sorry
96,"00:04:15,680","00:04:16,369",speaker_0,నేనేం మాట్లాడుతున్నాను,nenem maatlaaduthunnaanu
97,"00:04:16,819","00:04:17,530",speaker_0,ఎందుకు మాట్లాడుతున్నాను,yendhuku maatlaaduthunnaanu
98,"00:04:17,839","00:04:18,379",speaker_0,నాకు తెలుసు,naaku thelusu
99,"00:04:19,139","00:04:19,459",speaker_0,thank you,thank you
100,"00:04:19,560","00:04:19,910",speaker_1,మీరాగితే,meeraagithe
101,"00:04:20,060","00:04:20,410",speaker_1,ఆగిపోవచ్చు,aagipovachhu
102,"00:04:21,120","00:04:21,470",speaker_1,మేమాగం.,memaagam.
103,"00:04:22,680","00:04:23,030",speaker_0,Impossible,Impossible
104,"00:04:25,199","00:04:27,270",speaker_0,మీరు అతన్ని ఏమి చేయలేరు మేడం.,meeru athanni yemi cheyaleru madame.
105,"00:04:28,540","00:04:28,890",speaker_0,అతను,athanu
106,"00:04:29,019","00:04:29,370",speaker_0,ప్రకృతి,prakruthi
