index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:01:39,140","00:01:39,489",speaker_0,కడలి.,kadali.
2,"00:01:40,700","00:01:41,489",speaker_0,ఈ కడలి లోతుల్లోనే,ee kadali lothullone
3,"00:01:41,939","00:01:42,489",speaker_0,నా భావోద్వేగాలన్నీ,naa bhaavodhvegaalannee
4,"00:01:43,159","00:01:43,829",speaker_0,కలిసి ఉన్నాయి.,kalisi unnaayi.
5,"00:01:44,420","00:01:46,169",speaker_0,ఈ కడలి నీటి మీద పడి కనిపించే,ee kadali neeti meedha padi kanipinche
6,"00:01:46,420","00:01:46,769",speaker_0,ప్రతిబింబం,prathibimbam
7,"00:01:47,120","00:01:47,469",speaker_0,లాంటివే,laantive
8,"00:01:48,019","00:01:48,569",speaker_0,నా జ్ఞాపకాలు.,naa gnaapakaalu.
9,"00:01:58,159","00:01:59,069",speaker_0,ఈ కడలి అణింగికి,ee kadali aningiki
10,"00:01:59,400","00:02:00,390",speaker_0,మధ్య ఉన్న దూరమే,madhya unna dhoorame
11,"00:02:01,079","00:02:01,849",speaker_0,నాకూ తనకి.,naakoo thanaki.
12,"00:02:04,900","00:02:05,239",speaker_0,"Yes,","Yes,"
13,"00:02:06,260","00:02:08,069",speaker_0,I'm forever in a long distance relationship,I'm forever in a long distance relationship
14,"00:02:08,340","00:02:09,069",speaker_0,with my love.,with my love.
15,"00:02:15,500","00:02:15,860",speaker_0,ఇదిగో,idhigo
16,"00:02:16,780","00:02:17,329",speaker_0,ఇదే అర్థం.,idhe artham.
17,"00:02:23,539","00:02:25,509",speaker_1,బండి గాడికి బొండు కొట్టి చాలిన నాకు జ్ఞాపకం ఉంది.,bandi gaadiki bondu kotti chaalina naaku gnaapakam undhi.
18,"00:02:25,840","00:02:26,849",speaker_1,December లో leave దొరుకుతుంది.,December lo leave dhorukuthundhi.
19,"00:02:27,300","00:02:29,109",speaker_1,నువ్వు చెప్పినట్టే తిరుపతి పోయి మొక్కుబడి తెచ్చుకుందాం.,nuvvu cheppinatte thirupathi poyi mokkubadi thechhukundhaam.
20,"00:02:32,840","00:02:35,669",speaker_2,Daddy will come home soon and sing to you beta.,Daddy will come home soon and sing to you beta.
21,"00:02:36,280","00:02:38,449",speaker_2,Now you listen to mummy and be good.,Now you listen to mummy and be good.
22,"00:02:38,500","00:02:39,489",speaker_1,ఏంటి photo studio నా?,yenti photo studio naa?
23,"00:02:39,740","00:02:41,689",speaker_1,అయ్యో photo studio కాదమ్మా photoshop.,ayyo photo studio kaadhammaa photoshop.
24,"00:02:42,319","00:02:43,229",speaker_1,ఆ అమ్మాయిని photoshop,aa ammaayini photoshop
