index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:05,000","00:00:05,349",speaker_0,ఓం,om
2,"00:00:17,140","00:00:17,490",speaker_0,నమో,namo
3,"00:00:19,699","00:00:20,050",speaker_0,నారాయణా,naaraayanaa
4,"00:01:11,379","00:01:11,989",speaker_1,హాయ్ ఫ్రెండ్స్!,haay friends!
5,"00:01:12,219","00:01:14,469",speaker_1,ఈరోజు నేను interview చేయబోయే మనిషి మామూలు,eeroju nenu interview cheyaboye manishi maamoolu
6,"00:01:14,620","00:01:15,269",speaker_1,మనిషి కాదు.,manishi kaadhu.
7,"00:01:15,659","00:01:17,269",speaker_1,Time magazine వాళ్ళే interview అడిగితే,Time magazine vaalle interview adigithe
8,"00:01:17,510","00:01:19,469",speaker_1,"""Time లేదు వెళ్లే హే"" అని చెప్పి నాకోసం,","""Time ledhu velle he"" ani cheppi naakosam,"
9,"00:01:20,120","00:01:22,349",speaker_1,నా channel కోసం interview చేయడానికి ఒప్పుకున్నారు.,naa channel kosam interview cheyadaaniki oppukunnaaru.
10,"00:01:22,900","00:01:24,269",speaker_1,ఈరోజు ఆయన ఇంటి ముందే ఉన్నాం.,eeroju aayana inti mundhe unnaam.
11,"00:01:24,819","00:01:25,649",speaker_1,ఇది ఇల్లు కాదండి,idhi illu kaadhandi
12,"00:01:25,939","00:01:27,149",speaker_1,బాబు పెద్ద palace.,baabu pedhdha palace.
13,"00:01:32,060","00:01:33,549",speaker_1,రెండు తెలుగు రాష్ట్రాల ఆడపిల్లలు,rendu thelugu raashtraala aadapillalu
14,"00:01:33,819","00:01:34,750",speaker_1,ఈయన కోసం అల్లాడిపోతున్నారు.,eeyana kosam allaadipothunnaaru.
15,"00:01:39,770","00:01:40,920",speaker_1,మీరెప్పుడెప్పుడని ఎదురుచూస్తున్న,meereppudeppudani yedhuruchoosthunna
16,"00:01:41,180","00:01:41,709",speaker_1,the richest,the richest
17,"00:01:42,490","00:01:43,000",speaker_1,charmingness కి,charmingness ki
