index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:00,000","00:00:00,350",speaker_0,Forty,Forty
2,"00:01:07,079","00:01:07,429",speaker_0,"birthday,","birthday,"
3,"00:01:08,079","00:01:09,089",speaker_0,"fifty birthday,","fifty birthday,"
4,"00:01:09,879","00:01:10,229",speaker_0,sixty,sixty
5,"00:01:10,599","00:01:10,949",speaker_0,birthday.,birthday.
6,"00:01:13,480","00:01:14,540",speaker_0,ఏ birthday కి,ye birthday ki
7,"00:01:15,439","00:01:17,089",speaker_0,Happy Birthday నాన్న అని మనసంతగా,Happy Birthday naanna ani manasanthagaa
8,"00:01:17,379","00:01:18,009",speaker_0,wish చేయలేకపోయాను.,wish cheyalekapoyaanu.
9,"00:01:22,590","00:01:23,240",speaker_0,ప్రతిసారి ఏదో,prathisaari yedho
10,"00:01:23,290","00:01:23,909",speaker_0,"ఒక సమస్య,","oka samasya,"
11,"00:01:24,319","00:01:24,669",speaker_0,"కొట్లాట,","kotlaata,"
12,"00:01:25,099","00:01:25,449",speaker_0,కొడవ.,kodava.
13,"00:01:26,140","00:01:27,009",speaker_1,పొద్దున్నే ఏడవుతోంది.,podhdhunne yedavuthondhi.
14,"00:01:28,060","00:01:28,409",speaker_1,ఇంకెంతటి,inkenthati
15,"00:01:28,599","00:01:28,949",speaker_1,తాగుతావ్?,thaaguthaav?
16,"00:01:30,159","00:01:30,780",speaker_0,"నాన్న అనేవారు,","naanna anevaaru,"
17,"00:01:31,500","00:01:32,929",speaker_0,"""నీ కొడుకు నీలాగే తయారైతే","""nee koduku neelaage thayaaraithe"
18,"00:01:34,959","00:01:35,789",speaker_0,"అప్పుడు నీకు అర్థమవుతుంది""","appudu neeku arthamavuthundhi"""
19,"00:01:36,079","00:01:36,429",speaker_0,అని.,ani.
20,"00:01:39,799","00:01:41,799",speaker_0,నేను మీలా కానప్పుడు మరి నా కొడుకు మాత్రం,nenu meelaa kaanappudu mari naa koduku maathram
21,"00:01:43,480","00:01:44,369",speaker_0,నాలా ఎలా తయారవుతాడు,naalaa yelaa thayaaravuthaadu
22,"00:01:44,599","00:01:45,209",speaker_0,అని నేను అన్నాను.,ani nenu annaanu.
