index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:00,240","00:00:00,810",,పొగ త్రాగటం,poga thraagatam
2,"00:00:01,020","00:00:01,810",,మద్యం సేవించడం,madhyam sevinchadam
3,"00:00:02,770","00:00:03,660",,ఆరోగ్యానికి హానికరం,aarogyaaniki haanikaram
4,"00:00:04,240","00:00:06,109",,Smoking and drinking alcohol is injurious,Smoking and drinking alcohol is injurious
5,"00:00:06,320","00:00:06,719",,to health,to health
6,"00:00:51,329","00:00:52,079",,ఇది అనంత,idhi anantha
7,"00:00:52,200","00:00:53,009",,దూరాల సుదీర్ఘ,dhooraala sudheergha
8,"00:00:53,340","00:00:53,740",,మైదానం,maidhaanam
9,"00:00:54,880","00:00:56,690",,ఇక్కడ సముద్ర గర్భంలో అలికిడ అవుతే,ikkada samudhra garbhamlo alikida avuthe
10,"00:00:57,560","00:00:59,609",,ఆకాశ మంచంలో వినిపించే అంత నిశబ్దం,aakaasha manchamlo vinipinche antha nishabdham
11,"00:01:00,700","00:01:01,190",,ఈ స్వచ్ఛమైన,ee svachhamaina
12,"00:01:01,420","00:01:01,770",,నిశబ్దాన్ని,nishabdhaanni
13,"00:01:02,020","00:01:02,750",,తాకిన మనసుల్ని,takin manasulni
14,"00:01:04,249","00:01:05,269",,పరిస్థితులు విపత్తులు,paristhithulu vipaththulu
15,"00:01:05,400","00:01:05,750",,కాలం,kaalam
16,"00:01:06,019","00:01:06,769",,దూరం ఇవేవీ,dhooram ivevee
17,"00:01:07,060","00:01:07,659",,వేరు చేయలేవు,veru cheyalevu
18,"00:01:08,579","00:01:09,019",,ఎందుకంటే,yendhukante
19,"00:01:10,400","00:01:11,229",,ఇవ్వి రెండు శరీరాలుగా,ivvi rendu shareeraalugaa
20,"00:01:11,420","00:01:11,769",,కనిపించిన,kanipinchina
21,"00:01:13,159","00:01:14,299",,ప్రాణం మాత్రం ఒకటే,praanam maathram okate
22,"00:01:25,019","00:01:25,369",,కాలం,kaalam
23,"00:01:26,410","00:01:27,299",,ఖగే మృగే,khage mruge
24,"00:01:27,359","00:01:27,709",,నగః,nagah
25,"00:01:29,159","00:01:30,829",,శైల సిద్ధ దేవా మహాశయా,shaila sidhdha dhevaa mahaashayaa
26,"00:01:32,650","00:01:33,469",,కాలం సమాన,kaalam samaana
27,"00:01:33,519","00:01:33,869",,వర్ధంతే,vardhanthe
28,"00:01:35,130","00:01:35,900",,యధా భావ,yadhaa bhaava
29,"00:01:35,959","00:01:36,729",,యుగే యుగే,yuge yuge
30,"00:01:38,260","00:01:38,980",,దీని అర్థం,dheeni artham
31,"00:01:39,910","00:01:40,819",,ఋషులు సిద్ధులు,rushulu sidhdhulu
32,"00:01:40,900","00:01:41,250",,దేవతలు,dhevathalu
33,"00:01:42,290","00:01:43,329",,పక్షులు జలపాతాలు,pakshulu jalapaathaalu
34,"00:01:43,400","00:01:43,750",,మృగాలు,mrugaalu
35,"00:01:44,490","00:01:45,859",,ఇవన్నీ కాలానుసారం,ivannee kaalaanusaaram
36,"00:01:45,920","00:01:46,269",,మారుతూనే,maaruthoone
37,"00:01:46,459","00:01:46,809",,ఉంటాయి,untaayi
38,"00:01:47,420","00:01:47,890",,ఆ గమనాన్ని,aa gamanaanni
39,"00:01:48,060","00:01:48,890",,ఎవ్వరూ మార్చలేరు,yevvaroo maarchaleru
40,"00:01:49,060","00:01:49,409",,కదా,kadhaa
41,"00:01:49,780","00:01:50,129",,అటువంటప్పుడు,atuvantappudu
42,"00:01:51,570","00:01:52,640",,మనుషులైన మనకెందుకురా,manushulaina manakendhukuraa
43,"00:01:52,719","00:01:53,340",,ఇంత పట్టుదల,intha pattudhala
44,"00:01:54,810","00:01:55,900",,అనుకున్నది జరగలేదని,anukunnadhi jaragaledhani
45,"00:01:56,640","00:01:58,069",,జరిగిన దాన్ని గురించి అనుకోలేదని,jarigina dhaanni gurinchi anukoledhani
46,"00:01:58,480","00:01:58,829",,ఎందుకురా,yendhukuraa
47,"00:01:59,040","00:01:59,390",,బాధపడతాం,baadhapadathaam
48,"00:01:59,659","00:02:00,540",,అని చెప్పాను వాడికి,ani cheppaanu vaadiki
49,"00:02:02,200","00:02:02,549",,చిన్నప్పుడు,chinnappudu
50,"00:02:04,359","00:02:06,540",,తెల్ల గౌను వేసుకున్న ఒక ఆడపిల్ల బొమ్మ,thella gaunu vesukunna oka aadapilla bomma
51,"00:02:06,980","00:02:07,329",,ఉండేది,undedhi
52,"00:02:09,050","00:02:09,840",,వాడికి అదేంటి,vaadiki adhenti
53,"00:02:09,939","00:02:10,719",,పిచ్చ ప్రాణం,pichha praanam
54,"00:02:12,770","00:02:13,789",,ఒకనాడు తెల్లవారుజామున,okanaadu thellavaarujaamuna
55,"00:02:13,840","00:02:14,489",,నిద్ర లేచేటప్పటికీ,nidhra lechetappatikee
56,"00:02:14,979","00:02:15,329",,ఏడుస్తూనే,yedusthoone
57,"00:02:15,659","00:02:16,650",,ఉన్నాడు బొమ్మ కనపడటం,unnaadu bomma kanapadatam
58,"00:02:16,800","00:02:17,150",,లేదని,ledhani
59,"00:02:17,900","00:02:18,659",,ఎందుకురా ఏడుస్తావ్,yendhukuraa yedusthaav
60,"00:02:20,180","00:02:21,250",,ఇంకోటి ఇస్తాను కొనిస్తానులే,inkoti isthaanu konisthaanule
61,"00:02:21,560","00:02:21,930",,అన్నాను,annaanu
62,"00:02:22,879","00:02:24,449",,కాదు నాకు అదే కావాలని పట్టుదల,kaadhu naaku adhe kaavaalani pattudhala
63,"00:02:25,109","00:02:25,840",,అన్నం తిండూ,annam thindoo
64,"00:02:26,419","00:02:26,769",,పడుకోడూ,padukodoo
65,"00:02:28,159","00:02:29,370",,బాధ పడుతూనే ఉంటాడు,baadha paduthoone untaadu
66,"00:02:29,939","00:02:30,759",,అప్పుడు ఒక కథలా,appudu oka kathalaa
67,"00:02:31,219","00:02:31,750",,ఈ కాలగమన,ee kaalagamana
68,"00:02:32,020","00:02:32,370",,సూక్తాన్ని,sooktaanni
69,"00:02:32,539","00:02:33,280",,వాడికి చెప్పాను,vaadiki cheppaanu
70,"00:02:34,099","00:02:34,590",,ఆ కథనంతా,aa kathananthaa
71,"00:02:34,800","00:02:35,150",,విని,vini
72,"00:02:36,400","00:02:37,289",,నానమ్మ నానమ్మ,naanamma naanamma
73,"00:02:38,199","00:02:39,150",,Saints Mountains,Saints Mountains
74,"00:02:39,419","00:02:40,960",,rains అన్నీ ఉన్నాయి గానీ,rains annee unnaayi gaanee
75,"00:02:41,680","00:02:43,860",,అందులో నీ పేరు నా పేరు లేదు కదా,andhulo nee peru naa peru ledhu kadhaa
76,"00:02:44,280","00:02:44,629",,కాబట్టి,kaabatti
77,"00:02:45,520","00:02:46,430",,ఆ బొమ్మను వెతకడానికి,aa bommanu vethakadaaniki
78,"00:02:47,400","00:02:48,549",,నువ్వొచ్చి నాతో సహాయపడు,nuvvochhi naatho sahaayapadu
79,"00:02:50,539","00:02:51,829",,అన్నాడు అంత చిన్న వయసులోనే,annaadu antha chinna vayasulone
80,"00:02:52,300","00:02:54,479",,Hope is good అని Underline చేశాడు వాడు,Hope is good ani Underline cheshaadu vaadu
81,"00:02:55,280","00:02:55,780",,True good is good,True good is good
82,"00:02:57,319","00:02:59,020",,ఎనభై రోజులయ్యిందన్న వాడు ఇంటి నుంచి బయటికి వెళ్లి,yenabhai rojulayyindhanna vaadu inti nunchi bayatiki velli
83,"00:03:00,439","00:03:01,699",,వాడు ఎలా ఉన్నాడో తెలియకుండా ఎలా ఉండగలం,vaadu yelaa unnaado theliyakundaa yelaa undagalam
84,"00:03:02,240","00:03:03,520",,Even if it is eight hundred days,Even if it is eight hundred days
85,"00:03:04,419","00:03:04,979",,I don't care,I don't care
86,"00:03:06,360","00:03:07,969",,అంత Great love story కదరా వాడిది,antha Great love story kadharaa vaadidhi
87,"00:03:08,360","00:03:08,539",,ఉమ్,um
88,"00:03:09,259","00:03:09,659",,ఏమైంది,yemaindhi
