index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:00,000","00:00:00,350",speaker_0,పొగత్రాగడం,pogathraagadam
2,"00:00:27,519","00:00:28,210",speaker_0,మద్యం సేవించడం,madhyam sevinchadam
3,"00:00:28,420","00:00:28,770",speaker_0,ఆరోగ్యానికి,aarogyaaniki
4,"00:00:29,059","00:00:29,410",speaker_0,హానికరం,haanikaram
5,"00:00:29,929","00:00:31,010",speaker_0,మరియు క్యాన్సర్ కు కారకం.,mariyu kyaansar ku kaarakam.
6,"00:00:31,359","00:00:32,990",speaker_0,Cigarette smoking and alcohol consumption,Cigarette smoking and alcohol consumption
7,"00:00:33,179","00:00:34,230",speaker_0,are injurious to health.,are injurious to health.
8,"00:00:34,840","00:00:35,670",speaker_0,It causes cancer.,It causes cancer.
9,"00:00:47,439","00:00:47,789",speaker_0,అరేయ్!,arey!
10,"00:03:09,360","00:03:10,729",speaker_0,నీ friend మళ్ళీ తాటి కొక్కుంటున్నాడు.,nee friend mallee thaati kokkuntunnaadu.
11,"00:03:19,520","00:03:19,780",speaker_0,ఒరేయ్,orey
12,"00:03:21,120","00:03:21,689",speaker_0,nice గా,nice gaa
13,"00:06:00,100","00:06:00,200",speaker_0,వినిపించదు ఆపురా.,vinipinchadhu aapuraa.
14,"00:06:08,064","00:06:08,624",speaker_1,నీ అమ్మని,nee ammani
15,"00:06:09,543","00:06:09,983",speaker_1,వైశ్యు,vaishyu
16,"00:06:12,084","00:06:12,463",speaker_1,నిన్ను,ninnu
17,"00:06:12,524","00:06:12,863",speaker_2,అమ్మా,ammaa
18,"00:06:12,923","00:06:13,874",speaker_1,రోడ్డు మీద ఏంటా డాన్సులు,roddu meedha yentaa daansulu
19,"00:06:14,184","00:06:15,213",speaker_1,ఆ పార్లో వెళ్ళి,aa paarlo velli
20,"00:06:15,764","00:06:17,514",speaker_1,వేలకు వేలు డబ్బులు కట్టి సీట్లు తెస్తుంటే,velaku velu dabbulu katti cites thesthunte
21,"00:06:17,843","00:06:18,834",speaker_1,డాన్సులు కావాలంటే డాన్సులు,daansulu kaavaalante daansulu
22,"00:06:18,884","00:06:18,984",speaker_2,ఆ,aa
23,"00:06:18,944","00:06:19,294",speaker_1,చంపేస్తా,champesthaa
24,"00:06:20,264","00:06:21,504",speaker_3,ఎందుకే దాన్ని అలాగా,yendhuke dhaanni alaagaa
25,"00:06:22,824","00:06:23,824",speaker_3,ఆడపిల్ల మీద చేయి చేసుకోకు,aadapilla meedha cheyi chesukoku
26,"00:06:24,923","00:06:25,554",speaker_1,చాలే నోరుమీసం,chaale norumeesam
27,"00:06:26,043","00:06:27,463",speaker_1,సంవత్సరాలు ఎలా చేయాలో నాకు తెలుసులే గాని,samvathsaraalu yelaa cheyaalo naaku thelusule gaani
28,"00:06:29,473","00:06:30,363",speaker_1,నువ్వేంటే వెళ్ళు,nuvvente vellu
29,"00:06:31,524","00:06:32,553",speaker_2,వైశ్యు బాయ్,vaishyu boy
30,"00:06:33,524","00:06:34,534",speaker_1,నువ్వు నీ వాళ్ళకి,nuvvu nee vaallaki
31,"00:06:34,843","00:06:35,194",speaker_1,కలర్తుడు,kalarthudu
32,"00:09:33,874","00:09:34,724","speaker_0, speaker_3",బావా మ్,baavaa m
33,"00:09:34,844","00:09:35,194",speaker_0,సౌందర్యం,saundharyam
34,"00:09:35,312","00:09:35,714",speaker_0,ని చూస్తున్నా,ni choosthunnaa
35,"00:09:36,244","00:09:37,234",speaker_0,ఆ పక్కన నిన్నే చూస్తుంది,aa pakkana ninne choosthundhi
36,"00:09:52,844","00:09:53,163",speaker_3,ఏయ్,yey
37,"00:09:53,724","00:09:54,083",speaker_3,ఆగు,aagu
38,"00:09:57,644","00:09:58,264",speaker_3,దగ్గరికి రా,dhaggariki raa
39,"00:09:58,703","00:09:58,803",speaker_3,రా,raa
40,"00:10:01,224","00:10:02,084",speaker_3,ఏం చూస్తున్నావ్ ఆ రోజు,yem choosthunnaav aa roju
41,"00:10:02,134","00:10:02,234",speaker_2,ఊహు,oohu
42,"00:10:03,744","00:10:04,183",speaker_3,నువ్వు,nuvvu
43,"00:10:04,744","00:10:05,724",speaker_3,ఎదురింట్లో ఉంటావు కదా,yedhurintlo untaavu kadhaa
44,"00:10:06,604","00:10:06,823",speaker_2,ఊ,oo
45,"00:10:08,244","00:10:09,063",speaker_3,ఏం పేరయ్యా నీ పేరు,yem perayyaa nee peru
46,"00:10:11,573","00:10:12,224","speaker_2, speaker_3",వైష్ణవి ఆ,vaishnavi aa
47,"00:10:15,683","00:10:16,033",speaker_2,వైష్ణవి,vaishnavi
48,"00:10:19,233","00:10:19,844",speaker_3,సరే పో,sare po
49,"00:10:26,423","00:10:26,774",speaker_3,చూస్తున్నా,choosthunnaa
50,"00:10:27,984","00:10:28,334",speaker_3,చూస్తున్నాను,choosthunnaanu
51,"00:10:29,403","00:10:30,134",speaker_3,రాశాలు ఎక్కువయ్యాయి,raashaalu yekkuvayyaayi
52,"00:10:31,043","00:10:31,923",speaker_3,రేపు రాఖీ పండుగ,repu raakhee panduga
53,"00:10:32,624","00:10:33,994",speaker_3,పండగని సెలవు తీసుకుందాం అనుకుంటున్నారా,pandagani selavu theesukundhaam anukuntunnaaraa
54,"00:10:34,994","00:10:35,604",speaker_3,సమస్యే లేదు,samasye ledhu
55,"00:10:35,923","00:10:38,374",speaker_3,ప్రతి అమ్మాయి ప్రతి అబ్బాయికి రాఖీ కట్టాల్సిందే,prathi ammaayi prathi abbaayiki raakhee kattaalsindhe
56,"00:10:38,964","00:10:40,114",speaker_0,రాఖీ కట్టడం ఏంట్రా,raakhee kattadam yentraa
57,"00:10:51,524","00:10:52,964",speaker_3,ఏంటి అలా చూస్తున్నావ్ కట్టు,yenti alaa choosthunnaav kattu
58,"00:10:54,543","00:10:54,903",speaker_3,కట్టవా,kattavaa
59,"00:10:56,423","00:10:56,803",speaker_3,కట్టవా,kattavaa
60,"00:10:57,724","00:10:58,124",speaker_2,ఊహు,oohu
61,"00:10:58,903","00:10:59,494",speaker_3,ముందుకు రా,mundhuku raa
62,"00:11:01,423","00:11:01,943",speaker_3,రా ముందుకి,raa mundhuki
63,"00:11:04,683","00:11:05,244",speaker_3,చేయి చాపు,cheyi chaapu
64,"00:11:06,683","00:11:06,854",speaker_3,చాపు,chaapu
65,"00:11:12,124","00:11:12,443",speaker_3,చాపు,chaapu
66,"00:11:13,323","00:11:13,783",speaker_3,చేయి చాపు,cheyi chaapu
67,"00:11:14,303","00:11:14,994",speaker_2,సర్ వద్దు సర్,sir vadhdhu sir
68,"00:11:15,043","00:11:15,454",speaker_3,చేయి చాపు,cheyi chaapu
69,"00:11:15,504","00:11:15,854",speaker_2,ప్లీజ్,please
70,"00:11:16,224","00:11:16,324",speaker_2,సర్,sir
71,"00:11:16,313","00:11:16,663",speaker_3,ఊ,oo
72,"00:11:21,024","00:11:21,813",speaker_3,రాశాలు ఎక్కువయ్యాయి,raashaalu yekkuvayyaayi
73,"00:11:22,634","00:11:23,484","speaker_3, speaker_2",ఒక్కొక్కరికి ప్లీజ్,okkokkariki please
74,"00:11:23,533","00:11:23,634",speaker_2,సర్,sir
75,"00:11:23,634","00:11:24,563",speaker_3,రాశాలు ఎక్కువయ్యాయి చెప్తా,raashaalu yekkuvayyaayi chepthaa
76,"00:11:25,283","00:11:26,224",speaker_3,చెప్తాను ఒక్కొక్కరి పని,chepthaanu okkokkari pani
77,"00:11:26,423","00:11:26,774",speaker_0,వైష్ణవి,vaishnavi
78,"00:11:28,224","00:11:28,663",speaker_0,వైష్ణవి,vaishnavi
79,"00:11:29,644","00:11:29,994",speaker_0,వైష్ణవి,vaishnavi
80,"00:11:49,724","00:11:50,074",speaker_0,ఇక్కన్నుంచి,ikkannunchi
81,"00:11:51,703","00:11:52,454",speaker_0,నన్ను కూడా ప్రేమించనిస్తావా,nannu koodaa preminchanisthaavaa
82,"00:11:53,994","00:12:12,224",speaker_3,ఓయ్ ఏంటి,oy yenti
83,"00:12:14,783","00:12:15,134",speaker_4,ప్రేమించుకో,preminchuko
84,"00:12:31,683","00:12:32,033",speaker_5,మాసు!,maasu!
85,"00:13:16,244","00:13:16,673",speaker_4,నాకేనా?,naakenaa?
86,"00:13:16,783","00:13:17,134",speaker_5,ఉమ్.,um.
87,"00:13:20,104","00:13:20,754",speaker_5,ఓపెన్ చెయ్.,open chey.
88,"00:13:24,964","00:13:26,594",speaker_4,నా life లో first gift ఇది,naa life lo first gift idhi
89,"00:13:27,644","00:13:28,514",speaker_5,అది gift కాదే,adhi gift kaadhe
90,"00:13:28,964","00:13:29,574",speaker_5,soap box.,soap box.
91,"00:13:29,823","00:13:30,173",speaker_4,నువ్విచ్చినావ్,nuvvichhinaav
92,"00:13:30,423","00:13:30,774",speaker_4,కదా!,kadhaa!
93,"00:13:31,823","00:13:33,634",speaker_4,నాకు gifts అంటే బస్త్ ఇష్టం.,naaku gifts ante bastha్ ishtam.
94,"00:13:34,384","00:13:34,524",speaker_4,ఆ,aa
95,"00:13:35,144","00:13:36,884",speaker_4,"cars కూడా, పెద్ద పెద్ద ఇల్లులు కూడా","cars koodaa, pedhdha pedhdha illulu koodaa"
96,"00:13:38,144","00:13:39,194",speaker_5,అవన్నీ నా వల్ల కావే.,avannee naa valla cave.
97,"00:13:40,964","00:13:41,214",speaker_5,రేయ్!,rey!
98,"00:13:41,264","00:13:41,423",speaker_6,ఉమ్,um
99,"00:13:41,524","00:13:41,644",speaker_5,పోరా,poraa
100,"00:13:42,124","00:13:42,474",speaker_6,సర్లే,sarle
101,"00:13:49,494","00:13:50,104",speaker_4,మస్తుంది కదా,masthundhi kadhaa
102,"00:13:51,183","00:13:51,624",speaker_5,"ఉమ్,","um,"
103,"00:13:53,024","00:13:53,374",speaker_5,అవును.,avunu.
104,"00:13:54,754","00:13:55,214",speaker_5,ఇక్కణ్ణుంచి ఇదే,ikkannunchi idhe
105,"00:13:55,264","00:13:56,194",speaker_5,మన secret place.,mana secret place.
106,"00:13:57,514","00:13:58,114",speaker_5,ఇక్కణ్ణుంచి మన,ikkannunchi mana
107,"00:13:58,163","00:13:58,834",speaker_5,ప్రేమ మొదలవుతుంది.,prema modhalavuthundhi.
108,"00:13:59,903","00:14:01,254",speaker_5,ఇక్కణ్ణుంచి మన ప్రేమ ఎదుగుతుంది.,ikkannunchi mana prema yedhuguthundhi.
109,"00:14:03,403","00:14:04,494",speaker_5,ఇక్కణ్ణుంచి మన ప్రేమ,ikkannunchi mana prema
110,"00:14:05,764","00:14:05,923",speaker_4,ఆ,aa
111,"00:14:06,443","00:14:06,803",speaker_4,ప్రేమ,prema
112,"00:14:09,203","00:14:09,504",speaker_5,తెలీదు,theleedhu
113,"00:14:12,653","00:14:12,754",speaker_5,ఒక,oka
114,"00:14:35,313","00:14:37,624",speaker_5,kiss పెట్టుకోవచ్చా?,kiss pettukovachhaa?
115,"00:14:42,203","00:14:42,303",speaker_4,ఊ,oo
116,"00:14:42,224","00:14:42,574",speaker_5,ఏమైందే?,yemaindhe?
