index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:09,980","00:00:10,330",speaker_0,భగత్రాగడం,bhagathraagadam
2,"00:00:10,759","00:00:11,449",speaker_0,మద్యం సేవించడం,madhyam sevinchadam
3,"00:00:11,880","00:00:12,230",speaker_0,ఆరోగ్యానికి,aarogyaaniki
4,"00:00:12,380","00:00:12,730",speaker_0,హానికరం,haanikaram
5,"00:00:13,160","00:00:14,289",speaker_0,మరియు క్యాన్సర్ కి కారణం.,mariyu kyaansar ki kaaranam.
6,"00:00:14,699","00:00:16,870",speaker_0,Smoking and drinking is injurious to health.,Smoking and drinking is injurious to health.
7,"00:00:16,920","00:00:17,730",speaker_0,It causes cancer.,It causes cancer.
8,"00:02:02,010","00:02:02,719",speaker_1,కాశిం వలి,kaashim vali
9,"00:02:03,659","00:02:04,069",speaker_0,గురువుగారు,guruvugaaru
10,"00:02:04,640","00:02:05,669",speaker_1,నాకు ఆ పరమశివుడి,naaku aa paramashivudi
11,"00:02:06,000","00:02:06,989",speaker_1,నుంచి పిలుపు వచ్చింది.,nunchi pilupu vachhindhi.
12,"00:02:07,950","00:02:08,050",speaker_0,ఆ!,aa!
13,"00:02:08,000","00:02:08,349",speaker_1,శివైక్యం,shivaikyam
14,"00:02:08,659","00:02:09,949",speaker_1,చెందే సమయం ఆసన్నమైంది.,chendhe samayam aasannamaindhi.
15,"00:02:10,539","00:02:10,900",speaker_0,గురువుగారు,guruvugaaru
16,"00:02:11,500","00:02:13,849",speaker_1,నాకు ఎన్నో ఏళ్లుగా సేవ చేస్తూ వస్తున్నావు.,naaku yenno yellugaa seva chesthoo vasthunnaavu.
17,"00:02:14,879","00:02:15,229",speaker_1,ఏదైనా,yedhainaa
18,"00:02:15,400","00:02:16,049",speaker_1,వరం కోరుకో.,varam koruko.
19,"00:02:18,360","00:02:18,460",speaker_0,అది,adhi
20,"00:02:18,370","00:02:18,469",speaker_1,హ్మ్,hma్
21,"00:02:19,750","00:02:21,020",speaker_1,సంకోచించకు నాయనా.,sankochinchaku naayanaa.
