index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:00,000","00:00:00,350",speaker_0,మందు,mandhu
2,"00:00:12,060","00:00:12,410",speaker_0,సిగరెట్టు,sigarettu
3,"00:00:12,640","00:00:12,990",speaker_0,తాగకుర్రి,thaagakurri
4,"00:00:13,460","00:00:13,810",speaker_0,పీకుతారు,peekuthaaru
5,"00:00:14,380","00:00:15,750",speaker_0,అప్పుడు ఎంత బలగం ఉన్నా waste,appudu yentha balagam unnaa waste
6,"00:00:15,990","00:00:16,670",speaker_0,ఏ ఇక మీ ఇష్టం.,ye ika mee ishtam.
7,"00:00:53,949","00:00:56,439",speaker_1,మమ్ము కాచినవాడు,mammu kaachinavaadu
8,"00:00:57,369","00:00:58,460",speaker_1,మా మనసు,maa manasu
9,"00:00:58,539","00:00:58,890",speaker_1,దోచినవాడు,dhochinavaadu
10,"00:01:03,600","00:01:03,950",speaker_1,మంగళకారుడు,mangalakaarudu
11,"00:01:07,659","00:01:08,009",speaker_1,మా,maa
12,"00:01:09,280","00:01:09,629",speaker_1,శ్రీనివాసుడు.,shreenivaasudu.
13,"00:02:10,840","00:02:11,159",speaker_0,ఎలియా,yeliyaa
14,"00:02:11,879","00:02:13,340",speaker_0,ఓరి ఎలి ఆ ఏంటి ఎలి,ori yeli aa yenti yeli
15,"00:02:13,840","00:02:15,229",speaker_0,తెల్లారింది కదూ ఆ బాపు,thellaarindhi kadhoo aa baapu
16,"00:02:15,439","00:02:16,009",speaker_0,నేను అట్లా పోయేత్తా.,nenu atlaa poyeththaa.
17,"00:02:21,520","00:02:21,840",speaker_0,ఆ బిడ్డ,aa bidda
18,"00:02:22,259","00:02:23,500",speaker_0,నేను పొలం కాడికి పోతున్నా ఆ,nenu polam kaadiki pothunnaa aa
19,"00:02:23,560","00:02:24,409",speaker_2,సరే మామ ఆ,sare mama aa
20,"00:02:24,659","00:02:25,229",speaker_2,ఇంకా కూర్చునేదేంది,inkaa koorchunedhendhi
21,"00:02:25,479","00:02:26,800",speaker_2,పోవాలి కదండీ లేవు లేవు,povaali kadhandee levu levu
22,"00:02:27,259","00:02:28,210",speaker_0,రాదే రాదే వెళ్తున్నా,raadhe raadhe velthunnaa
23,"00:02:28,400","00:02:28,780",speaker_1,సాయిలు,saayilu
24,"00:02:29,580","00:02:30,360",speaker_1,ఇంకా లేవా రా,inkaa levaa raa
25,"00:02:30,659","00:02:31,400",speaker_0,నేను లేస్తా పో,nenu lesthaa po
26,"00:02:31,460","00:02:32,960",speaker_1,వయసు పోరగాళ్ళు వేషి ఉరుకాలే,vayasu poragaallu veshi urukaale
27,"00:02:33,419","00:02:34,389",speaker_1,ఏం పోరగాళ్ళో ఏందో.,yem poragaallo yendho.
28,"00:02:38,139","00:02:39,689",speaker_1,ఓరి వారి ఇంకా వింటుతున్నావ్,ori vaari inkaa vintuthunnaav
29,"00:02:39,860","00:02:43,379",speaker_1,రా బాలు ఎప్పుడు వస్తావ్ రా ఊర్లకు నీ హక్కు ఇక పొద్దు పొద్దునే,raa baalu yeppudu vasthaav raa oorlaku nee hakku ika podhdhu podhdhune
30,"00:02:43,439","00:02:45,189",speaker_1,మొదలు పెట్టినావ్ అయి నీ పాసుగాల,modhalu pettinaav ayi nee paasugaala
31,"00:02:46,830","00:02:47,759",speaker_0,కోలోనా పల్లె,kolonaa palle
32,"00:02:47,900","00:02:48,729",speaker_0,కోడి కూతల్లే,kodi koothalle
33,"00:02:49,259","00:02:49,609",speaker_0,ఒళ్ళెరిసి,ollerisi
34,"00:02:49,879","00:02:50,229",speaker_0,కుందే,kundhe
35,"00:02:50,539","00:02:51,289",speaker_0,కోడె లాగల్లే,kode laagalle
36,"00:02:51,840","00:02:52,629",speaker_0,యాప పుల్లలా,yaapa pullalaa
37,"00:02:53,139","00:02:53,930",speaker_0,శేదు నమిలిందే,shedhu namilindhe
38,"00:02:54,419","00:02:56,129",speaker_0,రామ రామ రామ రామా,rama rama rama raamaa
39,"00:02:57,039","00:02:57,789",speaker_0,తలకు పోసుకుందే,thalaku posukundhe
40,"00:02:58,360","00:02:59,329",speaker_0,నా నేల తల్లే,naa nela thalle
41,"00:02:59,639","00:03:00,469",speaker_0,అలికి మూసుకుందే,aliki moosukundhe
42,"00:03:00,939","00:03:01,710",speaker_0,ముక్కు సుక్కల్లే,mukku sukkalle
43,"00:03:02,240","00:03:03,030",speaker_0,సద్ది మూటల్లే,sadhdhi mootalle
44,"00:03:03,520","00:03:03,870",speaker_0,సగబెట్టుకుందే,sagabettukundhe
45,"00:03:04,879","00:03:05,629",speaker_0,బాయి తిరకనా,baayi thirakanaa
46,"00:03:06,199","00:03:06,549",speaker_0,పల్లె,palle
47,"00:03:12,319","00:03:13,689",speaker_0,ఏ తెల్ల తెల్లని,ye thella thellani
48,"00:03:14,020","00:03:14,370",speaker_0,పాలధారలల్ల,paaladhaaralalla
49,"00:03:15,319","00:03:15,669",speaker_0,పల్లె,palle
50,"00:03:15,919","00:03:16,269",speaker_0,తెల్లారుతుంటదిరా,thellaaruthuntadhiraa
51,"00:03:18,129","00:03:19,060",speaker_0,గుళ్లోని గంటలు,gulloni gantalu
52,"00:03:19,199","00:03:19,549",speaker_0,కాడెట్ల,kaadetla
53,"00:03:19,840","00:03:20,189",speaker_0,మెడలోన,medalona
54,"00:03:20,500","00:03:20,849",speaker_0,జంటగ,jantaga
55,"00:03:21,139","00:03:21,489",speaker_0,మోగుతా,moguthaa
56,"00:03:21,879","00:03:22,229",speaker_0,ఉంటాయిరా,untaayiraa
57,"00:03:23,409","00:03:24,399",speaker_0,నాగలి భుజాన,naagali bhujaana
58,"00:03:24,460","00:03:24,810",speaker_0,పెట్టుకుంటే,pettukunte
59,"00:03:25,719","00:03:26,069",speaker_0,దోస్తులు,dhosthulu
60,"00:03:26,379","00:03:26,729",speaker_0,చేయేసినట్టేరా,cheyesinatteraa
61,"00:03:28,319","00:03:29,329",speaker_0,కొట్టు గోదా,kottu godhaa
62,"00:03:29,659","00:03:30,009",speaker_0,పక్కన,pakkana
63,"00:03:30,319","00:03:30,669",speaker_0,ఉంటే,unte
64,"00:03:30,939","00:03:31,289",speaker_0,కొండంత,kondantha
65,"00:03:31,580","00:03:31,930",speaker_0,బలగం,balagam
66,"00:03:32,280","00:03:32,629",speaker_0,ఉన్నట్టురా,unnatturaa
67,"00:03:33,969","00:03:35,919",speaker_0,చల్లగాలి మోసుకొచ్చేరా,challagaali mosukochheraa
