index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:05,419","00:00:07,669",speaker_0,మద్యం సేవించడం ఆరోగ్యానికి హానికరం. Consumption of alcohol is,madhyam sevinchadam aarogyaaniki haanikaram. Consumption of alcohol is
2,"00:00:07,719","00:00:08,359",speaker_0,injurious to health.,injurious to health.
3,"00:02:12,490","00:02:13,179",speaker_1,రేయ్! Mumbai,rey! Mumbai
4,"00:02:13,229","00:02:14,650",speaker_1,High Court Chief Justice వి.,High Court Chief Justice vi.
5,"00:02:14,900","00:02:15,389",speaker_1,నువ్వేంటి ఇలా?,nuvventi ilaa?
6,"00:02:15,780","00:02:17,189",speaker_0,Ruling party Minister కి సంబంధించిన,Ruling party Minister ki sambandhinchina
7,"00:02:17,419","00:02:18,639",speaker_0,ఓ కేసులో నేను తీర్పు ఇస్తున్నానని,o kesulo nenu theerpu isthunnaanani
8,"00:02:18,780","00:02:19,069",speaker_0,తెలిసి,thelisi
9,"00:02:19,539","00:02:20,430",speaker_0,ఆ తీర్పు మార్చడానికి,aa theerpu maarchadaaniki
10,"00:02:20,620","00:02:21,789",speaker_0,నా మీద ఎంతో pressure తీసుకొచ్చారు.,naa meedha yentho pressure theesukochhaaru.
11,"00:02:22,500","00:02:23,030",speaker_0,నేను ఒప్పుకోపోయేసరికి,nenu oppukopoyesariki
12,"00:02:23,560","00:02:25,810",speaker_0,Government side నుంచి కూడా నాకు ఏ help లేకుండా చేశారు.,Government side nunchi koodaa naaku ye help lekundaa cheshaaru.
13,"00:02:26,180","00:02:28,650",speaker_0,Additional security కోసం Central Government కి apply చేసేలోపే.,Additional security kosam Central Government ki apply cheselope.
14,"00:02:41,340","00:02:41,580",speaker_1,ఏరా,yeraa
15,"00:02:42,240","00:02:44,099",speaker_1,అరవై ఏళ్లు వచ్చినా honesty తోనే పోతావా?,aravai yellu vachhinaa honesty thone pothaavaa?
16,"00:02:44,539","00:02:44,889",speaker_0,సంతోషంగా,santhoshangaa
17,"00:02:45,819","00:02:46,620",speaker_0,but not my family.,but not my family.
18,"00:02:47,479","00:02:49,099",speaker_0,వాళ్ళని ఏదైనా safe place కి shift చేయాలి.,vaallani yedhainaa safe place ki shift cheyaali.
19,"00:02:51,699","00:02:51,919",speaker_1,సరే,sare
20,"00:02:52,680","00:02:54,569",speaker_1,Pune లో నాకు తెలిసిన safe place ఒకటుంది.,Pune lo naaku thelisina safe place okatundhi.
21,"00:02:54,919","00:02:55,269",speaker_1,మిమ్మల్నందరినీ,mimmalnandharinee
22,"00:02:55,419","00:02:56,199",speaker_1,అక్కడికి shift చేస్తా.,akkadiki shift chesthaa.
