index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:11,240","00:00:11,589",speaker_0,పొగత్రాగడం,pogathraagadam
2,"00:00:11,980","00:00:13,669",speaker_0,మద్యం సేవించడం ఆరోగ్యానికి హానికరం,madhyam sevinchadam aarogyaaniki haanikaram
3,"00:00:14,000","00:00:15,109",speaker_0,మరియు క్యాన్సర్ కు కారకం.,mariyu kyaansar ku kaarakam.
4,"00:00:15,699","00:00:16,050",speaker_0,Smoking,Smoking
5,"00:00:16,199","00:00:18,670",speaker_0,and drinking is injurious to health. It causes cancer.,and drinking is injurious to health. It causes cancer.
6,"00:02:34,460","00:02:35,930",speaker_1,ఇదేమి action sequence కాదు.,idhemi action sequence kaadhu.
7,"00:02:36,620","00:02:38,250",speaker_1,నేను villains ని chase చేయటం లేదు.,nenu villains ni chase cheyatam ledhu.
8,"00:02:38,860","00:02:40,389",speaker_1,ఇద్దరు ఆరాధులు నన్ను అడిగిన ప్రశ్నలు.,idhdharu aaraadhulu nannu adigina prashnalu.
9,"00:02:41,300","00:02:42,379",speaker_1,నన్ను chase చేయటం వల్ల,nannu chase cheyatam valla
10,"00:02:42,919","00:02:43,949",speaker_1,నేను ఈ నిర్ణయానికి వచ్చాను.,nenu ee nirnayaaniki vachhaanu.
11,"00:02:44,819","00:02:46,650",speaker_1,మీలోనూ నాలాంటి మగాళ్ళు ఉంటారు కాబట్టి,meelonoo naalaanti magaallu untaaru kaabatti
12,"00:02:47,360","00:02:48,370",speaker_1,నా కథ మీరు తెలుసుకోవాలి.,naa katha meeru thelusukovaali.
13,"00:02:49,580","00:02:50,129",speaker_1,నా పేరు,naa peru
14,"00:02:50,699","00:02:51,289",speaker_1,Ram సత్యనారాయణ.,Ram sathyanaaraayana.
15,"00:03:00,569","00:03:01,430",speaker_2,భక్త మహాతయా,bhakta mahaathayaa
16,"00:03:05,719","00:03:07,289",speaker_1,హైదరాబాద్ outskirts లో ఉన్న మా vineyard.,hyderabad outskirts lo unna maa vineyard.
17,"00:03:08,000","00:03:09,729",speaker_1,"తెల్లోడి wine తెలుగోడు తాగటమే కాదు,","thellodi wine thelugodu thaagatame kaadhu,"
18,"00:03:10,180","00:03:11,870",speaker_1,తెలుగోడు wine తెల్లోడు తాగాలనే ఉద్దేశంతోనే,thelugodu wine thellodu thaagaalane udhdheshanthone
