index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:03:01,360","00:03:02,639",speaker_1,అక్కా అక్కా అక్కా అక్కా అక్కా అక్కా,akkaa akkaa akkaa akkaa akkaa akkaa
2,"00:03:03,219","00:03:04,090",speaker_1,అన్నయ్యకు నువ్వే చెప్పక్కా,annayyaku nuvve cheppakkaa
3,"00:03:04,860","00:03:06,129",speaker_0,నీకు అన్నయ్యగా నువ్వే చెప్పు,neeku annayyagaa nuvve cheppu
4,"00:03:06,180","00:03:06,879",speaker_1,Please please please,Please please please
5,"00:03:07,039","00:03:07,870",speaker_0,వస్తున్నాడు వస్తున్నాడు,vasthunnaadu vasthunnaadu
6,"00:03:09,740","00:03:10,240",speaker_1,ఆ అన్నయ్యా,aa annayyaa
7,"00:03:10,379","00:03:11,989",speaker_2,"ఎందుకు మీ యాదవ్ మొహం వేసుకొని, వెళ్ళా.","yendhuku mee yaadhav moham vesukoni, vellaa."
8,"00:03:15,020","00:03:16,620",speaker_2,అమ్మా time లేదు tiffin ఇవ్వవ్,ammaa time ledhu tiffin ivvav
9,"00:03:17,379","00:03:17,729",speaker_0,తిస్తున్నారా?,thisthunnaaraa?
10,"00:03:25,449","00:03:25,759",speaker_0,తిను. నాన్న,thinu. naanna
11,"00:03:26,439","00:03:27,229",speaker_0,రేపు నీ పుట్టినరోజు,repu nee puttinaroju
12,"00:03:27,439","00:03:27,789",speaker_0,రా,raa
13,"00:03:28,159","00:03:29,179",speaker_0,దసరా పండగ కూడాను,dhasaraa pandaga koodaanu
14,"00:03:29,500","00:03:30,930",speaker_2,Celebrate చేయడానికి plan చేశాను కదా.,Celebrate cheyadaaniki plan cheshaanu kadhaa.
15,"00:03:31,120","00:03:32,419",speaker_2,రేపు మీ అందరికీ ఒక surprise ఉందమ్మా,repu mee andharikee oka surprise undhammaa
16,"00:03:33,409","00:03:34,860","speaker_1, speaker_2",అన్నయ్యా ఊ,annayyaa oo
17,"00:03:34,919","00:03:35,269",speaker_1,గాయత్రికి,gaayathriki
18,"00:03:35,599","00:03:36,269",speaker_1,Emory University,Emory University
19,"00:03:36,460","00:03:37,409",speaker_1,నుండి mail వచ్చింది,nundi mail vachhindhi
20,"00:03:37,620","00:03:40,169",speaker_2,"Dance, music లాంటి extra లు అవసరం లేదు చదువుకోమని చెప్పి చాలు","Dance, music laanti extra lu avasaram ledhu chadhuvukomani cheppi chaalu"
21,"00:03:41,580","00:03:42,620",speaker_1,అది PG కోసం,adhi PG kosam
22,"00:03:43,139","00:03:44,460",speaker_2,ముందు degree complete చేయమని చెప్పు,mundhu degree complete cheyamani cheppu
23,"00:03:45,000","00:03:46,810",speaker_1,ఇప్పుడు apply చేస్తే గాని seat రాదన్నయ్యా,ippudu apply chesthe gaani seat raadhannayyaa
24,"00:03:55,740","00:03:58,659",speaker_2,నాకు నెలకు ఒక్కసారే జీతం వస్తుంది నాన్న కానీ మీ requirements మాత్రం,naaku nelaku okkasaare jeetham vasthundhi naanna kaanee mee requirements maathram
25,"00:03:58,900","00:04:01,740",speaker_2,రోజు వస్తూనే ఉంటాయి. ఓ ఎద్దుకు కూడా ఇంది బస్తాలు మోయాలి అని limit,roju vasthoone untaayi. o yedhdhuku koodaa indhi basthaalu moyaali ani limit
26,"00:04:01,819","00:04:03,180",speaker_2,ఉంటుంది. కానీ నా బాధ్యత తులకమాతకు,untundhi. kaanee naa baadhyatha thulakamaathaku
27,"00:04:03,819","00:04:04,580",speaker_2,limit ఏ లేదు.,limit ye ledhu.
28,"00:04:05,080","00:04:06,069",speaker_2,"మీ చదువులు, పుస్తకాలు,","mee chadhuvulu, pusthakaalu,"
29,"00:04:06,319","00:04:07,379",speaker_2,"eyeliner లు, lip gloss లు.","eyeliner lu, lip gloss lu."
30,"00:04:09,860","00:04:11,800",speaker_2,ఎక్కడ? దీని ending ఎక్కడ? దీనికి ending ఎక్కడ?,yekkada? dheeni ending yekkada? dheeniki ending yekkada?
31,"00:04:12,020","00:04:13,520",speaker_2,దీనికి ending ఎక్కడ? ఎక్కడ? ఎక్కడ?,dheeniki ending yekkada? yekkada? yekkada?
32,"00:04:13,620","00:04:13,969",speaker_1,ఎక్కడో,yekkado
33,"00:04:15,199","00:04:17,090",speaker_2,వీటన్నిటికీ నా దగ్గర time లేదు. తర్వాత మాట్లాడుకుందాం.,veetannitikee naa dhaggara time ledhu. tharvaatha maatlaadukundhaam.
34,"00:04:17,279","00:04:17,930",speaker_2,అమ్మ bag ఇవ్వవ్,amma bag ivvav
35,"00:04:17,980","00:04:18,870",speaker_0,ఆ ఇదిగో ఇదిగో,aa idhigo idhigo
36,"00:04:19,160","00:04:20,620",speaker_0,ఇంకో ఇడ్లీ ఉంది. తినేసి వెళ్ళరా,inko idlee undhi. thinesi vellaraa
37,"00:04:21,040","00:04:21,600",speaker_2,నువ్వు తినేయమ్మా,nuvvu thineyammaa
38,"00:04:30,920","00:04:32,019",speaker_2,ఏయ్ రాజేంద్ర బండి తీ,yey raajendhra bandi thee
39,"00:04:32,500","00:04:32,899",speaker_2,time లేదు,time ledhu
40,"00:04:37,459","00:04:38,300","speaker_1, speaker_2",అన్నయ్యా Airport,annayyaa Airport
41,"00:04:38,699","00:04:38,990",speaker_1,Okay sir,Okay sir
42,"00:04:41,240","00:04:41,639",speaker_1,అమ్మా,ammaa
43,"00:04:42,120","00:04:43,650",speaker_1,అన్నయ్య నాకు నాన్నలా కనబడుతున్నాడేంటి?,annayya naaku naannalaa kanabaduthunnaadenti?
44,"00:04:45,699","00:04:46,890",speaker_0,నీకు మీ నాన్నలా కనబడుతున్నాడు.,neeku mee naannalaa kanabaduthunnaadu.
45,"00:04:47,459","00:04:48,610",speaker_0,నాకు మా నాన్నలా కనబడుతున్నాడు.,naaku maa naannalaa kanabaduthunnaadu.
46,"00:04:50,779","00:04:51,120",speaker_0,గాయు,gaayu
47,"00:04:51,360","00:04:51,800",speaker_1,అమ్మా,ammaa
48,"00:04:51,860","00:04:52,210",speaker_0,Application,Application
49,"00:04:52,399","00:04:53,579",speaker_0,ఏ కదా ఒకటి వేసి ఉంచు,ye kadhaa okati vesi unchu
50,"00:04:54,139","00:04:54,490",speaker_1,ఊ,oo
51,"00:04:58,120","00:04:58,399",speaker_2,హే babe,he babe
52,"00:04:59,049","00:04:59,670",speaker_1,ఓయ్ నీతో,oy neetho
53,"00:04:59,720","00:05:00,339",speaker_1,ఒక గంట గడపొచ్చా?,oka ganta gadapochhaa?
54,"00:05:00,660","00:05:01,180",speaker_2,అలా అడగకూడదు.,alaa adagakoodadhu.
55,"00:05:01,600","00:05:01,950",speaker_2,హసియంగా,hasiyangaa
56,"00:05:02,120","00:05:02,480",speaker_2,ఉంటుంది.,untundhi.
