index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:30,160","00:00:30,510",speaker_0,ఇది,idhi
2,"00:00:30,940","00:00:31,690",speaker_0,కాలం మర్చిపోలేని,kaalam marchipoleni
3,"00:00:32,079","00:00:32,969",speaker_0,ఒక ఊరి కథ,oka oori katha
4,"00:00:36,579","00:00:37,690",speaker_1,"రంగులు వేసుకుంది చాలు,","rangulu vesukundhi chaalu,"
5,"00:00:38,240","00:00:39,630",speaker_1,అందరూ వచ్చి చాలా సేపు అయితుంది,andharoo vachhi chaalaa sepu ayithundhi
6,"00:00:40,340","00:00:41,649",speaker_1,నాటకం శురు చేద్దాం రారేయ్,naatakam shuru chedhdhaam raarey
7,"00:00:45,899","00:00:46,649",speaker_0,చరిత్ర ఎప్పటికీ,charithra yeppatikee
8,"00:00:46,979","00:00:47,630",speaker_0,గుర్తు పెట్టుకునే,gurthu pettukune
9,"00:00:48,159","00:00:49,190",speaker_0,మట్టి మనుషులు కథ.,matti manushulu katha.
10,"00:00:51,089","00:00:51,759",speaker_0,పందొమ్మిది వందల,pandhommidhi vandhala
11,"00:00:51,840","00:00:53,490",speaker_0,నలభై ఏడు ఆగస్టు పదిహేను,nalabhai yedu aagastu padhihenu
12,"00:00:54,380","00:00:55,190",speaker_0,భారత దేశానికి,bhaaratha dheshaaniki
13,"00:00:55,380","00:00:55,730",speaker_0,స్వాతంత్ర్యం,svaathanthra్yam
14,"00:00:56,039","00:00:56,390",speaker_0,వచ్చిందని,vachhindhani
15,"00:00:57,179","00:00:58,009",speaker_0,అందరికీ తెలుసు.,andharikee thelusu.
16,"00:00:59,020","00:01:00,350",speaker_0,కానీ దేశం నడిబొడ్డున,kaanee dhesham nadibodduna
17,"00:01:00,640","00:01:01,210",speaker_0,ఉన్న హైదరాబాద్,unna hyderabad
18,"00:01:01,460","00:01:02,690",speaker_0,స్టేట్ కు మాత్రం రాలేదని,state ku maathram raaledhani
19,"00:01:03,889","00:01:05,180",speaker_0,ఎంతమందికి తెలుసు.,yenthamandhiki thelusu.
20,"00:01:05,280","00:01:05,629",speaker_0,ఎందుకంటే,yendhukante
21,"00:01:06,519","00:01:09,309",speaker_0,అక్కడి రాజైన నిజాం వేరే దేశంగా ఉంటామని ప్రకటించాడు.,akkadi raajaina nijaam vere dheshangaa untaamani prakatinchaadu.
22,"00:01:10,260","00:01:10,869",speaker_0,అతని సైన్యమే,athani sainyame
23,"00:01:11,599","00:01:11,949",speaker_0,రజాకార్లు,rajaakaarlu
24,"00:01:12,260","00:01:12,750",speaker_0,అని పిలవబడే,ani pilavabade
25,"00:01:12,939","00:01:13,289",speaker_0,రాక్షసులు.,raakshasulu.
26,"00:01:14,140","00:01:14,669",speaker_0,ఆ రాక్షసుల,aa raakshasula
27,"00:01:14,900","00:01:15,250",speaker_0,నాయకుడే,naayakude
28,"00:01:15,799","00:01:16,629",speaker_0,ఖాసం రజ్వీ.,khaasam rajvee.
29,"00:01:33,599","00:01:34,689",speaker_2,ఢిల్లీకి పిలిచిన కారణం,dilleeki pilichina kaaranam
30,"00:01:35,359","00:01:35,709",speaker_3,హైదరాబాద్,hyderabad
31,"00:01:35,920","00:01:36,509",speaker_3,స్టేట్ విషయంలో,state vishayamlo
32,"00:01:37,000","00:01:37,809",speaker_3,ఏ నిర్ణయం తీసుకున్నారో,ye nirnayam theesukunnaaro
33,"00:01:38,019","00:01:38,369",speaker_3,తెలుసుకోవడానికి,thelusukovadaaniki
34,"00:01:38,579","00:01:39,269",speaker_3,రజ్వీ సాబ్.,rajvee saab.
35,"00:01:40,579","00:01:40,929",speaker_2,హైదరాబాద్,hyderabad
36,"00:01:41,200","00:01:41,809",speaker_2,స్టేట్ పాకిస్తాన్,state pakistan
37,"00:01:42,000","00:01:43,489",speaker_2,లా స్వతంత్ర దేశంగా ఉండాలని,laa svathanthra dheshangaa undaalani
38,"00:01:44,120","00:01:45,089",speaker_2,నిజాం ప్రభువు నిర్ణయించుకున్నారు.,nijaam prabhuvu nirnayinchukunnaaru.
39,"00:01:47,980","00:01:48,709",speaker_2,ఇంకా ఈ విషయంలో,inkaa ee vishayamlo
40,"00:01:49,879","00:01:52,229",speaker_2,భారత ప్రభుత్వం ఎలాంటి జోక్యాన్ని మేము సహించం.,bhaaratha prabhuthvam yelaanti jokyaanni memu sahincham.
41,"00:01:54,359","00:01:55,229",speaker_3,ఈ పటేల్ ఉన్నంతవరకు,ee patel unnanthavaraku
42,"00:01:55,480","00:01:56,969",speaker_3,ఈ దేశాన్ని ఎవరూ ముక్కలు చేయలేరు.,ee dheshaanni yevaroo mukkalu cheyaleru.
43,"00:01:59,579","00:01:59,929",speaker_3,మర్యాదగా,maryaadhagaa
44,"00:02:02,260","00:02:03,340",speaker_3,హైదరాబాద్ సంస్థానాన్ని,hyderabad samsthaanaanni
45,"00:02:03,400","00:02:04,649",speaker_3,భారత్ లో విలీనం చేయడమే,bhaarath lo vileenam cheyadame
46,"00:02:05,859","00:02:06,489",speaker_3,మీకు మంచితనని,meeku manchithanani
47,"00:02:07,780","00:02:08,609",speaker_3,మీ నిజాం కి తెలియజేయండి.,mee nijaam ki theliyajeyandi.
48,"00:02:09,300","00:02:10,090",speaker_2,మీరు ఒకటి మర్చిపోతున్నారు.,meeru okati marchipothunnaaru.
49,"00:02:12,330","00:02:12,930",speaker_2,మీరు భారతదేశానికి,meeru bhaarathadheshaaniki
50,"00:02:13,400","00:02:14,370",speaker_2,హోం మినిస్టర్ అయి ఉండొచ్చు.,hom minister ayi undochhu.
51,"00:02:15,219","00:02:15,889",speaker_2,మాకు కాదు.,maaku kaadhu.
52,"00:02:17,539","00:02:18,789",speaker_2,మా నిజాం రాజ్యాన్ని కాపాడుకోవడానికి,maa nijaam raajyaanni kaapaadukovadaaniki
53,"00:02:21,280","00:02:22,280",speaker_2,"మేము ప్రాణాలు ఇవ్వటానికైనా,","memu praanaalu ivvataanikainaa,"
54,"00:02:24,629","00:02:25,939",speaker_2,తీయటానికైనా సిద్ధం.,theeyataanikainaa sidhdham.
