index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:00,000","00:00:00,350",speaker_0,దుముపానం,dhumupaanam
2,"00:00:28,920","00:00:29,270",speaker_0,మద్యపానం,madhyapaanam
3,"00:00:29,460","00:00:30,270",speaker_0,ఆరోగ్యానికి హానికరమండి,aarogyaaniki haanikaramandi
4,"00:00:30,780","00:00:33,750",speaker_0,మరియు cancer కి కారకం అండి. Smoking and consumption of alcohol,mariyu cancer ki kaarakam andi. Smoking and consumption of alcohol
5,"00:00:33,799","00:00:35,979",speaker_0,are injurious to health అండి. It causes cancer అండి.,are injurious to health andi. It causes cancer andi.
6,"00:00:36,079","00:00:36,719",speaker_0,జాగ్రత్త అండి మరి.,jaagraththa andi mari.
7,"00:00:36,810","00:00:37,160",speaker_2,ఎరా,era
8,"00:01:42,579","00:01:42,929",speaker_2,"సరణా,","saranaa,"
9,"00:01:48,640","00:01:49,189",speaker_2,అందరూ వచ్చేరరా?,andharoo vachheraraa?
10,"00:01:49,500","00:01:50,009",speaker_3,ఆ వచ్చేరండి.,aa vachherandi.
11,"00:01:50,400","00:01:51,030",speaker_2,మరి ఆ పేటోళ్ళు,mari aa petollu
12,"00:01:51,219","00:01:51,569",speaker_2,మెరకీతోళ్ళు?,merakeethollu?
13,"00:01:52,379","00:01:53,439",speaker_3,ఆ వాళ్ళు కూడా వచ్చేరండి.,aa vaallu koodaa vachherandi.
14,"00:01:54,680","00:01:55,409",speaker_2,"ఆ అందరూ వచ్చేరుగానన్న,","aa andharoo vachherugaananna,"
15,"00:01:55,900","00:01:57,879",speaker_2,మొదలెట్టండి బాబా. ఓ పల్లెన్నయ్య అప్పుడు నుంచేవా.,modhalettandi baba. o pallennayya appudu nunchevaa.
16,"00:01:58,400","00:01:59,829",speaker_2,ఆ అదిగో సర్పంచ్ గారు కూడా వచ్చేరండి.,aa adhigo sarpanch gaaru koodaa vachherandi.
17,"00:02:00,239","00:02:00,589",speaker_1,అశ్వపూర్వాం,ashvapoorvaam
18,"00:02:01,340","00:02:01,689",speaker_1,రథమధ్యాం,rathamadhyaam
19,"00:02:02,239","00:02:02,589",speaker_1,హస్తినాద,hasthinaadha
20,"00:02:03,060","00:02:03,409",speaker_1,ప్రబోధినిం,prabodhinim
21,"00:02:04,500","00:02:05,250",speaker_1,శ్రీయం దేవిం,shreeyam dhevim
22,"00:02:05,459","00:02:05,809",speaker_1,ఉపహ్వయే,upahvaye
23,"00:02:06,319","00:02:06,669",speaker_1,శ్రీమాన్,shreemaan
24,"00:02:07,180","00:02:07,949",speaker_1,దేవీ ద్రుషుతాం,dhevee dhrushuthaam
25,"00:02:08,860","00:02:09,650",speaker_1,కాం సోస్మితాం,kaam sosmithaam
26,"00:02:10,319","00:02:10,669",speaker_1,హిరణ్య,hiranya
27,"00:02:10,819","00:02:11,169",speaker_1,ప్రాకార,praakaara
28,"00:02:11,500","00:02:11,849",speaker_1,మధ్యాం,madhyaam
29,"00:02:12,300","00:02:12,650",speaker_1,వలంకేతు,valankethu
30,"00:02:13,199","00:02:13,769",speaker_1,కాం తస్మైతే-,kaam thasmaithe-
31,"00:02:14,400","00:02:14,750",speaker_3,అమ్మా!,ammaa!
32,"00:02:15,020","00:02:15,370",speaker_3,గరింకాలమ్మ,garinkaalamma
33,"00:02:15,759","00:02:16,039",speaker_3,తల్లి!,tally!
34,"00:02:17,650","00:02:18,639",speaker_3,సల్లగా చూడమ్మా.,sallagaa choodammaa.
35,"00:02:20,550","00:02:21,699",speaker_1,తపోసో విజాతో,thaposo vijaatho
36,"00:02:21,759","00:02:22,109",speaker_1,హనస్పతిస్తత్,hanaspathisthath
37,"00:02:22,740","00:02:23,090",speaker_1,వృక్షోదః,vrukshodhah
38,"00:02:23,599","00:02:23,949",speaker_1,బిల్వః,bilvah
39,"00:02:25,699","00:02:25,799",speaker_2,వెళ్ళి,velli
40,"00:02:44,930","00:02:45,319",speaker_2,రండమ్మా. వెళ్ళి,randammaa. velli
41,"00:02:45,370","00:02:45,699",speaker_2,రండి.,randi.
42,"00:02:47,409","00:02:47,949","speaker_3, speaker_2",నమస్కారం. కూర్చో,namaskaaram. koorcho
43,"00:02:48,000","00:02:48,139",speaker_2,బాబాయ్.,baabaay.
44,"00:02:48,240","00:02:48,900",speaker_3,నమస్కారం అండి.,namaskaaram andi.
45,"00:02:50,430","00:02:51,080",speaker_3,మొదలెట్టండి బాబాయ్.,modhalettandi baabaay.
46,"00:02:53,090","00:02:53,609",speaker_2,ఈరోజు ఈ,eeroju ee
47,"00:02:53,659","00:02:54,009",speaker_2,పంచాయితీ,panchaayithee
48,"00:02:54,219","00:02:54,569",speaker_2,కబురెట్టడానికి,kaburettadaaniki
49,"00:02:55,659","00:02:56,009",speaker_2,ముఖ్యంగా,mukhyangaa
50,"00:02:56,219","00:02:56,909",speaker_2,రెండు కారణాలున్నాయి.,rendu kaaranaalunnaayi.
51,"00:02:57,539","00:02:57,889",speaker_2,మొదటిది,modhatidhi
52,"00:02:58,319","00:02:59,750",speaker_2,పన్నెండు సంవత్సరాల తర్వాత వస్తున్న,pannendu samvathsaraala tharvaatha vasthunna
53,"00:03:00,120","00:03:01,370",speaker_2,మన ఊరి అమ్మూరి జాతర.,mana oori ammoori jaathara.
54,"00:03:01,960","00:03:02,310",speaker_2,రెండోది,rendodhi
55,"00:03:02,680","00:03:03,030",speaker_2,రాబోయే,raaboye
56,"00:03:03,180","00:03:03,539",speaker_2,ఎన్నికలు.,yennikalu.
57,"00:03:04,960","00:03:06,229",speaker_2,మరి ఈ సారి వచ్చే ఎన్నికలు,mari ee saari vachhe yennikalu
58,"00:03:07,270","00:03:07,810",speaker_2,జాతరైన పది,jaatharaina padhi
59,"00:03:07,860","00:03:08,210",speaker_2,రోజులకొస్తున్నాయ్.,rojulakosthunnaay.
60,"00:03:09,120","00:03:10,109",speaker_2,మీ అందరికీ తెలుసు,mee andharikee thelusu
61,"00:03:10,560","00:03:12,360",speaker_2,వెంకటరావు గారు ఈ మధ్యనే కాలం చేశారని.,venkataraavu gaaru ee madhyane kaalam cheshaarani.
62,"00:03:12,939","00:03:13,549",speaker_2,ఆయన స్థానంలో,aayana sthaanamlo
63,"00:03:14,460","00:03:15,120",speaker_2,ఆయన కొడుకు,aayana koduku
64,"00:03:15,639","00:03:16,389",speaker_2,శివగాడు నిలబడుతున్నాడు.,shivagaadu nilabaduthunnaadu.
65,"00:03:19,919","00:03:20,269",speaker_2,అంచేత,anchetha
66,"00:03:21,159","00:03:22,349",speaker_2,ఈ రెండు విషయాల మీద,ee rendu vishayaala meedha
67,"00:03:22,599","00:03:22,949",speaker_2,మనందరం,manandharam
68,"00:03:23,240","00:03:23,590",speaker_2,కూర్చుని,koorchuni
69,"00:03:24,039","00:03:24,569",speaker_2,ఓ మాటనుకుంటే,o maatanukunte
70,"00:03:25,159","00:03:25,509",speaker_2,బాగుంటది.,baaguntadhi.
71,"00:03:26,080","00:03:28,049",speaker_3,"వాడింకా కుర్రోడు కదా మామయ్యా, పబ్లిక్ రాజకీయమెందుకు?","vaadinkaa kurrodu kadhaa maamayyaa, public raajakeeyamendhuku?"
72,"00:03:28,919","00:03:29,409",speaker_3,ఏయ్ సుబ్బారావు!,yey subbaaraavu!
73,"00:03:30,060","00:03:30,949",speaker_3,మనల్ని పిచ్చింది లాగిపోతే,manalni pichhindhi laagipothe
74,"00:03:31,460","00:03:32,379",speaker_3,మీ బాబుతో పాటు,mee baabutho paatu
75,"00:03:32,860","00:03:34,280",speaker_3,అందరికీ పిచ్చిని పిచ్చింది ఎవడ్రా?,andharikee pichhini pichhindhi yevadraa?
76,"00:03:34,699","00:03:35,500",speaker_3,నువ్వా? నేనా?,nuvvaa? nenaa?
77,"00:03:35,740","00:03:36,340",speaker_3,ఈ బుజ్జి గారా?,ee bujji gaaraa?
78,"00:03:36,780","00:03:37,949",speaker_3,ఈ చిన్న కుర్రోడే కదా పిచ్చింది.,ee chinna kurrode kadhaa pichhindhi.
79,"00:03:39,080","00:03:39,379",speaker_3,అయినా,ayinaa
80,"00:03:39,950","00:03:40,569",speaker_3,రాజకీయాలు వయసుతో,raajakeeyaalu vayasutho
81,"00:03:40,620","00:03:41,280",speaker_3,సంబంధం లేదహే.,sambandham ledhahe.
82,"00:03:41,860","00:03:43,090",speaker_3,మంచి చేడు ఎవరో తెలిసేడైతే,manchi chedu yevaro thelisedaithe
83,"00:03:43,240","00:03:44,250",speaker_3,చాలు. అంచేత,chaalu. anchetha
84,"00:03:44,800","00:03:45,150",speaker_3,ఈసారి,eesaari
85,"00:03:45,950","00:03:46,719",speaker_3,శివగాడినే పెడతున్నా.,shivagaadine pedathunnaa.
86,"00:03:47,319","00:03:49,080",speaker_4,పీఎం గారు order ఇస్తే పంచాయితీ ఆపేయండి.,peeeym gaaru order isthe panchaayithee aapeyandi.
87,"00:03:49,789","00:03:50,740",speaker_3,తాగుబోతు ఎదవ్వ.,thaagubothu yedhavva.
88,"00:03:51,099","00:03:51,840",speaker_4,నాకు తెలియక అడుగుతున్నానండి.,naaku theliyaka aduguthunnaanandi.
89,"00:03:52,900","00:03:54,259",speaker_4,అసలు ఈ శివగాడికి రాజకీయాలు ఎందుకండీ?,asalu ee shivagaadiki raajakeeyaalu yendhukandee?
90,"00:03:55,280","00:03:57,409",speaker_4,పదేళ్ళు President గా ఉన్న నాన్నగారి వల్ల ఏమవలేదు.,padhellu President gaa unna naannagaari valla yemavaledhu.
91,"00:03:58,020","00:03:58,829",speaker_4,వీడొచ్చి ఏం పీకుతామని?,veedochhi yem peekuthaamani?
92,"00:04:00,689","00:04:01,289",speaker_4,ఊరందరి ముందు,oorandhari mundhu
93,"00:04:01,340","00:04:01,689",speaker_4,ఎర్రిపుష్పమోడం,yerripushpamodam
94,"00:04:02,120","00:04:02,400",speaker_4,తప్ప.,thappa.
95,"00:04:04,560","00:04:04,900",speaker_3,తప్పుకుంటా.,thappukuntaa.
96,"00:04:06,000","00:04:06,599",speaker_4,ఓహో ఏమన్నావ్?,oho yemannaav?
97,"00:04:07,300","00:04:08,909",speaker_3,ఎందుకురా మా శివగాడు అంటే ప్యాన్లు తడిపేసుకుంటారు?,yendhukuraa maa shivagaadu ante pyaanlu thadipesukuntaaru?
98,"00:04:09,539","00:04:09,860",speaker_4,"అదే, అలాగడిగ.","adhe, alaagadiga."
99,"00:04:11,010","00:04:11,349",speaker_3,చూస్తాంటే ఈ,choosthaante ee
100,"00:04:11,400","00:04:12,459",speaker_3,సారి elections లో వీళ్ళు ఎర్రిపుష్పాలే,saari elections lo veellu yerripushpaale
101,"00:04:12,629","00:04:13,060",speaker_3,వెయ్యలా ఉన్నార్రా.,veyyalaa unnaarraa.
102,"00:04:13,199","00:04:13,500",speaker_4,ఏయ్!,yey!
103,"00:04:13,840","00:04:14,269",speaker_3,ఏ పెద్దోడా!,ye pedhdhodaa!
104,"00:04:14,659","00:04:15,930",speaker_3,ఏ పెద్ద అంత్రేసి అని అందరా లేదా?,ye pedhdha anthresi ani andharaa ledhaa?
105,"00:04:16,620","00:04:18,279",speaker_3,తెదవ పేలా బిన పెల్తలా? తెదవకలా?,thedhava pelaa bina pelthalaa? thedhavakalaa?
106,"00:04:18,339","00:04:18,689",speaker_4,పేలిపోక.,pelipoka.
107,"00:04:20,009","00:04:20,889",speaker_4,ఎర్రిపుష్పాలు గిర్రిపుష్పాలు,yerripushpaalu girripushpaalu
108,"00:04:20,939","00:04:22,079",speaker_4,అంటే పిరిగిన కొడుకులలా పడాలా?,ante pirigina kodukulalaa padaalaa?
109,"00:04:22,139","00:04:23,030",speaker_3,ఆ పడిక ఏం పీకుతారురా?,aa padika yem peekuthaaruraa?
110,"00:04:23,720","00:04:24,330",speaker_3,"వీడో లేడ్రో,","veedo ledro,"
111,"00:04:24,600","00:04:27,210",speaker_3,వీడికి మళ్ళీ elections లో. ఏంటమ్మా ఈ కర్మ అంటున్నాను.,veediki mallee elections lo. yentammaa ee karma antunnaanu.
112,"00:04:27,379","00:04:27,730",speaker_4,వచ్చాడండి,vachhaadandi
113,"00:04:27,899","00:04:29,990",speaker_4,పోతితు లుంగీ ఎత్తుకొని. నువ్వే చెప్పాలి ఎవరు నిలబడాలనేది.,pothithu lungee yeththukoni. nuvve cheppaali yevaru nilabadaalanedhi.
114,"00:04:30,759","00:04:31,620",speaker_3,ఏయ్ చిన్నోడా!,yey chinnodaa!
115,"00:04:31,740","00:04:32,390",speaker_4,ఒరేయ్ ఏమన్నావ్.,orey yemannaav.
116,"00:04:33,250","00:04:33,939",speaker_4,కాసేపు elections,kaasepu elections
117,"00:04:34,000","00:04:34,810",speaker_4,"విషయం పక్కన ఎడదాంగాని,","vishayam pakkana yedadhaangaani,"
118,"00:04:35,139","00:04:36,129",speaker_4,నీ గుండెల మీద చెయ్యేసుకొని,nee gundela meedha cheyyesukoni
119,"00:04:36,939","00:04:37,550",speaker_4,గత పదేళ్లుగా,gatha padhellugaa
120,"00:04:37,680","00:04:39,379",speaker_4,మా నూరిలో జరిగిన అభివృద్ధి ఏంటో చెప్పండి.,maa noorilo jarigina abhivrudhdhi yento cheppandi.
121,"00:04:39,579","00:04:40,019",speaker_3,అబ్బే!,abbey!
122,"00:04:41,360","00:04:41,950",speaker_3,ఒరేయ్ శివా!,orey shivaa!
123,"00:04:43,459","00:04:43,810",speaker_3,ఏరా!,yeraa!
124,"00:04:44,759","00:04:45,710",speaker_3,నా వల్ల ఇన్నేళ్లలో,naa valla innellalo
125,"00:04:46,040","00:04:47,139",speaker_3,ఎవరైనా ఇబ్బంది పడ్డారా?,yevarainaa ibbandhi paddaaraa?
126,"00:04:47,620","00:04:48,920",speaker_2,"లేదులే, అలాంటిదేమీ లేదండి.","ledhule, alaantidhemee ledhandi."
127,"00:04:49,660","00:04:52,250",speaker_2,ఊరన్న తర్వాత problems ఉన్నవా? రోడ్లన్న తర్వాత గుంతలున్నవా?,ooranna tharvaatha problems unnavaa? rodlanna tharvaatha gunthalunnavaa?
128,"00:04:52,660","00:04:54,090",speaker_4,"అవును, ఈ లోటలో అందరూ ఇలాంటి మహానుభావులకు","avunu, ee lotalo andharoo ilaanti mahaanubhaavulaku"
129,"00:04:54,480","00:04:55,310",speaker_4,supporting చేయబెట్టే,supporting cheyabette
130,"00:04:55,680","00:04:56,399",speaker_4,ఊరలా తగలనింది.,ooralaa thagalanindhi.
131,"00:04:56,680","00:04:58,979",speaker_3,"అదిగో మళ్ళీ. రేయ్ రేయ్ పెద్దోడా, మొహం పగిలిపోద్ది నీకు.","adhigo mallee. rey rey pedhdhodaa, moham pagilipodhdhi neeku."
