index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:01:59,380","00:02:00,089",speaker_0,కింగ్ పిన్ లాజిస్టిక్స్.,coming pin logistics.
2,"00:02:00,879","00:02:03,930",speaker_0,సైమన్ అనే వ్యక్తి కంపెనీ పేరు మీద పోర్ట్ ని గవర్నమెంట్ దగ్గర నుంచి,simon ane vyakti company peru meedha port ni government dhaggara nunchi
3,"00:02:03,980","00:02:04,809",speaker_0,తొంబై తొమ్మిది సంవత్సరాలు,thombai thommidhi samvathsaraalu
4,"00:02:05,030","00:02:05,859",speaker_0,లీజ్ తీసుకుని నడిపిస్తున్నాడు.,lease theesukuni nadipisthunnaadu.
5,"00:02:08,319","00:02:09,009",speaker_0,"ఇందులో ఇంజనీర్,","indhulo engineer,"
6,"00:02:09,199","00:02:10,030",speaker_0,"మేనేజర్, సూపర్వైజర్,","manager, sooparvaijar,"
7,"00:02:10,319","00:02:11,090",speaker_0,లోడ్ మాన్ ఇలా,load mann ilaa
8,"00:02:11,360","00:02:12,810",speaker_0,దాదాపు పద్నాలుగు వేల మంది పనిచేస్తున్నారు.,dhaadhaapu padhnaalugu vela mandhi panichesthunnaaru.
9,"00:02:13,759","00:02:14,599",speaker_0,అందర్నీ చెక్ చేసి,andharnee check chesi
10,"00:02:15,139","00:02:16,870",speaker_0,ఫోన్లు తీసుకున్న తర్వాతే లోపలికి పంపిస్తారు.,phonlu theesukunna tharvaathe lopaliki pampisthaaru.
11,"00:02:17,400","00:02:18,009",speaker_0,దానికి కారణం,dhaaniki kaaranam
12,"00:02:18,500","00:02:19,530",speaker_0,లాజిస్టిక్స్ అనే పేరుతో,logistics ane perutho
13,"00:02:19,979","00:02:21,210",speaker_0,"గోల్డ్, ఎలక్ట్రానిక్స్ ఇలా","gold, electronics ilaa"
14,"00:02:21,400","00:02:22,729",speaker_0,చాలా ఇంపోర్ట్ ఎక్స్పోర్ట్ చేస్తున్నారు.,chaalaa import export chesthunnaaru.
15,"00:02:23,870","00:02:25,530",speaker_0,అందులో ఎక్కువగా వాళ్ళు స్మగ్లింగ్ చేసేది,andhulo yekkuvagaa vaallu smagling chesedhi
16,"00:02:26,340","00:02:27,030",speaker_0,లగ్జరీ వాచెస్.,luxury watches.
17,"00:02:27,620","00:02:29,509",speaker_0,"బంగారం, వజ్రం కంటే వీటికి వాల్యూ ఎక్కువ","bangaaram, vajram kante veetiki vaalyoo yekkuva"
18,"00:02:29,960","00:02:30,849",speaker_0,కానీ రిస్క్ తక్కువ.,kaanee risk thakkuva.
19,"00:02:31,599","00:02:31,949",speaker_0,నెలకోసారి,nelakosaari
20,"00:02:32,120","00:02:33,810",speaker_0,మెడికల్ క్యాంప్ పెట్టి అక్కడ పనిచేసే వాళ్ళందరికీ,medical kyaamp petti akkada panichese vaallandharikee
21,"00:02:34,560","00:02:35,789",speaker_0,హెల్త్ చెక్ అప్ చేస్తారు సార్.,health check ap chesthaaru saar.
22,"00:02:36,000","00:02:37,769",speaker_0,"ఇప్పటివరకు ఈ పనులన్నీ అసలు ఎందుకు చేస్తున్నారు,","ippativaraku ee panulannee asalu yendhuku chesthunnaaru,"
23,"00:02:37,939","00:02:38,289",speaker_0,ఎలా?,yelaa?
24,"00:02:38,580","00:02:38,930",speaker_1,"సర్,","sir,"
25,"00:02:39,080","00:02:39,949",speaker_1,"రికార్డ్ కోసం కాదు,","rikaard kosam kaadhu,"
26,"00:02:40,120","00:02:41,489",speaker_1,ఇంటర్నల్ పర్పస్ కోసం. మీరు మాట్లాడండి.,internal purpose kosam. meeru maatlaadandi.
27,"00:02:44,219","00:02:44,829",speaker_0,"అదే సర్,","adhe sir,"
28,"00:02:45,120","00:02:45,930",speaker_0,నేను observe చేసినంతవరకు,nenu observe chesinanthavaraku
29,"00:02:46,139","00:02:46,989",speaker_0,అయ్యప్ప అనే వ్యక్తి,ayyappa ane vyakti
30,"00:02:47,500","00:02:49,979",speaker_0,"లోడు ఎత్తడం, దించడం, డబ్బులు విషయాలన్నీ చూసుకుంటాడు సార్.","lodu yeththadam, dhinchadam, dabbulu vishayaalannee choosukuntaadu saar."
31,"00:02:50,659","00:02:52,150",speaker_0,కార్తీ లేబర్స్ ని maintain చేస్తాడు.,kaarthee lebars ni maintain chesthaadu.
32,"00:02:53,460","00:02:54,889",speaker_0,శ్రీను ట్రాన్స్పోర్ట్ అవి చూసుకుంటాడు.,shreenu transport avi choosukuntaadu.
33,"00:02:56,139","00:02:56,489",speaker_0,వీళ్ళందరికీ,veellandharikee
34,"00:02:56,719","00:02:57,650",speaker_0,"head ఏ సార్, ఆ దయాళ్.","head ye saar, aa dhayaal."
35,"00:02:58,599","00:02:58,949",speaker_1,ఆపయ్యా.,aapayyaa.
36,"00:02:59,300","00:03:00,210",speaker_1,"అదంతా ఓకే గానీ,","adhanthaa okay gaanee,"
37,"00:03:00,560","00:03:01,669",speaker_1,ఎనిమిదేళ్ళ క్రితం ఒక కానిస్టేబుల్,yenimidhella kritham oka kaanistebul
38,"00:03:01,819","00:03:03,030",speaker_1,ని under cover లో లోపల పంపించాం.,ni under cover lo lopala pampinchaam.
39,"00:03:03,400","00:03:03,949",speaker_1,ఒక్క సంవత్సరం.,okka samvathsaram.
40,"00:03:04,580","00:03:05,489",speaker_1,వాడి దగ్గర నుంచి information,vaadi dhaggara nunchi information
41,"00:03:05,620","00:03:06,329",speaker_1,correct గా వచ్చింది.,correct gaa vachhindhi.
42,"00:03:07,060","00:03:08,479",speaker_1,ఆ తర్వాత వాడికి ఏమైందో తెలీదు.,aa tharvaatha vaadiki yemaindho theleedhu.
43,"00:03:08,719","00:03:10,109",speaker_1,ఆ team గురించి ఆచూకీ లేదు.,aa team gurinchi aachookee ledhu.
44,"00:03:10,500","00:03:11,349",speaker_1,మీరు వాడిని పట్టుకోండి.,meeru vaadini pattukondi.
45,"00:03:11,819","00:03:12,909",speaker_1,Information మొత్తం లాగొచ్చు.,Information moththam laagochhu.
46,"00:03:14,000","00:03:14,349",speaker_0,హ్మ్.,hma్.
47,"00:03:15,560","00:03:16,969",speaker_0,అక్కడ దయాళ్ అని ఒకడు ఉంటాడు సార్.,akkada dhayaal ani okadu untaadu saar.
48,"00:03:17,919","00:03:19,289",speaker_0,"మీరు చెప్పినట్టు అక్కడ ఎవరైనా ఉంటే,","meeru cheppinattu akkada yevarainaa unte,"
49,"00:03:20,020","00:03:21,909",speaker_0,ఈపాటికి ఆ దయాళ్ వాళ్ళని ఎప్పుడో చంపేసి ఉండేవాడు.,eepaatiki aa dhayaal vaallani yeppudo champesi undevaadu.
50,"00:03:22,680","00:03:23,489",speaker_1,Ladies and gentlemen.,Ladies and gentlemen.
51,"00:03:23,719","00:03:24,069",speaker_0,దయాళ్.,dhayaal.
52,"00:03:24,879","00:03:27,289",speaker_0,సైమన్ తర్వాత ఈ పోర్ట్ ని మొత్తం control చేసేది వీడే.,simon tharvaatha ee port ni moththam control chesedhi veede.
53,"00:03:36,719","00:03:38,049",speaker_0,వాడి business cut వచ్చే ఎవరినైనా,vaadi business cut vachhe yevarinainaa
