index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:05,280","00:00:05,629",speaker_0,Smoking,Smoking
2,"00:00:05,820","00:00:06,589",speaker_0,causes cancer,causes cancer
3,"00:00:06,820","00:00:07,750",speaker_0,and smoking kills.,and smoking kills.
4,"00:00:08,519","00:00:08,869",speaker_0,ధూమపానం,dhoomapaanam
5,"00:00:09,160","00:00:10,629",speaker_0,cancer కు మరియు మరణాలకు,cancer ku mariyu maranaalaku
6,"00:00:10,849","00:00:11,199",speaker_0,కారణమవుతుంది.,kaaranamavuthundhi.
7,"00:00:14,099","00:00:15,919",speaker_0,Drinking alcohol is injurious to health,Drinking alcohol is injurious to health
8,"00:00:16,660","00:00:18,450",speaker_0,మద్యం తాగడం ఆరోగ్యానికి హానికరం.,madhyam thaagadam aarogyaaniki haanikaram.
9,"00:00:21,199","00:00:21,550",speaker_1,ఏమైన్,yemain
10,"00:03:15,280","00:03:16,250",speaker_1,చలు డల్ గా ఉన్నావా?,chalu dull gaa unnaavaa?
11,"00:03:20,110","00:03:20,629",speaker_1,Periods? Mood,Periods? Mood
12,"00:03:20,680","00:03:21,030",speaker_1,swings?,swings?
13,"00:03:23,039","00:03:23,609",speaker_2,నీకు మాట్లాడటం,neeku maatlaadatam
14,"00:03:23,819","00:03:24,629",speaker_2,రాదు కదా శివ.,raadhu kadhaa shiva.
15,"00:03:27,460","00:03:28,250",speaker_2,Two years ముందు,Two years mundhu
16,"00:03:28,520","00:03:29,789",speaker_2,మన love starting లో ఉన్నప్పుడు,mana love starting lo unnappudu
17,"00:03:30,180","00:03:31,469",speaker_2,నేను eight EMIs కట్టేదాన్ని.,nenu eight EMIs kattedhaanni.
18,"00:03:32,340","00:03:33,129",speaker_2,అది తగ్గి తగ్గి,adhi thaggi thaggi
19,"00:03:33,300","00:03:34,449",speaker_2,ఇప్పుడికి రెండు దాకా వచ్చింది.,ippudiki rendu dhaakaa vachhindhi.
20,"00:03:34,939","00:03:37,150",speaker_2,ఈ month తో ఇంకో EMI కూడా close అయిపోతుంది.,ee month tho inko EMI koodaa close ayipothundhi.
21,"00:03:38,919","00:03:39,269",speaker_2,కానీ,kaanee
22,"00:03:40,139","00:03:41,009",speaker_2,ఆ ఒక్కటే మాత్రం-,aa okkate maathram-
23,"00:03:41,539","00:03:41,889",speaker_3,"Sir,","Sir,"
24,"00:03:42,039","00:03:42,199",speaker_3,bill,bill
25,"00:03:54,340","00:03:54,930",speaker_1,ఒకటే మాత్రం?,okate maathram?
26,"00:03:57,060","00:03:58,969",speaker_2,అది close అవుతుందనే నమ్మకం పోయింది.,adhi close avuthundhane nammakam poyindhi.
27,"00:03:59,520","00:04:00,300",speaker_2,అందుకే ఈరోజు,andhuke eeroju
28,"00:04:00,759","00:04:01,869",speaker_2,అది close చేద్దామని వచ్చాను.,adhi close chedhdhaamani vachhaanu.
