index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:00,000","00:00:00,350",speaker_0,నాకు,naaku
2,"00:00:13,589","00:00:14,129",speaker_0,ఊహ రాకముందే,ooha raakamundhe
3,"00:00:14,580","00:00:16,910",speaker_0,పోస్టర్ మీద ఫోటో పడే స్థాయికి నా కొడుకు ఎదుగుతాడని,poster meedha photo paddy sthaayiki naa koduku yedhuguthaadani
4,"00:00:17,399","00:00:19,160",speaker_0,"అందరికీ చెప్పుకొని మురిసిపోయిన అమ్మకి,","andharikee cheppukoni murisipoyina ammaki,"
5,"00:00:19,679","00:00:20,810",speaker_0,అమ్మ కల నిజం చేయడానికి,amma kala nijam cheyadaaniki
6,"00:00:21,339","00:00:23,890",speaker_0,నా చెయ్యి పట్టుకొని గమ్యం వైపు అడుగులు వేయించిన నాన్నకి,naa cheyyi pattukoni gamyam vaipu adugulu veyinchina naannaki
7,"00:00:24,260","00:00:25,110",speaker_0,ప్రేమతో శ్రద్ధాంజలి,prematho shradhdhaanjali
8,"00:00:25,320","00:00:25,670",speaker_0,ఘటిస్తూ,ghatisthoo
9,"00:00:26,219","00:00:26,910",speaker_0,బాబీ కొల్లి.,bobby kolli.
10,"00:01:07,620","00:01:07,969",speaker_1,లోపల,lopala
11,"00:02:26,189","00:02:26,620",speaker_1,ఏముండాయి రా?,yemundaayi raa?
12,"00:02:26,740","00:02:27,580",speaker_0,పొట్టేళ్ళు సారు.,pottellu saaru.
13,"00:02:37,080","00:02:38,769",speaker_1,ఈ పొద్దు అడవిలో ఏం జరిగినా,ee podhdhu adavilo yem jariginaa
14,"00:02:39,020","00:02:39,689",speaker_1,"మీకు కనపడకూడదు,","meeku kanapadakoodadhu,"
15,"00:02:40,879","00:02:41,229",speaker_1,వినపడకూడదు.,vinapadakoodadhu.
16,"00:02:43,979","00:02:44,539",speaker_1,ఏం చిన్నప్ప,yem chinnappa
17,"00:02:44,979","00:02:45,680",speaker_1,ఏముండాయి లోపల?,yemundaayi lopala?
18,"00:02:45,819","00:02:46,599",speaker_0,పొట్టేళ్ళే సారు.,pottelle saaru.
19,"00:03:03,650","00:03:04,340",speaker_1,"ఏయ్ గల్లీ,","yey glee,"
20,"00:03:04,719","00:03:05,139",speaker_1,గల్లీ కరవ్.,glee karav.
21,"00:03:08,310","00:03:09,030",speaker_1,అరగంటలో మాಲು,aragantalo maaಲು
22,"00:03:09,080","00:03:10,120",speaker_1,మొత్తం లోడ్ అవ్వాలి.,moththam load avvaali.
23,"00:03:39,490","00:03:40,159",speaker_0,చోటా ఠాకూర్,chotaa taker
24,"00:03:41,319","00:03:42,049",speaker_0,సరుకుని మనోళ్ళని,sarukuni manollani
25,"00:03:43,500","00:03:44,289",speaker_0,ఎవడో ఒకడు తగలబెట్టిస్తున్నాడంట.,yevado okadu thagalabettisthunnaadanta.
26,"00:04:02,639","00:04:02,989",speaker_0,ఏందిరా,yendhiraa
27,"00:04:04,210","00:04:04,689",speaker_0,కృష్ణమూర్తి గారి,krushnamoorthi gaari
28,"00:04:04,759","00:04:06,409",speaker_0,టీ ఎస్టేట్ లో కిన్ని బల్లి పోతా ఉండాయ్.,tee estate lo kinni balli pothaa undaay.
29,"00:04:12,680","00:04:14,129",speaker_1,ఎంతకు ముందు పోయిన పొట్టేళ్ళని.,yenthaku mundhu poyina pottellani.
30,"00:04:19,459","00:04:20,430",speaker_1,సింహం ఏదైనా,simham yedhainaa
31,"00:04:20,480","00:04:20,830",speaker_1,వేటాడుంటది.,vetaaduntadhi.
32,"00:04:26,480","00:04:27,269",speaker_0,మనోళ్ళే ఠాకూర్.,manolle taker.
33,"00:04:49,399","00:04:50,079",speaker_1,కౌన్ హై రే తూ?,kaun hai re thoo?
34,"00:04:53,829","00:04:54,660",speaker_0,Lord of,Lord of
35,"00:04:54,779","00:04:55,129",speaker_0,death.,death.
36,"00:05:05,800","00:05:07,670",speaker_1,ఏయ్ నీకేమైనా బెట్ల ఇలా తగలెట్టిస్సావ్.,yey neekemainaa betla ilaa thagalettissaav.
37,"00:05:09,399","00:05:10,290",speaker_0,Climate heat ఎక్కడానికి,Climate heat yekkadaaniki
38,"00:05:10,480","00:05:11,079",speaker_0,మంట వేశా.,manta veshaa.
39,"00:05:25,359","00:05:26,579",speaker_1,బాడి వేడెక్కడానికి,baadi vedekkadaaniki
40,"00:05:26,639","00:05:26,990",speaker_1,మందేసా.,mandhesaa.
41,"00:05:38,500","00:05:39,700",speaker_0,ఖేల్ షురూ కరేంగే.,khel shuroo karenge.
42,"00:06:55,170","00:06:55,520",speaker_2,స్టాప్!,stop!
43,"00:07:14,569","00:07:15,379",speaker_2,So cute.,So cute.
44,"00:07:17,870","00:07:18,220",speaker_2,బ్రౌనీ!,brownie!
45,"00:07:18,930","00:07:19,280",speaker_2,స్టాప్!,stop!
46,"00:07:21,639","00:07:22,709",speaker_2,బ్రౌనీ ఆగు!,brownie aagu!
47,"00:07:24,850","00:07:25,200",speaker_2,బ్రౌనీ!,brownie!
48,"00:07:26,519","00:07:27,910",speaker_2,బ్రౌనీ! వెళ్ళొద్దు,brownie! vellodhdhu
