index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:05,000","00:00:05,349",speaker_0,ఓ,o
2,"00:00:22,579","00:00:22,929",speaker_0,విశ్వవిఖ్యాత!,vishvavikhyaatha!
3,"00:00:26,949","00:00:28,120",speaker_0,నీ గాథ,nee gaatha
4,"00:00:28,179","00:00:29,010",speaker_0,నీ బోధ,nee bodha
5,"00:00:29,440","00:00:29,790",speaker_0,మాకు,maaku
6,"00:00:30,920","00:00:31,270",speaker_0,భగవద్గీత.,bhagavadhgeetha.
7,"00:00:35,710","00:00:38,719",speaker_0,ఓ విశ్వవిఖ్యాత!,o vishvavikhyaatha!
8,"00:00:40,229","00:00:41,200",speaker_0,నీ ఘనత,nee ghanatha
9,"00:00:41,460","00:00:42,310",speaker_0,నీ చరిత,nee charitha
10,"00:00:42,700","00:00:43,050",speaker_0,నిర్మించే,nirminche
11,"00:00:44,640","00:00:44,990",speaker_0,మా,maa
12,"00:00:46,380","00:00:46,730",speaker_0,భవిత.,bhavitha.
13,"00:00:50,289","00:00:53,020",speaker_0,అమరపురి అధినేతా!,amarapuri adhinethaa!
14,"00:00:54,509","00:00:55,899",speaker_0,అందుకో మా,andhuko maa
15,"00:00:55,960","00:00:56,310",speaker_0,జోతా.,jothaa.
16,"00:00:59,079","00:00:59,429",speaker_0,అందుకో,andhuko
17,"00:01:01,460","00:01:01,810",speaker_0,మా,maa
18,"00:01:02,039","00:01:02,390",speaker_0,జోతా.,jothaa.
19,"00:01:04,579","00:01:04,929",speaker_0,అందుకో,andhuko
20,"00:01:07,439","00:01:07,789",speaker_0,మా,maa
21,"00:01:08,659","00:01:09,009",speaker_0,జోతా.,jothaa.
22,"00:02:17,759","00:02:18,759",speaker_1,చాలా ముఖ్యమైన ఎమర్జెన్సీ,chaalaa mukhyamaina emergency
23,"00:02:18,879","00:02:19,229",speaker_1,మీటింగ్.,meeting.
24,"00:02:19,939","00:02:20,650",speaker_1,హైయెస్ట్ ప్రయారిటీ.,highest priority.
25,"00:02:21,500","00:02:22,340",speaker_1,"Central Home Minister,","Central Home Minister,"
26,"00:02:23,060","00:02:24,310",speaker_1,RAW Chief కూడా జాయిన్ అవుతున్నారు.,RAW Chief koodaa join avuthunnaaru.
27,"00:02:25,340","00:02:25,989",speaker_2,Subject sir?,Subject sir?
28,"00:02:26,599","00:02:27,210",speaker_1,యతి గురించి,yathi gurinchi
29,"00:02:27,539","00:02:27,889",speaker_1,అనుకుంటా.,anukuntaa.
30,"00:02:40,360","00:02:42,489",speaker_1,ఈసారి Cricket World Cup ఇండియాలో జరుగుతుందని,eesaari Cricket World Cup indiyaalo jaruguthundhani
31,"00:02:42,840","00:02:43,829",speaker_1,మీ అందరికీ తెలుసు.,mee andharikee thelusu.
32,"00:02:44,620","00:02:45,159",speaker_1,వచ్చే నెల,vachhe nela
33,"00:02:45,960","00:02:46,689",speaker_1,opening ceremony.,opening ceremony.
34,"00:02:47,259","00:02:48,549",speaker_1,పన్నెండు టీములతో పాటు,pannendu teemulatho paatu
35,"00:02:49,020","00:02:50,129",speaker_1,మూడు దేశాల అధ్యక్షులు,moodu dheshaala adhyakshulu
36,"00:02:50,500","00:02:51,909",speaker_1,ఈ ఈవెంట్ కి గెస్ట్ గా వస్తున్నారు.,ee event ki guest gaa vasthunnaaru.
37,"00:02:52,340","00:02:52,699",speaker_1,కానీ,kaanee
38,"00:02:54,099","00:02:55,609",speaker_1,ఒక ప్రమాదం కూడా ముంచుకొస్తుంది.,oka pramaadham koodaa munchukosthundhi.
39,"00:02:58,689","00:02:59,389",speaker_2,హ్మ్. Gangster,hma్. Gangster
40,"00:02:59,439","00:02:59,800",speaker_2,brothers,brothers
41,"00:03:00,460","00:03:01,210",speaker_2,దయా and యతి.,dhayaa and yathi.
42,"00:03:02,879","00:03:04,909",speaker_2,Last month Dubai లో ఉన్న దయా accounts కి,Last month Dubai lo unna dhayaa accounts ki
43,"00:03:05,120","00:03:06,750",speaker_2,Arab దేశాల నుంచి funds వెళ్ళాయి.,Arab dheshaala nunchi funds vellaayi.
44,"00:03:07,759","00:03:08,750",speaker_2,చాలా పెద్ద మొత్తంలో.,chaalaa pedhdha moththamlo.
45,"00:03:09,699","00:03:10,819",speaker_2,Next month ఈ event లో,Next month ee event lo
46,"00:03:11,560","00:03:12,870",speaker_2,దయా అతని తమ్ముడు యతి,dhayaa athani thammudu yathi
47,"00:03:13,439","00:03:14,750",speaker_2,ఏవో దారుణాలు plan చేస్తున్నారని,yevo dhaarunaalu plan chesthunnaarani
48,"00:03:16,080","00:03:16,889",speaker_2,Intelligence information.,Intelligence information.
49,"00:03:19,620","00:03:20,269",speaker_1,దయా ఎక్కడున్నాడో,dhayaa yekkadunnaado
50,"00:03:20,419","00:03:20,769",speaker_1,తెలీదు.,theleedhu.
51,"00:03:21,680","00:03:23,849",speaker_1,ఇక్కడి నుండి మొత్తం operate చేసేది యతి కాబట్టి,ikkadi nundi moththam operate chesedhi yathi kaabatti
52,"00:03:24,979","00:03:26,030",speaker_1,వెంటనే యతిని పట్టుకోవాలి.,ventane yathini pattukovaali.
53,"00:03:27,020","00:03:28,370",speaker_0,"Sir, task force head శివం.","Sir, task force head shivam."
54,"00:03:28,800","00:03:30,409",speaker_0,మూడు సంవత్సరాల నుంచి యతి operations,moodu samvathsaraala nunchi yathi operations
55,"00:03:30,599","00:03:31,969",speaker_0,మీదే monitor చేస్తున్నాడు sir.,meade monitor chesthunnaadu sir.
56,"00:03:33,379","00:03:35,500",speaker_1,యతి గురించి నీ దగ్గర ఏ information ఉంది శివం?,yathi gurinchi nee dhaggara ye information undhi shivam?
57,"00:03:35,659","00:03:36,269",speaker_0,నిజం చెప్పాలంటే,nijam cheppaalante
58,"00:03:36,879","00:03:37,530",speaker_0,ఏం లేదు sir.,yem ledhu sir.
59,"00:03:38,659","00:03:40,669",speaker_0,ఈ three years లో యతిని almost three times పట్టుకున్నాను.,ee three years lo yathini almost three times pattukunnaanu.
60,"00:03:41,159","00:03:42,210",speaker_0,పట్టటం జోలికి వెళ్ళొద్దని,pattatam joliki vellodhdhani
61,"00:03:43,530","00:03:44,169",speaker_0,ప్రతిసారి పైనుంచి,prathisaari painunchi
62,"00:03:44,219","00:03:44,569",speaker_0,వత్తిడి.,vaththidi.
63,"00:03:45,930","00:03:46,349",speaker_1,వాదించడానికి ఇది,vaadhinchadaaniki idhi
64,"00:03:46,400","00:03:47,329",speaker_1,సరైన సమయం కాదు.,saraina samayam kaadhu.
65,"00:03:48,199","00:03:48,580",speaker_0,Sorry sir.,Sorry sir.
66,"00:03:49,319","00:03:50,750",speaker_1,నేను మీకు full powers ఇస్తున్నాను.,nenu meeku full powers isthunnaanu.
67,"00:03:51,039","00:03:51,750",speaker_1,Go and get him.,Go and get him.
68,"00:03:52,379","00:03:54,829",speaker_0,"Two months నుంచి యతి గానీ, అతని gang గానీ ఎవరూ బయట లేరు.","Two months nunchi yathi gaanee, athani gang gaanee yevaroo bayata leru."
69,"00:03:55,520","00:03:56,710",speaker_0,బహుశా ఈ operation కోసమే,bahushaa ee operation kosame
70,"00:03:57,280","00:03:58,349",speaker_0,అందరూ underground వెళ్ళి ఉంటారు.,andharoo underground velli untaaru.
71,"00:03:58,800","00:04:00,250",speaker_1,ఏదో ఒకటి వెంటనే చేయాలి.,yedho okati ventane cheyaali.
72,"00:04:01,099","00:04:01,449",speaker_2,Sir.,Sir.
73,"00:04:01,960","00:04:02,930",speaker_1,వచ్చే నెల event.,vachhe nela event.
74,"00:04:03,419","00:04:04,069",speaker_1,యతిని పట్టుకోకపోతే,yathini pattukokapothe
75,"00:04:04,879","00:04:05,669",speaker_1,event ని ఆపెయ్యాలి.,event ni aapeyyaali.
76,"00:04:17,420","00:04:18,700",speaker_0,యతి గాడి చేతికి దొరికినప్పుడే వదిలేసాం.,yathi gaadi chethiki dhorikinappude vadhilesaam.
77,"00:04:19,620","00:04:20,730",speaker_0,ఇప్పుడు ఆడు ఎక్కడున్నాడో కూడా తెలియట్లేదు.,ippudu aadu yekkadunnaado koodaa theliyatledhu.
78,"00:04:21,459","00:04:22,490",speaker_0,gang లో ఒక్కడు కూడా దొరకడా?,gang lo okkadu koodaa dhorakadaa?
79,"00:04:24,060","00:04:24,910",speaker_2,ఒక్క chance ఉంది.,okka chance undhi.
80,"00:04:26,040","00:04:28,879",speaker_2,యతి gang లో number two రానే. వాడికి ఒక girlfriend ఉంది.,yathi gang lo number two raane. vaadiki oka girlfriend undhi.
81,"00:04:29,040","00:04:31,970",speaker_2,వాళ్ళు underground వెళ్ళకముందు వరకు మాహిమ్ లో regular గా కలిసేవాళ్ళు.,vaallu underground vellakamundhu varaku maahim lo regular gaa kalisevaallu.
82,"00:04:32,360","00:04:33,110",speaker_2,ఆ అమ్మాయిని పట్టుకుంటే,aa ammaayini pattukunte
83,"00:04:33,500","00:04:34,330",speaker_2,వీడిని బయటకు లాగొచ్చు.,veedini bayataku laagochhu.
84,"00:04:34,620","00:04:34,970",speaker_0,వస్తాడా?,vasthaadaa?
85,"00:04:35,839","00:04:36,620",speaker_2,అమ్మాయి గురించి కదా,ammaayi gurinchi kadhaa
86,"00:04:37,579","00:04:38,189",speaker_2,chance తీసుకోవచ్చు.,chance theesukovachhu.
87,"00:04:47,860","00:04:48,520",speaker_0,ఆ అమ్మాయిని నమ్మొచ్చా?,aa ammaayini nammochhaa?
88,"00:04:49,560","00:04:51,270",speaker_2,వాడిని పట్టిస్తే నువ్వు safe అని ఒప్పించాం.,vaadini pattisthe nuvvu safe ani oppinchaam.
89,"00:04:54,370","00:04:56,579",speaker_0,ఖచ్చితంగా వస్తాడు.,khachhithangaa vasthaadu.
90,"00:04:58,060","00:04:58,410",speaker_0,వచ్చు.,vachhu.
91,"00:05:09,220","00:05:09,790",speaker_0,హాయ్ baby.,haay baby.
92,"00:05:13,000","00:05:14,120",speaker_3,ఇతనే దిన్ కే బాద్ యాద్ ఆయె.,ithane dhin ke baadh yaadh aaye.
93,"00:05:14,180","00:05:15,250",speaker_0,మేరీ జంగలీ జవానీ.,mary jangalee javaanee.
94,"00:05:20,000","00:05:20,750",speaker_0,You miss me?,You miss me?
95,"00:05:21,139","00:05:21,509",speaker_3,హా.,haa.
96,"00:05:22,519","00:05:22,870",speaker_0,హ్మ్.,hma్.
97,"00:05:27,939","00:05:28,290",speaker_0,రానే.,raane.
98,"00:05:40,660","00:05:41,350",speaker_0,Shoot out the leg.,Shoot out the leg.
99,"00:05:42,019","00:05:43,129",speaker_0,Come on shoot out the leg boys.,Come on shoot out the leg boys.
100,"00:06:15,949","00:06:17,170",speaker_4,చెప్పరా యతి ఎక్కడ?,chepparaa yathi yekkada?
101,"00:06:17,870","00:06:18,960",speaker_4,చెప్పరా చెప్పు.,chepparaa cheppu.
102,"00:06:19,649","00:06:20,000",speaker_4,చెప్పు.,cheppu.
103,"00:06:21,290","00:06:21,569",speaker_4,ఓయ్,oy
104,"00:06:23,149","00:06:23,760",speaker_4,యతి ఎక్కడ?,yathi yekkada?
105,"00:06:25,029","00:06:25,379",speaker_5,తెలియదు.,theliyadhu.
106,"00:06:28,269","00:06:29,460",speaker_4,వీడు యతి గురించి చెప్పడు కాబట్టి.,veedu yathi gurinchi cheppadu kaabatti.
107,"00:06:32,850","00:06:34,120",speaker_4,వీడి నాలుకతో ఉపయోగం లేదా.,weed naalukatho upayogam ledhaa.
108,"00:06:36,719","00:06:38,730","speaker_5, speaker_4",చెప్పరా. తీసేస్తే,chepparaa. theesesthe
109,"00:06:39,230","00:06:39,900",speaker_4,నాకు satisfaction,naaku satisfaction
110,"00:06:40,790","00:06:41,140",speaker_4,ఉంటది.,untadhi.
111,"00:06:46,290","00:06:46,529",speaker_5,చెప్పా,cheppaa
112,"00:06:46,930","00:06:47,620",speaker_5,South వెళ్ళాడు.,South vellaadu.
113,"00:06:49,730","00:06:50,970",speaker_5,ఆంధ్ర తమిళనాడు border దగ్గర,aandhra thamilanaadu border dhaggara
114,"00:06:51,839","00:06:52,329",speaker_5,రత్నగిరి అనే,rathnagiri ane
115,"00:06:52,379","00:06:52,769",speaker_5,ఒక ఊరు,oka ooru
116,"00:06:53,870","00:06:54,228",speaker_5,అక్కడ,akkada
117,"00:06:54,810","00:06:56,680",speaker_5,మురుగ అనే ఒక చిన్న smuggler ఉంటాడు.,muruga ane oka chinna smuggler untaadu.
118,"00:06:58,230","00:06:59,209",speaker_5,పోర్ట్ నుంచే కాకుండా,port nunche kaakundaa
119,"00:06:59,709","00:07:01,670",speaker_5,సముద్రం మీదుగా కూడా సరుకు తెప్పించుకు వెళ్తాడంట.,samudhram meedhugaa koodaa saruku theppinchuku velthaadanta.
120,"00:07:02,410","00:07:03,089",speaker_5,Three months back,Three months back
121,"00:07:03,670","00:07:04,740",speaker_5,యతి అతని దగ్గరికి వెళ్ళాడు.,yathi athani dhaggariki vellaadu.
122,"00:07:07,719","00:07:08,360","speaker_4, speaker_5",చెప్పా అప్పటి,cheppaa appati
123,"00:07:08,410","00:07:09,480",speaker_5,నుంచి ఇంతవరకు తిరిగి రాలేదు.,nunchi inthavaraku thirigi raaledhu.
124,"00:07:11,009","00:07:12,000",speaker_5,అసలు ఎక్కడున్నాడో కూడా,asalu yekkadunnaado koodaa
125,"00:07:12,750","00:07:13,720",speaker_5,మాకు information లేదు.,maaku information ledhu.
126,"00:07:36,649","00:07:37,330",speaker_4,DSP తులసి.,DSP thulasi.
127,"00:07:54,429","00:07:54,870","speaker_4, speaker_5",కూర్చోండి. నా,koorchondi. naa
128,"00:07:54,930","00:07:55,500",speaker_5,పేరు డాని,peru daani
129,"00:07:56,889","00:07:58,080",speaker_5,Bombay based smuggler ని.,Bombay based smuggler ni.
130,"00:07:59,370","00:08:01,160",speaker_5,సముద్రం మీద నుంచి మాకు ఒక consignment వస్తుంది.,samudhram meedha nunchi maaku oka consignment vasthundhi.
131,"00:08:01,949","00:08:02,939",speaker_5,బోట్లో దింపడం కష్టం.,botlo dhimpadam kashtam.
132,"00:08:04,689","00:08:05,810",speaker_5,ఇక్కడ మురుగ అనే smuggler,ikkada muruga ane smuggler
