index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:05,259","00:00:05,609",speaker_0,పోగత్రాగడం,pogathraagadam
2,"00:00:05,799","00:00:08,689",speaker_0,cancerకు కారకం. పొగత్రాగడం ప్రాణాంతకం మద్యపానం సేవనం ఆరోగ్యానికి,cancerku kaarakam. pogathraagadam praanaanthakam madhyapaanam sevanam aarogyaaniki
3,"00:00:08,740","00:00:09,060",speaker_0,హానికరం.,haanikaram.
4,"00:00:10,279","00:00:11,609",speaker_0,ఈ చిత్రంలోని పాత్రలు సన్నివేశాలు,ee chithramloni paathralu sanniveshaalu
5,"00:00:11,900","00:00:14,099",speaker_0,ఎవరిని ఉద్దేశించి పడినవి కావు. కేవలం కల్పితాలు మాత్రమే.,yevarini udhdheshinchi padinavi coo. kevalam kalpithaalu maathrame.
6,"00:00:14,519","00:00:17,210",speaker_0,"ఈ చిత్రంలో ఏ వ్యక్తి, వర్గం, కులం లేదా మత భావాలను దెబ్బతీయాలనే","ee chithramlo ye vyakti, vargam, kulam ledhaa matha bhaavaalanu dhebbatheeyaalane"
7,"00:00:17,260","00:00:17,929",speaker_0,ఉద్దేశ్యం లేదు.,udhdheshyam ledhu.
8,"00:01:25,770","00:01:26,570",speaker_2,పక్కుర్లని రాత్రే,pakkurlani raathre
9,"00:01:26,620","00:01:27,480",speaker_2,వచ్చినాంట్రా పైసలు.,vachhinaantraa paisalu.
10,"00:01:27,939","00:01:28,530",speaker_2,ఇగ ఆడోళ్ళకి,iga aadollaki
11,"00:01:28,680","00:01:29,019",speaker_2,"ఓ చీర,","o cheera,"
12,"00:01:29,900","00:01:30,819",speaker_2,matching jacket ముక్క.,matching jacket mukka.
13,"00:01:31,810","00:01:32,430",speaker_2,మనకైతే quarter,manakaithe quarter
14,"00:01:32,480","00:01:32,780",speaker_2,"సీసా,","seesaa,"
15,"00:01:33,500","00:01:34,509",speaker_2,packet మసాలా పల్లీలిచ్చినాంట.,packet masaalaa palleelichhinaanta.
16,"00:01:35,819","00:01:36,530",speaker_3,పల్లీలే నారా?,palleele nra?
17,"00:01:37,000","00:01:37,349",speaker_3,పైసలియ్యలే?,paisaliyyale?
18,"00:01:38,609","00:01:39,090",speaker_2,ఇచ్చినాంటయితే ఐదు,ichhinaantayithe aidhu
19,"00:01:39,140","00:01:39,799",speaker_2,వందల దాకా పైసలు.,vandhala dhaakaa paisalu.
20,"00:01:40,420","00:01:40,739",speaker_3,ఒరేయమ్మా!,oreyammaa!
21,"00:01:41,319","00:01:42,480",speaker_3,పోయిన సారి గిట గవ్వ ఇచ్చిర్రు కదరా.,poyina saari gita gavva ichhirru kadharaa.
22,"00:01:43,299","00:01:45,140",speaker_3,ఈ సారి వెయ్యి రూపాయల కంటే తక్కువ తీసుకునేది లేదు.,ee saari veyyi roopaayala kante thakkuva theesukunedhi ledhu.
23,"00:01:45,680","00:01:46,250",speaker_3,గీడ గెలిచినోడేమో,geeda gelichinodemo
24,"00:01:46,519","00:01:47,569",speaker_3,"కార్లు, బంగ్లాలు కొంటుంటే","kaarlu, banglaalu kontunte"
25,"00:01:48,239","00:01:49,819",speaker_3,మనకేమో చెప్పులకే దిక్కు లేకుండా పోయా.,manakemo cheppulake dhikku lekundaa poyaa.
26,"00:01:52,219","00:01:53,269",speaker_3,ఈ సారి అడిగినంత ఇయ్యకపోతే,ee saari adiginantha iyyakapothe
