index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:05,000","00:00:05,349",speaker_0,నేను,nenu
2,"00:02:42,360","00:02:43,439",speaker_0,అన్ని విధాలా try చేశా.,anni vidhaalaa try cheshaa.
3,"00:02:44,219","00:02:45,669",speaker_0,PM మీద చాలా pressure ఉంది.,PM meedha chaalaa pressure undhi.
4,"00:02:46,889","00:02:47,239",speaker_0,International,International
5,"00:02:47,659","00:02:49,389",speaker_0,media కు ISI press note ఇచ్చింది.,media ku ISI press note ichhindhi.
6,"00:02:50,340","00:02:50,949",speaker_0,మన negotiations,mana negotiations
7,"00:02:51,340","00:02:52,569",speaker_0,complete గా fail అయ్యాయని.,complete gaa fail ayyaayani.
8,"00:02:54,300","00:02:55,349",speaker_0,Flight లో ఉన్న terroristలు,Flight lo unna terroristlu
9,"00:02:56,219","00:02:56,750",speaker_0,ఏ క్షణమైనా,ye kshanamainaa
10,"00:02:57,000","00:02:57,989",speaker_0,passengers ను చంపేస్తారు.,passengers nu champesthaaru.
11,"00:02:58,400","00:02:59,930",speaker_1,"Sir, మీకు తెలుసు ఇది నిజం కాదని.","Sir, meeku thelusu idhi nijam kaadhani."
12,"00:03:02,379","00:03:03,979",speaker_1,These bastards are about to break.,These bastards are about to break.
13,"00:03:05,199","00:03:07,609",speaker_1,ముప్పై ఆరు మంది దగ్గర మొదలుపెట్టి ఇప్పుడు ముగ్గురిని release చేస్తే,muppai aaru mandhi dhaggara modhalupetti ippudu muggurini release chesthe
14,"00:03:07,659","00:03:08,189",speaker_1,చాలు అంటున్నారు.,chaalu antunnaaru.
15,"00:03:08,919","00:03:11,599",speaker_1,మనం ఒక్క terrorist ని కూడా release చేయాల్సిన అవసరం లేదు నాకు కొంచెం,manam okka terrorist ni koodaa release cheyaalsina avasaram ledhu naaku konchem
16,"00:03:11,659","00:03:12,300",speaker_1,time ఇవ్వండి చాలు.,time ivvandi chaalu.
17,"00:03:12,800","00:03:15,229",speaker_1,Flight లో ఉన్న passengers అందరినీ safe గా ఇక్కడి నుంచి తీసుకెళ్లి,Flight lo unna passengers andharinee safe gaa ikkadi nunchi theesukelli
18,"00:03:15,280","00:03:15,629",speaker_1,పోవచ్చు.,povachhu.
19,"00:03:16,060","00:03:17,509",speaker_1,It's just a question of time.,It's just a question of time.
20,"00:03:19,039","00:03:19,389",speaker_0,Hostages,Hostages
21,"00:03:19,569","00:03:20,269",speaker_0,ల కుటుంబ సభ్యులందరూ,la kutumba sabhyulandharoo
22,"00:03:20,659","00:03:21,250",speaker_0,మూడు రోజులుగా,moodu rojulugaa
23,"00:03:21,439","00:03:22,549",speaker_0,PM residence ముందు,PM residence mundhu
24,"00:03:23,000","00:03:23,689",speaker_0,ధర్నా చేస్తున్నారు.,dharnaa chesthunnaaru.
25,"00:03:26,849","00:03:27,369",speaker_0,"Unfortunately, this","Unfortunately, this"
26,"00:03:27,419","00:03:27,909",speaker_0,is it.,is it.
27,"00:04:29,899","00:04:30,250",speaker_1,జాహూర్.,jaahoor.
28,"00:04:49,819","00:04:51,629",speaker_1,తుపాకి పెట్టి బెదిరిస్తే చర్చలు జరగవు.,thupaaki petti bedhiristhe charchalu jaragavu.
29,"00:05:05,579","00:05:06,319",speaker_0,ఏం decide చేశారు?,yem decide cheshaaru?
30,"00:05:07,160","00:05:08,319",speaker_1,PM గారితో మేము మాట్లాడాం.,PM gaaritho memu maatlaadaam.
31,"00:05:09,459","00:05:10,079",speaker_1,రేపు ఆ ముగ్గురు,repu aa mugguru
32,"00:05:10,759","00:05:11,839",speaker_1,"ముస్తాక్ అహ్మద్ జర్గర్,","musthaak ahmadh jargar,"
33,"00:05:12,819","00:05:15,720",speaker_1,అహ్మద్ ఉమర్ సయీద్ షేక్ ఇంకా మీ అన్న మౌలానా మసూద్ అజార్ లను,ahmadh umar sued sheikh inkaa mee anna maulaanaa masoodh ajaar lanu
34,"00:05:16,540","00:05:19,110",speaker_1,jail నుంచి విడుదల చేసి ఇక్కడ కాందహార్ లో మీకు అప్పగిస్తాం.,jail nunchi vidudhala chesi ikkada kaandhahaar lo meeku appagisthaam.
35,"00:05:23,040","00:05:23,600",speaker_0,మేం అడిగిన డబ్బు?,mem adigina dabbu?
36,"00:05:24,480","00:05:24,950",speaker_0,ఈ రాత్రికే,ee raathrike
37,"00:05:25,100","00:05:28,290",speaker_0,మీరు అడిగిన ten million dollars మీ Dubai contact కి transfer చేస్తాం.,meeru adigina ten million dollars mee Dubai contact ki transfer chesthaam.
38,"00:05:34,540","00:05:34,759",speaker_1,ఉమ్.,um.
39,"00:05:36,100","00:05:36,689",speaker_1,నేను passengers,nenu passengers
40,"00:05:36,879","00:05:37,730",speaker_1,తో ఒంటరిగా మాట్లాడాలి.,tho ontarigaa maatlaadaali.
41,"00:06:00,439","00:06:00,790",speaker_0,వినండి.,vinandi.
42,"00:06:03,720","00:06:06,070",speaker_0,ఇప్పుడు మీరందరూ మీ కళ్ళకు కట్టిన గంతలను తీసేసి,ippudu meerandharoo mee kallaku kattina ganthalanu theesesi
43,"00:06:06,800","00:06:07,150",speaker_0,కిటికీల్ని,kitikeelni
44,"00:06:07,420","00:06:07,770",speaker_0,తెరవచ్చు.,theravachhu.
45,"00:06:14,730","00:06:15,420",speaker_2,ఎవరూ భయపడకండి.,yevaroo bhayapadakandi.
46,"00:06:16,649","00:06:17,520",speaker_2,నేను అజయ్ సన్యాల్,nenu ajay sanyaal
47,"00:06:18,230","00:06:19,250",speaker_2,భారత IB చీఫ్.,bhaaratha IB chief.
48,"00:06:20,449","00:06:21,560",speaker_2,మీ అందరికీ ఒక శుభవార్త,mee andharikee oka shubhavaartha
49,"00:06:21,730","00:06:22,080",speaker_2,చెప్తున్నాను.,chepthunnaanu.
50,"00:06:23,129","00:06:24,160",speaker_2,మేం జరిపిన చర్చలు,mem jaripina charchalu
51,"00:06:24,649","00:06:25,000",speaker_2,సఫలమయ్యాయి.,saphalamayyaayi.
52,"00:06:27,829","00:06:28,580",speaker_2,రేపు సాయంత్రం,repu saayanthram
53,"00:06:29,250","00:06:30,080",speaker_2,ఇక్కడున్న మీరందరూ,ikkadunna meerandharoo
54,"00:06:31,519","00:06:32,509",speaker_2,భారతదేశానికి సురక్షితంగా,bhaarathadheshaaniki surakshithangaa
55,"00:06:32,610","00:06:32,960",speaker_2,చేరుకుంటారు.,cherukuntaaru.
56,"00:06:35,569","00:06:36,520",speaker_2,ఈ కఠిన పరిస్థితుల్లో,ee katina paristhithullo
57,"00:06:37,719","00:06:38,709",speaker_2,మీరందరూ ధైర్యంతో,meerandharoo dhairyantho
58,"00:06:38,829","00:06:39,269",speaker_2,ఓపికతో,opikatho
59,"00:06:40,279","00:06:40,839",speaker_2,నిరీక్షించినందుకు మన,nireekshinchinandhuku mana
60,"00:06:40,889","00:06:41,250",speaker_2,దేశం,dhesham
61,"00:06:41,670","00:06:42,420",speaker_2,ఎంతో గర్వపడుతుంది.,yentho garvapaduthundhi.
62,"00:06:44,389","00:06:45,360",speaker_2,భారత్ మాతాకీ!,bhaarath maathaakee!
63,"00:06:57,179","00:06:58,569",speaker_2,భారత్ మాతాకీ!,bhaarath maathaakee!
64,"00:07:13,269","00:07:13,620",speaker_1,జై!,jai!
65,"00:07:15,209","00:07:15,410",speaker_1,ఆ,aa
66,"00:07:27,769","00:07:28,379",speaker_1,మీ హిందువులందరూ,mee hindhuvulandharoo
67,"00:07:28,889","00:07:29,589",speaker_1,పిరికి పందలు.,piriki pandhalu.
68,"00:07:30,269","00:07:30,509",speaker_1,ఊ..,oo..
69,"00:07:32,679","00:07:33,329",speaker_3,ఇంటెలిజెంట్ సాబ్.,intelligent saab.
70,"00:07:34,490","00:07:34,980",speaker_3,ఈ రాత్రికే,ee raathrike
71,"00:07:35,810","00:07:36,750",speaker_3,మాకు డబ్బులు వచ్చేయాలి.,maaku dabbulu vachheyaali.
72,"00:07:38,009","00:07:40,210",speaker_1,అందరూ మీ దేశాన్ని బంగారు పిచ్చుక అంటుంటారుగా.,andharoo mee dheshaanni bangaaru pichhuka antuntaarugaa.
73,"00:07:41,470","00:07:42,730",speaker_1,ఈరోజు బంగారం పోయింది.,eeroju bangaaram poyindhi.
74,"00:07:44,209","00:07:45,400",speaker_1,రేపు పిచ్చుకలు ఎగిరిపోతాయ్.,repu pichhukalu yegiripothaay.
75,"00:07:46,370","00:07:46,528",speaker_1,ఆ,aa
76,"00:07:58,910","00:07:59,689",speaker_3,సన్యాల్ సాబ్!,sanyaal saab!
77,"00:08:04,069","00:08:05,170",speaker_3,బోర్డర్ అవతలే ఉంటాం.,border avathale untaam.
78,"00:08:07,089","00:08:08,420",speaker_1,మీ దమ్ము ఎంతుందో చూపించుకోండి.,mee dhammu yenthundho choopinchukondi.
79,"00:08:09,610","00:08:10,600",speaker_1,మమ్మల్ని ఏం పీక్కుంటారో,mammalni yem peekkuntaaro
80,"00:08:10,910","00:08:11,260",speaker_1,పీక్కుకోండి.,peekkukondi.
81,"00:08:22,009","00:08:22,850",speaker_3,సర్ తప్పుగా అనుకోకండి.,sir thappugaa anukokandi.
82,"00:08:24,250","00:08:25,280",speaker_3,మీరు తప్ప మన negotiations,meeru thappa mana negotiations
83,"00:08:25,490","00:08:26,060",speaker_3,team లో,team lo
84,"00:08:26,529","00:08:27,140",speaker_3,అందరూ inexperienced,andharoo inexperienced
85,"00:08:27,410","00:08:27,740",speaker_3,people ఏ.,people ye.
86,"00:08:29,110","00:08:30,080",speaker_3,మన commandos కనుక,mana commandos kanuka
87,"00:08:30,850","00:08:32,000",speaker_3,ఆ place ని round up చేసుంటే,aa place ni round up chesunte
88,"00:08:32,129","00:08:34,190",speaker_3,భారత reputation కి అది మంచి strategy ఉండేది.,bhaaratha reputation ki adhi manchi strategy undedhi.
89,"00:08:34,909","00:08:36,800",speaker_1,అంటే మీ ఉద్దేశం మన reputation ని కాపాడుకోవడానికి,ante mee udhdhesham mana reputation ni kaapaadukovadaaniki
90,"00:08:37,710","00:08:39,960",speaker_1,నూట అరవై మంది passengers ప్రాణాలు risk లో పడేయాలా?,noota aravai mandhi passengers praanaalu risk lo padeyaalaa?
91,"00:08:40,470","00:08:41,080",speaker_1,ఇదేం strategy?,idhem strategy?
92,"00:08:41,549","00:08:43,370",speaker_3,I have handled this kind of situation before,I have handled this kind of situation before
93,"00:08:45,110","00:08:46,070",speaker_3,and let's be frank sir.,and let's be frank sir.
94,"00:08:46,629","00:08:49,200",speaker_3,Our country is not prepared to handle this kind of an adversity.,Our country is not prepared to handle this kind of an adversity.
95,"00:08:50,090","00:08:51,590",speaker_1,So then we better start preparing.,So then we better start preparing.
96,"00:08:53,700","00:08:54,570",speaker_1,అన్నీ try చేశాం.,annee try cheshaam.
97,"00:08:55,850","00:08:56,580",speaker_1,UN ని వేడుకున్నాం.,UN ni vedukunnaam.
98,"00:08:57,210","00:08:59,220",speaker_1,US ముందు చేతులు చాచాం. మన diplomatic,US mundhu chethulu chaachaam. mana diplomatic
99,"00:08:59,389","00:09:00,600",speaker_1,proposal ని చూసి వాళ్ళు నవ్వుకున్నారు.,proposal ni choosi vaallu navvukunnaaru.
100,"00:09:01,590","00:09:04,169",speaker_1,"Sir, I am sorry I am being rather blunt but I have no choice.","Sir, I am sorry I am being rather blunt but I have no choice."
101,"00:09:04,769","00:09:06,090",speaker_1,"కాశ్మీర్ అయింది, కార్గిల్ అయింది.","kashmir ayindhi, kaargil ayindhi."
102,"00:09:06,610","00:09:07,259",speaker_1,ఇప్పుడు హైదరాబాద్,ippudu hyderabad
103,"00:09:07,470","00:09:08,139",speaker_1,లో కూడా చొరబడతారు.,lo koodaa chorabadathaaru.
104,"00:09:08,360","00:09:08,840",speaker_1,ఇక మనం,ika manam
105,"00:09:09,230","00:09:11,950",speaker_1,ముడుచుకు కూర్చుని సారే జహాసే అచ్ఛా ని కూరీ రాగమ్ తీయాలి.,muduchuku koorchuni saare jahaase achhaa ni kooree raagam theeyaali.
106,"00:09:17,230","00:09:18,320",speaker_1,"సర్, మూతి పగలగొట్టాలంటే","sir, moothi pagalagottaalante"
107,"00:09:19,009","00:09:19,860",speaker_1,పెడికిలి పెగించాలి.,pedikili peginchaali.
108,"00:09:21,210","00:09:22,100",speaker_1,We must infiltrate,We must infiltrate
109,"00:09:22,458","00:09:23,920",speaker_1,the very core of terrorism,the very core of terrorism
110,"00:09:24,070","00:09:24,580",speaker_1,in Pakistan.,in Pakistan.
111,"00:09:26,110","00:09:28,379",speaker_1,ఇకపై వాళ్ళు భారత్ కు వ్యతిరేకంగా ఏదైనా చేయాలనుకుంటే,ikapai vaallu bhaarath ku vyathirekangaa yedhainaa cheyaalanukunte
112,"00:09:29,710","00:09:30,360",speaker_1,అది పీడకలవుతుందని,adhi peedakalavuthundhani
113,"00:09:30,850","00:09:31,480",speaker_1,వాళ్ళకి తెలియాలి.,vaallaki theliyaali.
114,"00:09:32,269","00:09:34,029",speaker_1,అందుకు నా దగ్గర ఒక unique plan ఉంది సర్.,andhuku naa dhaggara oka unique plan undhi sir.
115,"00:09:34,529","00:09:36,230",speaker_3,Come on సన్యాల్ what are you talking about?,Come on sanyaal what are you talking about?
116,"00:09:36,629","00:09:36,980",speaker_3,కాందహార్,kaandhahaar
117,"00:09:37,169","00:09:38,779",speaker_3,లో నీ plan fail అవ్వడం చూసి దేశమంతా,lo nee plan fail avvadam choosi dheshamanthaa
118,"00:09:38,929","00:09:39,279",speaker_3,వెక్కిరించింది.,vekkirinchindhi.
119,"00:09:40,090","00:09:41,659",speaker_3,నువ్వు Indian intelligence manage చేసుకో.,nuvvu Indian intelligence manage chesuko.
120,"00:09:42,029","00:09:43,040",speaker_3,International నేను చూసుకుంటా.,International nenu choosukuntaa.
