index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:05,780","00:00:06,779",speaker_0,పొగ త్రాగడం మద్యపానం,poga thraagadam madhyapaanam
2,"00:00:07,019","00:00:07,369",speaker_0,ఆరోగ్యానికి,aarogyaaniki
3,"00:00:07,599","00:00:07,949",speaker_0,హానికరం,haanikaram
4,"00:00:08,259","00:00:10,119",speaker_0,Smoking and drinking is injurious to health.,Smoking and drinking is injurious to health.
5,"00:02:35,319","00:02:35,669",speaker_1,పోచమ్మా!,pochammaa!
6,"00:02:40,479","00:02:40,829",speaker_1,పోచమ్మా!,pochammaa!
7,"00:02:41,680","00:02:42,030",speaker_1,పోచమ్మా!,pochammaa!
8,"00:02:43,840","00:02:44,240",speaker_2,ఏందిరో,yendhiro
9,"00:02:44,780","00:02:45,560",speaker_2,మస్తు షారున్నావ్.,masthu shaarunnaav.
10,"00:02:46,060","00:02:46,539",speaker_2,ఏంది కథ?,yendhi katha?
11,"00:02:46,879","00:02:48,009",speaker_1,నీకోసం ఏం తెచ్చినో చూడు కనా,neekosam yem thechhino choodu kanaa
12,"00:02:48,620","00:02:49,280",speaker_2,ఏం తెచ్చినావ్ రా?,yem thechhinaav raa?
13,"00:02:56,120","00:02:56,520",speaker_2,గాజులా?,gaajulaa?
14,"00:02:57,500","00:02:58,379",speaker_2,పైసలేడికి ఎంచొచ్చినైరా,paisalediki yenchochhinairaa
15,"00:02:58,860","00:02:58,960",speaker_2,ఆ?,aa?
16,"00:03:03,439","00:03:04,080",speaker_2,రాళ్లు మోసినావా?,raallu mosinaavaa?
17,"00:03:05,840","00:03:06,500",speaker_2,మట్టి మోసినావా?,matti mosinaavaa?
18,"00:03:07,199","00:03:07,849",speaker_1,ఏదో మోసినది,yedho mosinadhi
19,"00:03:09,219","00:03:10,389",speaker_2,అయినా నిన్ను గాజులెవరు దెమ్మన్నాడురా,ayinaa ninnu gaajulevaru dhemmannaaduraa
20,"00:03:11,099","00:03:11,729",speaker_1,నీ పుట్టినరోజు,nee puttinaroju
21,"00:03:11,919","00:03:12,539",speaker_1,కదా పోచమ్మా,kadhaa pochammaa
22,"00:03:15,860","00:03:17,340",speaker_2,అమ్మ పుట్టినరోజు గుర్తున్నదా బిడ్డా,amma puttinaroju gurthunnadhaa biddaa
23,"00:03:17,800","00:03:18,949",speaker_1,అవు మరి ఎట్లా మర్చిపోతాను.,avu mari yetlaa marchipothaanu.
24,"00:03:20,289","00:03:21,049",speaker_1,పోచమ్మా రేపీ,pochammaa repee
