index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:00,000","00:00:00,350",speaker_0,Smoking,Smoking
2,"00:00:10,900","00:00:13,029",speaker_0,& Drinking is injurious to health పొగ తాగటం,& Drinking is injurious to health poga thaagatam
3,"00:00:13,380","00:00:14,049",speaker_0,మద్యం సేవించడం,madhyam sevinchadam
4,"00:00:14,380","00:00:14,730",speaker_0,ఆరోగ్యానికి,aarogyaaniki
5,"00:00:14,859","00:00:15,259",speaker_0,హానికరం.,haanikaram.
6,"00:00:41,920","00:00:42,270",speaker_1,లతా!,lathaa!
7,"00:04:35,319","00:04:35,670",speaker_1,లతా!,lathaa!
8,"00:04:38,639","00:04:39,000",speaker_1,లతా!,lathaa!
9,"00:04:39,819","00:04:40,649",speaker_1,లతా తలుపు తీయి.,lathaa thalupu theeyi.
10,"00:04:43,689","00:04:44,779",speaker_1,ఏయ్ లతా!,yey lathaa!
11,"00:04:44,839","00:04:45,779",speaker_1,తలుపు తీయి నేను.,thalupu theeyi nenu.
12,"00:04:49,459","00:04:50,129",speaker_2,Sir పట్టుకున్నాడు.,Sir pattukunnaadu.
13,"00:04:50,379","00:04:50,730",speaker_2,పట్టుకున్నాడు.,pattukunnaadu.
14,"00:04:51,040","00:04:51,390",speaker_2,వాడు,vaadu
15,"00:04:56,189","00:04:57,279",speaker_2,జీప్ ఎక్కేస్తున్నాడు.,jeep yekkesthunnaadu.
16,"00:05:50,920","00:05:51,279",speaker_2,వాడిని జీప్ ఎక్కనివ్వద్దు.,vaadini jeep yekkanivvadhdhu.
17,"00:05:52,060","00:05:52,410",speaker_1,లతా!,lathaa!
18,"00:06:04,776","00:06:05,686",speaker_0,ఆ సురేష్ గారు చెప్పండి.,aa cures gaaru cheppandi.
19,"00:06:07,475","00:06:07,826",speaker_0,ఉమ్,um
20,"00:06:09,055","00:06:11,076",speaker_0,"ఛ, ఇలా last minute లో release ఆపుతే ఎలా అండి?","cha, ilaa last minute lo release aaputhe yelaa andi?"
21,"00:06:13,396","00:06:14,906",speaker_0,మంచి openings కూడా వస్తాయి అనుకున్నాను.,manchi openings koodaa vasthaayi anukunnaanu.
22,"00:06:16,795","00:06:18,646",speaker_0,దీన్ని నమ్ముకుని ఆ dubbing సినిమా కూడా ఆపుకున్నాను.,dheenni nammukuni aa dubbing cinema koodaa aapukunnaanu.
23,"00:06:19,865","00:06:20,555",speaker_0,ఏ లేలే,ye lele
24,"00:06:21,896","00:06:22,406",speaker_0,"ఛ, ఎప్పుడేదో","cha, yeppudedho"
25,"00:06:22,776","00:06:23,326",speaker_0,ఒకటి మారుస్తూనే,okati maarusthoone
26,"00:06:23,536","00:06:23,886",speaker_0,ఉంటారు.,untaaru.
27,"00:06:24,115","00:06:24,516",speaker_0,ఉమ్,um
28,"00:06:27,136","00:06:27,446",speaker_0,ఉమ్,um
29,"00:06:29,656","00:06:30,006",speaker_0,ఉమ్,um
30,"00:06:32,405","00:06:33,065",speaker_0,ఆహ్ ఉమ్,aah um
31,"00:06:33,115","00:06:33,475",speaker_0,ఉమ్ ఆహ్,um aah
32,"00:06:34,696","00:06:35,046",speaker_0,ఉమ్,um
33,"00:06:49,786","00:06:50,265",speaker_0,సాయిబాబా కాల్,saayibaabaa call
34,"00:06:50,315","00:06:50,665",speaker_0,చేద్దా?,chedhdhaa?
35,"00:06:50,935","00:06:51,036",speaker_3,ష్ష్,shsh
36,"00:06:52,276","00:06:52,626",speaker_0,కాఫీ,kaaphee
37,"00:06:56,105","00:06:56,875",speaker_0,అంజు లేచిందా,anju lechindhaa
38,"00:07:12,776","00:07:13,486",speaker_0,Good morning,Good morning
39,"00:07:13,795","00:07:14,406",speaker_0,good morning,good morning
40,"00:07:14,795","00:07:15,675",speaker_0,లే come on come on,le come on come on
41,"00:07:15,855","00:07:15,956",speaker_3,Good morning అన్న,Good morning anna
42,"00:07:15,886","00:07:16,735",speaker_0,కాలీకి time అవుతుంది.,kaaleeki time avuthundhi.
43,"00:07:17,995","00:07:18,646",speaker_0,ఇదిగో coffee.,idhigo coffee.
44,"00:07:20,175","00:07:21,136",speaker_0,రాత్రి బాగా నిద్ర పట్టిందా?,raathri baagaa nidhra pattindhaa?
45,"00:07:21,336","00:07:22,636",speaker_3,ఉమ్ పడలేదు నాన్న.,um padaledhu naanna.
46,"00:07:32,696","00:07:35,016",speaker_0,ఏయ్ ఆ పని నువ్వెందుకు చేస్తున్నావ్? నేను చేస్తాను కదా.,yey aa pani nuvvendhuku chesthunnaav? nenu chesthaanu kadhaa.
47,"00:07:35,156","00:07:35,506",speaker_3,ఉమ్,um
48,"00:07:36,016","00:07:37,146",speaker_3,ఈరోజే hanger తొందరగానే,eeroje hanger thondharagaane
49,"00:07:37,315","00:07:37,665",speaker_3,దిగిందే.,dhigindhe.
50,"00:07:38,636","00:07:40,026",speaker_0,Hanger కాదే hangover.,Hanger kaadhe hangover.
51,"00:07:41,115","00:07:42,096",speaker_3,ఏదో ఒకట్లే అండి.,yedho okatle andi.
52,"00:07:42,255","00:07:43,246",speaker_3,తాగే వాళ్ళకి తెలుస్తుంది.,thaage vaallaki thelusthundhi.
53,"00:07:43,776","00:07:44,286",speaker_3,ఆ దిక్కుమాలిన,aa dhikkumaalina
54,"00:07:44,446","00:07:45,326",speaker_3,theatre ఒకటి కట్టుకుని,theatre okati kattukuni
55,"00:07:45,745","00:07:47,406",speaker_3,ఇరవై నాలుగు గంటలు అక్కడే ఉంటున్నారుగా.,iravai naalugu gantalu akkade untunnaarugaa.
56,"00:07:47,815","00:07:48,005",speaker_0,ఇదిగో,idhigo
57,"00:07:48,795","00:07:49,225",speaker_0,నన్నేమన్నా అను,nannemannaa anu
58,"00:07:49,276","00:07:50,855",speaker_0,కానీ నా theatre ని మాత్రం ఏం అనద్దు.,kaanee naa theatre ni maathram yem anadhdhu.
59,"00:07:51,755","00:07:52,786",speaker_3,అంటాను. ఖచ్చితంగా,antaanu. khachhithangaa
60,"00:07:52,966","00:07:56,915",speaker_3,అంటాను. ఉన్న ఐదు ఎకరాల్లో రెండు ఎకరాలు అది ఆ road మీద ఉన్న బిట్ట,antaanu. unna aidhu yekaraallo rendu yekaraalu adhi aa road meedha unna bitta
61,"00:07:56,975","00:07:57,326",speaker_3,అమ్మేసి,ammesi
62,"00:07:57,636","00:07:58,426",speaker_3,ఆ theatre కొన్నారు.,aa theatre konnaaru.
63,"00:07:58,675","00:07:59,446",speaker_3,వద్దని మొత్తుకున్నాను.,vadhdhani moththukunnaanu.
64,"00:07:59,935","00:08:00,295",speaker_3,విన్నారా?,vinnaaraa?
65,"00:08:01,346","00:08:02,146",speaker_0,అరే బంగారం,are bangaaram
66,"00:08:02,196","00:08:04,115",speaker_0,లాంటి theatre ఏ మంచి income కూడా వస్తుంది.,laanti theatre ye manchi income koodaa vasthundhi.
67,"00:08:04,495","00:08:05,935",speaker_0,Instalment పోను లాభం కూడా వస్తుంది.,Instalment ponu laabham koodaa vasthundhi.
68,"00:08:06,156","00:08:06,506",speaker_3,ఎక్కడుందా,yekkadundhaa
69,"00:08:06,735","00:08:07,136",speaker_3,లాభం?,laabham?
70,"00:08:07,836","00:08:08,186",speaker_3,"మిమ్మల్నే,","mimmalne,"
71,"00:08:08,776","00:08:09,675",speaker_3,లాభం ఎక్కడికి పోయింది?,laabham yekkadiki poyindhi?
72,"00:08:10,555","00:08:10,925",speaker_0,ఉమ్,um
