index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:25,000","00:00:25,350",speaker_0,Happy,Happy
2,"00:01:08,379","00:01:08,980",speaker_0,married life.,married life.
3,"00:01:10,400","00:01:10,948",speaker_1,Congratulations Amudha.,Congratulations Amudha.
4,"00:01:11,040","00:01:13,309",speaker_1,Thank you. Thank you so much. Bye.,Thank you. Thank you so much. Bye.
5,"00:02:09,280","00:02:10,680",speaker_1,అముధా నా PG college friends.,amudhaa naa PG college friends.
6,"00:02:14,969","00:02:15,680",speaker_1,Thank you.,Thank you.
7,"00:02:17,159","00:02:17,949",speaker_1,Congrats ma.,Congrats ma.
8,"00:02:18,439","00:02:18,719",speaker_1,Hi,Hi
9,"00:02:20,139","00:02:21,870",speaker_1,Happy married life. Thank you. Congrats.,Happy married life. Thank you. Congrats.
10,"00:02:26,520","00:02:27,719",speaker_1,Happy married life. Thank you.,Happy married life. Thank you.
11,"00:02:34,620","00:02:35,650",speaker_1,So cute. వెళ్ళి,So cute. velli
12,"00:02:36,919","00:02:37,509",speaker_1,Hello congrats,Hello congrats
13,"00:02:37,659","00:02:38,189",speaker_1,రండి చూడండి.,randi choodandi.
14,"00:02:42,199","00:02:42,810",speaker_1,కిందేసి వెళ్ళండి.,kindhesi vellandi.
15,"00:02:47,110","00:02:48,080","speaker_1, speaker_0",Hi Brother,Hi Brother
16,"00:02:48,479","00:02:49,680",speaker_0,two minutes personal.,two minutes personal.
17,"00:02:49,780","00:02:50,800",speaker_1,Aiyyo sure carry on.,Aiyyo sure carry on.
18,"00:02:51,099","00:02:51,400",speaker_0,Thank you.,Thank you.
19,"00:02:51,680","00:02:52,099",speaker_1,రండి,randi
20,"00:02:53,780","00:02:54,039",speaker_1,Go,Go
21,"00:02:55,590","00:02:56,180",speaker_1,సిగ్గు Gen,siggu Gen
22,"00:02:56,240","00:02:56,659",speaker_1,Z kids.,Z kids.
23,"00:02:59,890","00:03:00,669",speaker_1,గగన్ Please,gagan Please
24,"00:03:00,759","00:03:03,469",speaker_1,ఇక్కడే ఈ గొడవ చేయకు. నేను ఇప్పుడు నీ lover ని కాదు ఇంకొకరి wife,ikkade ee godava cheyaku. nenu ippudu nee lover ni kaadhu inkokari wife
25,"00:03:03,520","00:03:04,259",speaker_1,ని please గగన్.,ni please gagan.
26,"00:03:05,360","00:03:07,310",speaker_0,"నువ్వు ఎవరినైనా పెళ్లి చేసుకో, ఎవరిదైనా first night పెట్టుకో I","nuvvu yevarinainaa pelli chesuko, yevaridhainaa first night pettuko I"
27,"00:03:07,360","00:03:07,659",speaker_0,don't care.,don't care.
28,"00:03:08,479","00:03:09,949",speaker_0,కానీ నన్ను ఎందుకు వదిలేసావో reason మాత్రం చెప్పు.,kaanee nannu yendhuku vadhilesaavo reason maathram cheppu.
29,"00:03:10,000","00:03:10,590",speaker_0,ఇక్కడి నుంచి వెళ్ళిపోతా.,ikkadi nunchi vellipothaa.
30,"00:03:14,210","00:03:15,000",speaker_1,అది ఇక్కడికొచ్చి,adhi ikkadikochhi
31,"00:03:15,060","00:03:15,389",speaker_1,అడగాలా?,adagaalaa?
32,"00:03:16,340","00:03:17,969",speaker_0,"Facebook, Insta, WhatsApp లో block చేసావ్,","Facebook, Insta, WhatsApp lo block chesaav,"
33,"00:03:18,199","00:03:18,849",speaker_0,"number మార్చేసావ్,","number maarchesaav,"
34,"00:03:19,400","00:03:21,269",speaker_0,ఇల్లు ఖాళీ చేసి ఇంకో ఊరికి వెళ్లి పెళ్లి చేసుకున్నావ్.,illu khaalee chesi inko ooriki velli pelli chesukunnaav.
35,"00:03:21,520","00:03:22,460",speaker_0,ఇంకెప్పుడొచ్చి అడగాలి నేను?,inkeppudochhi adagaali nenu?
36,"00:03:23,620","00:03:24,800",speaker_0,పోనీ పిల్లాడు పుట్టాక వచ్చి అడగనా?,ponee pillaadu puttaaka vachhi adaganaa?
37,"00:03:25,830","00:03:27,400",speaker_1,ఏయ్ గగన్.,yey gagan.
38,"00:03:29,180","00:03:29,599",speaker_0,Reason.,Reason.
39,"00:03:29,969","00:03:30,250",speaker_1,గగన్.,gagan.
40,"00:03:31,170","00:03:32,349","speaker_0, speaker_1",Reason. గగన్.,Reason. gagan.
41,"00:03:32,400","00:03:32,539",speaker_0,ఏయ్,yey
42,"00:03:32,939","00:03:33,439",speaker_0,reason చెప్పవే.,reason cheppave.
43,"00:03:34,409","00:03:34,930",speaker_1,మాట్లాడడమే అనవసరం.,maatlaadadame anavasaram.
44,"00:03:35,020","00:03:35,769",speaker_0,ఏయ్ ఆగువే.,yey aaguve.
45,"00:03:43,770","00:03:44,530",speaker_1,అయ్యయ్యో తాళి,ayyayyo thaali
46,"00:03:44,580","00:03:44,930",speaker_1,కట్టేసాడే.,kattesaade.
47,"00:03:58,669","00:03:59,139",speaker_1,ఏంటి bro,yenti bro
48,"00:03:59,659","00:04:00,549",speaker_1,tight గా కట్టొచ్చు కదా?,tight gaa kattochhu kadhaa?
49,"00:04:20,169","00:04:35,759",speaker_0,"By mistake,","By mistake,"
50,"00:04:35,860","00:04:37,180",speaker_0,"by mistake, by mistake, by mistake,","by mistake, by mistake, by mistake,"
51,"00:04:37,819","00:04:38,980",speaker_0,"by mistake sir, by mistake.","by mistake sir, by mistake."
52,"00:04:39,100","00:04:39,770",speaker_1,ఏయ్ వెధవ ఆగురా.,yey vedhava aaguraa.
53,"00:04:42,019","00:04:42,369",speaker_0,Sorry,Sorry
54,"00:05:11,199","00:05:11,680",speaker_0,అక్క by,akka by
55,"00:05:11,819","00:05:12,170",speaker_0,mistake.,mistake.
56,"00:05:16,500","00:05:17,730",speaker_1,ఏయ్ ఏయ్ ఆగురా ఆగు. అదిగో అక్కడున్నాడు.,yey yey aaguraa aagu. adhigo akkadunnaadu.
57,"00:05:20,730","00:05:20,830",speaker_1,ఏయ్,yey
58,"00:05:25,540","00:05:25,890",speaker_0,Go,Go
59,"00:05:32,219","00:05:33,240",speaker_0,more right.,more right.
60,"00:05:33,500","00:05:34,770",speaker_0,Go more left.,Go more left.
61,"00:05:36,379","00:05:36,730",speaker_0,Straight.,Straight.
62,"00:05:40,680","00:05:41,550",speaker_0,Go. By,Go. By
63,"00:05:41,939","00:05:45,529",speaker_0,"mistake sir, sir, sir by mistake. అయ్యో కింద పడితే broken చెయ్యి.","mistake sir, sir, sir by mistake. ayyo kindha padithe broken cheyyi."
64,"00:05:52,089","00:05:52,920",speaker_0,"Car, car.","Car, car."
65,"00:05:53,019","00:05:53,410",speaker_0,అయ్యో by,ayyo by
66,"00:05:54,379","00:05:54,730",speaker_0,mistake.,mistake.
67,"00:05:57,699","00:05:58,050",speaker_0,అయ్యో,ayyo
68,"00:05:59,079","00:05:59,980",speaker_0,తలకు తగిలింది.,thalaku thagilindhi.
69,"00:06:09,949","00:06:10,640",speaker_2,వదిలేసే ఒక్కొక్కడినే,vadhilese okkokkadine
70,"00:06:10,779","00:06:11,920",speaker_2,రండిరా రేయ్ నువ్వు తాగి,randiraa rey nuvvu thaagi
71,"00:06:14,149","00:06:14,620",speaker_2,ఉన్నావ్ ఏయ్,unnaav yey
72,"00:06:33,670","00:06:34,279",speaker_2,You okay పప్పా?,You okay pappaa?
73,"00:06:35,769","00:06:36,610",speaker_2,తాళి తెంచడం తప్పే,thaali thenchadam thappe
74,"00:06:38,290","00:06:39,620",speaker_2,కానీ ladies మీద చేయడం అంతకంటే,kaanee ladies meedha cheyadam anthakante
75,"00:06:39,769","00:06:40,209",speaker_2,పెద్ద తప్పు.,pedhdha thappu.
76,"00:06:41,949","00:06:43,290",speaker_2,నువ్వు వాడి వైపా? నా వైపా?,nuvvu vaadi vaipaa? naa vaipaa?
77,"00:06:54,089","00:06:54,439",speaker_2,ఏయ్,yey
78,"00:06:58,919","00:07:03,149",speaker_2,ఆ కింద,aa kindha
79,"00:07:03,220","00:07:03,570",speaker_2,పడిపోయావ్,padipoyaav
80,"00:07:07,350","00:07:07,700",speaker_2,లేవండ్రా.,levandraa.
81,"00:07:22,610","00:07:24,269",speaker_2,ఏయ్ ఎప్పుడు బస్ స్టాండ్ చేస్తారు ఇక్కడ.,yey yeppudu bus stand chesthaaru ikkada.
82,"00:07:32,470","00:07:33,079",speaker_3,ఏయ్ జరగండి జరగండి,yey jaragandi jaragandi
83,"00:07:33,129","00:07:33,479",speaker_2,జరగండమ్మా,jaragandammaa
84,"00:07:33,529","00:07:34,120",speaker_3,జరగండి జరగండి,jaragandi jaragandi
85,"00:07:34,329","00:07:34,680",speaker_3,చెప్పేది,cheppedhi
86,"00:07:35,670","00:07:37,379",speaker_3,మీకే జరగండి. ఏయ్ లేవ్రా లేవ్రా,meeke jaragandi. yey levraa levraa
87,"00:07:37,629","00:07:38,408",speaker_3,లేవండి ఏయ్.,levandi yey.
88,"00:07:40,350","00:07:40,649",speaker_3,ఎవరురా?,yevaruraa?
89,"00:07:40,829","00:07:41,900",speaker_2,Sir అది నా wife.,Sir adhi naa wife.
90,"00:07:43,350","00:07:46,100",speaker_2,ఏయ్ అమ్మాయి మెడలో తాళి తెంపడానికి నువ్వేమైనా rowdy వీడా ఆ?,yey ammaayi medalo thaali thempadaaniki nuvvemainaa rowdy veedaa aa?
91,"00:07:52,889","00:07:54,230",speaker_2,ఏయ్ రా రా.,yey raa raa.
92,"00:07:55,889","00:07:56,240",speaker_2,వదరా.,vadharaa.
93,"00:08:04,449","00:08:05,730",speaker_2,Sorry కొంచెం over గా react అయ్యాను.,Sorry konchem over gaa react ayyaanu.
94,"00:08:06,870","00:08:07,700",speaker_2,ఒక అమ్మాయికి నచ్చకపోతే,oka ammaayiki nachhakapothe
95,"00:08:07,889","00:08:08,329",speaker_2,వదిలేయాలి.,vadhileyaali.
96,"00:08:09,170","00:08:10,089",speaker_2,దానికి ఎందుకు reason?,dhaaniki yendhuku reason?
97,"00:08:14,239","00:08:14,930","speaker_3, speaker_2",ఏయ్ Happy,yey Happy
98,"00:08:15,009","00:08:15,550",speaker_2,married life.,married life.
99,"00:08:26,709","00:08:27,490",speaker_3,వదలింది తీసుకెళ్ళండి,vadhalindhi theesukellandi
100,"00:08:27,750","00:08:28,430",speaker_2,జరగండి జరగండి,jaragandi jaragandi
101,"00:08:28,910","00:08:29,250",speaker_2,జరగండమ్మా,jaragandammaa
102,"00:08:29,889","00:08:30,720",speaker_3,వీళ్ళందరినీ జరగండమ్మా,veellandharinee jaragandammaa
103,"00:08:53,179","00:08:54,210",speaker_4,Sir Gagan,Sir Gagan
104,"00:08:54,750","00:08:55,389",speaker_2,లోపల అడగండి,lopala adagandi
105,"00:08:58,470","00:08:58,730",speaker_4,Sir tea,Sir tea
106,"00:09:00,330","00:09:00,529",speaker_4,Sir,Sir
107,"00:09:01,409","00:09:01,830",speaker_4,Gagan,Gagan
108,"00:09:02,629","00:09:03,250",speaker_2,ఆయన్ని అడగండమ్మా,aayanni adagandammaa
109,"00:09:07,509","00:09:07,690",speaker_4,Sir,Sir
110,"00:09:08,610","00:09:09,769",speaker_2,లోపల inspector గారిని అడగమ్మా,lopala inspector gaarini adagammaa
111,"00:09:15,629","00:09:15,970",speaker_4,Sir,Sir
112,"00:09:17,699","00:09:18,280","speaker_4, speaker_2",Ga-Gagan ఆ,Ga-Gagan aa
113,"00:09:18,330","00:09:19,259",speaker_2,తాళి లాగేసిన తలకమాసినోడా?,thaali laagesina thalakamaasinodaa?
114,"00:09:19,909","00:09:20,540",speaker_2,ఇంతకీ నువ్వెవరమ్మా?,inthakee nuvvevarammaa?
115,"00:09:21,350","00:09:22,389",speaker_4,తన మామయ్య కూతుర్ని sir,thana maamayya koothurni sir
116,"00:09:23,029","00:09:23,750",speaker_2,మామయ్య కూతురువా?,maamayya koothuruvaa?
117,"00:09:24,929","00:09:25,860",speaker_2,వాళ్ళ నాన్నను రమ్మనమ్మా,vaalla naannanu rammanammaa
118,"00:09:26,070","00:09:26,389",speaker_2,వెళ్ళమ్మా.,vellammaa.
119,"00:09:27,309","00:09:27,860",speaker_4,Sir వాడికి,Sir vaadiki
120,"00:09:28,190","00:09:29,029",speaker_4,నాన్న లేరు.,naanna leru.
121,"00:09:30,009","00:09:31,990",speaker_2,అయితే మీ నాన్నను రమ్మను. వాళ్ళకి మామయ్యే కదా.,ayithe mee naannanu rammanu. vaallaki maamayye kadhaa.
122,"00:09:32,529","00:09:33,519",speaker_4,ఆ నాన్న కొంచెం,aa naanna konchem
123,"00:09:33,769","00:09:34,750",speaker_4,busy గా ఉన్నారు sir.,busy gaa unnaaru sir.
124,"00:09:34,850","00:09:35,990",speaker_2,ఓహ్ busy గా ఉన్నారా?,oh busy gaa unnaaraa?
125,"00:09:36,470","00:09:37,370",speaker_2,మీ నాన్న collector ఆ అమ్మా?,mee naanna collector aa ammaa?
126,"00:09:39,039","00:09:39,750",speaker_4,Mi-Minister sir,Mi-Minister sir
127,"00:09:40,570","00:09:41,129",speaker_2,అర్థం కాలేదు.,artham kaaledhu.
128,"00:09:42,100","00:09:42,750",speaker_4,పశుసంవర్ధక శాఖా,pashusamvardhaka shaakhaa
129,"00:09:42,809","00:09:43,720",speaker_4,మంత్రి ఆదిశేషు,manthri aadhisheshu
130,"00:09:44,009","00:09:44,169",speaker_4,sir,sir
131,"00:09:44,809","00:09:45,300",speaker_2,ఏం మాట్లాడుతున్నారమ్మా?,yem maatlaaduthunnaarammaa?
132,"00:09:45,889","00:09:46,840",speaker_2,ఏయ్ ఆ అబ్బాయిని తీసుకురండయ్యా.,yey aa abbaayini theesukurandayyaa.
133,"00:09:47,090","00:09:47,440",speaker_2,వెళ్ళవయ్యా.,vellavayyaa.
134,"00:09:47,490","00:09:47,590",speaker_3,Sir,Sir
135,"00:09:47,809","00:09:48,860",speaker_2,ఇది ముందే చెప్పొచ్చు కదమ్మా.,idhi mundhe cheppochhu kadhammaa.
136,"00:09:49,009","00:09:49,360",speaker_2,కూర్చోండి.,koorchondi.
137,"00:09:49,690","00:09:50,759",speaker_4,లేదు it's ok sir.,ledhu it's ok sir.
138,"00:09:50,809","00:09:51,420",speaker_2,అరే కూర్చోండమ్మా.,are koorchondammaa.
139,"00:09:51,690","00:09:52,940",speaker_4,పర్లేదు sir. నేను నుంచుంటా.,parledhu sir. nenu nunchuntaa.
140,"00:09:58,529","00:09:59,669",speaker_3,ఏయ్ బాబు shirt ఎక్కడయ్యా?,yey baabu shirt yekkadayyaa?
141,"00:09:59,789","00:10:00,920",speaker_2,గొడవలో చిరిగిపోయింది కదా sir.,godavalo chirigipoyindhi kadhaa sir.
142,"00:10:00,970","00:10:01,570",speaker_3,ఇంకో shirt లేదా?,inko shirt ledhaa?
143,"00:10:01,850","00:10:03,570",speaker_2,అవసరం లేదు. ఎండకి ఇదే comfortable.,avasaram ledhu. yendaki idhe comfortable.
144,"00:10:11,889","00:10:13,120",speaker_2,ఇపుడెందుకు మొహం అలా పెట్టుకున్నావ్?,ipudendhuku moham alaa pettukunnaav?
145,"00:10:13,950","00:10:15,040",speaker_2,By mistake తాళి తెంచేశా.,By mistake thaali thencheshaa.
146,"00:10:15,889","00:10:17,279",speaker_4,By mistake acid పోసి ఉండాల్సింది.,By mistake acid posse undaalsindhi.
147,"00:10:17,789","00:10:18,580",speaker_4,నీ కోపం చల్లారదేమో,nee kopam challaaradhemo
148,"00:10:20,029","00:10:20,429",speaker_4,అని.,ani.
149,"00:10:24,570","00:10:25,370",speaker_2,నీ కోపం న్యాయమే,nee kopam nyaayame
150,"00:10:26,470","00:10:26,769",speaker_2,sorry.,sorry.
151,"00:10:30,289","00:10:31,850",speaker_4,ఈ body ఏసుకొని గొడవలకు వెళ్తున్నావే.,ee body yesukoni godavalaku velthunnaave.
152,"00:10:32,429","00:10:33,580",speaker_4,ఓ పది మంది వస్తే కొట్టగలుగుతావా?,o padhi mandhi vasthe kottagaluguthaavaa?
153,"00:10:34,789","00:10:36,120",speaker_2,వంద మంది వచ్చినా కొట్టించుకోగలను.,vandha mandhi vachhinaa kottinchukogalanu.
154,"00:10:38,340","00:10:39,100",speaker_4,Shameless creature,Shameless creature
155,"00:10:40,889","00:10:41,690",speaker_3,ఏయ్ ఎందుకు right కి తిప్పావ్?,yey yendhuku right ki thippaav?
156,"00:10:42,799","00:10:43,610",speaker_2,మారుమూల గ్రామంలో,maarumoola graamamlo
157,"00:10:43,690","00:10:44,600",speaker_2,పుట్టి రాజకీయాల్లో,putti raajakeeyaallo
158,"00:10:45,070","00:10:45,740",speaker_2,ఎన్నో ఒడిదుడుకులు,yenno odidhudukulu
159,"00:10:45,929","00:10:46,279",speaker_2,ఎదుర్కొని,yedhurkoni
160,"00:10:46,659","00:10:48,019",speaker_2,ఇప్పుడు సింహం లాగా గర్జిస్తున్న,ippudu simham laagaa garjisthunna
161,"00:10:48,389","00:10:48,740",speaker_2,పశుసంవర్ధక,pashusamvardhaka
162,"00:10:49,250","00:10:50,700",speaker_2,శాఖా మంత్రి శ్రీ ఆదిశేషు,shaakhaa manthri shree aadhisheshu
163,"00:10:50,929","00:10:52,420",speaker_2,గారి గృహంలో నుండే మాట్లాడుతున్నాం.,gaari gruhamlo nunde maatlaaduthunnaam.
164,"00:10:59,990","00:11:01,600",speaker_2,Welcome to the home tour of Minister,Welcome to the home tour of Minister
165,"00:11:01,830","00:11:02,180",speaker_2,ఆదిశేషు.,aadhisheshu.
166,"00:11:03,029","00:11:03,450",speaker_2,Alright sir,Alright sir
167,"00:11:04,179","00:11:04,800",speaker_2,మీరు పాత,meeru paatha
168,"00:11:04,850","00:11:05,200",speaker_2,జ్ఞాపకాలను,gnaapakaalanu
169,"00:11:05,350","00:11:06,029",speaker_2,మర్చిపోరని తెలుసు.,marchiporani thelusu.
170,"00:11:06,470","00:11:08,110",speaker_2,కొంచెం మీ యుక్త వయస్సు గురించి చెప్పగలరా?,konchem mee yukta vayassu gurinchi cheppagalaraa?
171,"00:11:08,409","00:11:09,929",speaker_5,చెప్పడం ఏంటి? చూపిస్తా రండి.,cheppadam yenti? choopisthaa randi.
172,"00:11:10,629","00:11:11,620",speaker_5,నమస్తే! నమస్తే! బాగున్నారా?,namasthe! namasthe! baagunnaaraa?
173,"00:11:12,370","00:11:15,950",speaker_5,నమస్తే! నమస్తే! రండి రండి. శ్రీ శ్రీలా ఆహ్ ఇవ్వండి ఇవ్వండి.,namasthe! namasthe! randi randi. shree shreelaa aah ivvandi ivvandi.
174,"00:11:17,769","00:11:18,769",speaker_5,రండి రండి. యోడ్,randi randi. yod
175,"00:11:19,100","00:11:19,840",speaker_5,యోడ్ యోడ్ యోడ్ యోడ్ యోడ్ యోడ్,yod yod yod yod yod yod
176,"00:11:20,230","00:11:20,580",speaker_5,శక్తివి,shaktivi
177,"00:11:20,809","00:11:21,159",speaker_5,నీవే,neeve
178,"00:11:21,690","00:11:22,040",speaker_5,ధర్మునివే.,dharmunive.
179,"00:11:23,889","00:11:25,060",speaker_5,ఇదే నా యుక్త వయస్సు.,idhe naa yukta vayassu.
180,"00:11:25,529","00:11:27,659",speaker_5,ఇలాగే పాలు పిదికి అమ్మేవాడిని. ఇప్పుడు పశుసంవర్ధక,ilaage paalu pidhiki ammevaadini. ippudu pashusamvardhaka
181,"00:11:28,029","00:11:28,680",speaker_5,శాఖా మంత్రిని.,shaakhaa manthrini.
182,"00:11:30,529","00:11:31,970",speaker_2,సరే కానీ ఆ cycle ఏంటి sir?,sare kaanee aa cycle yenti sir?
183,"00:11:33,250","00:11:33,960",speaker_5,Cycle ఆ,Cycle aa
184,"00:11:34,149","00:11:34,500",speaker_5,చంపురేసుకోండి.,champuresukondi.
185,"00:11:35,230","00:11:36,139",speaker_5,నా జీవితం మొదలవడానికి,naa jeevitham modhalavadaaniki
186,"00:11:36,429","00:11:37,440",speaker_5,కారణమైన రథం ఇది.,kaaranamaina ratham idhi.
187,"00:11:37,490","00:11:38,049",speaker_2,అలా అనేసారు.,alaa anesaaru.
