index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:10,460","00:00:13,009",speaker_0,పెగ్గు small అయినా large అయినా సిగరెట్ చిన్నదైనా పెద్దదైనా,peggu small ayinaa large ayinaa cigarette chinnadhainaa pedhdhadhainaa
2,"00:00:13,300","00:00:15,929",speaker_0,తాగితే ప్రమాదం. Cigarette smoking and alcohol consumption,thaagithe pramaadham. Cigarette smoking and alcohol consumption
3,"00:00:16,219","00:00:18,100",speaker_0,are injurious to health. It causes cancer.,are injurious to health. It causes cancer.
4,"00:03:10,740","00:03:11,099",speaker_2,Hello!,Hello!
5,"00:03:12,419","00:03:14,400",speaker_2,"Yeah, yeah. Okay sir, okay.","Yeah, yeah. Okay sir, okay."
6,"00:03:16,219","00:03:16,460",speaker_2,Sir!,Sir!
7,"00:03:17,719","00:03:18,060",speaker_2,Sir!,Sir!
8,"00:03:19,960","00:03:20,139",speaker_0,Hello!,Hello!
9,"00:03:21,159","00:03:21,509",speaker_0,పిలుస్తున్నారు.,pilusthunnaaru.
10,"00:03:22,740","00:03:24,049",speaker_2,మిమ్మల్ని doctor గారు రమ్మంటున్నారు.,mimmalni doctor gaaru rammantunnaaru.
11,"00:03:30,159","00:03:30,900",speaker_0,Excuse me sir.,Excuse me sir.
12,"00:03:32,060","00:03:32,199",speaker_3,Yeah.,Yeah.
13,"00:03:33,419","00:03:33,769",speaker_3,కూర్చోండి.,koorchondi.
14,"00:03:36,560","00:03:37,329",speaker_3,Please కూర్చోండి.,Please koorchondi.
15,"00:03:42,139","00:03:42,460",speaker_3,చెప్పండి.,cheppandi.
16,"00:03:42,960","00:03:44,060",speaker_0,నా పేరు రామ్మోహన్ అండి.,naa peru raammohan andi.
17,"00:03:44,120","00:03:44,259",speaker_3,ఉమ్,um
18,"00:03:44,639","00:03:46,509",speaker_0,Government college లో professor గా పని చేశాను.,Government college lo professor gaa pani cheshaanu.
19,"00:03:46,800","00:03:46,900",speaker_3,ఉమ్,um
20,"00:03:47,659","00:03:48,789",speaker_0,ఈ మధ్య VRS తీసుకున్నా.,ee madhya VRS theesukunnaa.
21,"00:03:49,300","00:03:49,659",speaker_3,ఉమ్,um
22,"00:03:51,120","00:03:51,400",speaker_3,చెప్పండి.,cheppandi.
23,"00:03:52,060","00:03:52,289",speaker_0,ఉమ్,um
24,"00:03:53,979","00:03:54,939",speaker_0,Nice painting sir.,Nice painting sir.
25,"00:03:56,219","00:03:56,800",speaker_0,Good taste.,Good taste.
