index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:00,000","00:00:00,350",speaker_0,ఏవండీ!,yevandee!
2,"00:00:50,200","00:00:50,350",speaker_1,ఉమ్మ్,umm
3,"00:00:50,719","00:00:51,060",speaker_0,ఏవండీ!,yevandee!
4,"00:00:51,960","00:00:52,399",speaker_1,ఉమ్మ్,umm
5,"00:00:52,659","00:00:53,250",speaker_0,ఫోన్ మోగుతోంది.,phone moguthondhi.
6,"00:00:54,780","00:00:55,469",speaker_1,ఎత్తి మాట్లాడు.,yeththi maatlaadu.
7,"00:00:56,210","00:00:56,820",speaker_0,మోగేది మీ,mogedhi mee
8,"00:00:56,920","00:00:57,259",speaker_0,ఫోనే.,phone.
9,"00:01:16,430","00:01:17,130","speaker_1, speaker_0",హలో! సర్,hello! sir
10,"00:01:17,180","00:01:19,180",speaker_0,గుడ్ మార్నింగ్ సర్. ఏనుగు తొండం ఘటిక చలం గారా?,good morning sir. yenugu thondam ghatika chalam gaaraa?
11,"00:01:21,140","00:01:22,599",speaker_1,ఆ యూస్ లెస్ ఫెలో నే.,aa use less fellow ne.
12,"00:01:23,120","00:01:23,560",speaker_1,చెప్పండి.,cheppandi.
13,"00:01:23,780","00:01:25,669",speaker_0,నేను After Life Insurance Company నుండి మాట్లాడుతున్నాను,nenu After Life Insurance Company nundi maatlaaduthunnaanu
14,"00:01:25,859","00:01:27,750",speaker_0,సర్. మీ వయసు వారికే మా దగ్గర ఒక అద్భుతమైన,sir. mee vayasu vaarike maa dhaggara oka adhbhuthamaina
15,"00:01:28,019","00:01:28,519",speaker_0,Policy ఉంది.,Policy undhi.
16,"00:01:28,700","00:01:29,920",speaker_1,నా వయసు నీకెలా తెలుసు?,naa vayasu neekelaa thelusu?
17,"00:01:30,120","00:01:31,939",speaker_0,మాకు మీ గురించి అన్నీ తెలుసు ఏనుగు తొండం గారు.,maaku mee gurinchi annee thelusu yenugu thondam gaaru.
18,"00:01:32,359","00:01:34,760",speaker_0,మీ వయసు అరవై నాలుగేళ్ళ మూడు వందల యాబై తొమ్మిది రోజులు.,mee vayasu aravai naalugella moodu vandhala yaabai thommidhi rojulu.
19,"00:01:35,099","00:01:36,569",speaker_0,మీకు Sugar లేదు BP లేదు.,meeku Sugar ledhu BP ledhu.
20,"00:01:36,780","00:01:39,719",speaker_0,ఇంకా సేపట్లో Walking కి వెళ్తారు. రోజు నాలుగు కిలోమీటర్లు నడుస్తారు.,inkaa sepatlo Walking ki velthaaru. roju naalugu kilomeetarlu nadusthaaru.
21,"00:01:39,939","00:01:40,469",speaker_0,మీరు Vegetarian.,meeru Vegetarian.
22,"00:01:40,959","00:01:43,640",speaker_0,"Smoking కానీ Drinking కానీ అలవాటు లేదు. మీ Aadhaar Card,","Smoking kaanee Drinking kaanee alavaatu ledhu. mee Aadhaar Card,"
23,"00:01:43,739","00:01:44,709",speaker_0,"PAN Card, Passport,","PAN Card, Passport,"
24,"00:01:44,900","00:01:46,680",speaker_0,Driving License numbers కూడా మా దగ్గర ఉన్నాయి.,Driving License numbers koodaa maa dhaggara unnaayi.
25,"00:01:46,920","00:01:49,750",speaker_0,మీకు వచ్చే Pension amount అరవై రెండు వేల మూడు వందల ముప్పై నాలుగు,meeku vachhe Pension amount aravai rendu vela moodu vandhala muppai naalugu
26,"00:01:49,799","00:01:51,569",speaker_0,రూపాయలు. మీరు ఉండేది Rented Accommodation.,roopaayalu. meeru undedhi Rented Accommodation.
27,"00:01:51,959","00:01:53,629",speaker_0,మీ Activa Scooter ని Servicing కి ఇచ్చారు.,mee Activa Scooter ni Servicing ki ichhaaru.
28,"00:01:53,980","00:01:57,329",speaker_0,ఆ బిల్ పదిహేను వందల నలబై ఆరు రూపాయలు. మీరు మీ Cell Phone లో Twelve,aa bill padhihenu vandhala nalabai aaru roopaayalu. meeru mee Cell Phone lo Twelve
29,"00:01:57,400","00:02:00,189",speaker_0,"percent time News Channels, Sixteen percent time Entertainment","percent time News Channels, Sixteen percent time Entertainment"
30,"00:02:00,400","00:02:01,409",speaker_0,Channels browse చేస్తారు.,Channels browse chesthaaru.
31,"00:02:01,640","00:02:01,989",speaker_0,మిగితా,migithaa
32,"00:02:02,299","00:02:04,870",speaker_0,"Seventy two percent time Porn videos, Blue films చూస్తారు.","Seventy two percent time Porn videos, Blue films choosthaaru."
33,"00:02:05,439","00:02:07,189",speaker_1,ఏ అసలు మీది Insurance Company ఆ Investigation,ye asalu meedhi Insurance Company aa Investigation
34,"00:02:07,400","00:02:07,879",speaker_1,Agency ఆ?,Agency aa?
35,"00:02:08,680","00:02:11,620",speaker_0,Insurance Company నే సర్. మీరు నెలకి మూడు వందల రూపాయలు Premium,Insurance Company ne sir. meeru nelaki moodu vandhala roopaayalu Premium
36,"00:02:11,680","00:02:11,979",speaker_0,కడితే,kadithe
37,"00:02:12,300","00:02:12,400",speaker_1,ఆ,aa
38,"00:02:12,319","00:02:12,909",speaker_0,మీకు సంవత్సరానికి,meeku samvathsaraaniki
39,"00:02:13,180","00:02:15,349",speaker_0,ముప్పై Health tests లు Free గా చేస్తాం. దురదృష్టవశాత్తు,muppai Health tests lu Free gaa chesthaam. dhuradhrushtavashaaththu
40,"00:02:15,740","00:02:16,289",speaker_0,మీరు పోతే,meeru pothe
41,"00:02:16,639","00:02:18,750",speaker_0,మీ నోట్లో పోసే తులసి తీర్థంతో మొదలు పెట్టి,mee notlo pose thulasi theerthantho modhalu petti
42,"00:02:19,020","00:02:20,269",speaker_0,మీ శవాన్ని స్నానం చేయించడానికి,mee shavaanni snaanam cheyinchadaaniki
43,"00:02:20,460","00:02:23,080",speaker_0,"వాడే సబ్బు, తుడవడానికి కావలసిన తుళ్ళు తువాలు,","wade sabbu, thudavadaaniki kaavalasina thullu thuvaalu,"
