index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:05,200","00:00:05,549",speaker_0,Smoking,Smoking
2,"00:00:05,960","00:00:07,269",speaker_0,causes cancer. Smoking,causes cancer. Smoking
3,"00:00:07,740","00:00:10,209",speaker_0,kills. పొగ త్రాగడం cancer కి కారకం,kills. poga thraagadam cancer ki kaarakam
4,"00:00:10,519","00:00:10,869",speaker_0,మరియు,mariyu
5,"00:00:11,160","00:00:11,509",speaker_0,ప్రాణాంతకం.,praanaanthakam.
6,"00:00:12,019","00:00:14,019",speaker_0,Liquor drinking is injurious to health.,Liquor drinking is injurious to health.
7,"00:00:14,419","00:00:15,129",speaker_0,మద్యం సేవించడం,madhyam sevinchadam
8,"00:00:15,859","00:00:16,210",speaker_0,ఆరోగ్యానికి,aarogyaaniki
9,"00:00:16,500","00:00:16,920",speaker_0,హానికరం.,haanikaram.
10,"00:01:13,900","00:01:14,250",speaker_1,ముఖ,mukha
11,"00:01:14,879","00:01:15,229",speaker_1,చినవాడు,chinavaadu
12,"00:01:17,170","00:01:18,260",speaker_1,మా మనసు,maa manasu
13,"00:01:18,319","00:01:18,669",speaker_1,దోచినవాడు,dhochinavaadu
14,"00:01:23,319","00:01:23,669",speaker_1,మంగళకారుడు,mangalakaarudu
15,"00:01:27,480","00:01:27,829",speaker_1,మా,maa
16,"00:01:29,060","00:01:29,409",speaker_1,శ్రీనివాసుడు,shreenivaasudu
17,"00:01:56,280","00:01:56,629",speaker_2,ఏంటమ్మా,yentammaa
18,"00:01:57,570","00:01:58,049",speaker_2,వచ్చినప్పటి నుండి,vachhinappati nundi
19,"00:01:58,099","00:01:58,449",speaker_2,చూస్తున్నాను.,choosthunnaanu.
20,"00:01:59,140","00:02:01,579",speaker_2,అలా పుస్తకాలు ముందేసుకుని కూర్చున్నావ్. ఏదైనా exam ఆ?,alaa pusthakaalu mundhesukuni koorchunnaav. yedhainaa exam aa?
21,"00:02:03,060","00:02:03,280",speaker_1,హ్మ్,hma్
22,"00:02:04,900","00:02:05,250",speaker_1,రాశాను.,raashaanu.
23,"00:02:06,840","00:02:07,620",speaker_1,But fail అయ్యాను.,But fail ayyaanu.
24,"00:02:09,159","00:02:10,590",speaker_2,fail అయితే ఎందుకమ్మా అంత బాధపడ్డం?,fail ayithe yendhukammaa antha baadhapaddam?
25,"00:02:11,539","00:02:12,109",speaker_2,మళ్ళీ రాద్దువులే.,mallee raadhdhuvule.
26,"00:02:15,120","00:02:15,520",speaker_1,లేదు.,ledhu.
