index,start_time,end_time,original_telugu,transliteration
1,"00:00:05,000","00:00:05,349",ఓం,om
2,"00:00:17,260","00:00:17,610",నమో,namo
3,"00:00:19,839","00:00:20,190",నారాయణా!,naaraayanaa!
4,"00:04:11,599","00:04:14,409",అదేంటి సార్ మా కాలేజ్ స్టూడెంట్స్ గ్రూప్ టూ exam రాయమంటే,adhenti saar maa kaalej stoodents groop too exam raayamante
5,"00:04:15,099","00:04:17,470",రెండు గ్రూపులుగా పోయి exam రాయాలా సార్ అని అడుగుతున్నారు.,rendu groopulugaa poyi exam raayaalaa saar ani aduguthunnaaru.
6,"00:04:17,600","00:04:20,510",మా కాలేజ్ స్టూడెంట్స్ అలా కాదు సార్. ఆ ఒకటే గ్రూప్ లో రాస్తారు.,maa kaalej stoodents alaa kaadhu saar. aa okate groop lo raasthaaru.
7,"00:04:20,779","00:04:22,990",మా కాలేజీ వాళ్ళంతా అమెరికాలో సెట్ అయ్యారు సార్.,maa kaalejee vaallanthaa amerikaalo set ayyaaru saar.
8,"00:04:23,259","00:04:23,610","డక్స్,","daks,"
9,"00:04:23,860","00:04:24,210",స్టెల్లాస్,stellaas
10,"00:04:24,600","00:04:24,950",ఓహో,oho
11,"00:04:25,220","00:04:26,869",మరి వాడు సురేష్ ఎక్కడ సార్?,mari vaadu suresh yekkada saar?
12,"00:04:30,240","00:04:32,150","అదిగో సురేష్ వాడు మా కాలేజీ,","adhigo suresh vaadu maa kaalejee,"
13,"00:04:32,439","00:04:33,160",ఇటు రా రా.,itu raa raa.
14,"00:04:36,529","00:04:37,110",సార్ వీడు,saar veedu
15,"00:04:37,160","00:04:38,470",కూడా ఫుల్ సెట్ అయి ఉంటాడు సార్.,koodaa phul set ayi untaadu saar.
16,"00:04:38,920","00:04:39,790",ఏం చేస్తున్నావ్ రా.,yem chesthunnaav raa.
17,"00:04:40,139","00:04:40,629",ఆ supplementary,aa supplementary
18,"00:04:40,769","00:04:41,610",prepare అవుతున్నా సార్.,prepare avuthunnaa saar.
19,"00:04:42,579","00:04:43,150",ఏమైంది సార్.,yemaindhi saar.
20,"00:04:43,300","00:04:46,379",రేయ్ ఆ మీ అమ్మ ICలో ఉంది రా మా అమ్మ తింటే పాస్ కదా IC తక్కువైందా,rey aa mee amma IClo undhi raa maa amma thinte paas kadhaa IC thakkuvaindhaa
21,"00:04:46,519","00:04:49,120",IC అంటే hospital రా ఆ అవునా లేటు రా.,IC ante hospital raa aa avunaa letu raa.
22,"00:04:49,379","00:04:50,350",Doctor మా అమ్మకి,Doctor maa ammaki
23,"00:04:50,720","00:04:51,510",మీ అమ్మకు operation,mee ammaku operation
24,"00:04:51,680","00:04:52,510",చేయాలి. ఆ,cheyaali. aa
25,"00:04:53,120","00:04:54,470",నాకు రాదు doctor ఉమ్,naaku raadhu doctor um
