index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:05,000","00:00:05,349",speaker_0,ఓం,om
2,"00:00:17,260","00:00:17,610",speaker_0,నమో,namo
3,"00:00:19,839","00:00:20,190",speaker_0,నారాయణా!,naaraayanaa!
4,"00:04:11,599","00:04:14,409",speaker_1,అదేంటి సార్ మా కాలేజ్ స్టూడెంట్స్ గ్రూప్ టూ exam రాయమంటే,adhenti saar maa kaalej students group too exam raayamante
5,"00:04:15,099","00:04:17,470",speaker_1,రెండు గ్రూపులుగా పోయి exam రాయాలా సార్ అని అడుగుతున్నారు.,rendu groopulugaa poyi exam raayaalaa saar ani aduguthunnaaru.
6,"00:04:17,600","00:04:19,180",speaker_2,మా కాలేజ్ స్టూడెంట్స్ అలా కాదు సార్.,maa kaalej students alaa kaadhu saar.
7,"00:04:19,279","00:04:19,379",speaker_1,ఆ,aa
8,"00:04:19,399","00:04:20,510",speaker_2,ఒకటే గ్రూప్ లో రాస్తారు.,okate group lo raasthaaru.
9,"00:04:20,779","00:04:22,990",speaker_2,మా కాలేజీ వాళ్ళంతా అమెరికాలో సెట్ అయ్యారు సార్.,maa college vaallanthaa amerikaalo set ayyaaru saar.
10,"00:04:23,259","00:04:23,610",speaker_2,"డక్స్,","ducks,"
11,"00:04:23,860","00:04:24,210",speaker_2,స్టెల్లాస్,stellaas
12,"00:04:24,600","00:04:24,950",speaker_1,ఓహో,oho
13,"00:04:25,220","00:04:26,869",speaker_1,మరి వాడు సురేష్ ఎక్కడ సార్?,mari vaadu cures yekkada saar?
14,"00:04:30,240","00:04:32,150",speaker_2,"అదిగో సురేష్ వాడు మా కాలేజీ,","adhigo cures vaadu maa college,"
15,"00:04:32,439","00:04:33,160",speaker_2,ఇటు రా రా.,itu raa raa.
16,"00:04:36,529","00:04:37,110",speaker_2,సార్ వీడు,saar veedu
17,"00:04:37,160","00:04:38,470",speaker_2,కూడా ఫుల్ సెట్ అయి ఉంటాడు సార్.,koodaa full set ayi untaadu saar.
18,"00:04:38,920","00:04:39,790",speaker_2,ఏం చేస్తున్నావ్ రా.,yem chesthunnaav raa.
19,"00:04:40,139","00:04:40,629",speaker_3,ఆ supplementary,aa supplementary
20,"00:04:40,769","00:04:41,610",speaker_3,prepare అవుతున్నా సార్.,prepare avuthunnaa saar.
21,"00:04:42,579","00:04:43,150",speaker_3,ఏమైంది సార్.,yemaindhi saar.
22,"00:04:43,300","00:04:43,709",speaker_2,రేయ్,rey
23,"00:04:43,759","00:04:43,930",speaker_3,ఆ,aa
24,"00:04:43,980","00:04:44,740",speaker_2,మీ అమ్మ ICలో ఉంది రా,mee amma IClo undhi raa
25,"00:04:45,060","00:04:46,379",speaker_3,మా అమ్మ తింటే పాస్ కదా IC తక్కువైందా,maa amma thinte pass kadhaa IC thakkuvaindhaa
26,"00:04:46,519","00:04:47,300",speaker_2,IC అంటే hospital రా,IC ante hospital raa
27,"00:04:47,500","00:04:49,120",speaker_3,ఆ అవునా లేటు రా.,aa avunaa letu raa.
28,"00:04:49,379","00:04:50,350",speaker_3,Doctor మా అమ్మకి,Doctor maa ammaki
29,"00:04:50,720","00:04:51,510",speaker_3,మీ అమ్మకు operation,mee ammaku operation
30,"00:04:51,680","00:04:52,510",speaker_3,చేయాలి. ఆ,cheyaali. aa
31,"00:04:53,120","00:04:53,759",speaker_3,నాకు రాదు doctor,naaku raadhu doctor
32,"00:04:54,120","00:04:54,470",speaker_2,ఉమ్,um
33,"00:04:55,240","00:04:56,819",speaker_2,నేను చేస్తా రా నువ్వు పోయి డబ్బులు తీసుకురా పో,nenu chesthaa raa nuvvu poyi dabbulu theesukuraa po
34,"00:04:59,560","00:05:01,000",speaker_2,ఈ కోమలి గాడు super అయ్యా,ee komali gaadu super ayyaa
35,"00:05:01,050","00:05:01,269",speaker_3,అవును సార్ అవును సార్,avunu saar avunu saar
36,"00:05:01,360","00:05:02,330",speaker_2,ఈ సినిమా blockbuster,ee cinema blockbuster
37,"00:05:02,620","00:05:02,839",speaker_2,hit,hit
38,"00:05:03,709","00:05:04,050","speaker_3, speaker_2",అవును పొర,avunu pora
39,"00:05:04,100","00:05:06,300",speaker_2,మన banner కి మంచి director దొరికాడు అయ్యా.,mana banner ki manchi director dhorikaadu ayyaa.
40,"00:05:06,350","00:05:06,700",speaker_2,అన్ని,anni
41,"00:05:07,120","00:05:08,770",speaker_2,మంచి మంచి సినిమాలే తీసాం మనం.,manchi manchi sinimaale theesaam manam.
42,"00:05:09,480","00:05:10,470",speaker_2,"నువ్వు నేను మంచి,","nuvvu nenu manchi,"
43,"00:05:11,060","00:05:12,390",speaker_2,"నేను కావాలా మంచి కావాలా,","nenu kaavaalaa manchi kaavaalaa,"
44,"00:05:13,060","00:05:15,210",speaker_2,మంచి మాటలే వాడికి ఎప్పుడూ మంచే జరుగుతుంది.,manchi maatale vaadiki yeppudoo manche jaruguthundhi.
45,"00:05:15,879","00:05:17,509",speaker_2,ఆ కోమలి గాడు కూడా మంచోడే నయ్యా.,aa komali gaadu koodaa manchode nayyaa.
46,"00:05:17,560","00:05:19,649",speaker_3,సినిమా complete చేయడానికి ఇంకా నాలుగు కోట్లు కావాలి సార్.,cinema complete cheyadaaniki inkaa naalugu kotlu kaavaali saar.
47,"00:05:19,699","00:05:20,050",speaker_2,ఆ,aa
48,"00:05:20,500","00:05:21,310",speaker_2,పరమ దుర్మార్గుడే,parama dhurmaargude
49,"00:05:21,560","00:05:21,910",speaker_2,వాడు,vaadu
50,"00:05:22,100","00:05:23,210",speaker_2,song కి నాలుగు కోట్లు ఇచ్చాడు,song ki naalugu kotlu ichhaadu
51,"00:05:23,379","00:05:25,849",speaker_2,fight కి నాలుగు కోట్లు ఇచ్చాడు. అసలు budget ఎన్ని చెప్పాడు వాడు.,fight ki naalugu kotlu ichhaadu. asalu budget yenni cheppaadu vaadu.
