index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:05,320","00:00:07,129",speaker_0,పొగ త్రాగటం మరియు మద్యం సేవించటం,poga thraagatam mariyu madhyam sevinchatam
2,"00:00:07,639","00:00:07,989",speaker_0,ఆరోగ్యానికి,aarogyaaniki
3,"00:00:08,320","00:00:09,330",speaker_0,హానికరం. Smoking,haanikaram. Smoking
4,"00:00:09,619","00:00:10,129",speaker_0,and drinking,and drinking
5,"00:00:10,500","00:00:11,519",speaker_0,are injurious to health.,are injurious to health.
6,"00:00:17,239","00:00:17,770",speaker_0,ఈ చిత్రంలో,ee chithramlo
7,"00:00:17,980","00:00:19,270",speaker_0,అన్ని పాత్రలు మరియు సంఘటనలు,anni paathralu mariyu sanghatanalu
8,"00:00:19,620","00:00:19,970",speaker_0,ఊహాత్మకమైనవి,oohaathmakamainavi
9,"00:00:20,539","00:00:21,210",speaker_0,మరియు కల్పితమైనవి.,mariyu kalpithamainavi.
10,"00:00:21,920","00:00:25,410",speaker_0,జీవించి ఉన్న లేదా చనిపోయిన వ్యక్తితో ఒకవేళ పోలి ఉంటే అది కేవలం,jeevinchi unna ledhaa chanipoyina vyaktitho okavela poli unte adhi kevalam
11,"00:00:25,460","00:00:25,810",speaker_0,యాదృచ్చికం.,yaadhruchhikam.
12,"00:01:30,299","00:01:31,189",speaker_1,అమ్ము కాచినవాడు,ammu kaachinavaadu
13,"00:01:33,560","00:01:33,909",speaker_1,మా,maa
14,"00:01:34,260","00:01:34,609",speaker_1,మనసు,manasu
15,"00:01:34,980","00:01:35,329",speaker_1,దోచినవాడు,dhochinavaadu
16,"00:01:43,609","00:01:44,799",speaker_1,మంగళకారుడు మా,mangalakaarudu maa
17,"00:01:45,680","00:01:46,030",speaker_1,శ్రీనివాసుడు,shreenivaasudu
18,"00:02:32,669","00:02:33,389",speaker_3,బొబ్బిలి సత్యమూర్తి,bobbili sathyamoorthi
19,"00:02:33,680","00:02:34,259",speaker_3,అనే నేను,ane nenu
20,"00:02:35,460","00:02:36,539",speaker_3,ఆంధ్రప్రదేశ్ ముఖ్యమంత్రిగా,aandhrapradhesh mukhyamanthrigaa
21,"00:02:37,240","00:02:37,639",speaker_3,నా కర్తవ్యాలను,naa karthavyaalanu
22,"00:02:38,099","00:02:38,949",speaker_3,శ్రద్ధతో అంతఃకరణ,shradhdhatho anthahkarana
23,"00:02:39,199","00:02:40,009",speaker_3,శుద్ధితో నిర్వహిస్తానని-,shudhdhitho nirvahisthaanani-
24,"00:03:12,740","00:03:13,259",speaker_3,అరే సత్య,are sathya
25,"00:03:13,969","00:03:14,639",speaker_3,ధైర్యంగా ఉండరా.,dhairyangaa undaraa.
26,"00:03:15,539","00:03:16,370",speaker_3,నీకేం కాదు.,neekem kaadhu.
27,"00:03:35,969","00:03:36,819",speaker_3,ఏయ్ ఏమైంది?,yey yemaindhi?
28,"00:03:36,879","00:03:39,629",speaker_1,ఫ్లై ఓవర్ కూలి మధ్యలో హోల్ పడింది సార్. మనం స్టక్ అయిపోయాం సార్.,fly over kooli madhyalo whole padindhi saar. manam stuck ayipoyaam saar.
29,"00:03:41,560","00:03:41,819",speaker_3,"నెంబర్,","number,"
30,"00:03:43,750","00:03:44,400",speaker_3,పొద్దండి సీఎం,podhdhandi seem
31,"00:03:44,479","00:03:46,340",speaker_3,గారిని హాస్పిటల్ కి తీసుకెళ్లాలి. జరగండి జరగండి.,gaarini hospital ki theesukellaali. jaragandi jaragandi.
32,"00:03:46,939","00:03:48,250",speaker_2,ఎన్ని జాలలు మనల్ని నిలబెట్టి ఉంటారు.,yenni jaalalu manalni nilabetti untaaru.
33,"00:03:48,460","00:03:49,069",speaker_2,అందుకే చూడు,andhuke choodu
34,"00:03:49,280","00:03:51,819",speaker_2,ఆ అంబులెన్స్ వెళ్ళడానికి కూడా చాలలేక తలమీద వేసుకుని మోసుకు వెళ్తున్నారు.,aa ambulens velladaaniki koodaa chaalaleka thalameedha vesukuni mosuku velthunnaaru.
35,"00:03:53,550","00:03:54,599",speaker_1,కాసుయాలిటీస్ జరుగుతున్నాయి.,kaasuyaalitees jaruguthunnaayi.
36,"00:03:54,780","00:03:56,180",speaker_1,ఎంతమంది చచ్చారో తెలీదు సార్.,yenthamandhi chachhaaro theleedhu saar.
37,"00:03:56,900","00:03:57,650",speaker_2,ఈ బ్రిడ్జి కన్స్ట్రక్షన్లో,ee bridge kansta్rakshanlo
38,"00:03:57,939","00:03:59,349",speaker_2,"ఎంత కన్నం వేశారో, అన్యాయంగా","yentha kannam veshaaro, anyaayangaa"
39,"00:03:59,539","00:04:00,650",speaker_2,అమాయకుల ప్రాణాలు పోతున్నాయి.,amaayakula praanaalu pothunnaayi.
40,"00:04:01,060","00:04:02,569",speaker_3,హాస్పిటల్ కి వెళ్లేదాకా ప్రాణం ఉంటదంటావా?,hospital ki velledhaakaa praanam untadhantaavaa?
41,"00:04:03,219","00:04:04,430",speaker_2,పోతే రీప్లే ఇస్తారు కదా.,pothe replay isthaaru kadhaa.
42,"00:04:12,030","00:04:12,129",speaker_3,ఆహ్!,aah!
43,"00:04:16,899","00:04:17,250",speaker_2,పో-పో-పో-పోయిండ్రు.,po-po-po-poyindru.
44,"00:04:22,969","00:04:23,740","speaker_2, speaker_3",పోయారా? సత్య.,poyaaraa? sathya.
45,"00:04:24,300","00:04:24,740",speaker_2,"సభానా,","sabhaanaa,"
46,"00:04:26,160","00:04:26,939",speaker_2,ఇప్పుడే చెప్తున్నా.,ippude chepthunnaa.
47,"00:04:27,699","00:04:28,819",speaker_2,నెక్స్ట్ సీఎం నేనే.,next seem nene.
48,"00:04:30,079","00:04:30,810",speaker_3,పెద్దోడిని నేనుండగా,pedhdhodini nenundagaa
49,"00:04:30,860","00:04:32,709",speaker_3,చిన్నోడు ఎందుకు? నెక్స్ట్ సీఎం నేనే.,chinnodu yendhuku? next seem nene.
50,"00:04:32,759","00:04:32,920",speaker_2,ఏయ్!,yey!
51,"00:04:33,500","00:04:34,650",speaker_2,పెద్దోడి చేతిలో పెట్టడానికే,pedhdhodi chethilo pettadaanike
52,"00:04:35,019","00:04:35,589",speaker_2,పిండం కాదు.,pindam kaadhu.
53,"00:04:36,789","00:04:37,540",speaker_2,"పదవి, పార్టీ","padhavi, party"
54,"00:04:37,600","00:04:38,890",speaker_2,సపోర్ట్ కూడా నాకే ఉంది.,support koodaa naake undhi.
55,"00:04:39,079","00:04:40,019",speaker_3,నీకు సపోర్ట్ ఉండొచ్చు,neeku support undochhu
56,"00:04:40,660","00:04:41,710",speaker_3,కానీ రైట్స్ నాకున్నాయి.,kaanee rights naakunnaayi.
57,"00:04:42,120","00:04:42,470",speaker_3,పార్టీలో,paarteelo
