index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:29,719","00:00:30,070",speaker_0,ఓం,om
2,"00:00:31,550","00:00:31,900",speaker_0,నమో,namo
3,"00:00:34,039","00:00:34,390",speaker_0,నారాయణ,naaraayana
4,"00:01:33,000","00:01:33,509",speaker_1,మా ఊరు,maa ooru
5,"00:01:33,959","00:01:34,309",speaker_1,రాజమండ్రి,raajamandri
6,"00:01:34,540","00:01:35,829",speaker_1,కి కొవ్వూరుకి మధ్య ఉన్న,ki kovvooruki madhya unna
7,"00:01:36,060","00:01:36,409",speaker_1,గోదావరిలో,godhaavarilo
8,"00:01:36,739","00:01:37,579",speaker_1,మారుమూల లంక.,maarumoola lanka.
9,"00:01:39,250","00:01:40,400",speaker_1,చట్టాలు న్యాయస్థానాలు,chattaalu nyaayasthaanaalu
10,"00:01:40,459","00:01:40,809",speaker_1,లేనప్పుడు,lenappudu
11,"00:01:41,219","00:01:41,969",speaker_1,ఈ ఊరు కట్టుబాట్ల,ee ooru kattubaatla
12,"00:01:42,140","00:01:42,489",speaker_1,ప్రకారం,prakaaram
13,"00:01:42,879","00:01:43,229",speaker_1,ఎవరినైనా,yevarinainaa
14,"00:01:43,459","00:01:43,809",speaker_1,శిక్షించేవారు.,shikshinchevaaru.
15,"00:01:45,519","00:01:47,189",speaker_1,కొన్ని వందల ఏళ్ల నుండి లంకల్లో,konni vandhala yella nundi lankallo
16,"00:01:47,599","00:01:48,909",speaker_1,కత్తి కట్టడం అనే ఓ సాంప్రదాయం,kaththi kattadam ane o saampradhaayam
17,"00:01:49,140","00:01:49,349",speaker_1,ఉంది.,undhi.
18,"00:01:50,780","00:01:52,760",speaker_1,"ఎలా మొదలైందో ఎవ్వరికీ తెలియదు కానీ,","yelaa modhalaindho yevvarikee theliyadhu kaanee,"
19,"00:01:53,319","00:01:54,149",speaker_1,ఈరోజుకి ఆచరిస్తారు.,eerojuki aacharisthaaru.
20,"00:02:14,629","00:02:15,289",speaker_1,లంకలకి తూర్పు,lankalaki thoorpu
21,"00:02:15,340","00:02:16,240",speaker_1,వైపు ఉన్న ఒక గుహ.,vaipu unna oka guha.
22,"00:02:47,520","00:02:48,789",speaker_1,నీటి మధ్య నుంచి నడక.,neeti madhya nunchi nadaka.
23,"00:02:51,930","00:02:52,879",speaker_1,త్రిశూలాల మధ్యనున్న,thrishoolaala madhyanunna
