index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:57,780","00:00:58,130",speaker_0,ఓ,o
2,"00:00:58,799","00:00:59,149",speaker_0,మహాత్మ,mahaathma
3,"00:01:02,960","00:01:03,140",speaker_0,ఓ,o
4,"00:01:04,379","00:01:04,729",speaker_0,మహర్షి,maharshi
5,"00:01:10,310","00:01:11,709",speaker_0,ఏది చీకటి,yedhi cheekati
6,"00:01:13,170","00:01:13,480",speaker_0,ఏది వెలుతురు,yedhi veluthuru
7,"00:01:13,530","00:01:13,969",speaker_0,ఏది జీవితం,yedhi jeevitham
8,"00:01:18,630","00:01:20,319",speaker_0,ఏది ముక్తి,yedhi mukti
9,"00:01:21,270","00:01:23,040",speaker_0,ఏది పుణ్యం,yedhi punyam
10,"00:01:23,400","00:01:23,750",speaker_0,ఏది,yedhi
11,"00:01:24,359","00:01:24,709",speaker_0,పాపం,paapam
12,"00:01:26,530","00:01:31,099",speaker_0,ఏది నరకం,yedhi narakam
13,"00:01:31,239","00:01:31,589",speaker_0,ఏది,yedhi
14,"00:01:32,140","00:01:32,699",speaker_0,స్వర్గం ఏది సత్యం,svargam yedhi sathyam
15,"00:01:33,819","00:01:34,169",speaker_0,ఏది,yedhi
16,"00:01:38,680","00:01:40,000",speaker_0,అసత్యం ఏది,asathyam yedhi
17,"00:01:40,079","00:01:40,429",speaker_0,నిత్యం,nithyam
18,"00:01:42,230","00:01:42,560",speaker_0,ఏది అనిత్యం,yedhi anithyam
19,"00:01:42,609","00:01:42,989",speaker_0,ఏది ఏకం,yedhi yekam
20,"00:01:44,319","00:01:44,669",speaker_0,ఏది,yedhi
21,"00:01:45,120","00:01:45,469",speaker_0,అనేకం,anekam
22,"00:01:47,350","00:01:49,299",speaker_0,ఏది కారణం,yedhi kaaranam
23,"00:01:49,900","00:01:50,729",speaker_0,ఏది కార్యం,yedhi kaaryam
24,"00:01:52,120","00:01:53,030",speaker_0,ఓ మహాత్మ,o mahaathma
25,"00:01:57,299","00:01:57,500",speaker_0,ఓ,o
26,"00:01:58,099","00:01:58,449",speaker_0,మహర్షి,maharshi
27,"00:02:03,109","00:02:04,500",speaker_0,ఏది తెలుపు,yedhi thelupu
28,"00:02:05,830","00:02:07,180",speaker_0,ఏది నలుపు,yedhi nalupu
29,"00:02:08,450","00:02:09,840",speaker_0,ఏది దానం,yedhi dhaanam
30,"00:02:11,050","00:02:13,120",speaker_0,ఏది మోహం,yedhi moham
31,"00:02:13,199","00:02:13,549",speaker_0,ఏది,yedhi
32,"00:02:14,060","00:02:14,409",speaker_0,జ్ఞానం,gnaanam
33,"00:02:16,430","00:02:16,839",speaker_0,ఏది మూఢం,yedhi moodam
34,"00:02:16,889","00:02:17,239",speaker_0,ఏది నీతి,yedhi neethi
35,"00:02:18,909","00:02:19,560",speaker_0,ఏది అనీతి,yedhi aneethi
36,"00:02:30,699","00:02:31,049",speaker_0,ఓ,o
37,"00:02:39,860","00:02:40,500",speaker_0,మహాత్మ ఓ మహర్షి,mahaathma o maharshi
38,"00:03:00,390","00:03:00,979",speaker_1,రేయ్! రంగం,rey! rangam
39,"00:03:01,099","00:03:01,449",speaker_1,ఏంటది?,yentadhi?
40,"00:03:01,900","00:03:02,909",speaker_2,మన గూడే వే బాబా.,mana goode ve baba.
41,"00:03:03,620","00:03:03,969",speaker_2,రేయ్!,rey!
42,"00:03:04,549","00:03:04,649",speaker_1,రేయ్,rey
43,"00:03:05,159","00:03:06,689",speaker_1,ఎవడి పని ఎవడు. రేయ్ బాబాయ్ తీసుకో,yevadi pani yevadu. rey baabaay theesuko
44,"00:03:06,740","00:03:07,090",speaker_2,రేయ్,rey
45,"00:03:07,400","00:03:07,750",speaker_2,ఎల్లండ్రా,yellandraa
46,"00:03:30,659","00:03:31,909",speaker_2,మా అన్నని కొడతావే నువ్వు,maa annani kodathaave nuvvu
47,"00:03:35,000","00:03:35,349",speaker_2,ఏయ్!,yey!
48,"00:03:36,159","00:03:37,539",speaker_2,మా బావ మీద చేయి వేస్తావా?,maa baava meedha cheyi vesthaavaa?
49,"00:03:38,020","00:03:38,370",speaker_2,విన్ను,vinnu
50,"00:03:42,800","00:03:43,150",speaker_1,లే,le
51,"00:03:49,830","00:03:50,329",speaker_1,నిన్ను. రేయ్!,ninnu. rey!
52,"00:03:52,099","00:03:52,449",speaker_1,రేయ్!,rey!
53,"00:03:55,960","00:03:56,960",speaker_1,పో పో పో. కిన్నెర్లతో పని చేసావ్ బాబా,po po po. kinnerlatho pani chesaav baba
54,"00:03:59,349","00:03:59,900",speaker_2,రేయ్! మా,rey! maa
55,"00:04:00,020","00:04:01,810",speaker_2,అన్నని ముట్టుకున్న వక్కల్ని కూడా వదిలిపెట్టను,annani muttukunna vakkalni koodaa vadhilipettanu
56,"00:04:01,960","00:04:02,310",speaker_2,చెప్తున్నాను,chepthunnaanu
57,"00:04:02,520","00:04:02,939",speaker_2,నేను నైయాల్ది.,nenu naiyaaldhi.
58,"00:04:04,120","00:04:05,870",speaker_2,వక్కల్ని కూడా వదిలిపెట్టను అంతూ చూస్తాను.,vakkalni koodaa vadhilipettanu anthoo choosthaanu.
59,"00:04:06,740","00:04:07,210",speaker_2,విను నీకేం,vinu neekem
60,"00:04:07,759","00:04:07,990",speaker_2,కాదు.,kaadhu.
61,"00:04:08,599","00:04:09,300",speaker_2,రేయ్ సత్యం,rey sathyam
62,"00:04:09,860","00:04:11,509",speaker_2,మా అన్నకి ఏమైనా కావాలి నువ్వు అయిపోతావ్,maa annaki yemainaa kaavaali nuvvu ayipothaav
63,"00:04:11,740","00:04:12,090",speaker_2,రా,raa
64,"00:04:16,379","00:04:16,680",speaker_1,లే నిన్ను,le ninnu
65,"00:04:30,149","00:04:30,250",speaker_3,అమ్మా!,ammaa!
66,"00:04:33,439","00:04:33,790",speaker_3,అమ్మా!,ammaa!
67,"00:04:43,139","00:04:44,570",speaker_4,డొక్కా లెనిని బాబు మర్డర్ కేసులో,dokkaa lenini baabu murder kesulo
68,"00:04:44,839","00:04:45,990",speaker_4,ముద్దాయి భోగినేని సత్యనారాయణ,mudhdhaayi bhogineni sathyanaaraayana
69,"00:04:46,209","00:04:47,189",speaker_4,అలియాస్ రాయల సత్యానికి,alias raayala sathyaaniki
70,"00:04:47,620","00:04:51,199",speaker_4,IPC 302 read with 120B సెక్షన్ల కింద పన్నెండు సంవత్సరాలు కఠిన,IPC 302 read with 120B sekshanla kindha pannendu samvathsaraalu katina
71,"00:04:51,319","00:04:52,270",speaker_4,కారాగార శిక్ష విధించబడినది.,kaaraagaara shiksha vidhinchabadinadhi.
72,"00:05:18,240","00:05:18,540",speaker_2,అయ్యయ్యో,ayyayyo
73,"00:05:19,019","00:05:19,420",speaker_2,ఏమ్రా,yemraa
74,"00:05:20,329","00:05:23,079",speaker_2,సుసు పోసావా?,susu posaavaa?
75,"00:05:23,139","00:05:23,770",speaker_2,ఏ నగమ్మా,ye nagammaa
76,"00:05:24,120","00:05:24,470",speaker_2,ఏనుగు,yenugu
77,"00:05:25,160","00:05:25,510",speaker_2,నాలుగు,naalugu
78,"00:05:25,720","00:05:26,070",speaker_2,కాళ్ళ,kaalla
79,"00:05:26,279","00:05:26,599",speaker_2,ఏనుగు,yenugu
80,"00:05:26,649","00:05:26,750",speaker_3,తాత,thaatha
81,"00:05:26,649","00:05:27,000",speaker_2,ఏమో,yemo
82,"00:05:28,259","00:05:28,629",speaker_2,నేను,nenu
83,"00:05:29,319","00:05:29,930",speaker_2,మా ఊరది,maa ooradhi
84,"00:05:30,300","00:05:30,650",speaker_2,నేను,nenu
85,"00:05:34,420","00:05:35,170",speaker_5,కాటా మధు వచ్చాడు.,kaataa madhu vachhaadu.
86,"00:05:35,480","00:05:36,939",speaker_6,అంత అక్కర్లేదు కాటా చాలే అండి,antha akkarledhu kaataa chaale andi
87,"00:05:38,750","00:05:40,850",speaker_5,ఆశీర్వదించాలి సార్.,aasheervadhinchaali saar.
88,"00:05:42,689","00:05:43,379",speaker_5,పాతికేళ్లుగా మిమ్మల్ని,paathikellugaa mimmalni
89,"00:05:43,439","00:05:43,790",speaker_5,నమ్ముకున్నాను.,nammukunnaanu.
90,"00:05:44,339","00:05:45,620",speaker_5,రెండు సార్లు MLA అయ్యాను.,rendu saarlu MLA ayyaanu.
91,"00:05:46,079","00:05:46,990",speaker_5,సగం ఆస్తి అమ్మేశాను.,sagam aasthi ammeshaanu.
92,"00:05:48,139","00:05:48,490",speaker_5,ఈసారి,eesaari
93,"00:05:49,300","00:05:51,330",speaker_5,ఆ law ministry మనకే ఇస్తారట కదా.,aa law ministry manake isthaarata kadhaa.
94,"00:05:52,100","00:05:53,220",speaker_5,మీరు bless చేస్తే,meeru bless chesthe
95,"00:05:54,319","00:05:55,629",speaker_5,అదే పని మీద ఉంటాను సార్.,adhe pani meedha untaanu saar.
