index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:11,740","00:00:12,750",speaker_0,నా భర్త పద్దెనిమిదేళ్ళ,naa bhartha padhdhenimidhella
2,"00:00:13,160","00:00:13,830",speaker_0,వయసు నుండే,vayasu nunde
3,"00:00:14,060","00:00:15,230",speaker_0,ఖైని తింటూ ఉండేవారు.,khaini thintoo undevaaru.
4,"00:00:15,640","00:00:16,269",speaker_0,దీని ప్రభావం,dheeni prabhaavam
5,"00:00:16,519","00:00:17,730",speaker_0,మా జీవితం ఇంత భయంకరంగా,maa jeevitham intha bhayankarangaa
6,"00:00:18,059","00:00:18,410",speaker_0,ఉంటుందని,untundhani
7,"00:00:18,579","00:00:19,270",speaker_0,నాకు తెలియదు.,naaku theliyadhu.
8,"00:00:19,600","00:00:20,990",speaker_0,ఆయనకి cancer అనే ప్రమాదకరమైన,aayanaki cancer ane pramaadhakaramaina
9,"00:00:21,440","00:00:22,230",speaker_0,వ్యాధి వచ్చింది.,vyaadhi vachhindhi.
10,"00:00:22,679","00:00:23,610",speaker_0,మా ఇంట్లో సంపాదించే,maa intlo sampaadhinche
11,"00:00:23,980","00:00:25,050",speaker_0,వ్యక్తి ఆయన ఒక్కరే.,vyakti aayana okkare.
12,"00:00:25,399","00:00:25,750",speaker_0,భవిష్యత్తులో,bhavishyaththulo
13,"00:00:26,019","00:00:27,130",speaker_0,మా గతి ఎలా ఉంటుందన్న,maa gathi yelaa untundhanna
14,"00:00:27,359","00:00:28,350",speaker_0,ఆలోచన నన్ను నిద్రపోనియ్యడం,aalochana nannu nidhraponiyyadam
15,"00:00:28,760","00:00:30,170",speaker_0,లేదు. ఖైని మా జీవితాలని,ledhu. khaini maa jeevithaalani
16,"00:00:30,480","00:00:31,309",speaker_0,నాశనం చేసింది.,naashanam chesindhi.
17,"00:00:31,440","00:00:33,869",speaker_1,"ఖైని, గుట్కా, పాన్ మసాలా కుటుంబాన్ని నాశనం చేస్తుంది.","khaini, gutkaa, pan masaalaa kutumbaanni naashanam chesthundhi."
18,"00:00:33,979","00:00:36,630",speaker_1,నేడే పొగాకును మానేయండి. సహాయం కోసం ఒకటి ఎనిమిది సున్నా సున్నా,nede pogaakunu maaneyandi. sahaayam kosam okati yenimidhi sunnaa sunnaa
19,"00:00:36,679","00:00:38,490",speaker_1,ఒకటి ఒకటి రెండు మూడు ఐదు ఆరు call చేయండి.,okati okati rendu moodu aidhu aaru call cheyandi.
20,"00:00:39,020","00:00:39,370",speaker_1,పరిశోధనలు,parishodhanalu
21,"00:00:39,979","00:00:41,670",speaker_1,పొగ త్రాగడం మానేసిన ఇరవై నిమిషాలలో,poga thraagadam maanesina iravai nimishaalalo
22,"00:00:42,119","00:00:44,090",speaker_1,మీ రక్త ప్రసరణ మామూలు స్థితికి వస్తుంది.,mee rakta prasarana maamoolu sthithiki vasthundhi.
23,"00:00:44,320","00:00:45,190",speaker_1,అలా కొద్ది రోజుల్లో,alaa kodhdhi rojullo
24,"00:00:45,439","00:00:46,070",speaker_1,మీ శరీరంలో,mee shareeramlo
25,"00:00:46,219","00:00:47,590",speaker_1,ఉన్న nicotine స్థాయి తగ్గిపోతుంది.,unna nicotine sthaayi thaggipothundhi.
26,"00:00:48,039","00:00:49,670",speaker_1,పన్నెండు నెలల్లో గుండెపోటు,pannendu nelallo gundepotu
27,"00:00:49,939","00:00:50,570",speaker_1,బాధ నుంచి,baadha nunchi
28,"00:00:50,780","00:00:51,130",speaker_1,తప్పించుకోగలుగుతారు.,thappinchukogaluguthaaru.
29,"00:00:52,259","00:00:53,140",speaker_1,కానీ ఇప్పుడు,kaanee ippudu
30,"00:00:54,020","00:00:55,710",speaker_1,పొగ త్రాగడం వల్ల మీకు గుండెపోటు,poga thraagadam valla meeku gundepotu
31,"00:00:55,939","00:00:58,730",speaker_1,ఎప్పుడైనా రావచ్చు. వీడే సిగరెట్ ప్రాణాలను హరిస్తుంది.,yeppudainaa raavachhu. veede cigarette praanaalanu haristhundhi.
32,"00:00:59,159","00:00:59,990",speaker_1,ఈరోజే తంబాకును,eeroje thambaakunu
33,"00:01:00,140","00:01:00,490",speaker_1,మానండి.,maanandi.
34,"00:01:00,719","00:01:03,759",speaker_1,సహాయం కోసం ఒకటి ఎనిమిది సున్నా సున్నా ఒకటి ఒకటి రెండు మూడు ఐదు,sahaayam kosam okati yenimidhi sunnaa sunnaa okati okati rendu moodu aidhu
35,"00:01:03,859","00:01:04,659",speaker_1,ఆరు call చేయండి.,aaru call cheyandi.
36,"00:01:05,939","00:01:07,229",speaker_2,పొగ త్రాగుట మద్యం సేవించుట,poga thraaguta madhyam sevinchuta
37,"00:01:07,599","00:01:07,949",speaker_2,ఆరోగ్యానికి,aarogyaaniki
38,"00:01:08,099","00:01:08,449",speaker_2,హానికరం.,haanikaram.
39,"00:01:08,719","00:01:10,169",speaker_2,Cigarette smoking and alcohol consumption,Cigarette smoking and alcohol consumption
40,"00:01:10,439","00:01:11,319",speaker_2,are injurious to health.,are injurious to health.
41,"00:01:37,659","00:01:38,809",speaker_3,నా పేరు జిజి వైద్యనాథన్.,naa peru jiji vaidhyanaathan.
42,"00:01:39,439","00:01:40,069",speaker_3,నేను హైదరాబాద్,nenu hyderabad
43,"00:01:40,299","00:01:42,030",speaker_3,జిల్లా court లో sitting judge.,jillaa court lo sitting judge.
44,"00:01:42,879","00:01:44,409",speaker_3,Justice చౌదరి సినిమా చూసి,Justice chaudhari cinema choosi
45,"00:01:44,780","00:01:45,129",speaker_3,చట్టాన్ని,chattaanni
46,"00:01:45,400","00:01:46,250",speaker_3,న్యాయాన్ని రక్షిద్దామని,nyaayaanni rakshidhdhaamani
47,"00:01:46,719","00:01:48,519",speaker_3,"law చదివి service start చేస్తే,","law chadhivi service start chesthe,"
48,"00:01:49,359","00:01:50,669",speaker_3,నా career span మొత్తం,naa career span moththam
49,"00:01:51,310","00:01:52,060",speaker_3,criminals కంటే,criminals kante
50,"00:01:52,850","00:01:53,810",speaker_3,"మూర్ఖులు, ముద్దులు,","moorkhulu, mudhdhulu,"
51,"00:01:53,859","00:01:54,489",speaker_3,పరమ సుంటలతోనే,parama suntalathone
52,"00:01:55,439","00:01:56,280",speaker_3,ఎక్కువ deal చేశా.,yekkuva deal cheshaa.
53,"00:01:56,939","00:01:58,049",speaker_3,I deal with stupidity,I deal with stupidity
54,"00:01:58,840","00:01:59,680",speaker_3,on daily basis.,on daily basis.
55,"00:02:01,290","00:02:01,890",speaker_3,న్యాయశాస్త్రంలో నేను,nyaayashaastha్ramlo nenu
56,"00:02:01,939","00:02:02,289",speaker_3,సంపాదించిన,sampaadhinchina
57,"00:02:02,659","00:02:03,369",speaker_3,జ్ఞానం అంతా,gnaanam anthaa
58,"00:02:03,859","00:02:05,709",speaker_3,ఇలాంటి అజ్ఞానుల కోసం ఖర్చు పెడుతున్నాను.,ilaanti agnaanula kosam kharchu peduthunnaanu.
59,"00:02:06,900","00:02:07,530",speaker_3,వీళ్ళ మూర్ఖత్వానికి,veella moorkhathvaaniki
60,"00:02:07,920","00:02:09,370",speaker_3,scale కట్టి తీర్పు చెప్పి,scale katti theerpu cheppi
61,"00:02:10,900","00:02:11,620",speaker_3,శిక్ష వేయాలి.,shiksha veyaali.
62,"00:02:12,340","00:02:12,949",speaker_3,వీడు భూపతిరాజు.,veedu bhoopathiraaju.
63,"00:02:13,840","00:02:14,520",speaker_3,కారు దొంగ.,kaaru dhonga.
64,"00:02:25,390","00:02:26,060","speaker_4, speaker_0",Hello. Hello.,Hello. Hello.
65,"00:02:26,199","00:02:26,560",speaker_4,ఆ ఏంటి?,aa yenti?
66,"00:02:26,659","00:02:29,049",speaker_0,కూరగాయలు కెళ్తున్నా. మధ్యాహ్నం వంటలోకి ఏం కూర చేయమంటావ్?,kooragaayalu kelthunnaa. madhyaahnam vantaloki yem koora cheyamantaav?
67,"00:02:29,520","00:02:30,020",speaker_4,Chicken curry చెయ్.,Chicken curry chey.
68,"00:02:30,139","00:02:30,969",speaker_0,అబ్బో చికెను.,abbo chikenu.
69,"00:02:31,219","00:02:33,569",speaker_0,అట్లాంటివి ఏం లేవు గాని చానదుంపల కూర చేస్తా తిను.,atlaantivi yem levu gaani chaanadhumpala koora chesthaa thinu.
70,"00:02:34,280","00:02:36,020",speaker_4,మరి నీకు నచ్చేది చేసినప్పుడు నాకెందుకు phone చేశావే?,mari neeku nachhedhi chesinappudu naakendhuku phone cheshaave?
71,"00:02:36,139","00:02:37,199",speaker_4,పనిలో ఉన్నప్పుడు ఒకటే గోల.,panilo unnappudu okate gola.
72,"00:02:37,439","00:02:37,789",speaker_0,పనా?,panaa?
73,"00:02:38,000","00:02:38,560",speaker_0,ఏం పని?,yem pani?
74,"00:02:39,430","00:02:40,229",speaker_0,దొంగతనానికిపోయి రాత్రంతా,dhongathanaanikipoyi raathranthaa
75,"00:02:40,280","00:02:42,409",speaker_0,తిరిగి ఉదయాన్నే ఉట్టి చేతులతో ఊరుకుంటూ వస్తావ్.,thirigi udhayaanne utti chethulatho oorukuntoo vasthaav.
76,"00:02:42,759","00:02:43,989",speaker_0,పనంటే పని పెద్ద పోటుగాడు.,panante pani pedhdha potugaadu.
77,"00:02:44,539","00:02:46,289",speaker_4,నీ అమ్మ నన్ను ప్రశాంతంగా బతకనివ్వవా నువ్వు?,nee amma nannu prashaanthangaa bathakanivvavaa nuvvu?
78,"00:02:46,340","00:02:46,989",speaker_0,ఎందుకంట అరుస్తున్నావ్?,yendhukanta arusthunnaav?
79,"00:02:47,120","00:02:48,839",speaker_4,తిండితిప్పలు లేకుండా చంపేయ్. చంపేయ్. చంపేయ్.,thindithippalu lekundaa champey. champey. champey.
80,"00:02:48,889","00:02:50,009",speaker_0,ఇంటికి రా. అందరికీ చెప్తా.,intiki raa. andharikee chepthaa.
81,"00:02:50,060","00:02:50,560",speaker_4,పెట్టేయ్ ఫోన్.,pettey phone.
82,"00:02:54,270","00:02:54,960",speaker_3,నాలుగేళ్ళ కఠిన,naalugella katina
83,"00:02:55,060","00:02:55,930",speaker_3,కారాగార శిక్ష.,kaaraagaara shiksha.
84,"00:02:56,479","00:02:56,739",speaker_4,ఆ?,aa?
