index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:05,100","00:00:06,589",speaker_0,పొగ త్రాగుట మద్యం సేవించుట,poga thraaguta madhyam sevinchuta
2,"00:00:07,000","00:00:10,099",speaker_0,ఆరోగ్యానికి హానికరం. Smoking and drinking is injurious to health.,aarogyaaniki haanikaram. Smoking and drinking is injurious to health.
3,"00:01:24,939","00:01:25,260",speaker_0,గంగమ్మ!,gangamma!
4,"00:01:25,420","00:01:25,719",speaker_1,ఆ,aa
5,"00:01:25,859","00:01:26,480",speaker_0,ఎలా ఉంది వ్యాపారం?,yelaa undhi vyaapaaram?
6,"00:01:26,659","00:01:27,859",speaker_1,దేవుడి దయవల్ల బానే ఉంది.,dhevudi dhayavalla baane undhi.
7,"00:01:29,519","00:01:30,040",speaker_0,పొద్దున్న వస్తా,podhdhunna vasthaa
8,"00:01:30,319","00:01:30,640",speaker_1,అలాగే,alaage
9,"00:01:31,480","00:01:31,930",speaker_0,ఏ సూర్యబాబు,ye sooryabaabu
10,"00:01:31,980","00:01:32,310",speaker_2,నమస్తే Sir,namasthe Sir
11,"00:01:32,359","00:01:32,709",speaker_0,నమస్తే,namasthe
12,"00:01:32,920","00:01:33,359",speaker_0,ఇదిగో list.,idhigo list.
13,"00:01:33,579","00:01:33,929",speaker_2,ఆ,aa
14,"00:01:35,120","00:01:37,469",speaker_0,అవును ఈ dry fruits ఉన్నాయ్ మనదే-- ఆహా!,avunu ee dry fruits unnaay manadhe-- aahaa!
15,"00:01:37,739","00:01:38,519",speaker_2,Hi రామప్రసాద్ గారు,Hi raamaprasaadh gaaru
16,"00:01:39,120","00:01:40,429",speaker_0,ఓహో! వెంకటరావు గారు బాగున్నారా?,oho! venkataraavu gaaru baagunnaaraa?
17,"00:01:40,659","00:01:42,719",speaker_2,ఏంటి మీరు one week ఊరు వెళ్తున్నారని చెప్పారు ఝాన్సీ గారు,yenti meeru one week ooru velthunnaarani cheppaaru jhaansee gaaru
18,"00:01:42,939","00:01:43,289",speaker_0,అవును,avunu
19,"00:01:43,480","00:01:46,260",speaker_0,హైదరాబాద్ వెళ్లాల్సి ఉంది postpone అయ్యింది next week వెళ్తున్నాను.,hyderabad vellaalsi undhi postpone ayyindhi next week velthunnaanu.
20,"00:01:46,359","00:01:47,010",speaker_2,ఆహా Okay.,aahaa Okay.
21,"00:01:47,060","00:01:48,169",speaker_0,ఏమ్మా! Health బాగా చూసుకుంటున్నారా?,yemmaa! Health baagaa choosukuntunnaaraa?
22,"00:01:48,430","00:01:48,799",speaker_1,ఆ చూసుకుంటున్నా,aa choosukuntunnaa
23,"00:01:48,879","00:01:50,400",speaker_0,God bless you. ఇదిగో ఇది తీసుకోండి,God bless you. idhigo idhi theesukondi
24,"00:01:50,450","00:01:51,430",speaker_2,అయ్యో వద్దు Sir బలేవారు మీరు,ayyo vadhdhu Sir balevaaru meeru
25,"00:01:51,480","00:01:53,210",speaker_0,అరె పర్లేదు తీసుకోండి ఏం కాదు తీసుకోండి,are parledhu theesukondi yem kaadhu theesukondi
26,"00:01:53,260","00:01:54,219",speaker_2,Thank you Sir thank you,Thank you Sir thank you
27,"00:01:54,459","00:01:54,850",speaker_0,సూర్యబాబు,sooryabaabu
28,"00:01:54,900","00:01:55,019",speaker_2,Sir,Sir
29,"00:01:57,370","00:01:57,880",speaker_0,ఓయ్ పది,oy padhi
30,"00:01:57,930","00:01:58,890",speaker_0,రూపాయలు ఎక్కువు ఇచ్చావ్ అయ్యా,roopaayalu yekkuvu ichhaav ayyaa
31,"00:01:58,939","00:01:59,289",speaker_2,ఆ,aa
32,"00:01:59,519","00:02:00,170",speaker_0,ఎలా బతుకుతావ్?,yelaa bathukuthaav?
33,"00:02:08,439","00:02:08,789",speaker_0,ఝాన్సీ,jhaansee
34,"00:02:16,960","00:02:17,719",speaker_1,ఊరు వెళ్ళలేదా మీరు?,ooru vellaledhaa meeru?
35,"00:02:18,280","00:02:19,680",speaker_0,Next week postpone అయ్యింది ఝాన్సీ.,Next week postpone ayyindhi jhaansee.
36,"00:02:20,300","00:02:21,269",speaker_0,Building గోడలకు ఇంకా,Building godalaku inkaa
37,"00:02:21,479","00:02:22,389",speaker_0,final coating చేస్తున్నారంట.,final coating chesthunnaaranta.
38,"00:02:22,900","00:02:25,449",speaker_0,బాగా late అయిపోయింది. ఇదంతా అయ్యాక wood work start చేద్దాం అని,baagaa late ayipoyindhi. idhanthaa ayyaaka wood work start chedhdhaam ani
39,"00:02:25,500","00:02:25,849",speaker_0,చెప్పారు.,cheppaaru.
40,"00:02:26,240","00:02:28,250",speaker_0,ఇంకా నేను train ఎక్కక చెప్పలేదు. ఉమ్,inkaa nenu train yekkaka cheppaledhu. um
41,"00:02:28,539","00:02:30,400",speaker_1,టవలే కదా నేను తీసుకొస్తా మీరు washroom కి వెళ్ళండి.,tavale kadhaa nenu theesukosthaa meeru washroom ki vellandi.
42,"00:02:30,840","00:02:32,199",speaker_0,అరె ఎందుకు tension పడతావ్? నేను తీసుకుంటాను,are yendhuku tension padathaav? nenu theesukuntaanu
43,"00:02:32,400","00:02:32,740",speaker_0,కదా.,kadhaa.
44,"00:02:55,479","00:02:56,080",speaker_1,రామ్ please,ram please
45,"00:02:56,259","00:02:56,680",speaker_0,ఏయ్!,yey!
46,"00:03:00,060","00:03:00,729",speaker_1,నేను చెప్పేది విను wa--,nenu cheppedhi vinu wa--
47,"00:03:01,000","00:03:01,349",speaker_0,ముట్టుకోకు.,muttukoku.
48,"00:03:03,000","00:03:03,639",speaker_0,వెళ్ళిపో ఇక్కడి నుంచి.,vellipo ikkadi nunchi.
49,"00:03:04,039","00:03:04,989",speaker_0,నిన్ను చూస్తేనే కపరంగుంది.,ninnu choosthene kaparangundhi.
50,"00:03:05,939","00:03:06,289",speaker_1,వెళ్ళిపోతా,vellipothaa
51,"00:03:07,699","00:03:08,039",speaker_1,వెళ్తా,velthaa
52,"00:03:09,060","00:03:10,509",speaker_1,కానీ ఈ విషయం ఎవరికీ చెప్పొద్దు రామ్,kaanee ee vishayam yevarikee cheppodhdhu ram
53,"00:03:11,439","00:03:12,069",speaker_1,please రామ్,please ram
54,"00:03:12,580","00:03:12,930",speaker_1,రామ్,ram
55,"00:03:40,460","00:03:40,900",speaker_0,ఏంటి Sir?,yenti Sir?
