index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:50,000","00:00:50,350",speaker_0,రఘునందన,raghunandhana
2,"00:01:10,590","00:01:10,939",speaker_0,రఘు,raghu
3,"00:01:11,200","00:01:11,549",speaker_0,రఘునందన,raghunandhana
4,"00:01:12,459","00:01:12,809",speaker_0,రఘువర,raghuvara
5,"00:01:13,280","00:01:13,629",speaker_0,సేవన,sevana
6,"00:01:14,140","00:01:14,489",speaker_0,రఘుపతి,raghupathi
7,"00:01:15,000","00:01:15,349",speaker_0,శాయన,shaayana
8,"00:01:52,910","00:01:54,000",speaker_1,ఏంటిది రావట్లేదు.,yentidhi raavatledhu.
9,"00:01:55,599","00:01:56,439",speaker_1,మళ్ళీ try చేద్దాం.,mallee try chedhdhaam.
10,"00:03:17,580","00:03:18,199",speaker_1,ఆహ్ ఆహ్,aah aah
11,"00:03:19,520","00:03:19,620",speaker_1,ఆహ్,aah
12,"00:03:19,560","00:03:22,769",speaker_0,పిల్లోడికి నేను ఎక్కువ గారాబం చేశాను. నువ్వు అడిగిన వెంటనే ఈ సూపర్,pillodiki nenu yekkuva gaaraabam cheshaanu. nuvvu adigina ventane ee super
13,"00:03:22,819","00:03:25,120",speaker_0,హీరో బొమ్మలు DVD లు కొన్నాను చూడు. నాది తప్పు.,hero bommalu DVD lu konnaanu choodu. naadhi thappu.
14,"00:03:25,659","00:03:27,009",speaker_0,ఇంకోసారి పిచ్చి వేషాలు వేసావంటే,inkosaari pichhi veshaalu vesaavante
15,"00:03:27,379","00:03:28,310",speaker_0,నేనే కాళ్ళేరుకు కొడతా.,nene kaalleruku kodathaa.
16,"00:03:29,439","00:03:30,389",speaker_0,మళ్ళీ అదేంటి చేతిలో,mallee adhenti chethilo
17,"00:03:30,539","00:03:33,300",speaker_0,ఇతివ్వు. next year boarding school లో పడేస్తే గానీ దారికి రాడు.,ithivvu. next year boarding school lo padesthe gaanee dhaariki raadu.
18,"00:03:34,020","00:03:35,340",speaker_0,సూపర్ హీరో అంట సూపర్ హీరో,super hero anta super hero
19,"00:03:37,300","00:03:38,329",speaker_2,నువ్వు ఇష్టపడే వాళ్ళు,nuvvu ishtapade vaallu
20,"00:03:38,800","00:03:39,949",speaker_2,కథల్లోనే ఉంటారు నాన్న.,kathallone untaaru naanna.
21,"00:03:40,520","00:03:42,329",speaker_2,real life లో అలా ఎవ్వరూ అవ్వలేరు.,real life lo alaa yevvaroo avvaleru.
22,"00:03:42,699","00:03:43,049",speaker_1,నేనవుతానమ్మా,nenavuthaanammaa
23,"00:03:44,280","00:03:44,849",speaker_2,చూడు నాన్న,choodu naanna
24,"00:03:45,259","00:03:46,150",speaker_2,సూపర్ హీరో అంటే,super hero ante
25,"00:03:46,580","00:03:47,329",speaker_2,శక్తిలో ఉండవలసిన,shaktilo undavalasina
26,"00:03:47,520","00:03:48,310",speaker_2,అవసరం లేదు.,avasaram ledhu.
27,"00:03:48,759","00:03:49,769",speaker_2,తన శక్తికి మించి,thana shaktiki minchi
28,"00:03:50,139","00:03:51,109",speaker_2,మంచి కోసం పోరాడేవాడే,manchi kosam poraadevaade
29,"00:03:51,479","00:03:52,109",speaker_2,సూపర్ హీరో.,super hero.
30,"00:03:59,960","00:04:00,669",speaker_1,ఏంట్రా పిలిచావ్?,yentraa pilichaav?
31,"00:04:01,180","00:04:01,740",speaker_1,రేయ్ శిరీ,rey shiree
32,"00:04:02,569","00:04:03,109",speaker_1,Spiderman కి,Spiderman ki
33,"00:04:03,159","00:04:03,509",speaker_1,అమ్మానాన్న,ammaanaanna
34,"00:04:03,710","00:04:04,360",speaker_1,లేరు కదరా?,leru kadharaa?
35,"00:04:04,580","00:04:04,930",speaker_3,లేరు,leru
36,"00:04:05,719","00:04:07,729",speaker_1,Batman వాళ్ళ అమ్మానాన్న చనిపోయిన తర్వాతే,Batman vaalla ammaanaanna chanipoyina tharvaathe
