index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:05,299","00:00:05,649",speaker_0,మద్యపానం,madhyapaanam
2,"00:00:06,139","00:00:06,489",speaker_0,ధూమపానం,dhoomapaanam
3,"00:00:06,860","00:00:07,209",speaker_0,ఆరోగ్యానికి,aarogyaaniki
4,"00:00:07,660","00:00:08,009",speaker_0,హానికరం,haanikaram
5,"00:00:08,439","00:00:08,789",speaker_0,మరియు,mariyu
6,"00:00:08,960","00:00:09,990",speaker_0,క్యాన్సర్ కు కారకం.,kyaansar ku kaarakam.
7,"00:00:10,300","00:00:12,089",speaker_0,Cigarette smoking and alcohol consumption,Cigarette smoking and alcohol consumption
8,"00:00:12,419","00:00:14,650",speaker_0,are injurious to health. It causes cancer.,are injurious to health. It causes cancer.
9,"00:00:20,120","00:00:23,039",speaker_1,ఈ చిత్రంలో హరిహర వీరమల్లు అనే పాత్ర పదిహేడవ శతాబ్దం నేపథ్యంగా,ee chithramlo harihara veeramallu ane paathra padhihedava shathaabdham nepathyangaa
10,"00:00:23,120","00:00:23,770",speaker_1,కలిగిన కథాంశానికి,kaligina kathaamshaaniki
11,"00:00:23,960","00:00:26,550",speaker_1,సంబంధించిన ఒక కల్పిత పాత్ర. ఈ కథలో జరిగిన సంఘటనలకు,sambandhinchina oka kalpitha paathra. ee kathalo jarigina sanghatanalaku
12,"00:00:26,699","00:00:27,490",speaker_1,చారిత్రిక ఆధారాలున్నాయని,chaarithrika aadhaaraalunnaayani
13,"00:00:27,920","00:00:28,670",speaker_1,నిర్మాతలు ప్రకటించుకోవట్లేదు.,nirmaathalu prakatinchukovatledhu.
14,"00:00:29,280","00:00:31,190",speaker_1,"ఇందులోని ఘట్టాలు, పాత్రలు, పేర్లు, ప్రదేశాలు,","indhuloni ghattaalu, paathralu, perlu, pradheshaalu,"
15,"00:00:31,399","00:00:33,490",speaker_1,"దుస్తులు, మాటలు మరియు ఇతర కళాత్మక విషయాలన్నీ","dhusthulu, maatalu mariyu ithara kalaathmaka vishayaalannee"
16,"00:00:33,659","00:00:34,009",speaker_1,కల్పితాలు.,kalpithaalu.
17,"00:00:34,340","00:00:35,230",speaker_1,"ఓ వ్యక్తికి, వర్గానికి","o vyaktiki, vargaaniki"
18,"00:00:35,359","00:00:35,969",speaker_1,"చెందిన నమ్మకాలను,","chendhina nammakaalanu,"
19,"00:00:36,219","00:00:36,570",speaker_1,"సాంప్రదాయాలను,","saampradhaayaalanu,"
20,"00:00:36,939","00:00:37,289",speaker_1,పద్ధతులను,padhdhathulanu
21,"00:00:37,439","00:00:37,789",speaker_1,కించపరచడం,kinchaparachadam
22,"00:00:38,020","00:00:40,119",speaker_1,లేదా అగౌరవ పరచడం నిర్మాతల ఉద్దేశ్యం కాదు.,ledhaa agaurava parachadam nirmaathala udhdheshyam kaadhu.
23,"00:04:06,409","00:04:07,460",speaker_2,నాయనా ముద్ద!,naayanaa mudhdha!
24,"00:04:11,840","00:04:12,199",speaker_2,"ఇటు ఇవ్వు,","itu ivvu,"
25,"00:04:13,120","00:04:14,520",speaker_2,ఇటు ఇవ్వు. ఆ ముద్ద ఇటు ఇవ్వు.,itu ivvu. aa mudhdha itu ivvu.
26,"00:04:15,120","00:04:15,479",speaker_2,"ఇవ్వు,","ivvu,"
27,"00:04:15,879","00:04:16,800",speaker_2,ఇవ్వు ఇవ్వు. ఏయ్!,ivvu ivvu. yey!
28,"00:04:17,600","00:04:18,179",speaker_2,అమ్మో! ఇవ్వు. ఆ! ఆ! ఆ! ఆ! నాయనా!,ammo! ivvu. aa! aa! aa! aa! naayanaa!
29,"00:04:33,000","00:04:33,350",speaker_2,నాయనా!,naayanaa!
30,"00:04:57,360","00:04:57,710",speaker_2,బిడ్డ!,bidda!
31,"00:04:58,860","00:04:59,210",speaker_2,నాయనా!,naayanaa!
32,"00:05:00,160","00:05:00,510",speaker_2,ఏయ్!,yey!
33,"00:05:02,789","00:05:04,149",speaker_2,బిడ్డ! బిడ్డ!,bidda! bidda!
34,"00:05:04,420","00:05:04,770",speaker_2,నాయనా!,naayanaa!
35,"00:05:05,680","00:05:06,040",speaker_2,ఏయ్! ఏయ్! బిడ్డ! ఏయ్ బిడ్డ!,yey! yey! bidda! yey bidda!
36,"00:05:09,139","00:05:09,779",speaker_3,పక్కకి జరగండి.,pakkaki jaragandi.
37,"00:05:10,600","00:05:10,700",speaker_3,ఏయ్! ఏయ్!,yey! yey!
38,"00:05:10,699","00:05:11,040",speaker_2,బిడ్డ!,bidda!
39,"00:05:11,680","00:05:12,129",speaker_3,ఏమైంది?,yemaindhi?
40,"00:05:12,579","00:05:12,930",speaker_3,ఏమైంది?,yemaindhi?
41,"00:05:15,240","00:05:15,590",speaker_2,బిడ్డ!,bidda!
42,"00:05:17,049","00:05:18,019",speaker_2,మ్మ్ బిడ్డ!,mm bidda!
43,"00:05:18,519","00:05:18,870",speaker_2,బిడ్డా!,biddaa!
44,"00:05:23,468","00:05:23,720",speaker_2,బిడ్డ,bidda
45,"00:05:24,459","00:05:24,879",speaker_2,ఎవరోరా?,yevaroraa?
46,"00:05:25,519","00:05:26,370",speaker_2,"బిడ్డ నీళ్లు,","bidda neellu,"
47,"00:05:26,899","00:05:28,110",speaker_2,అయ్యా కొంచెం తీ-నీళ్లు.,ayyaa konchem thee-neellu.
48,"00:05:31,180","00:05:31,579",speaker_3,ముజూర్!,mujoor!
49,"00:05:37,100","00:05:37,450",speaker_2,మషాలా!,mashaalaa!
50,"00:05:38,660","00:05:40,850",speaker_2,పెద్ద వజ్రం విలువ పది రాటీలా,pedhdha vajram viluva padhi raateelaa
51,"00:05:41,360","00:05:42,170",speaker_2,పైనే ఉంటుంది.,paine untundhi.
52,"00:05:42,920","00:05:43,930",speaker_3,మట్టి తీసిన వాళ్ళు,matti theesina vaallu
53,"00:05:44,139","00:05:44,800",speaker_3,"గంజి వరుసలో,","ganji varusalo,"
54,"00:05:47,560","00:05:48,629",speaker_3,వజ్రం తెచ్చిన వాళ్ళు,vajram thechhina vaallu
55,"00:05:48,779","00:05:49,459",speaker_3,పొద్దు వరుసలో.,podhdhu varusalo.
56,"00:05:59,029","00:06:00,038",speaker_2,బిడ్డ! తిను.,bidda! thinu.
57,"00:06:15,117","00:06:15,668","speaker_4, speaker_5",తగ్గిపోద్ది మన,thaggipodhdhi mana
58,"00:06:15,788","00:06:16,138",speaker_5,ప్రాణాలకి,praanaalaki
59,"00:06:16,487","00:06:17,408",speaker_5,విలువే లేదా నాన్నా,viluve ledhaa naannaa
60,"00:06:17,827","00:06:18,938",speaker_5,మనల్ని ఎంత హింసించి,manalni yentha himsinchi
61,"00:06:19,148","00:06:19,718",speaker_5,మన కష్టాన్ని,mana kashtaanni
62,"00:06:19,908","00:06:20,258",speaker_5,దోచుకుంటున్నారు,dhochukuntunnaaru
63,"00:06:24,148","00:06:25,478",speaker_4,బిడ్డ ఎప్పుడు ఉన్నోడు,bidda yeppudu unnodu
64,"00:06:26,627","00:06:27,698",speaker_4,లేనోడి దగ్గర దోచుకుంటాడు,lenodi dhaggara dhochukuntaadu
65,"00:06:28,777","00:06:29,648",speaker_4,మనల్ని ఆ,manalni aa
66,"00:06:29,807","00:06:30,378",speaker_4,దొర దోచుకుంటే,dhora dhochukunte
67,"00:06:31,427","00:06:32,117",speaker_4,ఆ దొరని,aa dhorani
68,"00:06:32,848","00:06:34,218",speaker_4,గోల్కొండ నవాబు దోచుకుంటాడు,golkonda navaabu dhochukuntaadu
69,"00:06:34,927","00:06:35,478",speaker_4,ఆ నవాబుని,aa navaabuni
70,"00:06:36,317","00:06:37,108",speaker_4,ఢిల్లీలో ఉండే,dilleelo unde
71,"00:06:37,567","00:06:38,438",speaker_4,ముఘల్ చక్రవర్తి,mughal chakravarthi
72,"00:06:39,468","00:06:40,218",speaker_5,అయితే చక్రవర్తే,ayithe chakravarthe
73,"00:06:40,447","00:06:41,088",speaker_5,పెద్ద దొంగా,pedhdha dhongaa
74,"00:06:41,648","00:06:42,677",speaker_5,అతన్ని ఎవరు దోచుకోలేరా,athanni yevaru dhochukoleraa
75,"00:06:43,288","00:06:44,478",speaker_4,ఈ దొంగ దొరలందరినీ,ee dhonga dhoralandharinee
76,"00:06:45,367","00:06:45,718",speaker_4,దోచుకోవడానికి,dhochukovadaaniki
77,"00:06:46,767","00:06:47,478",speaker_4,ఆ పైనున్న,aa painunna
78,"00:06:47,867","00:06:48,218",speaker_4,భగవంతుడు,bhagavanthudu
79,"00:06:48,927","00:06:49,278",speaker_4,ఖచ్చితంగా,khachhithangaa
80,"00:06:49,807","00:06:50,158",speaker_4,ఒకడిని,okadini
81,"00:06:50,567","00:06:50,918",speaker_4,పంపిస్తాడు,pampisthaadu
82,"00:06:53,208","00:06:54,138",speaker_4,వాడు వచ్చి వీళ్ళందరి,vaadu vachhi veellandhari
