index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:00,000","00:00:00,350",speaker_0,What,What
2,"00:00:39,880","00:00:41,179",speaker_0,are you going to sing for us today?,are you going to sing for us today?
3,"00:00:41,619","00:00:42,579",speaker_1,"This is a special one,","This is a special one,"
4,"00:00:43,219","00:00:44,759",speaker_1,"and it's in my mother tongue,","and it's in my mother tongue,"
5,"00:00:45,380","00:00:45,738",speaker_1,Telugu.,Telugu.
6,"00:00:46,299","00:00:46,649",speaker_0,Interesting.,Interesting.
7,"00:00:47,640","00:00:50,060",speaker_0,We just have to check your voice. Let's see if you got it in you.,We just have to check your voice. Let's see if you got it in you.
8,"00:00:50,520","00:00:50,960",speaker_1,Thank you.,Thank you.
9,"00:01:42,799","00:01:43,149",speaker_0,Ready,Ready
10,"00:01:57,299","00:01:57,649",speaker_0,guys,guys
11,"00:02:11,759","00:02:11,919",speaker_2,Sir,Sir
12,"00:02:12,020","00:02:12,819",speaker_0,What's tomorrow schedule?,What's tomorrow schedule?
13,"00:02:13,219","00:02:14,400",speaker_2,Meeting with the clients at 2 PM,Meeting with the clients at 2 PM
14,"00:02:14,719","00:02:15,340",speaker_0,Post lunch right?,Post lunch right?
15,"00:02:15,400","00:02:18,250",speaker_2,Yeah right upcoming fashion week కేలియె Bronax కి సాత్ calibration,Yeah right upcoming fashion week keliye Bronax ki saath calibration
16,"00:02:18,460","00:02:19,840",speaker_2,calling aur templates బి చహియే,calling aur templates bi chahiye
17,"00:02:20,280","00:02:22,199",speaker_0,కల్ తక్ ready హొ జాయెంగే you will receive the mail,col thak ready ho jaayenge you will receive the mail
18,"00:02:22,259","00:02:22,620",speaker_2,Okay sir,Okay sir
19,"00:02:22,860","00:02:23,210",speaker_3,Viraj,Viraj
20,"00:02:23,379","00:02:24,669",speaker_3,Bravakis కి Goa shoot చేయనన్నావా?,Bravakis ki Goa shoot cheyanannaavaa?
21,"00:02:24,789","00:02:25,109",speaker_0,అవును అన్నాను,avunu annaanu
22,"00:02:25,159","00:02:27,349",speaker_3,ఎందుకురా? It's a big company. చేయకపోతే మన good will పోతుంది రా,yendhukuraa? It's a big company. cheyakapothe mana good will pothundhi raa
23,"00:02:27,680","00:02:28,169",speaker_0,Shoot ఎప్పుడన్నావ్?,Shoot yeppudannaav?
24,"00:02:28,419","00:02:29,060",speaker_3,Next month 24,Next month 24
25,"00:02:30,099","00:02:30,379",speaker_0,First,First
26,"00:02:30,560","00:02:30,909",speaker_3,హల్లెలూయ,hallelooya
27,"00:02:31,900","00:02:33,400",speaker_0,"అమోలని పంపించు, నేను recommend చేశానని చెప్పు.","amolani pampinchu, nenu recommend cheshaanani cheppu."
28,"00:02:33,460","00:02:33,810",speaker_3,అమోలా?,amolaa?
29,"00:02:34,199","00:02:34,360",speaker_3,అరే,are
30,"00:02:34,780","00:02:35,729",speaker_3,అమోలైతే అస్సలు కుదరదురా.,amolaithe assalu kudharadhuraa.
31,"00:02:36,020","00:02:37,609",speaker_3,అయినా వాళ్ళ boss నడితే నువ్వు one రోజు పోతావా?,ayinaa vaalla boss nadithe nuvvu one roju pothaavaa?
32,"00:02:37,979","00:02:38,710",speaker_3,It is impossible,It is impossible
33,"00:02:38,919","00:02:39,509",speaker_3,రా. చూడు,raa. choodu
34,"00:02:40,000","00:02:40,710",speaker_3,నేను commit అయిపోయాను.,nenu commit ayipoyaanu.
35,"00:02:41,379","00:02:42,740",speaker_3,నువ్వు చేయకపోతే నేను దెబ్బేపోతాను రా.,nuvvu cheyakapothe nenu dhebbepothaanu raa.
36,"00:02:43,139","00:02:43,439",speaker_0,అయిపో,ayipo
37,"00:02:44,879","00:02:45,229",speaker_3,వి-Viraj,vi-Viraj
38,"00:03:07,310","00:03:08,419",speaker_0,ఆ అచ్చా!,aa achhaa!
39,"00:03:09,060","00:03:09,329",speaker_0,కైసే,kaise
40,"00:03:10,240","00:03:10,379",speaker_0,హై? Hi,hai? Hi
41,"00:04:01,060","00:04:02,560",speaker_0,Your favourite fish comment,Your favourite fish comment
42,"00:04:02,960","00:04:03,530",speaker_0,thank you.,thank you.
43,"00:04:08,580","00:04:08,930",speaker_0,ఉమ్,um
44,"00:04:16,519","00:04:16,949",speaker_0,ప్లేట్ లో,plate lo
