index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:05,000","00:00:05,349",speaker_0,పగ,paga
2,"00:00:42,020","00:00:42,370",speaker_0,సదని,sadhani
3,"00:00:43,299","00:00:43,649",speaker_0,పమప,pamapa
4,"00:00:44,240","00:00:44,590",speaker_0,గమరేసా,gamaresaa
5,"00:00:45,759","00:00:46,109",speaker_0,సపమరేసదని,sapamaresadhani
6,"00:00:48,750","00:00:50,140",speaker_0,పమప గమప,pamapa gamapa
7,"00:00:53,409","00:00:55,920",speaker_0,పసనిపనిసా గమదమరేసా,pasanipanisaa gamadhamaresaa
8,"00:00:56,259","00:00:56,609",speaker_0,సనిసపనిమప,sanisapanimapa
9,"00:00:58,759","00:00:59,109",speaker_0,మరేసరేసనిమప,maresaresanimapa
10,"00:01:38,219","00:01:39,239",speaker_1,ఈ ప్రకృతి ఉందే,ee prakruthi undhe
11,"00:01:39,799","00:01:40,549",speaker_1,చాలా వింతైనది.,chaalaa vinthainadhi.
12,"00:01:41,359","00:01:41,890",speaker_1,అది తలుచుకుంటే,adhi thaluchukunte
13,"00:01:42,579","00:01:42,929",speaker_1,ఒక్కటిగా,okkatigaa
14,"00:01:43,099","00:01:43,890",speaker_1,కలిసి ఉన్న వారిని,kalisi unna vaarini
15,"00:01:44,379","00:01:45,009",speaker_1,ఒక్క క్షణంలో,okka kshanamlo
16,"00:01:45,180","00:01:45,530",speaker_1,విడదీయగలదు.,vidadheeyagaladhu.
17,"00:01:46,620","00:01:48,309",speaker_1,వాళ్ళు ఎంత దూరంలో ఉన్నా సరే,vaallu yentha dhooramlo unnaa sare
18,"00:01:48,540","00:01:49,549",speaker_1,ఒక్క కంటి సైగతోనే,okka kanti saigathone
19,"00:01:50,000","00:01:50,989",speaker_1,వాళ్ళని కలిపి వేయగలదు.,vaallani kalipi veyagaladhu.
20,"00:02:06,420","00:02:06,760",speaker_2,తమ్ముడు,thammudu
21,"00:02:07,060","00:02:07,159",speaker_1,ఉమ్,um
22,"00:02:07,519","00:02:08,489",speaker_2,నువ్వు చాలా అదృష్టవంతుడివిరా,nuvvu chaalaa adhrushtavanthudiviraa
23,"00:02:09,090","00:02:09,439",speaker_1,అవునా,avunaa
24,"00:02:09,819","00:02:13,879",speaker_2,ఈ area లో resale flat నలభై ఎనిమిది లక్షల కన్నా తక్కువ దొరకనే దొరకదు.,ee area lo resale flat nalabhai yenimidhi lakshala kannaa thakkuva dhorakane dhorakadhu.
25,"00:02:14,099","00:02:14,199",speaker_1,ఓకే,okay
26,"00:02:14,129","00:02:15,049",speaker_2,కానీ మీకు మాత్రం,kaanee meeku maathram
27,"00:02:15,300","00:02:17,409",speaker_2,నలభై నాలుగు లక్షల యాభై వేలకే దొరికేసింది.,nalabhai naalugu lakshala yaabhai velake dhorikesindhi.
28,"00:02:18,060","00:02:19,250",speaker_2,మీరు చాలా lucky రా,meeru chaalaa lucky raa
29,"00:02:19,439","00:02:19,699",speaker_1,Thanks అండి,Thanks andi
30,"00:02:19,750","00:02:20,889",speaker_2,ఆ అది మన number,aa adhi mana number
31,"00:02:21,120","00:02:22,949",speaker_2,ఏ పదమూడు చాలా lucky number. రండి రండి రండి.,ye padhamoodu chaalaa lucky number. randi randi randi.
32,"00:02:23,319","00:02:23,669",speaker_1,సరే,sare
33,"00:02:24,020","00:02:24,120",speaker_3,రా,raa
34,"00:02:24,680","00:02:26,000",speaker_3,రా ఏ number వచ్చినా వాడు ఇదే చెప్పేది.,raa ye number vachhinaa vaadu idhe cheppedhi.
35,"00:02:26,629","00:02:27,189",speaker_2,ఏ కుమార్,ye kumaar
36,"00:02:27,240","00:02:27,439",speaker_2,స్వామి,swam
37,"00:02:27,960","00:02:28,180",speaker_1,Sir,Sir
38,"00:02:28,680","00:02:29,349",speaker_2,ఏంటయ్యా ఇది,yentayyaa idhi
39,"00:02:29,599","00:02:32,469",speaker_2,birth certificate లో initial ముందు ఉంది aadhar card లో వెనకు ఉంది,birth certificate lo initial mundhu undhi aadhar card lo venaku undhi
40,"00:02:32,520","00:02:33,750",speaker_2,ఏంటి? వెళ్లి మార్చుకొని రండయ్యా,yenti? velli maarchukoni randayyaa
41,"00:02:33,800","00:02:34,159",speaker_1,Sir,Sir
42,"00:02:34,500","00:02:34,599",speaker_2,ష్,sh
43,"00:02:36,599","00:02:36,989",speaker_2,dastawejulu ₹250,dastawejulu ₹250
44,"00:02:37,039","00:02:37,389",speaker_3,ఏంటండీ,yentandee
45,"00:02:37,819","00:02:38,169",speaker_3,ఇదేం,idhem
46,"00:02:38,419","00:02:39,569",speaker_3,"voter, melu card లా చదువుతున్నాడు","voter, melu card laa chadhuvuthunnaadu"
47,"00:02:39,719","00:02:40,399",speaker_2,"stamp paper కి ₹150,","stamp paper ki ₹150,"
48,"00:02:40,800","00:02:41,409",speaker_2,pennulu ₹50,pennulu ₹50
49,"00:02:41,680","00:02:42,329",speaker_2,మొత్తం ₹600,moththam ₹600
50,"00:02:43,159","00:02:44,150",speaker_2,తీయండి తీయండి ₹600,theeyandi theeyandi ₹600
51,"00:02:44,280","00:02:45,229",speaker_2,తీయండి. ఆ,theeyandi. aa
