index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:25,000","00:00:25,350",speaker_0,ప్రేమ,prema
2,"00:01:39,939","00:01:41,849",speaker_0,అంటే హృదయాన్ని బీకి కింద పడేసి గసగస తొక్కితే,ante hrudhayaanni beeki kindha padesi gasagasa thokkithe
3,"00:01:42,620","00:01:43,299",speaker_0,అదే ప్రేమ.,adhe prema.
4,"00:01:44,700","00:01:45,019",speaker_0,హే!,he!
5,"00:01:46,159","00:01:46,259",speaker_0,హే!,he!
6,"00:02:03,450","00:02:06,319",speaker_0,ప్రేమే ఫెయిలైపోయారా,preme pheyilaipoyaaraa
7,"00:02:09,170","00:02:09,979",speaker_0,Life ఏ,Life ye
8,"00:02:10,259","00:02:10,609",speaker_0,పెయ్యనే,peyyane
9,"00:02:11,479","00:02:11,829",speaker_0,అయ్యారా,ayyaaraa
10,"00:02:15,060","00:02:15,810",speaker_0,హే బంగారం,he bangaaram
11,"00:02:17,139","00:02:17,489",speaker_0,నిదరోకు,nidharoku
12,"00:02:18,699","00:02:19,650",speaker_0,నా పాటే,naa paate
13,"00:02:20,300","00:02:21,469",speaker_0,నువ్వు విను చాలు,nuvvu vinu chaalu
14,"00:02:21,919","00:02:22,269",speaker_0,ఒంటరిగా,ontarigaa
15,"00:02:23,520","00:02:23,870",speaker_0,ఏడవకు,yedavaku
16,"00:02:25,039","00:02:25,389",speaker_0,వదిలే,vadhile
17,"00:02:26,240","00:02:26,590",speaker_0,దిగులు,dhigulu
18,"00:02:27,240","00:02:27,799",speaker_0,నువ్వు పరుగెత్తిరా,nuvvu parugeththiraa
19,"00:02:30,419","00:02:30,969",speaker_0,La మర్చిపోరా,La marchiporaa
20,"00:02:33,620","00:02:34,989",speaker_0,ఇది పూర్వ జన్మ పాపాల,idhi poorva janma paapaala
21,"00:02:35,439","00:02:35,789",speaker_0,శాపం,shaapam
22,"00:02:36,060","00:02:36,439",speaker_0,కదా,kadhaa
23,"00:02:36,840","00:02:37,849",speaker_0,నీ హార్టును ముయ్రా,nee haartunu muyraa
24,"00:02:41,919","00:02:42,269",speaker_0,హే!,he!
25,"00:02:55,099","00:02:55,379",speaker_0,హే!,he!
26,"00:03:38,030","00:03:39,439",speaker_0,ఇదిగో సరుకు,idhigo saruku
27,"00:03:40,000","00:03:40,349",speaker_0,మరిసే,marise
28,"00:03:41,639","00:03:41,989",speaker_0,వరకు,varaku
29,"00:03:43,280","00:03:43,639",speaker_0,ఎగిరే,yegire
30,"00:03:44,800","00:03:45,150",speaker_0,ఎదకు,yedhaku
31,"00:03:45,840","00:03:46,189",speaker_0,అదుపే,adhupe
32,"00:03:48,039","00:03:48,389",speaker_0,అవకు,avaku
33,"00:03:49,599","00:03:49,949",speaker_0,ఉసురే,usure
34,"00:03:51,280","00:03:51,629",speaker_0,ఉసురే,usure
35,"00:03:53,950","00:03:55,219",speaker_0,రావే ఇప్పుడే,rave ippude
36,"00:03:56,020","00:03:56,419",speaker_0,నిశిలో,nishilo
37,"00:03:58,490","00:04:00,780",speaker_0,శశిలా మరిసే,shashilaa marise
38,"00:04:00,840","00:04:01,189",speaker_0,వెలుగై,velugai
39,"00:04:01,659","00:04:02,629",speaker_0,నా పాటే వినవా,naa paate vinavaa
40,"00:04:02,680","00:04:03,150",speaker_1,డాంగ్ డాంగ్,dong dong
41,"00:04:03,890","00:04:04,489",speaker_1,డాంగ్ డింగ్,dong ding
42,"00:04:04,539","00:04:05,169",speaker_1,డింగ్ డింగ్,ding ding
43,"00:04:05,419","00:04:06,409",speaker_1,డింగ్ డింగ్ డుం డుం డుం,ding ding dum dum dum
44,"00:04:07,020","00:04:07,399",speaker_1,డుం డుం టింగ్ టింగ్,dum dum ting ting
45,"00:04:08,639","00:04:09,710",speaker_1,టింగ్ టింగ్ డాంగ్ డాంగ్ డాంగ్ డింగ్,ting ting dong dong dong ding
46,"00:04:10,810","00:04:11,289",speaker_1,డింగ్ డింగ్,ding ding
