index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:00,000","00:00:00,350",speaker_0,ధూమపానం,dhoomapaanam
2,"00:00:28,260","00:00:28,610",speaker_0,మద్యపానం,madhyapaanam
3,"00:00:28,899","00:00:29,250",speaker_0,ఆరోగ్యానికి,aarogyaaniki
4,"00:00:29,420","00:00:29,770",speaker_0,హానికరం,haanikaram
5,"00:00:29,920","00:00:30,730",speaker_0,మరియు ప్రాణాంతకం.,mariyu praanaanthakam.
6,"00:00:31,079","00:00:32,289",speaker_0,Smoking and drinking is,Smoking and drinking is
7,"00:00:32,479","00:00:33,310",speaker_0,injurious to health.,injurious to health.
8,"00:00:33,539","00:00:33,890",speaker_0,సురక్షితంగా,surakshithangaa
9,"00:00:34,119","00:00:34,469",speaker_0,ఉండండి.,undandi.
10,"00:00:34,920","00:00:36,109",speaker_0,మద్యం సేవించి వాహనం నడపకండి.,madhyam sevinchi vaahanam nadapakandi.
11,"00:01:13,359","00:01:14,250",speaker_1,మమ్ము కాచినవాడు,mammu kaachinavaadu
12,"00:01:16,890","00:01:17,950",speaker_1,మా మనసు,maa manasu
13,"00:01:18,000","00:01:18,349",speaker_1,దోచినవాడు,dhochinavaadu
14,"00:01:23,120","00:01:23,469",speaker_1,మంగళకారుడు,mangalakaarudu
15,"00:01:27,180","00:01:27,560",speaker_1,మా,maa
16,"00:01:28,780","00:01:29,129",speaker_1,శ్రీనివాసుడు,shreenivaasudu
17,"00:01:43,870","00:01:44,180",speaker_2,జనక జనక,janaka janaka
18,"00:01:44,230","00:01:44,579",speaker_2,జనక,janaka
19,"00:01:44,760","00:01:45,109",speaker_2,జనక,janaka
20,"00:01:45,719","00:01:46,069",speaker_2,అయితే,ayithe
21,"00:01:46,280","00:01:48,289",speaker_2,అయితే అయితే కనక జనక జనక జనక,ayithe ayithe kanaka janaka janaka janaka
22,"00:01:49,810","00:01:50,659",speaker_2,అయితే అయితే,ayithe ayithe
23,"00:01:50,719","00:01:51,269",speaker_2,అయితే కనక,ayithe kanaka
24,"00:01:51,319","00:01:51,669",speaker_1,ఆ,aa
25,"00:01:58,540","00:01:59,309",speaker_1,ఒక్క decision,okka decision
26,"00:01:59,980","00:02:00,890",speaker_1,నా life ని మార్చేసింది.,naa life ni maarchesindhi.
27,"00:02:05,340","00:02:06,129",speaker_1,ఎక్కడికి తీసుకెళ్తున్నావ్?,yekkadiki theesukelthunnaav?
28,"00:02:06,390","00:02:07,049",speaker_1,వచ్చేశాం వచ్చేశాం.,vachheshaam vachheshaam.
29,"00:02:07,459","00:02:07,809",speaker_1,ఇదిగో,idhigo
