index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:09,980","00:00:10,330",speaker_0,మద్యపానం,madhyapaanam
2,"00:00:10,539","00:00:10,889",speaker_0,ధూమపానం,dhoomapaanam
3,"00:00:11,029","00:00:13,320",speaker_0,ఆరోగ్యానికి హానికరం మరియు cancer కు కారకం.,aarogyaaniki haanikaram mariyu cancer ku kaarakam.
4,"00:00:13,500","00:00:15,049",speaker_0,Cigarette smoking and alcohol consumption,Cigarette smoking and alcohol consumption
5,"00:00:15,400","00:00:17,440",speaker_0,"are injurious to health, it causes cancer.","are injurious to health, it causes cancer."
6,"00:00:17,500","00:00:18,719",speaker_1,ఇది పూర్తిగా కల్పిత కథ మాత్రమే.,idhi poorthigaa kalpitha katha maathrame.
7,"00:00:19,120","00:00:20,330",speaker_1,వినోద ప్రయోజనాల కోసం రూపొందించబడింది.,vinodha prayojanaala kosam roopondhinchabadindhi.
8,"00:00:20,800","00:00:23,390",speaker_1,"ఈ చిత్రంలోని పాత్రలు, ప్రదేశాలు, సంఘటనలు వాస్తవ వ్యక్తులు","ee chithramloni paathralu, pradheshaalu, sanghatanalu vaasthava vyaktulu"
9,"00:00:23,620","00:00:24,270",speaker_1,లేదా సంఘటనలను,ledhaa sanghatanalanu
10,"00:00:24,399","00:00:24,970",speaker_1,పోలి ఉండవు.,poli undavu.
11,"00:00:25,179","00:00:28,610",speaker_1,"ఏ మతం, ఆచారం, చరిత్ర, పురాణం, సంస్థ, వర్గం లేదా మతాన్ని","ye matham, aachaaram, charithra, puraanam, samstha, vargam ledhaa mathaanni"
12,"00:00:28,839","00:00:31,269",speaker_1,ఏ విధంగానూ అవమానించే ఉద్దేశం ఈ చిత్ర దర్శకులకు లేదు.,ye vidhangaanoo avamaaninche udhdhesham ee chithra dharshakulaku ledhu.
13,"00:00:31,320","00:00:32,329",speaker_1,"ఈ చిత్రం మంత్రతంత్రాలు,","ee chithram manthrathanthraalu,"
14,"00:00:32,659","00:00:33,009",speaker_1,"మూఢనమ్మకాలు,","moodanammakaalu,"
15,"00:00:33,240","00:00:35,810",speaker_1,black magic లేదా ఎలాంటి చట్టవిరుద్ధ క్రియలను ప్రోత్సహించే,black magic ledhaa yelaanti chattavirudhdha kriyalanu prothsahinche
16,"00:00:35,960","00:00:36,770",speaker_1,ఉద్దేశంతో రూపొందించబడలేదు.,udhdheshantho roopondhinchabadaledhu.
17,"00:02:54,520","00:02:55,210",speaker_1,వేల సంవత్సరాల,vela samvathsaraala
18,"00:02:55,460","00:02:55,819",speaker_1,క్రితం,kritham
19,"00:02:56,360","00:02:57,699",speaker_1,ప్రజల దగ్గర ధనం ఉండేది.,prajala dhaggara dhanam undedhi.
