index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:10,160","00:00:10,509",speaker_0,"మద్యపానం,","madhyapaanam,"
2,"00:00:10,699","00:00:13,259",speaker_0,ధూమపానం ఆరోగ్యానికి హానికరం మరియు క్యాన్సర్ కు కారకం.,dhoomapaanam aarogyaaniki haanikaram mariyu kyaansar ku kaarakam.
3,"00:00:13,560","00:00:15,750",speaker_0,జాగ్రత్తగా ఉండండి. మద్యం సేవించి వాహనం నడపకండి.,jaagraththagaa undandi. madhyam sevinchi vaahanam nadapakandi.
4,"00:00:16,379","00:00:17,890",speaker_0,Cigarette smoking and alcohol consumption,Cigarette smoking and alcohol consumption
5,"00:00:18,199","00:00:20,019",speaker_0,is injurious to health. It causes cancer.,is injurious to health. It causes cancer.
6,"00:00:20,379","00:00:21,839",speaker_0,Be safe. Don't drink and drive.,Be safe. Don't drink and drive.
7,"00:01:45,450","00:01:45,549",speaker_1,ఆయ్!,aay!
8,"00:01:53,859","00:01:56,260",speaker_1,ఒహ్ హ్మ్,oh hma్
9,"00:02:04,459","00:02:04,709",speaker_1,రేయ్!,rey!
10,"00:02:05,519","00:02:05,859",speaker_1,లేండ్రా!,lendraa!
11,"00:02:06,280","00:02:06,510",speaker_2,హ్మ్,hma్
12,"00:02:06,879","00:02:07,229",speaker_1,రేయ్!,rey!
13,"00:02:07,739","00:02:07,959",speaker_2,హ్మ్,hma్
14,"00:02:13,960","00:02:14,310",speaker_1,ఆహ్,aah
15,"00:02:15,300","00:02:15,699",speaker_1,లేండి బే,lendi be
16,"00:02:16,659","00:02:17,549",speaker_2,ఏందిరా నీ రొల్లి?,yendhiraa nee rolli?
17,"00:02:29,370","00:02:29,469",speaker_2,హ్మ్,hma్
18,"00:02:29,620","00:02:31,069",speaker_1,ఏడున్నామ్ రా? జంగల్ లెక్క ఉంది.,yedunnaam raa? jungle lekka undhi.
19,"00:02:31,280","00:02:31,810",speaker_2,నన్ను అడుగుతావేందిరా?,nannu aduguthaavendhiraa?
20,"00:02:32,379","00:02:33,319",speaker_2,డ్రైవింగ్ సీట్ లో ఉన్నది నువ్వే.,driving seat lo unnadhi nuvve.
21,"00:02:34,180","00:02:34,400",speaker_1,ఆహ్.,aah.
22,"00:02:38,840","00:02:39,180",speaker_1,రేయ్!,rey!
23,"00:02:40,099","00:02:41,199",speaker_1,నాకు ఆఫీస్ ఉంది రా.,naaku office undhi raa.
24,"00:02:41,979","00:02:43,939",speaker_1,క్లయింట్ మీటింగ్స్ ఉన్నాయి. నా జాబ్ పోద్ది రా.,client meetings unnaayi. naa job podhdhi raa.
25,"00:02:44,469","00:02:45,199",speaker_1,ఏడున్నామ్ రా?,yedunnaam raa?
26,"00:02:46,240","00:02:46,930",speaker_2,నువ్వే కదరా.,nuvve kadharaa.
27,"00:02:47,340","00:02:49,780",speaker_2,నిన్న తొక్కితో గోవాలో ఉండాలని స్టీరింగ్ పట్టుకొని ఊగినావ్.,ninna thokkitho govaalo undaalani steering pattukoni ooginaav.
28,"00:02:50,719","00:02:51,409",speaker_1,దీసుంటే అవలాడాలన్నీ,dheesunte avalaadaalannee
29,"00:02:51,639","00:02:52,229",speaker_1,నువ్వే వేస్తావ్.,nuvve vesthaav.
30,"00:02:52,699","00:02:53,020",speaker_2,హ్మ్,hma్
31,"00:02:53,379","00:02:54,479",speaker_1,అరేయ్ ఒకసారి నా ఫోన్ కి రింగ్ ఇరా.,arey okasaari naa phone ki ring ira.
32,"00:02:55,080","00:02:55,689",speaker_1,దొరికి పాడైతలేదు.,dhoriki paadaithaledhu.
33,"00:02:57,659","00:02:58,389",speaker_2,అరేయ్ మీకేం గుర్తులేదారా?,arey meekem gurthuledhaaraa?
