index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:30,660","00:00:31,339",speaker_0,అందరికీ నమస్కారం అండి.,andharikee namaskaaram andi.
2,"00:00:32,140","00:00:32,909",speaker_0,నేను మీ కిరణ్ అబ్బోరం,nenu mee kiran abboram
3,"00:00:33,560","00:00:35,079",speaker_0,Piracy గురించి చాలా fight చేస్తున్నాం.,Piracy gurinchi chaalaa fight chesthunnaam.
4,"00:00:35,939","00:00:37,890",speaker_0,Smoking and drinking ఆరోగ్యానికి ఎంత హానికరమో,Smoking and drinking aarogyaaniki yentha haanikaramo
5,"00:00:38,679","00:00:39,030",speaker_0,మనందరం,manandharam
6,"00:00:39,179","00:00:39,990",speaker_0,ప్రేమించే సినిమాకి,preminche sinimaaki
7,"00:00:40,530","00:00:41,768",speaker_0,ఈ Piracy అంతే హానికరం.,ee Piracy anthe haanikaram.
8,"00:00:42,579","00:00:43,600",speaker_0,Please kill Piracy,Please kill Piracy
9,"00:00:44,340","00:00:44,939",speaker_0,save సినిమా.,save cinema.
10,"00:00:45,579","00:00:45,939",speaker_0,Thank you.,Thank you.
11,"00:00:46,500","00:00:47,060",speaker_0,Enjoy the show.,Enjoy the show.
12,"00:02:26,759","00:02:27,289",speaker_1,Good morning sir,Good morning sir
13,"00:02:27,340","00:02:27,639",speaker_2,Good morning,Good morning
14,"00:02:34,080","00:02:34,699",speaker_2,ఏం వర్మ సార్,yem worm saar
15,"00:02:35,759","00:02:36,620",speaker_2,supplementary paper లూ,supplementary paper loo
16,"00:02:37,280","00:02:37,849",speaker_2,అన్ని ఉన్నాయ్.,anni unnaay.
17,"00:02:38,060","00:02:38,750",speaker_2,ఎంతమంది రాశారండి?,yenthamandhi raashaarandi?
18,"00:02:40,259","00:02:40,680",speaker_1,ఒక్కడు,okkadu
19,"00:02:41,979","00:02:45,109",speaker_2,Text book మొత్తం రాసిన అన్ని paper లూ అవును just five questions,Text book moththam raasina anni paper loo avunu just five questions
20,"00:02:45,159","00:02:46,489",speaker_2,కి ఏం రాసుంటాడు సార్ ఆ ఒక్కడు.,ki yem raasuntaadu saar aa okkadu.
