index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:05,100","00:00:08,560",speaker_0,ఈ సిగరెట్ గాని బీడీ గాని కలిస్తే జరిగే నష్టం ఏమిటని నాకు అప్పుడప్పుడు,ee cigarette gaani beedee gaani kalisthe jarige nashtam yemitani naaku appudappudu
2,"00:00:08,619","00:00:08,969",speaker_0,అనిపిస్తుంది.,anipisthundhi.
3,"00:00:09,320","00:00:09,669",speaker_0,ఇదేనా,idhenaa
4,"00:00:09,830","00:00:11,009",speaker_0,నా స్ట్రోక్ కి కారణమై,naa stroke ki kaaranamai
5,"00:00:11,279","00:00:12,129",speaker_0,నన్ను నా కుటుంబానికి,nannu naa kutumbaaniki
6,"00:00:12,500","00:00:13,629",speaker_0,భారం అయ్యేలా చేసేది.,bhaaram ayyelaa chesedhi.
7,"00:00:13,939","00:00:14,289",speaker_0,లేక,leka
8,"00:00:14,640","00:00:17,839",speaker_0,"నా lung cancer కి కారణం అయ్యేది. ఇదే నా నన్ను నోటి cancer,","naa lung cancer ki kaaranam ayyedhi. idhe naa nannu noti cancer,"
9,"00:00:17,940","00:00:21,980",speaker_0,హృదయ రోగం లేదా ఎంపసీ నాకు దగ్గర చేసేది. మీరు మళ్ళీ సిగరెట్ గాని,hrudhaya rogam ledhaa yempasee naaku dhaggara chesedhi. meeru mallee cigarette gaani
10,"00:00:22,100","00:00:23,089",speaker_0,బీడీ గాని కాల్చబోయినప్పుడు,beedee gaani kaalchaboyinappudu
11,"00:00:23,780","00:00:25,950",speaker_0,దాన్ని కాలిస్తే జరిగే నష్టం ఏమిటో ఆలోచించుకోండి.,dhaanni kaalisthe jarige nashtam yemito aalochinchukondi.
12,"00:00:26,480","00:00:27,770",speaker_0,ఈ వేలే పొగాకు మానేయండి.,ee vele pogaaku maaneyandi.
13,"00:00:28,140","00:00:30,609",speaker_0,సహాయం కోసం ఒకటి ఎనిమిది సున్నా సున్నా ఒకటి ఒకటి రెండు మూడు ఐదు,sahaayam kosam okati yenimidhi sunnaa sunnaa okati okati rendu moodu aidhu
14,"00:00:30,660","00:00:33,190",speaker_0,ఆరు కి call చేయండి లేదా సున్నా ఒకటి ఒకటి రెండు రెండు తొమ్మిది,aaru ki call cheyandi ledhaa sunnaa okati okati rendu rendu thommidhi
15,"00:00:33,240","00:00:34,939",speaker_0,సున్నా ఒకటి ఏడు సున్నా ఒకటి కి miss call ఇవ్వండి.,sunnaa okati yedu sunnaa okati ki miss call ivvandi.
16,"00:00:38,340","00:00:39,649",speaker_1,నా జీవితం ఇలా మారిపోతుంది,naa jeevitham ilaa maaripothundhi
17,"00:00:39,820","00:00:40,170",speaker_1,అనుకోలేదు.,anukoledhu.
18,"00:00:41,460","00:00:42,329",speaker_1,హాయిగా సాగిపోతున్న,haayigaa saagipothunna
19,"00:00:42,679","00:00:43,060",speaker_1,"జీవితం,","jeevitham,"
20,"00:00:43,719","00:00:44,299",speaker_1,"మంచి భర్త,","manchi bhartha,"
21,"00:00:44,939","00:00:46,250",speaker_1,రత్నాలు లాంటి ఇద్దరు పిల్లలు,rathnaalu laanti idhdharu pillalu
22,"00:00:47,039","00:00:47,390",speaker_1,దీనంతటినీ,dheenanthatinee
23,"00:00:47,880","00:00:48,609",speaker_1,పొగాకు మార్చేసింది.,pogaaku maarchesindhi.
24,"00:00:50,219","00:00:51,090",speaker_1,మొహంపై పెరుగుతున్న,mohampai peruguthunna
25,"00:00:51,299","00:00:53,179",speaker_1,ఈ cancer ను ఇప్పుడు తొలగించక తప్పదు.,ee cancer nu ippudu tholaginchaka thappadhu.
26,"00:00:54,280","00:00:55,890",speaker_1,ఇకపై ఏది గతంలో ఉండదు.,ikapai yedhi gathamlo undadhu.
27,"00:00:56,479","00:00:57,469",speaker_1,పొగాకు నా జీవితాన్ని,pogaaku naa jeevithaanni
28,"00:00:57,740","00:00:58,090",speaker_1,నాశనం,naashanam
29,"00:00:58,240","00:00:58,590",speaker_1,చేసింది.,chesindhi.
30,"00:00:59,320","00:00:59,670",speaker_0,"ఖైని,","khaini,"
31,"00:00:59,859","00:01:00,730",speaker_0,"గుట్కా, తంబాకు,","gutkaa, thambaaku,"
32,"00:01:01,060","00:01:01,410",speaker_0,"జర్దా,","jardhaa,"
33,"00:01:01,579","00:01:02,149",speaker_0,పాన్ మసాలా,pan masaalaa
34,"00:01:02,780","00:01:03,370",speaker_0,ఇవి జీవితాన్ని,ivi jeevithaanni
35,"00:01:03,619","00:01:03,969",speaker_0,చిన్నాభిన్నం,chinnaabhinnam
36,"00:01:04,200","00:01:04,549",speaker_0,చేస్తాయి.,chesthaayi.
37,"00:02:29,979","00:02:30,669",speaker_1,నేను రాక్షసుల,nenu raakshasula
38,"00:02:30,960","00:02:31,759",speaker_1,గురించి విన్నాను.,gurinchi vinnaanu.
39,"00:02:32,280","00:02:33,669",speaker_1,first time ఒక రాక్షసుడిని,first time oka raakshasudini
40,"00:02:34,060","00:02:34,409",speaker_1,చూశాను.,chooshaanu.
41,"00:02:35,300","00:02:36,750",speaker_1,వాడి గురించి ఎవ్వరూ తెలుసుకోవడం,vaadi gurinchi yevvaroo thelusukovadam
42,"00:02:37,080","00:02:37,769",speaker_1,గాని చదవడం,gaani chadhavadam
43,"00:02:37,939","00:02:38,650",speaker_1,గాని అక్కర్లేదు.,gaani akkarledhu.
44,"00:02:41,759","00:02:42,569",speaker_1,వాడికి సంబంధించిన,vaadiki sambandhinchina
45,"00:02:43,000","00:02:44,930",speaker_1,గుర్తులు గాని చరిత్ర గాని ఉండకూడదు.,gurthulu gaani charithra gaani undakoodadhu.
46,"00:02:46,419","00:02:46,969",speaker_1,I am enforcing,I am enforcing
47,"00:02:47,240","00:02:47,819",speaker_1,the order,the order
48,"00:02:49,159","00:02:52,590",speaker_1,and signing a death warrant of the biggest criminal in India.,and signing a death warrant of the biggest criminal in India.
49,"00:03:03,829","00:03:04,509",speaker_1,This is ridiculous.,This is ridiculous.
50,"00:03:05,740","00:03:07,389",speaker_1,How can somebody write something so careless?,How can somebody write something so careless?
51,"00:03:08,500","00:03:09,930",speaker_1,అందులోనూ ఒక senior journalist,andhulonoo oka senior journalist
52,"00:03:10,139","00:03:10,909",speaker_1,ఈ విధంగా రాశాడంటే,ee vidhangaa raashaadante
53,"00:03:11,099","00:03:12,219",speaker_1,నాకు నమ్మబుద్ధి కావట్లేదు.,naaku nammabudhdhi kaavatledhu.
54,"00:03:12,479","00:03:14,090",speaker_0,ఈ book ని publish చేయాలని కూడా అనుకున్నారు.,ee book ni publish cheyaalani koodaa anukunnaaru.
55,"00:03:14,919","00:03:18,589",speaker_0,కానీ government మాత్రం ఈ book ని ban చేసి seize చేసి అన్ని కాపీలు,kaanee government maathram ee book ni ban chesi seize chesi anni kaapeelu
56,"00:03:18,639","00:03:18,989",speaker_0,తగలబెట్టించింది.,thagalabettinchindhi.
57,"00:03:19,800","00:03:20,810",speaker_0,Police sources లో,Police sources lo
58,"00:03:21,419","00:03:22,009",speaker_0,నాకు దొరికింది,naaku dhorikindhi
59,"00:03:22,680","00:03:23,650",speaker_0,ఈ ఒక్క కాపీ మాత్రమే.,ee okka copy maathrame.
60,"00:03:25,800","00:03:26,099",speaker_0,దీపా,dheepaa
61,"00:03:26,979","00:03:27,960",speaker_0,call him for an interview.,call him for an interview.
62,"00:03:28,379","00:03:29,939",speaker_1,"సర్, ఆయన senior journalist అని తెలుసు.","sir, aayana senior journalist ani thelusu."
63,"00:03:30,620","00:03:33,569",speaker_1,కానీ ఆ ఆనంద్ వాసిరాజు రాసిన ఈ పుస్తకానికి అసలు అర్థమే లేదు.,kaanee aa aanandh vaasiraaju raasina ee pusthakaaniki asalu arthame ledhu.
64,"00:03:34,250","00:03:36,729",speaker_1,I have an interview to take in Delhi and I am getting late for,I have an interview to take in Delhi and I am getting late for
65,"00:03:36,780","00:03:37,180",speaker_1,the flight.,the flight.
66,"00:03:38,050","00:03:38,489",speaker_0,Government ఈ,Government ee
67,"00:03:38,539","00:03:40,870",speaker_0,book ని ban చేసి seize చేసేంత interest చూపించిందంటే,book ni ban chesi seize chesentha interest choopinchindhante
68,"00:03:41,520","00:03:42,860",speaker_0,దీనిలో ఏదో నిజం దాగి ఉండొచ్చుగా.,dheenilo yedho nijam dhaagi undochhugaa.
69,"00:03:46,139","00:03:47,949",speaker_0,నేను ఈ TV channel కి owner అయి ఉండొచ్చు.,nenu ee TV channel ki owner ayi undochhu.
70,"00:03:48,620","00:03:51,520",speaker_0,కానీ you are the face of it and you have to take your own decision.,kaanee you are the face of it and you have to take your own decision.
71,"00:03:51,879","00:03:52,259",speaker_0,అయితే,ayithe
72,"00:03:52,719","00:03:53,889",speaker_0,యాభై సంవత్సరాల నుంచి,yaabhai samvathsaraala nunchi
73,"00:03:54,500","00:03:55,430",speaker_0,నేను ఆనంద్ ని చూస్తున్నాను.,nenu aanandh ni choosthunnaanu.
74,"00:03:56,259","00:03:57,210",speaker_0,ఒక్క అక్షరం రాయాలన్నా,okka aksharam raayaalannaa
75,"00:03:58,039","00:03:58,989",speaker_0,వంద సార్లు ఆలోచిస్తాడు.,vandha saarlu aalochisthaadu.
76,"00:03:59,560","00:04:00,829",speaker_0,అలాంటిది పుస్తకమే రాశాడంటే.,alaantidhi pusthakame raashaadante.
77,"00:04:04,620","00:04:05,680",speaker_1,అరగంట time ఇస్తున్నాను.,araganta time isthunnaanu.
78,"00:04:07,439","00:04:09,639",speaker_1,దాని తర్వాత you can find someone else to do the job.,dhaani tharvaatha you can find someone else to do the job.
79,"00:04:15,280","00:04:15,589",speaker_0,ఆ.,aa.
80,"00:04:15,639","00:04:15,819",speaker_2,Sir.,Sir.
81,"00:04:16,079","00:04:17,629",speaker_0,Interview ని RK room లోనే చేయి.,Interview ni RK room lone cheyi.
82,"00:04:18,079","00:04:18,990",speaker_0,అందర్నీ బయటికి పంపించేయ్.,andharnee bayatiki pampinchey.
83,"00:04:19,279","00:04:20,389",speaker_0,దీని గురించి ఎవరికీ తెలియకూడదు.,dheeni gurinchi yevarikee theliyakoodadhu.
84,"00:04:21,180","00:04:22,459",speaker_0,I don't want any live recording.,I don't want any live recording.
85,"00:04:22,579","00:04:23,079",speaker_2,Okay sir.,Okay sir.
86,"00:04:37,579","00:04:38,170",speaker_1,మేం journalists,mem journalists
87,"00:04:38,410","00:04:38,760",speaker_1,లం.,lam.
88,"00:04:39,860","00:04:40,710",speaker_1,చిన్న చిన్న విషయాల్ని,chinna chinna vishayaalni
89,"00:04:40,860","00:04:41,570",speaker_1,కూడా గాలమేసి,koodaa gaalamesi
90,"00:04:41,759","00:04:43,259",speaker_1,వెతికి మరీ బయటికి లాగుతాం.,vethiki maree bayatiki laaguthaam.
91,"00:04:45,240","00:04:47,870",speaker_1,మీరు రాసిన ఈ book లో చాలా పెద్ద విషయమే దాగుంది.,meeru raasina ee book lo chaalaa pedhdha vishayame dhaagundhi.
92,"00:04:50,509","00:04:51,250",speaker_1,దీనిలోంచి ప్రశ్నల,dheenilonchi prashnala
93,"00:04:51,379","00:04:51,730",speaker_1,ప్రవాహమే,pravaahame
94,"00:04:52,000","00:04:52,350",speaker_1,పుడుతుంది.,puduthundhi.
95,"00:04:54,089","00:04:54,959",speaker_1,ఇందులో విషయాలు,indhulo vishayaalu
96,"00:04:55,019","00:04:56,570",speaker_1,direct గా పెద్ద పెద్ద వ్యక్తుల్నే,direct gaa pedhdha pedhdha vyaktulne
97,"00:04:56,920","00:04:58,180",speaker_1,బయటికి లాగేలా ఉన్నాయి.,bayatiki laagelaa unnaayi.
