index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:05,000","00:00:05,349",speaker_0,అశ్వత్థామ,ashvaththaama
2,"00:01:57,760","00:01:58,079",speaker_0,హత,hatha
3,"00:01:58,819","00:01:59,169",speaker_0,కుంజరః,kunjarah
4,"00:02:34,719","00:02:35,769",speaker_0,ఓం నమో బ్రహ్మాయ,om namo brahmaaya
5,"00:02:36,060","00:02:36,409",speaker_0,నమః,namah
6,"00:02:37,020","00:02:37,370",speaker_0,స్మరణమాత్రయా,smaranamaathrayaa
7,"00:02:39,300","00:02:40,769",speaker_0,ప్రకట ప్రకట శివం,prakata prakata shivam
8,"00:02:45,430","00:02:46,199",speaker_0,అవక్ష్య అవక్ష్య,avaksha్ya avaksha్ya
9,"00:02:46,250","00:02:46,360",speaker_0,మనసః శక్తాశయ,manasah shaktaashaya
10,"00:02:49,469","00:02:57,960",speaker_0,పాండవుల అంతం.,paandavula antham.
11,"00:02:59,650","00:03:00,780",speaker_1,అభిమన్యుడు లేకపోయినా,abhimanyudu lekapoyinaa
12,"00:03:00,919","00:03:01,269",speaker_1,పాండవుల,paandavula
13,"00:03:01,620","00:03:02,370",speaker_1,ఆఖరి వారసుడు,aakhari vaarasudu
14,"00:03:02,659","00:03:03,169",speaker_1,నీ గర్భంలో,nee garbhamlo
15,"00:03:03,419","00:03:04,169",speaker_1,ఉన్నాడు తల్లీ.,unnaadu thallee.
16,"00:04:12,870","00:04:13,609",speaker_0,చంపడానికొస్తే నన్ను,champadaanikosthe nannu
17,"00:04:13,659","00:04:14,370",speaker_0,చంపు కృష్ణా!,champu krushnaa!
18,"00:04:16,779","00:04:17,340",speaker_0,నీ ఉపదేశాలు,nee upadheshaalu
19,"00:04:17,680","00:04:18,030",speaker_0,వినడానికి,vinadaaniki
20,"00:04:18,199","00:04:18,750",speaker_0,నేను అర్జునుడిని,nenu arjunudini
21,"00:04:18,939","00:04:19,290",speaker_0,కాదు.,kaadhu.
22,"00:04:19,699","00:04:20,250",speaker_2,ఈ పద్దెనిమిది,ee padhdhenimidhi
23,"00:04:20,500","00:04:21,250",speaker_2,రోజుల కురుక్షేత్ర,rojula kurukshethra
24,"00:04:21,420","00:04:24,550",speaker_2,యుద్ధంలో జరిగిన పాపాల కన్నా నీ అధర్మం నిష్కృతి లేనిది.,yudhdhamlo jarigina paapaala kannaa nee adharmam nishkruthi lenidhi.
25,"00:04:25,060","00:04:25,410",speaker_2,ద్రోణాచార్యుని,dhronaachaaryuni
26,"00:04:25,779","00:04:26,129",speaker_2,పుత్రడివై,puthradivai
27,"00:04:26,290","00:04:26,640",speaker_2,యుండి,yundi
28,"00:04:26,949","00:04:27,950",speaker_2,ఇంతకి దిగే జారావా?,inthaki dhige jaaraavaa?
29,"00:04:28,240","00:04:29,710",speaker_0,మా తండ్రి పేరు పలికే,maa thandri peru palike
30,"00:04:29,860","00:04:30,210",speaker_0,అర్హత,arhatha
31,"00:04:31,000","00:04:32,010",speaker_0,నీకు లేదు కృష్ణా!,neeku ledhu krushnaa!
32,"00:04:37,439","00:04:38,500",speaker_0,నువ్వు అనుకుంటే,nuvvu anukunte
33,"00:04:38,720","00:04:39,070",speaker_0,మాతని,maathani
34,"00:04:39,279","00:04:40,060",speaker_0,మరణం నేను ఆపగలిగే,maranam nenu aapagalige
35,"00:04:40,579","00:04:40,930",speaker_0,వాడిని.,vaadini.
36,"00:05:10,539","00:05:11,490",speaker_2,అశ్వత్థామ! దేవుడైనా,ashvaththaama! dhevudainaa
37,"00:05:11,540","00:05:11,890",speaker_2,ద్రోణుడైనా,dhronudainaa
38,"00:05:12,160","00:05:13,170",speaker_2,కర్మని ఎవరు తప్పించుకోలేరు.,karmani yevaru thappinchukoleru.
39,"00:05:13,939","00:05:14,290",speaker_2,గర్భస్థ,garbhastha
40,"00:05:14,439","00:05:14,790",speaker_2,శిశువుపై,shishuvupai
41,"00:05:15,060","00:05:15,770",speaker_2,అస్త్రం వదిలావు.,astha్ram vadhilaavu.
42,"00:05:16,079","00:05:17,750",speaker_2,నీ కర్మ నువ్వు అనుభవించక తప్పదు.,nee karma nuvvu anubhavinchaka thappadhu.
43,"00:05:18,759","00:05:19,110",speaker_0,అయితే,ayithe
44,"00:05:19,240","00:05:19,590",speaker_0,సంధించు,sandhinchu
45,"00:05:19,819","00:05:20,170",speaker_0,చక్రం,chakram
46,"00:05:21,029","00:05:21,569",speaker_0,విధించు నీ,vidhinchu nee
47,"00:05:21,620","00:05:21,970",speaker_0,శిక్షని.,shikshani.
48,"00:05:22,579","00:05:23,970",speaker_2,చావు నీ శిక్ష కాదు అశ్వత్థామ!,chaavu nee shiksha kaadhu ashvaththaama!
49,"00:05:25,089","00:05:25,890",speaker_2,అది నీ ముక్తి.,adhi nee mukti.
50,"00:05:28,300","00:05:28,650",speaker_2,కాలాంతరం,kaalaantharam
51,"00:05:28,980","00:05:29,330",speaker_2,పాండవులందరూ,paandavulandharoo
52,"00:05:29,779","00:05:30,129",speaker_2,చనిపోతారు.,chanipothaaru.
53,"00:05:31,220","00:05:31,770",speaker_2,నా శరీరము,naa shareeramu
54,"00:05:32,000","00:05:32,350",speaker_2,మరణిస్తుంది.,maranisthundhi.
55,"00:05:34,019","00:05:34,530",speaker_2,ఈ యుగం,ee yugam
56,"00:05:34,939","00:05:35,290",speaker_2,అంతరిస్తుంది.,antharisthundhi.
57,"00:05:36,939","00:05:37,610",speaker_2,కానీ నీకు,kaanee neeku
58,"00:05:38,180","00:05:38,950",speaker_2,మరణం రాదు.,maranam raadhu.
59,"00:05:39,639","00:05:39,990",speaker_2,వేలాది,velaadhi
60,"00:05:40,180","00:05:40,530",speaker_2,సంవత్సరాలు,samvathsaraalu
61,"00:05:40,839","00:05:41,770",speaker_2,"నీ గాయాలు మానక,","nee gaayaalu maanaka,"
62,"00:05:42,100","00:05:43,150",speaker_2,"చావు రాక, బ్రతకలేక","chaavu raaka, brathakaleka"
63,"00:05:43,620","00:05:45,090",speaker_2,ఎన్నో పాపాలు చూస్తూ ఒంటరిగా,yenno paapaalu choosthoo ontarigaa
64,"00:05:45,279","00:05:45,629",speaker_2,జీవిస్తావు.,jeevisthaavu.
65,"00:05:47,139","00:05:48,070",speaker_2,ఇదే నా శాపం.,idhe naa shaapam.
66,"00:05:49,079","00:05:50,050",speaker_0,మరి నాకు ప్రాయశ్చిత్తం,mari naaku praayashchiththam
67,"00:05:50,600","00:05:50,950",speaker_0,లేదా?,ledhaa?
68,"00:05:51,519","00:05:52,450",speaker_2,నువ్వు నన్ను చంపాలనుకున్నావు.,nuvvu nannu champaalanukunnaavu.
69,"00:05:53,759","00:05:55,430",speaker_2,కానీ ఒకరోజు నువ్వే నన్ను కాపాడాలి.,kaanee okaroju nuvve nannu kaapaadaali.
70,"00:05:58,549","00:05:59,449","speaker_0, speaker_2",నేనా? కలియుగం,nenaa? kaliyugam
71,"00:05:59,519","00:05:59,870",speaker_2,వస్తుంది.,vasthundhi.
72,"00:06:00,459","00:06:01,090",speaker_2,కలి వస్తున్నాడు.అధర్మం,kali vasthunnaadu.adharmam
73,"00:06:03,620","00:06:03,970",speaker_2,పెరిగిపోయి,perigipoyi
