index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:06,400","00:00:06,750",speaker_0,Smoking,Smoking
2,"00:00:06,900","00:00:07,649",speaker_0,causes cancer,causes cancer
3,"00:00:08,119","00:00:09,019",speaker_0,and smoking kills.,and smoking kills.
4,"00:00:09,830","00:00:10,709",speaker_0,ధూమపానం cancerకు,dhoomapaanam cancerku
5,"00:00:10,759","00:00:12,169",speaker_0,కారకం మరియు ప్రాణాంతకం.,kaarakam mariyu praanaanthakam.
6,"00:00:12,980","00:00:14,539",speaker_0,Liquor drinking is injurious to health.,Liquor drinking is injurious to health.
7,"00:04:28,459","00:04:29,210",speaker_1,మనం నివసిస్తున్న,manam nivasisthunna
8,"00:04:29,779","00:04:30,350",speaker_1,ఈ దీవిలో,ee dheevilo
9,"00:04:31,300","00:04:31,650",speaker_1,ఎన్నో,yenno
10,"00:04:32,019","00:04:32,370",speaker_1,రహస్యాలు,rahasyaalu
11,"00:04:32,720","00:04:33,070",speaker_1,దాగున్నాయి.,dhaagunnaayi.
12,"00:04:34,439","00:04:34,790",speaker_1,వాటన్నిటికన్నా,vaatannitikannaa
13,"00:04:36,889","00:04:37,729",speaker_1,అంతుచిక్కని రహస్యం,anthuchikkani rahasyam
14,"00:04:37,779","00:04:38,590",speaker_1,ఏదైనా ఉందంటే,yedhainaa undhante
15,"00:04:39,100","00:04:39,850",speaker_1,అది మన మనుషుల,adhi mana manushula
16,"00:04:40,040","00:04:40,390",speaker_1,జీవితమే.,jeevithame.
17,"00:04:41,120","00:04:41,990",speaker_1,ఒకటి జరుగుతున్నప్పుడు,okati jaruguthunnappudu
18,"00:04:43,079","00:04:44,090",speaker_1,"అది ఎలా జరిగింది,","adhi yelaa jarigindhi,"
19,"00:04:44,899","00:04:45,910",speaker_1,"అది ఎక్కడ జరిగింది,","adhi yekkada jarigindhi,"
20,"00:04:47,129","00:04:48,240",speaker_1,ఎవరితో జరిగిందనేది,yevaritho jarigindhanedhi
21,"00:04:48,319","00:04:48,670",speaker_1,మాత్రమే,maathrame
22,"00:04:49,279","00:04:49,629",speaker_1,గుర్తుంటుంది.,gurthuntundhi.
23,"00:04:50,949","00:04:52,639",speaker_1,ఎందుకు జరిగిందనేది,yendhuku jarigindhanedhi
24,"00:04:52,740","00:04:53,090",speaker_1,ఎవ్వరికీ,yevvarikee
25,"00:04:53,920","00:04:54,270",speaker_1,తెలీదు.,theleedhu.
