index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:17,399","00:00:17,929",speaker_0,పొగ త్రాగుట,poga thraaguta
2,"00:00:18,440","00:00:19,410",speaker_0,మరియు మద్యం సేవించుట,mariyu madhyam sevinchuta
3,"00:00:19,899","00:00:20,250",speaker_0,ఆరోగ్యానికి,aarogyaaniki
4,"00:00:20,460","00:00:20,879",speaker_0,హానికరం.,haanikaram.
5,"00:00:21,829","00:00:22,329",speaker_0,Smoking and,Smoking and
6,"00:00:22,379","00:00:22,730",speaker_0,drinking,drinking
7,"00:00:23,019","00:00:23,920",speaker_0,is injurious to health.,is injurious to health.
8,"00:00:25,269","00:00:25,829",speaker_1,ఆంధ్రప్రదేశ్ లో,aandhrapradhesh lo
9,"00:00:25,879","00:00:26,630",speaker_1,తిరుపతి సమీపంలో,thirupathi sameepamlo
10,"00:00:26,899","00:00:27,250",speaker_1,ఉన్న,unna
11,"00:00:27,440","00:00:28,190",speaker_1,శ్రీ కాళహస్తి,shree kaalahasthi
12,"00:00:28,579","00:00:28,929",speaker_1,ఆలయానికి,aalayaaniki
13,"00:00:29,160","00:00:30,630",speaker_1,చెందిన భక్త కన్నప్ప,chendhina bhakta kannappa
14,"00:00:30,920","00:00:33,710",speaker_1,పురాణ గాథ నుండి ప్రేరణ పొంది రూపొందించిన,puraana gaatha nundi prerana pondhi roopondhinchina
15,"00:00:34,240","00:00:35,090",speaker_1,కల్పిత చిత్రం,kalpitha chithram
16,"00:00:35,579","00:00:36,170",speaker_1,ఈ కన్నప్ప.,ee kannappa.
17,"00:00:36,840","00:00:37,649",speaker_1,13వ శతాబ్దపు,13va shathaabdhapu
18,"00:00:37,920","00:00:39,609",speaker_1,"నాటి బసవ పురాణం, 16వ","naati basava puraanam, 16va"
19,"00:00:39,820","00:00:40,170",speaker_1,శతాబ్దంలో,shathaabdhamlo
20,"00:00:40,700","00:00:41,050",speaker_1,మహాకవి,mahaakavi
21,"00:00:41,479","00:00:42,270",speaker_1,దుర్జటి రాసిన,dhurjati raasina
22,"00:00:42,539","00:00:43,190",speaker_1,శ్రీ కాళహస్తి,shree kaalahasthi
23,"00:00:43,359","00:00:44,289",speaker_1,మహత్యం ఆధారంగా,mahathyam aadhaarangaa
24,"00:00:44,600","00:00:44,950",speaker_1,రూపొందించబడింది.,roopondhinchabadindhi.
25,"00:00:45,820","00:00:46,690",speaker_1,ఈ మహా గ్రంథాల,ee mahaa granthaala
