index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:15,000","00:00:15,349",speaker_0,నాన్న,naanna
2,"00:01:27,340","00:01:28,390",speaker_0,ఇక్కడే ఎందుకు మాయమయ్యాడు?,ikkade yendhuku maayamayyaadu?
3,"00:01:29,420","00:01:30,480",speaker_0,ఇదే మన మూలం శివ.,idhe mana moolam shiva.
4,"00:01:31,040","00:01:31,609",speaker_0,మన పూర్వీకులంతా,mana poorveekulanthaa
5,"00:01:31,980","00:01:32,409",speaker_0,ఉన్నది ఇక్కడే.,unnadhi ikkade.
6,"00:01:33,159","00:01:36,180",speaker_0,అదొక పెద్ద దంత కథ. చిన్నట్లో పావంతో ఆఫీసు అలాగే అయ్యా.,adhoka pedhdha dhantha katha. chinnatlo paavantho aapheesu alaage ayyaa.
7,"00:01:40,060","00:01:40,400",speaker_0,కమలా,kamalaa
8,"00:01:41,140","00:01:41,489",speaker_0,ఏమైంది?,yemaindhi?
9,"00:01:42,400","00:01:42,659",speaker_0,ఉమ్,um
10,"00:01:43,079","00:01:43,429",speaker_0,ఉమ్,um
11,"00:01:46,099","00:01:47,269",speaker_0,సన్న ఏయ్ రాంపా ఏం చూస్తున్నారు?,sanna yey raampaa yem choosthunnaaru?
12,"00:01:48,319","00:01:49,159",speaker_0,తుపాకీ తాతది.,thupaakee thaathadhi.
13,"00:01:49,959","00:01:51,040",speaker_0,అప్పుడప్పుడు fire అవుతూ ఉంటది.,appudappudu fire avuthoo untadhi.
14,"00:01:52,000","00:01:52,500",speaker_0,నువ్వు కథ చెప్పు.,nuvvu katha cheppu.
15,"00:01:52,900","00:01:54,978",speaker_0,దెబ్బ గట్టిగ తగిలింది. ఏంటా దంత కథ?,dhebba gattiga thagilindhi. yentaa dhantha katha?
16,"00:01:55,299","00:01:56,009",speaker_1,చాలా సంవత్సరాల,chaalaa samvathsaraala
17,"00:01:56,260","00:01:58,500",speaker_1,క్రితం ఈశ్వరుడి గణాలు వెలసిన జాగా ఇది.,kritham eeshvarudi ganaalu velasina jaagaa idhi.
18,"00:01:59,159","00:01:59,719",speaker_0,గణాలు అంటే?,ganaalu ante?
19,"00:02:01,060","00:02:02,169",speaker_1,మనం నమ్మే దైవాలు.,manam namme dhaivaalu.
20,"00:02:05,410","00:02:06,350",speaker_1,ప్రకృతిలో విలీనమైన,prakruthilo vileenamaina
21,"00:02:06,400","00:02:06,760",speaker_1,శక్తి.,shakti.
22,"00:02:07,570","00:02:08,259",speaker_1,ఎప్పుడైతే మనిషి,yeppudaithe manishi
23,"00:02:08,379","00:02:09,409",speaker_1,అధర్మం వైపు వెళతాడో,adharmam vaipu velathaado
24,"00:02:10,259","00:02:11,509",speaker_1,మాయ లోకం నుండి ఈశ్వరుడు,maya lokam nundi eeshvarudu
25,"00:02:11,680","00:02:12,509",speaker_1,ధర్మాన్ని కాపాడడానికి,dharmaanni kaapaadadaaniki
26,"00:02:12,939","00:02:14,189",speaker_1,గణాలను పంపుతూ ఉంటాడు.,ganaalanu pamputhoo untaadu.
27,"00:02:15,659","00:02:16,979",speaker_1,అలా వచ్చిన వాళ్ళలో ఒకరు,alaa vachhina vaallalo okaru
28,"00:02:17,840","00:02:18,509",speaker_1,మనం నమ్ముతున్న,manam nammuthunna
29,"00:02:18,780","00:02:19,129",speaker_1,పంజురు.,panjuru.
30,"00:02:23,810","00:02:24,389",speaker_1,అధర్మం వైపు,adharmam vaipu
31,"00:02:24,439","00:02:25,909",speaker_1,వెళుతున్న వాళ్ళ రక్తం తాగడానికి,veluthunna vaalla raktam thaagadaaniki
32,"00:02:26,159","00:02:26,509",speaker_1,వెన్నంటే,vennante
33,"00:02:26,699","00:02:27,560",speaker_1,ఇంకొకరు వస్తారు.,inkokaru vasthaaru.
34,"00:02:30,250","00:02:31,239",speaker_1,ఉగ్రరూపి గుడిగ.,ugraroopi gudiga.
35,"00:02:34,680","00:02:36,049",speaker_1,ఈ అన్ని గణాలు వచ్చి కొలువైంది.,ee anni ganaalu vachhi koluvaindhi.
36,"00:02:37,719","00:02:38,370",speaker_1,ఈ పుణ్యభూమిలో.,ee punyabhoomilo.
37,"00:02:41,159","00:02:42,349",speaker_1,దీనికి వేలాది సంవత్సరాల,dheeniki velaadhi samvathsaraala
38,"00:02:42,620","00:02:44,039",speaker_1,క్రితం ఉన్న మూలం పేరు.,kritham unna moolam peru.
39,"00:02:50,099","00:02:50,909",speaker_1,కదంబులు బనవాసిని,kadhambulu banavaasini
40,"00:02:51,080","00:02:51,430",speaker_1,ఏలుతున్న,yeluthunna
41,"00:02:51,580","00:02:51,840",speaker_1,కాలం.,kaalam.
42,"00:02:52,960","00:02:53,689",speaker_1,పడమర పాలేగాళ్ళు,padamara paalegaallu
43,"00:02:53,919","00:02:55,430",speaker_1,కదంబుల కింద సామంత రాజులుగా,kadhambula kindha saamantha raajulugaa
44,"00:02:55,580","00:02:55,930",speaker_1,పాలిస్తుండేవారు.,paalisthundevaaru.
45,"00:03:02,639","00:03:03,889",speaker_1,నెత్తుటి జ్వాలలు రగిలించి,neththuti jvaalalu ragilinchi
46,"00:03:04,080","00:03:05,009",speaker_1,తన కత్తి బలంతోనే,thana kaththi balanthone
47,"00:03:05,280","00:03:05,629",speaker_1,సామంతులకు,saamanthulaku
48,"00:03:06,000","00:03:06,349",speaker_1,రాజైనవాడు.,raajainavaadu.
49,"00:03:07,639","00:03:09,409",speaker_1,మనిషి రూపంలో ఉన్న ఒక రాక్షసుడు.,manishi roopamlo unna oka raakshasudu.
50,"00:03:11,170","00:03:12,240",speaker_1,బాంగ్రా విజయేంద్ర.,baangraa vijayendhra.
51,"00:03:14,060","00:03:14,689",speaker_1,బయట ప్రపంచంతో,bayata prapanchantho
