index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:19,440","00:00:19,790",speaker_0,సూర్యనమ్మ,sooryanamma
2,"00:00:21,399","00:00:21,750",speaker_0,చంద్రనమ్మ,chandhranamma
3,"00:00:23,420","00:00:23,770",speaker_0,రాజను,raajanu
4,"00:00:24,920","00:00:25,270",speaker_0,బప్పా,bappaa
5,"00:00:26,539","00:00:26,789",speaker_0,శ్రీ,shree
6,"00:00:28,509","00:00:30,039",speaker_0,రాజను బప్పా,raajanu bappaa
7,"00:00:40,340","00:00:40,440",speaker_0,ఆఆఆ,aaaaaa
8,"00:00:40,350","00:00:40,700",speaker_1,తూర్పు,thoorpu
9,"00:01:01,079","00:01:02,230",speaker_1,దిక్కున కొండలతో మొదలై,dhikkuna kondalatho modhalai
10,"00:01:02,420","00:01:03,850",speaker_1,పడమర సముద్రం వరకు ఉన్న ప్రాంతానికి,padamara samudhram varaku unna praanthaaniki
11,"00:01:04,180","00:01:04,920",speaker_1,ఒక రాజు ఉండేవాడు.,oka raaju undevaadu.
12,"00:01:05,719","00:01:06,900",speaker_1,"ప్రేమతో చూసుకునే భార్య,","prematho choosukune bhaarya,"
13,"00:01:07,630","00:01:08,530",speaker_1,తనదంటూ చెప్పుకోవడానికి,thanadhantoo cheppukovadaaniki
14,"00:01:08,579","00:01:09,159",speaker_1,"ఉన్న పిల్లలు,","unna pillalu,"
15,"00:01:09,819","00:01:10,429",speaker_1,అతని సంతోషమే,athani santhoshame
16,"00:01:10,680","00:01:13,689",speaker_1,"తమ సంతోషం అని భావించే జనం, చుట్టూ పది మంది సామంతులతో","thama santhosham ani bhaavinche janam, chuttoo padhi mandhi saamanthulatho"
17,"00:01:14,000","00:01:14,589",speaker_1,ఉన్న స్నేహం,unna sneham
18,"00:01:15,140","00:01:16,209",speaker_1,అన్నీ తన దగ్గర ఉన్నాయి.,annee thana dhaggara unnaayi.
19,"00:01:16,780","00:01:17,129",speaker_1,కానీ,kaanee
20,"00:01:17,739","00:01:18,089",speaker_1,మనశ్శాంతి,manashshaanthi
21,"00:01:18,280","00:01:18,799",speaker_1,మాత్రం లేదు.,maathram ledhu.
22,"00:01:19,490","00:01:20,060",speaker_1,నాలుగైదు దైవ,naalugaidhu dhaiva
23,"00:01:20,140","00:01:20,489",speaker_1,క్షేత్రాల,kshethraala
24,"00:01:20,640","00:01:22,640",speaker_1,"దర్శనం, పదికి పైగా తీర్థ స్నానాలు","dharshanam, padhiki paigaa theertha snaanaalu"
25,"00:01:22,799","00:01:23,149",speaker_1,చేశాడు.,cheshaadu.
26,"00:01:23,439","00:01:24,250",speaker_1,"దేవుడికి తులాభారం,","dhevudiki thulaabhaaram,"
27,"00:01:24,560","00:01:24,909",speaker_1,తల్లిదండ్రుల,thallidhandrula
28,"00:01:25,200","00:01:26,569",speaker_1,పేరు మీద అన్నదానం చేశాడు.,peru meedha annadhaanam cheshaadu.
29,"00:01:26,799","00:01:27,709",speaker_1,ఇలా ఏం చేసినా,ilaa yem chesinaa
30,"00:01:28,099","00:01:30,079",speaker_1,"రాజు కళ్ళల్లో నిద్ర, మనసుకి మనశ్శాంతి","raaju kallallo nidhra, manasuki manashshaanthi"
31,"00:01:30,260","00:01:30,609",speaker_1,దొరకలేదు.,dhorakaledhu.
32,"00:01:30,879","00:01:31,299",speaker_0,ఎందుకు?,yendhuku?
