index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:03,580","00:00:04,109",speaker_0,"మద్యపానం, ధూమపానం","madhyapaanam, dhoomapaanam"
2,"00:00:04,339","00:00:06,250",speaker_0,ఆరోగ్యానికి హానికరం మరియు క్యాన్సర్ కారకం.,aarogyaaniki haanikaram mariyu kyaansar kaarakam.
3,"00:00:06,299","00:00:08,580",speaker_0,Cigarette smoking and alcohol consumption are injurious to health.,Cigarette smoking and alcohol consumption are injurious to health.
4,"00:00:08,759","00:00:09,580",speaker_0,It causes cancer.,It causes cancer.
5,"00:00:38,939","00:00:39,560",speaker_1,దమ్ దరే,dham dhare
6,"00:00:40,159","00:00:40,759",speaker_1,దమ్ దరే,dham dhare
7,"00:00:41,380","00:00:43,159",speaker_1,దమ్ దరే దమ్ దరే దమ్ దా,dham dhare dham dhare dham dhaa
8,"00:00:43,799","00:00:45,560",speaker_1,దమ్ దరే దమ్ దమ్ దరే,dham dhare dham dham dhare
9,"00:00:46,500","00:00:47,750",speaker_1,దరే దమ్ దమ్ దమ్,dhare dham dham dham
10,"00:00:48,600","00:00:49,159",speaker_2,దమ్ దరే,dham dhare
11,"00:00:49,799","00:00:50,429",speaker_2,దమ్ దరే,dham dhare
12,"00:00:51,619","00:00:52,380",speaker_2,దమ్ దరే దమ్,dham dhare dham
13,"00:00:53,679","00:00:55,280",speaker_2,దరే దమ్ దా దమ్ దరే దమ్ దమ్ దరే,dhare dham dhaa dham dhare dham dham dhare
14,"00:00:56,060","00:00:57,310",speaker_2,దరే దమ్ దమ్ దమ్,dhare dham dham dham
15,"00:00:58,949","00:00:59,979",speaker_1,ఎన్నెన్ని ఆశలు,yennenni aashalu
16,"00:01:00,340","00:01:00,690",speaker_1,అడుగడుగునా,adugadugunaa
17,"00:01:01,259","00:01:01,829",speaker_1,ఈ college,ee college
18,"00:01:02,240","00:01:02,679",speaker_1,లో,lo
19,"00:01:03,449","00:01:04,079",speaker_1,campus లో,campus lo
20,"00:01:04,140","00:01:04,980",speaker_1,fights లు,fights lu
21,"00:01:05,790","00:01:06,510",speaker_1,coffee shop,coffee shop
22,"00:01:06,560","00:01:07,269",speaker_1,treat లు,treat lu
23,"00:01:08,700","00:01:09,049",speaker_1,సాగేలే,saagele
24,"00:01:13,109","00:01:13,710",speaker_1,సరదాలలో ఈ,saradhaalalo ee
25,"00:01:13,760","00:01:14,109",speaker_1,రోజులు,rojulu
