index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:01:52,260","00:01:53,809",speaker_1,"It's confirmed, it's confirmed.","It's confirmed, it's confirmed."
2,"00:01:54,180","00:01:55,810",speaker_1,Secure the well and spread it.,Secure the well and spread it.
3,"00:01:56,459","00:01:56,620",speaker_2,Right sir,Right sir
4,"00:01:56,670","00:01:57,409",speaker_1,Secure the well immediately,Secure the well immediately
5,"00:01:57,840","00:01:58,159",speaker_1,now,now
6,"00:01:58,459","00:02:00,519",speaker_2,Sir stocks clear ga oil don't miss ray.,Sir stocks clear ga oil don't miss ray.
7,"00:02:00,739","00:02:01,459",speaker_1,"Keep all lines,","Keep all lines,"
8,"00:02:01,859","00:02:03,569",speaker_1,"keep all lines, keep all lines","keep all lines, keep all lines"
9,"00:02:04,549","00:02:06,489",speaker_2,Drill stem test positive. ఇది productive zone.,Drill stem test positive. idhi productive zone.
10,"00:02:09,610","00:02:10,250",speaker_1,నీరజ్ ఆరామంగా,neeraj aaraamangaa
11,"00:02:10,300","00:02:10,569",speaker_1,ఉతారం,uthaaram
12,"00:02:10,620","00:02:10,969",speaker_2,Monitor,Monitor
13,"00:02:11,680","00:02:12,219",speaker_2,the reading ah,the reading ah
14,"00:02:12,270","00:02:12,620",speaker_1,ఓకే సర్,okay sir
15,"00:02:14,800","00:02:15,549",speaker_1,ఆరామంగా Oil,aaraamangaa Oil
16,"00:02:15,599","00:02:16,189",speaker_1,well secured,well secured
17,"00:02:16,860","00:02:17,560",speaker_2,Guys we got it,Guys we got it
18,"00:02:17,639","00:02:18,159",speaker_1,Wow great,Wow great
19,"00:02:18,240","00:02:18,530",speaker_2,Congrats,Congrats
20,"00:02:18,580","00:02:19,789",speaker_1,Very good at last,Very good at last
21,"00:02:19,840","00:02:20,139",speaker_2,Senthil,Senthil
22,"00:02:20,189","00:02:20,449",speaker_1,What are the readings?,What are the readings?
23,"00:02:20,620","00:02:21,129",speaker_2,I will make a note,I will make a note
24,"00:02:21,479","00:02:22,120",speaker_1,It's positive sir,It's positive sir
25,"00:02:22,599","00:02:23,049",speaker_2,Sure ah?,Sure ah?
26,"00:02:23,099","00:02:23,439",speaker_1,Yes sir,Yes sir
27,"00:02:23,819","00:02:24,429",speaker_0,ఇంకో false alarm ah?,inko false alarm ah?
28,"00:02:24,479","00:02:27,150",speaker_2,No sir not at all. మన ఎనిమిదేళ్ల శ్రమ waste కాలేదు sir.,No sir not at all. mana yenimidhella shrama waste kaaledhu sir.
29,"00:02:27,620","00:02:27,969",speaker_2,ప్రపంచంలోనే,prapanchamlone
30,"00:02:28,379","00:02:29,360",speaker_2,purest oil reserve.,purest oil reserve.
31,"00:02:30,020","00:02:31,840",speaker_2,ఇంకా precipite పెట్టి collar recognize చేద్దాం.,inkaa precipite petti collar recognize chedhdhaam.
32,"00:02:32,699","00:02:33,989",speaker_2,India ఇంకా ఎవరినీ oil అడుక్కోదు.,India inkaa yevarinee oil adukkodhu.
33,"00:02:37,199","00:02:37,680",speaker_0,అప్పుడే కాదు,appude kaadhu
34,"00:02:38,219","00:02:39,560",speaker_0,రెండు గంటలకు ఒకసారి test చేసుకో.,rendu gantalaku okasaari test chesuko.
35,"00:02:40,219","00:02:41,280",speaker_0,Do it on a big scale Senthil,Do it on a big scale Senthil
36,"00:02:41,360","00:02:41,590",speaker_2,Right sir,Right sir
37,"00:02:41,659","00:02:42,679",speaker_0,"Quick, quick, quick, quick, quick","Quick, quick, quick, quick, quick"
38,"00:02:42,729","00:02:43,079",speaker_2,Let's,Let's
39,"00:02:43,240","00:02:43,340",speaker_2,go,go
40,"00:02:48,580","00:02:50,120",speaker_3,ఈ time లో phone ఏంటి?,ee time lo phone yenti?
41,"00:03:00,580","00:03:00,930",speaker_0,Mukund,Mukund
42,"00:03:02,460","00:03:03,020",speaker_3,నీరజ్ sir,neeraj sir
43,"00:03:04,080","00:03:05,870",speaker_3,high purity methane hydrate deposits.,high purity methane hydrate deposits.
44,"00:03:07,560","00:03:09,719",speaker_0,A fourteen trillion cubic feet of gas.,A fourteen trillion cubic feet of gas.
45,"00:03:11,090","00:03:11,939",speaker_0,ప్రపంచంలోనే purest,prapanchamlone purest
46,"00:03:12,039","00:03:13,000",speaker_0,oil reserve sir.,oil reserve sir.
47,"00:03:18,129","00:03:18,740",speaker_3,ఎంతమందికి తెలుసు,yenthamandhiki thelusu
48,"00:03:18,819","00:03:19,120",speaker_3,Mukund?,Mukund?
49,"00:03:20,120","00:03:21,009",speaker_0,Burner వెలిగింది కదా,Burner veligindhi kadhaa
50,"00:03:22,180","00:03:22,849",speaker_0,ముగ్గురు సుందరుకుంటున్నారు,mugguru sundharukuntunnaaru
51,"00:03:23,590","00:03:23,939",speaker_3,Information,Information
52,"00:03:24,360","00:03:25,280",speaker_3,బయటికి తెలిసే chances?,bayatiki thelise chances?
53,"00:03:26,250","00:03:26,919",speaker_0,Maximum రేపు,Maximum repu
54,"00:03:26,969","00:03:28,460",speaker_0,పొద్దున్న దాకా manage చేయగలను sir.,podhdhunna dhaakaa manage cheyagalanu sir.
55,"00:03:57,060","00:03:57,409",speaker_3,నీరజ్,neeraj
56,"00:04:07,860","00:04:08,259",speaker_3,how are you?,how are you?
57,"00:04:08,340","00:04:09,300",speaker_0,సిద్ధప్ప జీ good,sidhdhappa jee good
58,"00:04:10,199","00:04:10,769",speaker_3,రండి కూర్చోండి,randi koorchondi
59,"00:04:11,439","00:04:11,780",speaker_0,Thank you,Thank you
60,"00:04:18,759","00:04:19,710",speaker_3,ఇంత రాత్రి ఏంటి,intha raathri yenti
61,"00:04:19,879","00:04:20,930",speaker_3,phone లో చెప్పొచ్చు కదా,phone lo cheppochhu kadhaa
62,"00:04:21,060","00:04:22,019",speaker_0,Phone లో చెప్పేది కాదు,Phone lo cheppedhi kaadhu
63,"00:04:23,899","00:04:24,689",speaker_0,operation సాగర్,operation saagar
64,"00:04:24,740","00:04:25,959",speaker_0,మంత నుంచి news.,mantha nunchi news.
