index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:00,000","00:00:00,350",speaker_0,Dear,Dear
2,"00:00:27,519","00:00:27,870",speaker_0,students,students
3,"00:00:28,620","00:00:30,690",speaker_0,on this event of World Science Day celebrations,on this event of World Science Day celebrations
4,"00:00:31,399","00:00:32,570",speaker_0,may we cordially invite,may we cordially invite
5,"00:00:32,740","00:00:33,730",speaker_0,the most knowledgeable,the most knowledgeable
6,"00:00:33,939","00:00:34,289",speaker_0,professor,professor
7,"00:00:34,840","00:00:36,310",speaker_0,and a very popular atheist,and a very popular atheist
8,"00:00:36,979","00:00:38,070",speaker_0,Dr. Lenin Satyam.,Dr. Lenin Satyam.
9,"00:00:40,939","00:00:43,539",speaker_0,And may I now request him to please say a few words.,And may I now request him to please say a few words.
10,"00:00:48,000","00:00:48,210",speaker_1,Thank you.,Thank you.
11,"00:00:50,460","00:00:52,350",speaker_1,Faculty members and my dear students.,Faculty members and my dear students.
12,"00:00:53,679","00:00:54,390",speaker_1,ఒకరు ఇంట్లోకి,okaru intloki
13,"00:00:54,619","00:00:55,230",speaker_1,అడుగు పెట్టడానికి,adugu pettadaaniki
14,"00:00:55,700","00:00:56,050",speaker_1,ముహూర్తం.,muhoortham.
15,"00:00:58,119","00:00:59,550",speaker_1,అడుగు తీసి బయట పెట్టడానికి,adugu thc bayata pettadaaniki
16,"00:01:00,000","00:01:00,350",speaker_1,ముహూర్తం.,muhoortham.
17,"00:01:01,659","00:01:02,450",speaker_1,పెళ్ళికి ముహూర్తం.,pelliki muhoortham.
18,"00:01:02,859","00:01:03,210",speaker_1,చావుకి,chaavuki
19,"00:01:03,439","00:01:03,789",speaker_1,ముహూర్తం.,muhoortham.
20,"00:01:05,609","00:01:06,200",speaker_1,రాకెట్ ని,rocket ni
21,"00:01:06,299","00:01:07,269",speaker_1,space కి పంపించడానికి,space ki pampinchadaaniki
22,"00:01:07,620","00:01:07,920",speaker_1,కూడా,koodaa
23,"00:01:08,540","00:01:08,890",speaker_1,ముహూర్తం.,muhoortham.
