index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:05,200","00:00:07,229",speaker_0,పొగ త్రాగుట మద్యం సేవించుట ఆరోగ్యానికి,poga thraaguta madhyam sevinchuta aarogyaaniki
2,"00:00:07,379","00:00:09,849",speaker_0,హానికరం మరియు క్యాన్సర్ కి కారకం Smoking,haanikaram mariyu kyaansar ki kaarakam Smoking
3,"00:00:10,060","00:00:10,570",speaker_0,and drinking,and drinking
4,"00:00:10,779","00:00:11,660",speaker_0,is injurious to health,is injurious to health
5,"00:00:12,060","00:00:13,119",speaker_0,and also causes cancer,and also causes cancer
6,"00:02:53,490","00:02:54,030",speaker_1,పాప చాలా,papa chaalaa
7,"00:02:54,080","00:02:55,090",speaker_1,ముద్దుగా ఉంది పేరేంటమ్మా,mudhdhugaa undhi perentammaa
8,"00:02:56,500","00:02:56,849",speaker_2,లైలా,lailaa
9,"00:03:37,259","00:03:37,379",speaker_3,ఏయ్,yey
10,"00:03:38,039","00:03:38,710",speaker_3,ఇట్లా కాదన్నా,itlaa kaadhannaa
11,"00:03:39,240","00:03:40,139",speaker_3,ఆ సోను గాడిని వేసేద్దాం,aa sonu gaadini vesedhdhaam
12,"00:03:40,719","00:03:41,469",speaker_1,పగలు కానీ వారా,pagalu kaanee vaaraa
13,"00:03:41,979","00:03:42,669",speaker_1,మర్డర్ గర్డర్ ఏం వద్దు,murder gardar yem vadhdhu
14,"00:03:43,139","00:03:43,930",speaker_1,పారలు తాగి పడదాం,paaralu thaagi padadhaam
15,"00:03:44,219","00:03:44,379",speaker_3,ఆ,aa
16,"00:03:48,819","00:03:50,129",speaker_4,ఏ ఫాయిదా ఉండదు,ye phaayidhaa undadhu
17,"00:03:50,599","00:03:51,769",speaker_4,ఒక్క వారం చూడాలి,okka vaaram choodaali
18,"00:03:52,139","00:03:53,289",speaker_4,Hundred percent incidents,Hundred percent incidents
19,"00:03:53,419","00:03:53,769",speaker_4,వస్తుంది,vasthundhi
20,"00:03:54,939","00:03:55,509",speaker_1,నా జీవితంలో,naa jeevithamlo
21,"00:03:55,759","00:03:57,780",speaker_1,సగం పైసలు ఆ సోను గాడికే పోతున్నాయి రా,sagam paisalu aa sonu gaadike pothunnaayi raa
22,"00:03:57,939","00:03:58,909",speaker_3,మొన్న నా పెళ్ళాం చెయ్యి పట్టుకున్నా,monna naa pellaam cheyyi pattukunnaa
23,"00:03:59,500","00:04:00,049",speaker_3,ఇంకా పట్టుకున్నోడేంది,inkaa pattukunnodendhi
24,"00:04:00,919","00:04:01,870",speaker_3,సోను గాని లేక సుతారంగా,sonu gaani leka suthaarangaa
25,"00:04:02,060","00:04:02,860",speaker_3,పట్టుకోలేవా అని అడిగింది,pattukolevaa ani adigindhi
26,"00:04:04,479","00:04:05,210",speaker_3,నవ్వుతున్నావ్ ఎందిరా,navvuthunnaav yendhiraa
27,"00:04:05,879","00:04:07,149",speaker_3,నీ పెళ్ళాం కూడా గాండ్ పర్లేల్ గా అవుతుందంట,nee pellaam koodaa gaand parlel gaa avuthundhanta
28,"00:04:07,199","00:04:07,549",speaker_1,ఏంది,yendhi
29,"00:04:09,539","00:04:10,300",speaker_1,బే ఏంది,be yendhi
30,"00:04:10,479","00:04:10,689",speaker_3,ఏంది,yendhi
31,"00:04:10,740","00:04:11,039",speaker_4,అరేయ్ చుప్,arey chup
32,"00:04:12,450","00:04:12,979",speaker_4,మనమందరం ఇక్కడ,manamandharam ikkada
33,"00:04:13,030","00:04:14,289",speaker_4,కలిసింది problem గురించి కొట్లాడుకోనికి,kalisindhi problem gurinchi kotlaadukoniki
34,"00:04:14,500","00:04:14,800",speaker_4,కాదు,kaadhu
35,"00:04:16,360","00:04:17,410",speaker_4,solution గురించి మాట్లాడానికి,solution gurinchi maatlaadaaniki
36,"00:04:20,300","00:04:21,330",speaker_4,ఆ కలీల్ ని set చేద్దాం,aa kaleel ni set chedhdhaam
37,"00:04:23,600","00:04:23,700",speaker_3,ఆ,aa
38,"00:04:25,649","00:04:26,229",speaker_4,ఆ కాడే,aa kaade
39,"00:04:26,279","00:04:26,500",speaker_4,కరెక్ట్,correct
40,"00:04:42,360","00:04:42,740",speaker_4,కలీల్,kaleel
41,"00:04:43,240","00:04:43,710",speaker_4,ఇది అడ్వాన్స్,idhi advance
42,"00:04:44,560","00:04:45,450",speaker_4,మిగతాది పని పూర్తయ్యాక,migathaadhi pani poorthayyaaka
43,"00:04:45,899","00:04:47,139",speaker_4,మా పేర్లు మాత్రం బయటికి రావద్దు,maa perlu maathram bayatiki raavadhdhu
44,"00:04:48,879","00:04:49,230",speaker_1,కలీల్,kaleel
45,"00:04:50,459","00:04:51,260",speaker_1,కథ मैं बताता,katha मैं बताता
46,"00:04:51,389","00:04:51,560",speaker_1,है,है
47,"00:04:52,860","00:04:54,900",speaker_1,मगर किसी का नाम नहीं कहता है,मगर किसी का नाम नहीं कहता है
48,"00:05:01,639","00:05:02,060",speaker_3,ఆ,aa
49,"00:05:03,160","00:05:03,830",speaker_3,ఏమో ఆంటీ,yemo aantee
50,"00:05:04,949","00:05:05,300",speaker_3,ఇయాల,iyaala
51,"00:05:05,500","00:05:07,050",speaker_3,గల్లీ సట్టం అంతా దిగింది,glee sattam anthaa dhigindhi
52,"00:05:07,360","00:05:07,710",speaker_2,సాయంత్రం,saayanthram
53,"00:05:07,959","00:05:08,650",speaker_2,పరిమళి సీమంతం,parimali seemantham
54,"00:05:09,120","00:05:09,379",speaker_3,సీమత్,seemath
55,"00:05:09,779","00:05:10,089",speaker_2,ఆ,aa
56,"00:05:10,139","00:05:11,019",speaker_3,మొన్ననే పెళ్లి అయింది కదా,monnane pelli ayindhi kadhaa
57,"00:05:11,459","00:05:12,730",speaker_2,అర్జెంట్ గా సీమంతం చేయాలని,arjent gaa seemantham cheyaalani
58,"00:05:13,160","00:05:14,120",speaker_2,ముందే పెళ్లి చేశారు,mundhe pelli cheshaaru
59,"00:05:14,500","00:05:14,850",speaker_3,ఊ,oo
60,"00:05:15,779","00:05:16,129",speaker_2,ఊ,oo
61,"00:05:18,509","00:05:19,329",speaker_2,అరెరే ఏంది,arere yendhi
62,"00:05:19,379","00:05:22,250",speaker_2,అక్క బ్లౌజ్ పీసు మస్త్ అక్క బరవా,akka blouse peesu mastha్ akka baravaa
63,"00:05:22,480","00:05:25,139",speaker_2,కొంగు చివర బార్డర్ అంటారా సెట్ అక్క,kongu chivara baardar antaaraa set akka
64,"00:05:25,480","00:05:25,830",speaker_1,నిజమా,nijamaa
65,"00:05:26,060","00:05:26,850",speaker_1,చెప్పు చెల్లి,cheppu chelli
66,"00:05:27,279","00:05:27,629",speaker_1,నగలు,nagalu
67,"00:05:27,860","00:05:28,740",speaker_1,మానే పల్లి,maane palli
68,"00:05:29,060","00:05:29,410",speaker_2,సాయంత్రం,saayanthram
69,"00:05:29,680","00:05:32,129",speaker_2,కిట్టీ పార్టీ వెళ్తే ఖాళీ మ్యాన్ ఉండాలి,kittee party velthe khaalee myaan undaali
70,"00:05:32,290","00:05:32,730",speaker_1,ఏ నీనా,ye neenaa
71,"00:05:32,920","00:05:33,629",speaker_1,తెర నేనా,thera nenaa
72,"00:05:33,899","00:05:34,490",speaker_1,నీ కళ్ళే,nee kalle
73,"00:05:34,680","00:05:36,230",speaker_1,సన్ షైన ఏ మోనా,sun shaina ye mona
74,"00:05:36,600","00:05:38,930",speaker_1,you know నా its because of our శోనా,you know naa its because of our shonaa
75,"00:05:39,989","00:05:40,680",speaker_2,కవలా నోస్,kavalaa nose
76,"00:05:40,819","00:05:41,189",speaker_2,కట్టు,kattu
77,"00:05:41,750","00:05:42,550",speaker_2,కవలా హెయిర్,kavalaa hear
78,"00:05:42,600","00:05:42,909",speaker_2,కట్టు,kattu
79,"00:05:42,959","00:05:43,310",speaker_1,ఆపీడ్,aapeed
80,"00:05:43,540","00:05:47,930",speaker_1,బిల్లా కాటుక తల్లా ముక్కెడ అల్లా పెట్టె మల్లా సోనూ బ్రష్ పట్టిందంటే,billaa kaatuka thallaa mukkeda allaa pette mallaa sonoo brash pattindhante
81,"00:05:48,480","00:05:49,090",speaker_1,మిస్ ఇండియా,miss india
82,"00:05:49,399","00:05:50,129",speaker_1,ఎల్లరి కల్లా,yellari kallaa
83,"00:05:50,279","00:05:50,379",speaker_4,అచ్చా,achhaa
84,"00:06:02,289","00:06:03,160",speaker_4,సోనూ బాయ్,sonoo boy
85,"00:06:28,149","00:06:30,300",speaker_5,హే విసులు విసులు విసులు నువ్వు కొడతావు,he visulu visulu visulu nuvvu kodathaavu
86,"00:06:30,490","00:06:30,840",speaker_5,విసులా,visulaa
87,"00:06:31,509","00:06:33,460",speaker_5,పగులు పగులు పగులు ప్రతి సెంటర్,pagulu pagulu pagulu prathi center
88,"00:06:33,670","00:06:34,020",speaker_5,పగులు,pagulu
89,"00:06:34,449","00:06:36,620",speaker_5,హే తిరుగు తిరుగు తిరుగు మీ దిమ్మలు,he thirugu thirugu thirugu mee dhimmalu
90,"00:06:36,829","00:06:37,180",speaker_5,తిరుగో,thirugo
91,"00:06:37,589","00:06:38,900",speaker_5,అరె మా సోను style,are maa sonu style
92,"00:06:39,069","00:06:39,540",speaker_5,ఏ తేరూ.,ye theroo.
93,"00:06:40,750","00:06:42,900",speaker_5,హే చిన్న పెద్ద తేడా లేదు హాలు,he chinna pedhdha thedaa ledhu haalu
94,"00:06:45,179","00:06:46,449",speaker_5,entertainment full,entertainment full
95,"00:06:46,649","00:06:47,000",speaker_5,ఓ,o
96,"00:06:47,329","00:06:48,460",speaker_5,ఒక coffee ని చెయ్యబేతే,oka coffee ni cheyyabethe
97,"00:06:48,910","00:06:49,260",speaker_5,బీడు,beau
98,"00:06:50,209","00:06:50,820",speaker_5,full beautyful,full beautyful
99,"00:06:51,250","00:06:51,600",speaker_5,అవుతారే,avuthaare
100,"00:06:52,089","00:06:52,439",speaker_5,మీరు.,meeru.
101,"00:06:53,410","00:06:53,980",speaker_5,హే మంచోడే,he manchode
102,"00:06:54,430","00:06:54,780",speaker_5,పిల్లోడే,pillode
103,"00:06:55,189","00:06:55,540",speaker_5,సొగాడే,sogaade
104,"00:06:56,410","00:06:57,960",speaker_5,full country లో లేదమ్మో,full country lo ledhammo
105,"00:06:58,389","00:06:59,280",speaker_5,ఈ breed అసలు,ee breed asalu
106,"00:07:00,299","00:07:01,370",speaker_5,వచ్చాడో గల్లీలో,vachhaado galleelo
107,"00:07:01,529","00:07:01,879",speaker_5,పోరీలే,poreele
108,"00:07:02,730","00:07:03,439",speaker_5,full gilly,full gilly
109,"00:07:03,629","00:07:03,980",speaker_5,అయిపోతారు.,ayipothaaru.
110,"00:07:05,189","00:07:06,019",speaker_5,ఏయ్ touch me sonu,yey touch me sonu
111,"00:07:06,149","00:07:07,420",speaker_6,ఏ బల్లే బల్లే గిల్లేలే,ye balle balle gillele
112,"00:07:07,850","00:07:08,200",speaker_6,బల్లే,balle
113,"00:07:08,439","00:07:08,969",speaker_6,బల్లే గిల్లేలే,balle gillele
114,"00:07:09,670","00:07:11,379",speaker_6,బాసు ప్రతి సీను climax,baasu prathi seenu climax
115,"00:07:11,709","00:07:12,060",speaker_6,ఏలే,yele
116,"00:07:12,550","00:07:13,740",speaker_6,బల్లే బల్లే గిల్లేలే,balle balle gillele
117,"00:07:14,149","00:07:14,500",speaker_6,బల్లే,balle
118,"00:07:14,759","00:07:15,340",speaker_6,బల్లే గిల్లేలే,balle gillele
119,"00:07:16,009","00:07:16,360",speaker_6,సోను,sonu
120,"00:07:16,490","00:07:16,840",speaker_6,ముటుకుంటే,mutukunte
121,"00:07:17,350","00:07:18,200",speaker_6,feel ఏ వేరే,feel ye vere
122,"00:07:31,509","00:07:31,860",speaker_5,వాడే,wade
123,"00:07:33,129","00:07:33,680",speaker_5,వాడే సోను,wade sonu
124,"00:07:33,850","00:07:34,200",speaker_5,వాడే,wade
125,"00:07:35,939","00:07:43,310",speaker_5,వాడే సోను,wade sonu
126,"00:07:45,689","00:07:46,040",speaker_5,వాడే,wade
127,"00:07:51,439","00:07:52,189",speaker_5,వాడే వాడే,wade wade
128,"00:07:52,240","00:07:52,590",speaker_5,సోను,sonu
129,"00:07:53,439","00:07:54,079",speaker_5,వాడే వాడే సోను,wade wade sonu
130,"00:07:54,769","00:07:54,870",speaker_5,వాడే,wade
131,"00:07:57,500","00:07:59,490",speaker_5,రెండిగుంటడు విడుదెల్లురుంటడు,rendiguntadu vidudhelluruntadu
132,"00:07:59,769","00:08:00,120",speaker_5,చంటి,chanti
133,"00:08:00,370","00:08:00,720",speaker_5,పిల్లవాడిలాగ,pillavaadilaaga
134,"00:08:01,550","00:08:01,900",speaker_5,పెంచేసుకుంటారు.,penchesukuntaaru.
135,"00:08:03,129","00:08:03,480",speaker_5,మెత్తగుంటడు,meththaguntadu
