index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:00,000","00:00:00,350",speaker_0,ధూమపానం,dhoomapaanam
2,"00:00:18,670","00:00:19,020",speaker_0,మద్యపానం,madhyapaanam
3,"00:00:19,420","00:00:19,770",speaker_0,ఆరోగ్యానికి,aarogyaaniki
4,"00:00:20,329","00:00:21,940",speaker_0,ఆనికరం మరియు cancer కి కారకం.,aanikaram mariyu cancer ki kaarakam.
5,"00:01:45,640","00:01:46,250",speaker_1,పెద్ద చొప్పెంత,pedhdha choppentha
6,"00:01:46,400","00:01:47,229",speaker_1,లవ్ స్టోరీ ఏం కాదిది.,love story yem kaadhidhi.
7,"00:01:48,060","00:01:49,250",speaker_1,హీరో సైనిక్ పూల చదువురానోడు,hero sainik poola chadhuvuraanodu
8,"00:01:50,099","00:01:51,329",speaker_1,హీరోయిన్ వాయి పూల చదువురానిది.,heroine vaayi poola chadhuvuraanidhi.
9,"00:01:52,040","00:01:54,390",speaker_1,ఈ చదువురాని పిల్లల హృదయాల మధ్య జరిగే సంఘర్షణే,ee chadhuvuraani pillala hrudhayaala madhya jarige sangharshane
10,"00:01:55,180","00:01:55,669",speaker_1,ఈ కథ.,ee katha.
11,"00:01:56,370","00:01:57,869",speaker_2,అట్లా కాదు అట్లా కాదు రా అంకుల్ గా,atlaa kaadhu atlaa kaadhu raa annual gaa
12,"00:01:58,219","00:01:58,909",speaker_2,వరుసటివి చెప్పినావ్.,varusativi cheppinaav.
13,"00:01:59,159","00:02:00,180",speaker_2,నా story నేనే చెప్పుకుంటా.,naa story nene cheppukuntaa.
14,"00:02:00,260","00:02:00,750",speaker_1,ఆ చెప్పుకో,aa cheppuko
15,"00:02:01,019","00:02:01,909",speaker_1,love stories చెప్పాలంటే,love stories cheppaalante
16,"00:02:02,079","00:02:03,060",speaker_1,రెండు భాగాలుగా చెప్పొచ్చు.,rendu bhaagaalugaa cheppochhu.
17,"00:02:03,700","00:02:05,579",speaker_1,Jio sim వచ్చాక Jio sim రాకముందు.,Jio sim vachhaaka Jio sim raakamundhu.
18,"00:02:06,340","00:02:08,069",speaker_1,ఈ story Jio sim రాకముందు జరిగింది.,ee story Jio sim raakamundhu jarigindhi.
19,"00:02:09,000","00:02:10,888",speaker_1,పది రూపాయలకు ఎనిమిది పానీపూరీలు వచ్చే రోజులవి.,padhi roopaayalaku yenimidhi paaneepooreelu vachhe rojulavi.
20,"00:02:11,759","00:02:13,960",speaker_1,నా love story చెప్పే ముందు అసలు ఈ story చెప్పాలి.,naa love story cheppe mundhu asalu ee story cheppaali.
21,"00:02:14,560","00:02:15,090",speaker_1,అది ఎండాకాలం,adhi yendaakaalam
22,"00:02:15,319","00:02:15,909",speaker_1,May 2015,May 2015
23,"00:02:16,979","00:02:18,639",speaker_1,తెలంగాణ Eamcet exam అవుతున్న రోజు.,thelangaana Eamcet exam avuthunna roju.
24,"00:02:20,560","00:02:22,169",speaker_1,ఈయన మా Daddy నల్లి గోపాలరావు,eeyana maa Daddy nalli gopaalaraavu
25,"00:02:22,639","00:02:23,340",speaker_1,పండిత పుత్ర.,panditha puthra.
26,"00:02:25,939","00:02:26,430",speaker_1,ఇది నేనే,idhi nene
27,"00:02:26,699","00:02:27,549",speaker_1,నల్లి అఖిల్ కుమార్,nalli akhil kumaar
28,"00:02:27,740","00:02:28,329",speaker_1,పరమ సుంట.,parama sunta.
29,"00:02:28,759","00:02:30,629",speaker_1,నా story లో మా Daddy hand చాలా ఉంది.,naa story lo maa Daddy hand chaalaa undhi.
30,"00:02:30,900","00:02:31,430",speaker_1,అది 2009,adhi 2009
