index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:06,660","00:00:07,589",speaker_0,Smoking is injurious to health.,Smoking is injurious to health.
2,"00:00:08,019","00:00:09,080",speaker_0,Smoking causes cancer.,Smoking causes cancer.
3,"00:00:10,019","00:00:10,949",speaker_0,പുകവലി ആരോഗ്യത്തിന്,പുകവലി ആരോഗ്യത്തിന്
4,"00:00:11,160","00:00:13,029",speaker_0,ഹാനികരം. പുകവലി അർബുദത്തിന്,ഹാനികരം. പുകവലി അർബുദത്തിന്
5,"00:00:13,179","00:00:13,529",speaker_0,കാരണമാകുന്നു.,കാരണമാകുന്നു.
6,"00:02:49,979","00:02:50,419",speaker_0,ദొరికిందా?,ദొrikindhaa?
7,"00:02:53,909","00:02:54,469",speaker_0,అక్కడికి ఇప్పుడు,akkadiki ippudu
8,"00:02:54,520","00:02:55,819",speaker_0,మొత్తం ఈస్టర్ అని చెల్లెలు వస్తారు.,moththam easter ani chellelu vasthaaru.
9,"00:02:56,240","00:02:57,250",speaker_0,వెంటనే నువ్వు ఇక్కడికి రావాలి.,ventane nuvvu ikkadiki raavaali.
10,"00:03:03,199","00:03:03,549",speaker_0,"പട്ടോതല്ക്കൂ,","പട്ടോതല്ക്കൂ,"
11,"00:03:04,800","00:03:05,769",speaker_0,മൂത്തോന്കി నువ్వు ബിഡ്ഡവേ.,മൂത്തോന്കി nuvvu ബിഡ്ഡവേ.
12,"00:03:06,819","00:03:08,219",speaker_0,കാദാനി ഏ റോju నువ్వు అనుకోకూడదు.,കാദാനി ഏ റോju nuvvu anukokoodadhu.
13,"00:03:09,860","00:03:10,210",speaker_0,నువ్వు,nuvvu
14,"00:03:14,659","00:03:15,009",speaker_0,రా.,raa.
15,"00:06:23,039","00:06:23,550",speaker_2,ప్రకాష్ అన్న!,prakaash anna!
16,"00:06:23,850","00:06:25,209",speaker_2,ప్రకాష్ అన్న! వచ్చారు చూడండి,prakaash anna! vachhaaru choodandi
17,"00:06:25,259","00:06:25,389",speaker_3,ఏంటి,yenti
18,"00:06:25,589","00:06:26,439",speaker_2,మీకు తెలిసిన వాళ్ళు వచ్చారు,meeku thelisina vaallu vachhaaru
19,"00:06:26,490","00:06:26,840",speaker_3,ఆహ్,aah
20,"00:06:31,000","00:06:31,100",speaker_3,హ్మ్,hma్
21,"00:06:38,529","00:06:39,980",speaker_4,నన్ను ఇప్పుడు ఇక్కడికి ఎందుకు రప్పించారు?,nannu ippudu ikkadiki yendhuku rappinchaaru?
22,"00:06:40,649","00:06:42,780",speaker_3,నువ్వు ఇక్కడ ఉండాలని మాత్రమే ప్రస్తుతానికి నాతో చెప్పారు.,nuvvu ikkada undaalani maathrame prasthuthaaniki naatho cheppaaru.
23,"00:06:43,069","00:06:43,889",speaker_4,ఇదేదైనా సమస్యా?,idhedhainaa samasyaa?
24,"00:06:45,139","00:06:45,860",speaker_3,తెలీదు పెద్దాయనే,theleedhu pedhdhaayane
25,"00:06:45,910","00:06:46,260",speaker_3,చెప్తారు.,chepthaaru.
26,"00:06:46,610","00:06:46,790",speaker_4,హ్మ్,hma్
27,"00:06:50,870","00:06:51,350",speaker_4,అతను ఎవరు?,athanu yevaru?
28,"00:06:51,769","00:06:52,460",speaker_3,వాడు ఇక్కడే ఉండేవాడే,vaadu ikkade undevaade
29,"00:06:53,389","00:06:53,709",speaker_3,local,local
30,"00:06:54,370","00:06:54,720",speaker_4,నమ్మొచ్చా?,nammochhaa?
31,"00:06:55,350","00:06:55,689",speaker_3,నమ్మొచ్చు.,nammochhu.
32,"00:06:56,149","00:06:57,560",speaker_3,వాడు నాకు తమ్ముడు లాంటి వాడు.,vaadu naaku thammudu laanti vaadu.
33,"00:06:57,889","00:06:58,069",speaker_3,దా.,dhaa.
34,"00:07:31,279","00:07:31,939",speaker_6,బతికే ఉన్నావు,bathike unnaavu
35,"00:07:32,009","00:07:32,290",speaker_6,కదా,kadhaa
36,"00:07:35,410","00:07:37,250",speaker_6,నీలో ఎలాంటి మార్పు లేదు కదా అమ్మాయి.,neelo yelaanti maarpu ledhu kadhaa ammaayi.
37,"00:07:37,509","00:07:37,860",speaker_4,ఉమ్,um
38,"00:07:38,569","00:07:39,560",speaker_4,మీకు వయసు అయింది.,meeku vayasu ayindhi.
39,"00:07:44,029","00:07:44,379",speaker_4,ఇది,idhi
40,"00:07:55,550","00:07:56,230",speaker_6,నీకు ఇవ్వడానికనే,neeku ivvadaanikane
41,"00:07:56,490","00:07:56,840",speaker_6,కొనుంచాను.,konunchaanu.
42,"00:07:57,410","00:07:57,930",speaker_6,చదివి చూడు.,chadhivi choodu.
43,"00:07:59,319","00:07:59,970",speaker_6,ఇటువంటివి ఎన్నో,ituvantivi yenno
44,"00:08:00,069","00:08:00,699",speaker_6,books వచ్చాయి.,books vachhaayi.
45,"00:08:01,129","00:08:02,480",speaker_6,ఇది అంత పెద్ద విషయం ఏం కాదు.,idhi antha pedhdha vishayam yem kaadhu.
46,"00:08:02,689","00:08:03,040",speaker_4,ఇతనెవరు?,ithanevaru?
47,"00:08:04,149","00:08:04,949",speaker_4,ఈ జోసెఫ్ డామినీక్.,ee joseph daamineek.
48,"00:08:05,370","00:08:06,420",speaker_6,అది ఒక pen name.,adhi oka pen name.
49,"00:08:06,629","00:08:07,900",speaker_6,It's not his real name.,It's not his real name.
50,"00:08:08,269","00:08:08,920",speaker_6,ఏది ఏమైనా,yedhi yemainaa
51,"00:08:09,310","00:08:09,660",speaker_6,ఇప్పటివరకు,ippativaraku
52,"00:08:09,850","00:08:11,020",speaker_6,నేను చదివిన books అన్నింట్లో,nenu chadhivina books annintlo
53,"00:08:11,589","00:08:13,129",speaker_6,ఎక్కువ details ఉన్న book ఇది.,yekkuva details unna book idhi.
54,"00:08:13,990","00:08:14,620",speaker_6,మన ఐతికమాల,mana aithikamaala
55,"00:08:14,949","00:08:15,780",speaker_6,కంటే ఎక్కువ వివరాలున్నాయి.,kante yekkuva vivaraalunnaayi.
56,"00:08:16,470","00:08:17,360",speaker_6,నీకు బాగా నచ్చుతుంది.,neeku baagaa nachhuthundhi.
57,"00:08:31,389","00:08:32,259",speaker_6,తర్వాత నువ్వు వచ్చేటప్పటికీ,tharvaatha nuvvu vachhetappatikee
58,"00:08:32,730","00:08:33,690",speaker_6,నేను ఎలాగో ఉండను.,nenu yelaago undanu.
59,"00:08:34,370","00:08:37,040",speaker_6,ఇక్కడ మా అబ్బాయి ఉంటాడు. వాడికి అన్ని విషయాలు తెలుసు.,ikkada maa abbaayi untaadu. vaadiki anni vishayaalu thelusu.
60,"00:08:51,330","00:08:52,860",speaker_3,ఒక low profile maintain చేయాలి.,oka low profile maintain cheyaali.
61,"00:08:53,090","00:08:53,659",speaker_3,ఏ సమస్యల్లోనో,ye samasyallono
62,"00:08:53,950","00:08:56,019",speaker_3,joking చేసుకోకు. మిగతా విషయాలు కుమార్ చూసుకుంటాడు.,joking chesukoku. migathaa vishayaalu kumaar choosukuntaadu.
63,"00:08:56,870","00:08:57,220",speaker_4,అవును,avunu
