index,start_time,end_time,speaker,original_telugu,transliteration
1,"00:00:27,559","00:00:27,910",speaker_0,ఓం,om
2,"00:00:29,379","00:00:29,730",speaker_0,నమో,namo
3,"00:00:31,940","00:00:32,289",speaker_0,నారాయణ,naaraayana
4,"00:01:59,920","00:02:00,679",speaker_1,పెళ్ళిళ్ళు ఉండాల్సింది,pellillu undaalsindhi
5,"00:02:02,290","00:02:02,989",speaker_1,తీసుకొచ్చి central,theesukochhi central
6,"00:02:03,060","00:02:04,379",speaker_1,jail వేసారుగారా చెత్త నల్లరా.,jail vesaarugaaraa cheththa nallaraa.
7,"00:02:06,299","00:02:07,659",speaker_0,లోపల బానే ఉంటదేమో మామా.,lopala baane untadhemo maamaa.
8,"00:02:13,699","00:02:14,789",speaker_1,ఉంద్రా బై ఇరువెరకేగా,undhraa bai iruverakegaa
9,"00:02:15,900","00:02:16,900",speaker_0,ఎవ్వ బజ్జెత్తనా కొడకా,yevva bajjeththanaa kodakaa
10,"00:02:17,550","00:02:18,278","speaker_0, speaker_1",ఓయ్ సారీ,oy sorry
11,"00:02:18,329","00:02:18,439",speaker_1,మామ,mama
12,"00:02:18,539","00:02:18,680",speaker_0,ఓయ్,oy
13,"00:02:20,090","00:02:20,900",speaker_0,మొత్తం జెంగుల్నా,moththam jengulnaa
14,"00:02:20,960","00:02:21,310",speaker_0,కొడుకులందరూ,kodukulandharoo
15,"00:02:21,460","00:02:22,259",speaker_0,ఇక్కడే ఉన్నారు కదరా.,ikkade unnaaru kadharaa.
16,"00:02:30,819","00:02:31,930",speaker_1,వీళ్ళ ఆటలు ఆగాలంటే,veella aatalu aagaalante
17,"00:02:33,240","00:02:33,969",speaker_1,బాయి రావాలి.,baayi raavaali.
18,"00:03:27,599","00:03:28,819",speaker_1,అది మా బాయి అండి.,adhi maa baayi andi.
19,"00:03:29,670","00:03:30,699",speaker_0,జాമ చెట్టు,jaaമ chettu
20,"00:03:30,860","00:03:31,210",speaker_0,కాస్తాయి,kaasthaayi
21,"00:03:32,300","00:03:32,650",speaker_0,జామకాయలు,jaamakaayalu
22,"00:03:35,409","00:03:36,030","speaker_0, speaker_1",జామకాయలు అరేయ్,jaamakaayalu arey
23,"00:03:36,080","00:03:37,860",speaker_1,రేయ్ మన తెలుగుోళ్ళురా మీరు ఆగండ్రా,rey mana theluguోlluraa meeru aagandraa
24,"00:03:38,020","00:03:38,439",speaker_0,జామ చెట్టు,jaama chettu
25,"00:03:38,840","00:03:39,189",speaker_0,కాస్తాయి,kaasthaayi
26,"00:03:40,219","00:03:40,569",speaker_0,మామిడి,maamidi
27,"00:03:41,039","00:03:41,389",speaker_0,కాయలు,kaayalu
28,"00:03:41,699","00:03:42,049",speaker_1,అన్నా,annaa
29,"00:03:42,659","00:03:43,269",speaker_1,మిమ్మల్ని చూసి,mimmalni choosi
30,"00:03:43,460","00:03:43,789",speaker_0,మామిడి కాయలు,maamidi kaayalu
31,"00:03:43,840","00:03:44,530",speaker_1,కైదీలందరు భయపడుతుర్రు,kaidheelandharu bhayapaduthurru
32,"00:03:45,360","00:03:45,460",speaker_0,మామిడి కాయలు,maamidi kaayalu
33,"00:03:45,400","00:03:46,460",speaker_1,పోలీసుల respect ఇస్తుర్రు,poleesula respect isthurru
34,"00:03:47,199","00:03:47,789",speaker_1,ఏం చేసొచ్చీరా,yem chesochheeraa
35,"00:03:47,909","00:03:48,060",speaker_1,అన్న?,anna?
36,"00:03:49,460","00:03:49,810",speaker_1,మర్రేసిరా.,marresiraa.
37,"00:03:52,680","00:03:53,259",speaker_0,డ్రగ్స్ అమ్మిర్రా?,drugs ammirraa?
38,"00:03:53,599","00:03:53,949",speaker_1,"Kidnapping,","Kidnapping,"
39,"00:03:54,419","00:03:55,000",speaker_1,"human trafficking,","human trafficking,"
40,"00:03:55,539","00:03:55,919",speaker_1,smuggling,smuggling
41,"00:03:58,080","00:03:59,300",speaker_1,మరి ఇంకేం చేసొచ్చీరా అన్నా?,mari inkem chesochheeraa annaa?
42,"00:04:04,530","00:04:06,419",speaker_0,స్నేహం చేసొచ్చినారా.,sneham chesochhinaaraa.
43,"00:04:08,479","00:04:09,219",speaker_1,కాలేజ్ ఎట్లుంటది అన్న?,kaalej yetluntadhi anna?
44,"00:04:09,419","00:04:11,680",speaker_0,సూపర్ కాలేజ్ hundred percent placement.,super kaalej hundred percent placement.
45,"00:04:12,120","00:04:13,469",speaker_0,గొప్ప గొప్ప వాళ్ళందరూ చదివినారు ఇక్కడ.,goppa goppa vaallandharoo chadhivinaaru ikkada.
46,"00:04:13,639","00:04:13,989",speaker_0,అంతెందుకు?,anthendhuku?
47,"00:04:14,520","00:04:15,329",speaker_0,నేను కూడా ఇక్కడే చదివా.,nenu koodaa ikkade chadhivaa.
48,"00:04:23,579","00:04:25,110",speaker_1,ఈ ట్యూబ్ light length ఎంతనో చెప్తా.,ee tube light length yenthano chepthaa.
49,"00:04:25,160","00:04:26,120",speaker_0,Two sixty centimeters sir.,Two sixty centimeters sir.
50,"00:04:26,180","00:04:26,639",speaker_1,దాని half ఎంత?,dhaani half yentha?
51,"00:04:26,839","00:04:27,560",speaker_0,One thirty centimeters,One thirty centimeters
52,"00:04:27,779","00:04:28,129",speaker_1,టీచి,teechi
53,"00:04:34,069","00:04:34,939","speaker_1, speaker_0",ఏమైందిరా? AC,yemaindhiraa? AC
54,"00:04:35,100","00:04:35,450",speaker_0,పనిచేస్తలేదు,panichesthaledhu
55,"00:04:35,600","00:04:35,899",speaker_0,మామ.,mama.
56,"00:04:36,829","00:04:37,610",speaker_1,Water వేయలేదేమో.,Water veyaledhemo.
57,"00:04:38,120","00:04:38,470",speaker_0,ఊర్నా,oornaa
58,"00:04:38,620","00:04:39,890",speaker_0,"కొడకా, అది AC రా","kodakaa, adhi AC raa"
59,"00:04:40,300","00:04:41,030",speaker_0,night ఏ పోసుంటారు.,night ye posuntaaru.
60,"00:04:43,779","00:04:45,399",speaker_1,మన class లో పోర్లు seniors చాలదా రా నీకు?,mana class lo porlu seniors chaaladhaa raa neeku?
61,"00:04:45,899","00:04:48,289",speaker_1,ఇంక bus station లో railway station లో fire station దీన్నమ్మా out,inka bus station lo railway station lo fire station dheennammaa out
62,"00:04:48,339","00:04:49,019",speaker_1,of station కూడా పోతావా?,of station koodaa pothaavaa?
63,"00:04:49,660","00:04:50,019",speaker_1,కుక్క,kukka
64,"00:04:51,120","00:04:52,019",speaker_1,చిత్త కార్తి కుక్క.,chiththa kaarthi kukka.
65,"00:04:57,629","00:04:58,240",speaker_0,చిన్నపిల్లలతో గొడవలు,chinnapillalatho godavalu
66,"00:04:58,290","00:04:59,270",speaker_0,వద్దు. మిచ్చెడు గాలిచ్చుద్దాం.,vadhdhu. michhedu gaalichhudhdhaam.
